id,text,text_el,topic,topic-context,subtopic,subtopic-context,topic-open,sentiment,polarization,polarization-definition,toxicity,toxicity-definition,populism,populism-definition,hate speech,ner,ner-limited
1,Friends and friends.  A big thank you. ,Φίλες και φίλοι  Ένα μεγάλο ευχαριστώ,other,,other,,gratitude,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[],[]
2," For your thunderous presence today, which proves that we are very close, we are very close to making Crete, the Castle of PASOK, the Castle of the democratic party, once again.  The party that changed Greece.  That made her strong and creative. "," Για τη σημερινή βροντερή σας παρουσία που αποδεικνύει ότι είμαστε πολύ κοντά, είμαστε πολύ κοντά να ξανακάνουμε την Κρήτη, το Κάστρο του ΠΑΣΟΚ, το Κάστρο της δημοκρατικής παράταξης  Της παράταξης που άλλαξε την Ελλάδα  Που την έκανε ισχυρή και δημιουργική",political parties,,other,,greek politics/party politics,0.8,0.2,0.1,0.2,0.2,0.5,0.2,0.0,"[['crete', 'location', '0.8'], ['pasok', 'organization', '1.0'], ['greece', 'location', '0.7']]","[['crete', 'location', '0.9'], ['pasok', 'political party', '1.0'], ['democratic party', 'political party', '0.8'], ['greece', 'country', '1.0']]"
3," Which strengthened social justice and gave opportunities to all Greeks and especially to the younger generations, the party of the great infrastructure projects of the European perspective, but above all of national dignity.  It is the party that has taken root in the country with historicity, with a strong social root, because it embodied the visions of the Greek people for hope, especially for those who were the underprivileged of the time.  This party, through a long history, returns today renewed, united and determined to claim a strong leading role in the coming national elections. "," Που ενίσχυσε την κοινωνική δικαιοσύνη και έδωσε ευκαιρίες σε όλους τους Έλληνες και ιδιαίτερα στις νεότερες γενιές, την παράταξη των μεγάλων έργων των υποδομών της ευρωπαϊκής προοπτικής, αλλά πάνω από όλα της εθνικής αξιοπρέπειας  Είναι η παράταξη που ρίζωσε στον τόπο με ιστορικότητα, με ισχυρή κοινωνική ρίζα, γιατί ενσάρκωσε τα οράματα του ελληνικού λαού για ελπίδα ιδιαίτερα για αυτούς που ήταν οι μη προνομιούχοι της τότε εποχής  Αυτή λοιπόν, η παράταξη μέσα από μια μακρά ιστορία επιστρέφει σήμερα ανανεωμένη, ενωμένη και αποφασισμένη να διεκδικήσει στις ερχόμενες εθνικές εκλογές ένα ισχυρό πρωταγωνιστικό ρόλο",elections,,youth,,political party,0.8,0.1,0.0,0.1,0.2,0.4,0.1,0.0,"[['greeks', 'misc', '0.6'], ['european', 'misc', '0.5'], ['greek', 'norp', '0.7']]","[['greeks', 'group of people', '0.8'], ['younger generations', 'group of people', '0.7'], ['party', 'organization', '0.8'], ['european perspective', 'organization', '0.6'], ['national dignity', 'organization', '0.6'], ['greek people', 'group of people', '0.8'], ['underprivileged', 'group of people', '0.7'], ['national elections', 'date', '0.6']]"
4," And that is in the hands of each and every one of you.  We have a duty to be at the forefront of the battle for a modern resilient Greece for a sustainable development for a strong participatory democracy.  This has always been our battle, after all.  This is the battle we are called upon to fight again. ", Και αυτό είναι στα χέρια της καθεμίας και του καθένα από εσάς  Έχουμε χρέος να βρεθούμε στην πρώτη γραμμή της μάχης για μια σύγχρονη ανθεκτική  Ελλάδα για μια βιώσιμη ανάπτυξη για μια ισχυρή συμμετοχική δημοκρατία  Αυτή πάντα ήτανε άλλωστε η δική μας μάχη  Αυτή τη μάχη καλούμαστε ξανά να δώσουμε,democracy,,other,,greek democracy,0.25,0.1,0.0,0.0,0.0,0.2,0.0,0.0,"[['greece', 'geopolitical entity', '0.9']]","[['greece', 'location', '1.0']]"
5," Who waited in the years 2023, 2022.  To be faced with scandals such as those of eavesdropping.  Is it possible for someone who wants to call himself a Liberal to organise a parastate of eavesdropping at the Maximos building against his political opponents?  Is he a liberal who, while at first.  He says an apology like this one after the tragic accident in Tempe. "," Ποιος περίμενε εν έτη 2023, 2022  Να βρισκόμαστε μπροστά σε σκάνδαλα, όπως αυτά των υποκλοπών  Είναι δυνατόν αυτός που θέλει να λέγεται Φιλελεύθερος να οργανώνει στο Μέγαρο Μαξίμου ένα παρακράτος υποκλοπών εις βάρος των πολιτικών του αντιπάλων  Είναι φιλελεύθερος αυτός που ενώ στην αρχή  Λέει ένα συγγνώμη όπως αυτό μετά το τραγικό δυστύχημα των Τεμπών",political parties,,scandal,,scandals,-0.5,0.8,0.2,0.3,0.8,0.5,0.2,0.2,"[['2023', 'date', '1.0'], ['2022', 'date', '1.0'], ['liberal', 'person', '1.0'], ['maximos', 'location', '1.0'], ['tempe', 'location', '1.0']]","[['maximos building', 'location', '0.8'], ['liberal', 'political party', '0.6'], ['tempe', 'location', '0.7']]"
6," Then trying to portray the political leader of the country's third party as an agent of foreign powers.  Did all this happen in the years before the post-independence.  Is this the worst face of the right.  This is the person we are called upon to send back to the dustbin of history in the next national elections, as in 1981. "," Μετά να προσπαθεί να παρουσιάσει τον πολιτικό αρχηγό του τρίτου κόμματος της χώρας ως ένα πράκτορα ξένων δυνάμεων  Μήπως όλα αυτά γινότανε τα χρόνια πριν τη μεταπολίτευση  Μήπως αυτό είναι το χειρότερο πρόσωπο της δεξιάς  Αυτό λοιπόν το πρόσωπο καλούμαστε στις επόμενες εθνικές εκλογές να στείλουμε ξανά, όπως το 1981, στο χρονοντούλαπο της ιστορίας",elections,,populism,,political leader,-0.8,0.8,0.1,0.2,0.2,0.5,0.0,0.0,"[['political leader', 'person', '0.9'], ['country', 'location', '0.8'], ['third party', 'organization', '0.8'], ['foreign powers', 'organization', '0.7'], ['post-independence', 'event', '0.6'], ['right', 'organization', '0.7'], ['dustbin of history', 'event', '0.5'], ['national elections', 'event', '0.6'], ['1981', 'date', '1.0']]","[['political leader', 'person', '0.75'], ['third party', 'organization', '0.75'], ['foreign powers', 'group of people', '0.5'], ['post-independence', 'date', '0.5'], ['right', 'political party', '0.5'], ['dustbin of history', 'location', '0.5'], ['national elections', 'date', '0.5'], ['1981', 'date', '0.5']]"
7," And I say this.  Because.  Older people remember, but younger generations must learn.  To teach the younger generations that democracy.  It is something for which great sacrifices were made in the country.  Respect for institutions is something sacred for which too many people.  The post-civil war years were very hard times and we will not allow anyone to undermine institutions and democracy.  Either as Mr. Tsipras did from '15 to '19, or as Mr. Mitsotakis did recently. "," Και τα λέω αυτά  Διότι  Οι παλαιότεροι θυμούνται, αλλά πρέπει να μαθαίνουν και οι νεότερες γενιές  Να μαθαίνουν οι νεότερες γενιές ότι η δημοκρατία  Είναι κάτι για το οποίο έγιναν πολύ μεγάλες θυσίες στον τόπο  Ο σεβασμός στους θεσμούς είναι κάτι ιερό για το οποίο πάρα πολλοί άνθρωποι  Τα μετεμφυλιακά χρόνια πέρασαν πολύ μεγάλες κακουχίες και δεν θα επιτρέψουμε σε κανένα να υπονομεύσει τους θεσμούς και τη δημοκρατία  Είτε όπως έκανε ο κύριος Τσίπρας από το ‘15 μέχρι το ‘19, είτε όπως έκανε ο κύριος Μητσοτάκης το τελευταίο διάστημα",democracy,,other,,democracy,-0.7,0.25,0.1,0.1,0.2,0.2,0.2,0.0,"[['tsipras', 'person', '0.9'], ['mitsotakis', 'person', '1.0']]","[['tsipras', 'person', '0.5'], ['mitsotakis', 'person', '0.5'], ['country', 'country', '1.0'], ['democracy', 'organization', '0.5'], ['institution', 'organization', '0.5'], ['civil war', 'event/date', '1.0'], [""'15 to '19"", 'date', '1.0'], ['recently', 'date', '1.0']]"
8," So it's not a matter of gossip.  The issue of eavesdropping is why the European Parliament and the European institutions are so concerned about it.  Because they know very well that there can be no prosperity and economic growth without strong democracy, transparency and meritocracy. "," Δεν είναι λοιπόν ένα ζήτημα κουτσομπολιού  Το θέμα των υποκλοπών για αυτό ασχολείται τόσο πολύ το Ευρωπαϊκό Κοινοβούλιο και οι ευρωπαϊκοί θεσμοί  Γιατί γνωρίζουν πάρα πολύ καλά ότι δεν μπορεί να υπάρξει ευημερία και οικονομική ανάπτυξη χωρίς να υπάρχουν ισχυρή δημοκρατία, διαφάνεια και αξιοκρατία",democracy,,wiretapping,,eavesdropping,0.5,0.1,0.0,0.0,0.0,0.0,0.0,0.0,"[['european parliament', 'organization', '0.94'], ['european institutions', 'organization', '0.88']]","[['european parliament', 'organization', '0.8'], ['european institutions', 'organization', '0.7']]"
9," These are interconnected and these are the great motives for the struggle that we must wage for a modern great change.  Unfortunately, this meeting here.  It was to be done about 10 days ago.  Postponed after the tragic accident in Tempe.  Where dozens of young people, young children, students, our children, your grandchildren suddenly.  They lost their lives because a state failed to ensure. "," Αυτά είναι αλληλένδετα και αυτά είναι τα μεγάλα κίνητρα για τον αγώνα που πρέπει να δώσουμε για μια σύγχρονη μεγάλη αλλαγή  Δυστυχώς αυτή εδώ η συνάντηση  Ήταν να γίνει πριν από περίπου 10 ημέρες  Αναβλήθηκε μετά το τραγικό δυστύχημα των Τεμπών  Όπου δεκάδες νέοι άνθρωποι, νέα παιδιά, φοιτητές, τα παιδιά μας, τα εγγόνια σας ξαφνικά  Έχασαν τη ζωή τους, διότι ένα κράτος δεν κατάφερε να διασφαλίσει",accountability,,safety,,accident,-0.8,0.3,0.0,0.25,0.2,0.1,0.0,0.0,"[['tempe', 'location', '0.93']]","[['tempe', 'location', '0.9']]"
10," Something very simple, security.  The safe transport.  When in 2023 trains are considered the most important investment for climate transition.  In order to have low emissions, all European countries invest in this mode of transport, because it is the least polluting, the least energy-intensive and we not only did not invest in this public transport. "," Κάτι πολύ απλό, την ασφάλεια  Την ασφαλή μεταφορά  Όταν εν έτη 2023 τα τρένα θεωρούνται η πιο σημαντική επένδυση για την κλιματική μετάβαση  Για να έχουμε χαμηλές εκπομπές ρύπων όλα τα ευρωπαϊκά κράτη επενδύουν σε αυτό τον τρόπο μεταφορών, διότι είναι ο λιγότερο ρυπογόνος, ο λιγότερο ενεργοβόρος και εμείς όχι μόνο δεν επενδύσαμε σε αυτά τα μέσα μαζικής μεταφοράς",infrastructure,,railway,,train investment,0.5,0.1,0.0,0.0,0.0,0.0,0.0,0.0,"[['2023', 'date', '1.0'], ['european', 'norp', '1.0']]","[['2023', 'date', '1.0'], ['european countries', 'group of people', '0.6']]"
