id,text,text_el,topic,topic-context,subtopic,subtopic-context,topic-open,sentiment,polarization,polarization-definition,toxicity,toxicity-definition,populism,populism-definition,hate speech,ner,ner-limited
1,"Good evening.  I would like to start a little differently too.  Of course, my intervention today here in my homeland.  But. ",Καλησπέρα σας  Θα ήθελα και εγώ να ξεκινήσω κάπως διαφορετικά  Βέβαια τη σημερινή μου παρέμβαση εδώ στην ιδιαίτερη πατρίδα μου  Όμως,other,,other,,speech,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[],"[['homeland', 'location', '1.0']]"
2," Indeed, the emotional charge is great.  As today in a few hours we bid farewell to a precious companion and friend Tasos Chronas who passed away the day before yesterday.  Who, as you all know, you know, we know for many decades from any position, either as a doctor in the hospital.  And director of the Radiology Clinic, either as a municipal councillor of the Municipality of Lamia, or as a regional councillor of the region of Sterea, or as a member of the KKE, a candidate for the party for many four years. "," Όντως, η συναισθηματική φόρτιση είναι μεγάλη  Καθώς σήμερα στη σε λίγη ώρα αποχαιρετάμε ένα πολύτιμο σύντροφο και φίλο τον Τάσο τον Χρονά που έφυγε προχθές από τη ζωή  Όποιος, όπως όλοι, ξέρετε, ξέρουμε για πολλές δεκαετίες από όποιο μετερίζι, είτε ως γιατρός στο νοσοκομείο  Και διευθυντής της Ακτινολογικής Κλινικής, είτε ως δημοτικός σύμβουλος του Δήμου Λαμιέων, είτε ως περιφερειακός σύμβουλος της περιφέρειας Στερεάς, είτε ως στέλεχος του ΚΚΕ, υποψήφιος βουλευτής του κόμματος για πολλές τετραετίες",other,,other,,death,-0.5,0.1,0.0,0.0,0.0,0.0,0.0,0.0,"[['tasos chronas', 'person', '1.0'], ['hospital', 'organization', '0.5'], ['radiology clinic', 'organization', '0.5'], ['municipality of lamia', 'organization', '0.5'], ['region of sterea', 'location', '1.0'], ['kke', 'organization', '1.0']]","[['tasos chronas', 'person', '1.0'], ['kke', 'political party', '1.0'], ['municipality of lamia', 'location', '1.0'], ['region of sterea', 'location', '1.0']]"
3," Known in Fthiotida and throughout the whole of the region, he offered to the working people through all these qualities to the youth, he offered his science, his knowledge, his agility to make people happy, to defend the just cause of the struggle of our people and our region for a better society, we wish him.  And from STAR Central Sterea from this podium of the great conference that is being organized.  Have a good trip. Dear friends, ladies and gentlemen. "," Γνωστός στη Φθιώτιδα και σε όλη τη στερεά, προσέφερε στον εργαζόμενο λαό μέσα από όλες αυτές τις ιδιότητες στη νεολαία, πρόσφερε την επιστημοσύνη του, τις γνώσεις του, την Αγωνιστικότητά του για να κάνει ευτυχισμένους τους ανθρώπους, για να υπερασπιστεί το δίκαιο του αγώνα του λαού μας και της περιοχής μας, για μια καλύτερη κοινωνία, να του ευχηθούμε  Και από το STAR Κεντρικής Στερεάς από αυτό εδώ το βήμα του σπουδαίου συνεδρίου που διοργανώνεται  Καλό ταξίδι Αγαπητές φίλες και φίλοι, κυρίες και κύριοι",other,,other,,a person,0.7,0.1,0.0,0.1,0.0,0.1,0.0,0.0,"[['fthiotida', 'location', '1.0'], ['star central', 'organization', '1.0'], ['sterea', 'location', '1.0']]","[['fthiotida', 'location', '1.0'], ['star central sterea', 'organization', '0.9']]"
4," On the occasion of the 30th anniversary of STAR Central Greece.  I would like to convey to all of you to all the employees of the station.  To the whole region here the warm wishes of the Communist Party of Greece for a good continuation with health and strength in all your efforts for the KKE, information is a basic people's right and in this regional television can play a special role, both to identify and highlight the important problems faced by the people's families in the region, as well as the promotion of the struggles of the workers' demands in many and important workplaces in sectors of the region of the workers of various sectors, and the promotion of the struggles of the workers of the region. For all these reasons, the KKE has always supported the just demands of journalists and other media workers, so that they can contribute without restrictions and exclusions to informing our people about all the issues that concern them in the region, but mainly in the whole of Greece, of course.  Your initiative to organise this very interesting conference coincided with the announcement of the date of the elections by the Prime Minister the day before yesterday.  A communication. "," Με την αφορμή της συμπλήρωσης των 30 χρόνων λειτουργίας του STAR Κεντρικής Ελλάδας  Θα ήθελα να μεταφέρω σε όλους σας σε όλους τους εργαζόμενους του σταθμού  Σε όλη την περιοχή εδώ τις θερμές ευχές του Κομμουνιστικού Κόμματος Ελλάδας για καλή συνέχεια με υγεία με δύναμη σε όλες τις προσπάθειές σας για το ΚΚΕ, η ενημέρωση αποτελεί βασικό λαϊκό δικαίωμα και σε αυτήν την περιφερειακή τηλεόραση μπορεί να παίξει έναν ιδιαίτερο ρόλο, τόσο ώστε να εντοπίζει και να αναδεικνύει τα σημαντικά προβλήματα που αντιμετωπίζουν οι λαϊκές οικογένειες στην περιφέρεια, όσο και την προβολή των αγώνων των διεκδικήσεων των εργαζομένων σε πολλούς και σημαντικούς εργασιακούς χώρους σε κλάδους της περιοχής των εργατών διαφόρων τομέων των υπαλλήλων αλλά και των βιοπαλαιστών αγροτών στην ύπαιθρο των αυτοαπασχολούμενων επαγγελματιών, βιοτεχνών και εμπόρων των νέων που σπουδάζουν στα πανεπιστημιακά ιδρύματα ή βρίσκονται ακόμα στη δευτεροβάθμια εκπαίδευση στα σχόλια Για όλους αυτούς τους λόγους, το ΚΚΕ διαχρονικά στηρίζει δίκαια αιτήματα των δημοσιογράφων, των άλλων εργαζομένων στα μέσα μαζικής ενημέρωσης, ώστε χωρίς περιορισμούς και αποκλεισμούς να μπορούν να συμβάλλουν στην ενημέρωση του λαού μας για όλα τα ζητήματα που τον απασχολούν στην περιφέρεια, αλλά κυρίως σε όλη την Ελλάδα φυσικά  Η πρωτοβουλία σας για τη διοργάνωση αυτού του πολύ ενδιαφέροντος συνεδρίου συνέπεσε και με την προχθεσινή ανακοίνωση από τον πρωθυπουργό της ημερομηνίας των εκλογών  Μια ανακοίνωση",media,,journalism,,star central greece,0.0,0.2,0.0,0.1,0.0,0.1,0.0,0.0,"[['star central greece', 'organization', '1.0'], ['communist party of greece', 'organization', '1.0'], ['kke', 'organization', '0.9'], ['greece', 'location', '1.0'], ['workers', 'group', '1.0'], ['journalists', 'profession', '0.9'], ['media workers', 'profession', '0.9'], ['prime minister', 'person', '1.0'], ['conference', 'event', '1.0'], ['communication', 'concept', '1.0']]","[['star central greece', 'organization', '1.0'], ['communist party of greece', 'political party', '1.0'], ['kke', 'organization', '1.0'], ['greece', 'country', '1.0'], ['workers', 'group of people', '1.0'], ['region', 'location', '1.0'], ['journalists', 'person', '1.0'], ['media workers', 'group of people', '1.0'], ['prime minister', 'person', '1.0'], ['elections', 'date', '1.0']]"
5," I would like to say that Mr Mitsotakis accompanied it with the well-known blackmailing dilemma of ungovernability or stability, saying that stability will be ensured by his own party.  The self-reliance of his own party.  Of course, our people have experienced this stability in the last four years with the criminal management of the pandemic and with the dangerous involvement of Greece in the war raging on the territory of Ukraine and with the energy crisis and with the accuracy that eats away at their income.  All these things, no matter how much the government of the New Democracy calls them imported in a somewhat convenient way, are the direct results of a policy in which the government of the New Democracy and all previous governments have had a hand and have implemented up to their eyeballs.  The same dilemma is also served in different versions. "," Θα ήθελα να πω στην οποία ο κύριος Μητσοτάκης συνόδευσε τη συνοδεύσει με το γνωστό εκβιαστικό δίλημμα περί ακυβερνησίας ή σταθερότητας, λέγοντας ότι η σταθερότητα θα την εξασφαλίσει το δικό του κόμμα  Η αυτοδυναμία του δικού του κόμματος  Βέβαια την έζησε στο πετσί του ο λαός μας αυτή τη σταθερότητα τα τελευταία 4 χρόνια και με την εγκληματική διαχείριση της πανδημίας και με την επικίνδυνη εμπλοκή της Ελλάδας στον πόλεμο που μαίνεται στο έδαφος της Ουκρανίας και με την ενεργειακή κρίση και με την ακρίβεια που κατατρώει το εισόδημά του  Όλα αυτά όσα, όσο και αν η κυβέρνηση της Νέας Δημοκρατίας τα ονομάζει με κάπως βολικό τρόπο εισαγόμενα, είναι άμεσα αποτελέσματα μιας πολιτικής στην οποία και η κυβέρνηση της Νέας Δημοκρατίας και όλες οι προηγούμενες κυβερνήσεις έχουν βάλει το χεράκι τους και έχουν υλοποιήσει μέχρι τα μπούνια  Το ίδιο δίλημμα σερβίρεται και σε διάφορες εκδοχές",criticism,,other,,greek politics,-0.8,0.85,0.3,0.85,0.4,0.8,0.2,0.2,"[['mr mitsotakis', 'person', '0.95'], ['new democracy', 'organization', '0.8'], ['ukraine', 'location', '0.7']]","[['mr mitsotakis', 'person', '0.9'], ['new democracy', 'political party', '1.0'], ['greece', 'location', '0.9'], ['ukraine', 'location', '0.6'], ['energy crisis', 'group of people', '0.2'], ['all previous governments', 'organization', '0.8']]"
6," And from other parties.  For SYRIZA, for example, stability means the formation of a coalition government in which it calls progressive, with the participation of PASOK from the first ballot, so that the country does not get into adventures, as SYRIZA itself says, its own executives see that stability in the repulsive system we live in can be provided by any kind of social democracy, either of SYRIZA or PASOK.  But it is not about stability.  We believe and we believe for safety, for our people. "," Και από άλλα κόμματα  Για το ΣΥΡΙΖΑ, για παράδειγμα, σταθερότητα σημαίνει η συγκρότηση μιας κυβέρνησης συνεργασίας στην οποία ονομάζει προοδευτική, με συμμετοχή του ίδιου πιθανόν του ΠΑΣΟΚ από την πρώτη κάλπη για να μην μπει η χώρα σε περιπέτειες, όπως λέει ο ίδιος ο ΣΥΡΙΖΑ, τα ίδια τα στελέχη του βλέπετε τη σταθερότητα στο αποκρουστικό σύστημα που ζούμε μπορεί να την προσφέρει η κάθε είδους σοσιαλδημοκρατία, είτε του ΣΥΡΙΖΑ είτε του ΠΑΣΟΚ  Δεν πρόκειται όμως για σταθερότητα  Πιστεύουμε εμείς και για ασφάλεια, για το λαό μας",political parties,,other,,stability,-0.5,0.1,0.2,0.1,0.2,0.2,0.0,0.0,"[['syriza', 'organization', '1.0'], ['pasok', 'organization', '1.0']]","[['syriza', 'political party', '1.0'], ['pasok', 'political party', '1.0'], ['greece', 'country', '1.0']]"
7," In fact, this stability, this help to the system given by the various parties, has even been the envy of some French magazines lately.  If you saw, which even wrote where we will find a Tsipras to raise the retirement age to 67 without opening his nostrils.  I mention it since Mr Tsipras made reference to my French accent here from this conference the other day.  In the debate from this podium, although I think that contrary to what the New Democracy is saying, he knows very well what he wrote and this magazine and that's why he's proud that the magazine, when it called him a good reformer.  Skinner on the pensioners' stuff, although he was obviously mocking him for it, this is some praise. "," Μάλιστα αυτή την σταθερότητα, αυτή τη βοήθεια στο σύστημα που δίνουν τα διάφορα κόμματα, την ζηλεύουν τελευταία ακόμα και κάποια γαλλικά περιοδικά  Αν είδατε, τα οποία μάλιστα έγραψαν πού θα βρούμε έναν Τσίπρα να αυξήσει τα όρια συνταξιοδότησης στα 67 χωρίς να ανοίξει ρουθούνι  Το αναφέρω μιας και ο κύριος Τσίπρας έκανε αναφορά στη γαλλική μου προφορά από εδώ από αυτό το συνέδριο προχτές  Στη συζήτηση από αυτό το βήμα, αν και νομίζω ότι σε αντίθεση με τα όσα του καταλογίζει η νέα δημοκρατία και ο ίδιος γνωρίζει πάρα πολύ καλά τι έγραψε και το συγκεκριμένο περιοδικό και για αυτό ακριβώς υπερηφανεύεται που το περιοδικό, όταν αποκάλεσε καλό μεταρρυθμιστή  Γδάρτη στην ουσία των συνταξιούχων, παρότι τον ειρωνευόταν προφανώς για τον ίδιο, αυτό αποτελεί κάποιο έπαινο",political parties,,other,,envy,0.5,0.1,0.0,0.1,0.5,0.1,0.0,0.0,"[['french', 'nationality', '0.75'], ['tsipras', 'person', '1.0'], ['greek', 'nationality', '0.5'], ['67', 'number', '0.75'], ['new democracy', 'organization', '0.5'], ['skinner', 'person', '0.5']]","[['french', 'location', '1.0'], ['tsipras', 'person', '1.0'], ['new democracy', 'political party', '1.0'], ['skinner', 'person', '1.0']]"
8," Of course, we also hear the leader of PASOK, Mr. Androulakis, in the last few days, I don't know whether he will repeat it in the future and here in front of you, proposing his own solution for stability, which is a coalition government, either of the new Republic, PASOK or SYRIZA PASOK, simply with another person as prime minister, apart from Messrs. Mitsotakis and Tsipras.  This proposal is perhaps revealing because it proves that finally everyone in this place can go with everyone, since despite their individual differences, it unites an agreement on major issues in the strategic direction that will ultimately determine the next government's anti-people's policy, because unfortunately they all follow the same anti-people's path.  With other drivers, with other station masters, but on the same unpopular route, which is why they constantly derail trains or lead them into deadly collisions. "," Ακούμε βέβαια και τον αρχηγό του ΠΑΣΟΚ, τον κύριο Ανδρουλάκη, τις τελευταίες μέρες δεν ξέρω αν θα το επαναλάβει στη συνέχεια και εδώ μπροστά σας να προτείνει τη δική του βέβαια λύση υπέρ της σταθερότητας που είναι μια συγκυβέρνηση είτε νέας Δημοκρατίας, ΠΑΣΟΚ είτε ΣΥΡΙΖΑ ΠΑΣΟΚ, απλά με κάποιο άλλο πρόσωπο για πρωθυπουργό, εκτός δηλαδή των κυρίων Μητσοτάκη και Τσίπρα  Είναι ίσως αποκαλυπτική και αυτή η πρόταση γιατί αποδεικνύει ότι τελικά όλοι σε αυτό τον τόπο μπορούν να πάνε με όλους, αφού παρά τις διαφορές στα επιμέρους τους, ενώνει μια συμφωνία σε μεγάλα ζητήματα στη στρατηγική κατεύθυνση που θα καθορίσει τελικά και την αντιλαϊκή πολιτική της επόμενης κυβέρνησης, γιατί δυστυχώς όλοι τσουλάνε στις ίδιες αντιλαϊκές ράγες  Με άλλους μηχανοδηγούς με άλλους σταθμάρχες ο καθένας, αλλά πάνω όμως στην ίδια αντιλαϊκή ρότα, για αυτό και συνεχώς εκτροχιάζουν τα τρένα ή τα οδηγούν σε θανατηφόρες συγκρούσεις",political parties,,coalition,,coalition government,-0.7765,0.7,0.2,0.45,0.75,0.8,0.3,0.5,"[['pasok', 'org', '0.9'], ['mr. androulakis', 'per', '0.8'], ['republic', 'org', '0.5'], ['syriza pasok', 'org', '0.7'], ['messrs. mitsotakis', 'tsipras', 'per', '0.8']]","[['androulakis', 'person', '0.9'], ['pasok', 'political party', '0.9'], ['republic', 'organization', '0.8'], ['syriza', 'political party', '0.9'], ['mitsotakis', 'person', '0.7'], ['tsipras', 'person', '0.7.']]"
9," Politically, of course, we mean today that this common up and down direction is expressed both in the unpopular preconditions of the Recovery Fund and in the European Union's directions for the liberalisation of energy, railways, water, we will say water, water finally with dangerous NATO war plans and adventurism with the attack on people's homes to support the bankers at a time when a new economic capitalist crisis is brewing internationally and much more about it.  And we all believe that they want to get the support or at least the tolerance of the people, in a policy that is ultimately the one that accumulates even more instability, insecurity for the working people themselves, for pensioners, for young people, for young people, for young women.  And this is also reflected in the specific issues that concern the people and youth of the region, which are of course linked and determined by the general policies that are followed.  After the visit of the Prime Minister and the election event that was set up with the help of the regional and local administration, it seems that the people of the region have nothing to expect from the billions that were advertised in this fiesta.  With the Prime Minister's announcements. "," Πολιτικά φυσικά εννοούμε σήμερα αυτή η κοινή πάνω κάτω κατεύθυνση εκφράζεται και με τα αντιλαϊκά προαπαιτούμενα του Ταμείου Ανάκαμψης και με τις κατευθύνσεις της Ευρωπαϊκής Ένωσης για την απελευθέρωση της ενέργειας των σιδηροδρόμω,  του νερού που θα πούμε το νερό, νεράκι  τελικά με επικίνδυνους νατοϊκούς πολεμικούς σχεδιασμούς και τυχοδιωκτισμούς με την επίθεση σε λαϊκές κατοικίες για να στηριχτούν οι τραπεζίτες σε μια περίοδο μάλιστα που κυοφορείται και νέα οικονομική καπιταλιστική κρίση διεθνώς και πολλά ακόμη άλλα για αυτό  Και όλοι τους πιστεύουμε ότι θέλουν να αποσπάσουν τη στήριξη ή την ανοχή τουλάχιστον του λαού, σε μια πολιτική που τελικά είναι αυτή που συσσωρεύει ακόμη περισσότερη αστάθεια, ανασφάλεια για τον ίδιο τον εργαζόμενο λαό, για τους συνταξιούχους, για τους νέους, τις νέες  Και αυτό αποτυπώνεται και στα ιδιαίτερα ζητήματα που απασχολούν το λαό και τη νεολαία της περιοχής, τα οποία φυσικά συνδέονται και καθορίζονται από τις γενικότερες πολιτικές που ακολουθούνται  Μετά και την επίσκεψη του πρωθυπουργού και την προεκλογική εκδήλωση που στήθηκε με την αρωγή της περιφερειακής και τοπικής διοίκησης, φαίνεται πως ο λαός της περιοχής δεν έχει να περιμένει τίποτα από τα δισεκατομμύρια που διαφημίστηκαν σε αυτή τη φιέστα  Με τις εξαγγελίες του πρωθυπουργού",privatization,,other,,european union policies,-1.0,0.9,0.3,0.5,0.65,0.8,0.0,0.0,"[['recovery fund', 'organization', '0.5'], ['european union', 'organization', '0.5'], ['nato', 'organization', '0.5']]","[['recovery fund', 'organization', '0.7'], ['european union', 'organization', '0.6'], ['nato', 'organization', '0.4'], ['prime minister', 'person', '0.6'], ['working people', 'group of people', '0.6'], ['pensioners', 'group of people', '0.5'], ['young people', 'group of people', '0.6'], ['young women', 'group of people', '0.5'], ['region', 'location', '0.5'], ['local administration', 'organization', '0.5'], ['election event', 'date', '0.4'], ['billions', 'date', '0.4']]"
10," The investments presented here.  They are essentially projects that do not come to meet its own needs, but to enhance the profitability of various large business groups.  Such an investment is the concession by the State Property Fund to a business group, for example, of the thermal springs in the burnt bogs, making the right to access the thermal springs an expensive commodity.  Just a month ago, the KKE presented at a special event in the burnt bourla, a comprehensive proposal that is in the completely opposite direction and ensures the exploitation of the thermal springs for the benefit of our people, while opening the way for the exploitation of the important geothermal field that exists there in the energy sector. "," Οι επενδύσεις που παρουσιάστηκαν εδώ  Είναι επί της ουσίας έργα που δεν έρχονται να ικανοποιήσουν τις δικές του ανάγκες, αλλά να ενισχύσουν την κερδοφορία διάφορων επιχειρηματικών μεγάλων ομίλων  Τέτοια επένδυση είναι η παραχώρηση από το ΤΑΙΠΕΔ σε επιχειρηματικό όμιλο, για παράδειγμα των ιαματικών πηγών στα καμένα βούρλα, κάνοντας το δικαίωμα στην πρόσβαση στις ιαματικές πηγές, πανάκριβο εμπόρευμα  Το ΚΚΕ μόλις πριν έναν μήνα παρουσίασε σε ειδική εκδήλωση στα καμένα βούρλα, ολοκληρωμένη πρόταση που βρίσκεται στην εντελώς αντίθετη κατεύθυνση και εξασφαλίζει την αξιοποίηση των ιαματικών πηγών προς όφελος του λαού μας, ενώ ανοίγει το δρόμο και για την αξιοποίηση του σημαντικού γεωθερμικού πεδίου που υπάρχει εκεί στον τομέα της ενέργειας",privatization,,investments,,investments,-0.5,0.75,0.0,0.2,0.1,0.8,0.0,0.0,"[['state property fund', 'organization', '1.0'], ['thermal springs', 'location', '1.0'], ['burnt bogs', 'location', '1.0'], ['business group', 'organization', '1.0'], ['kke', 'organization', '1.0'], ['burnt bourla', 'location', '1.0'], ['geothermal field', 'location', '1.0']]","[['state property fund', 'organization', '0.6'], ['kke', 'political party', '0.6'], ['burnt bogs', 'location', '0.6'], ['burnt bourla', 'location', '0.6']]"
