id,text,text_el,topic,topic-context,subtopic,subtopic-context,topic-open,sentiment,polarization,polarization-definition,toxicity,toxicity-definition,populism,populism-definition,hate speech,ner,ner-limited
1,"Speech by the Prime Minister and President of the New Democracy Kyriakos Mitsotakis in LamiaMessrs and Gentlemen Ministers and Members of Parliament, dear Regional Governor, dear Fani, dear Regional Governor of Thessaly, dear Kostas, Young Democrats of Fthiotida, thank you for this warm welcome. The heart of Roumeli is blue today. ","Ομιλία του Πρωθυπουργού και Προέδρου της Νέας Δημοκρατίας Κυριάκου Μητσοτάκη στη ΛαμίαΚυρίες και κύριοι Υπουργοί και βουλευτές, αγαπητέ Περιφερειάρχη, αγαπητέ Φάνη, αγαπητέ Περιφερειάρχη Θεσσαλίας, αγαπητέ Κώστα, Νεοδημοκράτισσες και Νεοδημοκράτες της Φθιώτιδας, σας ευχαριστώ γι’ αυτή τη ζεστή υποδοχή Η καρδιά της Ρούμελης είναι σήμερα γαλάζια",other,,other,,speech,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[['prime minister', 'person', 'high'], ['president', 'person', 'high'], ['new democracy', 'organization', 'high'], ['kyriakos mitsotakis', 'person', 'high'], ['lamia', 'location', 'high'], ['ministers', 'group', 'medium'], ['members of parliament', 'group', 'medium'], ['regional governor', 'person', 'medium'], ['fani', 'person', 'low'], ['regional governor of thessaly', 'person', 'medium'], ['kostas', 'person', 'low'], ['young democrats of fthiotida', 'organization', 'low'], ['roumeli', 'location', 'medium']]","[['kyriakos mitsotakis', 'person', '0.95'], ['new democracy', 'political party', '0.9'], ['lamia', 'location', '0.8'], ['ministers', 'group of people', '0.7'], ['members of parliament', 'group of people', '0.7'], ['regional governor', 'person', '0.7'], ['thessaly', 'location', '0.8'], ['kostas', 'person', '0.6'], ['young democrats of fthiotida', 'organization', '0.5'], ['roumeli', 'location', '0.6']]"
2," And with your dynamic presence you are the best answer to those who doubt that New Democracy is the great party that guarantees stability. But also the great party that at the same time ensures the progress of our country.  We alone can lead Greece to the future it deserves and we will do it.  We will win the next elections to run even faster ahead.  To change the country more boldly, more effectively, for our individual and overall prosperity and for a country that will make us truly proud. May is near, bringing with it a new spring with your double message. "," Και με τη δική σας δυναμική παρουσία να γίνεται η καλύτερη απάντηση σε όσους αμφιβάλλουν πως η Νέα Δημοκρατία είναι η μεγάλη παράταξη που εγγυάται τη σταθερότητα Αλλά και η μεγάλη παράταξη που ταυτόχρονα εξασφαλίζει και την πρόοδο του τόπου μας  Εμείς μόνο μπορούμε να οδηγήσουμε την Ελλάδα στο μέλλον που της αξίζει και θα το κάνουμε  Θα κερδίσουμε στις επόμενες εκλογές για να τρέξουμε ακόμα πιο γρήγορα μπροστά  Για να αλλάξουμε τη χώρα πιο τολμηρά, πιο αποτελεσματικά, για την ατομική και συνολική μας προκοπή και για μία πατρίδα που θα μας κάνει πραγματικά υπερήφανους Ο Μάιος είναι κοντά, φέρνοντας μαζί του και μία νέα άνοιξη με το διπλό δικό σας μήνυμα",elections,,other,,political party,0.9,0.22,0.2,0.1,0.0,0.2,0.2,0.0,"[['new democracy', 'organization', '1.0'], ['greece', 'location', '1.0'], ['may', 'time', '1.0']]","[['new democracy', 'political party', '1.0'], ['greece', 'country', '1.0'], ['may', 'date', '1.0']]"
3," It is a message of reflection, but also of collective reconstruction after the tragedy of Tempi.  It is also a wake-up call for the country to stay on a trajectory of growth and prosperity, sweeping away those islands of delay that are still resisting with the light of the new Greece.  A light that must be spread everywhere and to everyone. "," Είναι ένα μήνυμα αναστοχασμού, αλλά και συλλογικής ανασυγκρότησης μετά την τραγωδία των Τεμπών  Είναι παράλληλα και ένα εγερτήριο σύνθημα μάχης για να μείνει η χώρα σε τροχιά ανάπτυξης και ευημερίας, σαρώνοντας όσες νησίδες καθυστέρησης ακόμα αντιστέκονται με το φως της νέας Ελλάδας  Ένα φως που πρέπει να απλωθεί παντού και σε όλους",economy,,other,,reconstruction,0.5,0.07,0.0,0.0,0.0,0.2,0.0,0.0,"[['tempi', 'tragedy', 'location', '0.80'], ['greece', 'location', '0.80']]","[['tempi', 'location', '0.9'], ['greece', 'country', '0.9']]"
4,"Because we now know that in Tempe, where you also mourned your own compatriots, human errors met with the shortcomings of a problematic organisation.  With long-standing problems, which unfortunately we have not been able to fully address before the evil caught up with us. That's why I took responsibility in the name of all those who ruled the country, because the drama happened with us at the helm.  Personally I never hid, nor will I say ""it's everyone else's fault but ours"".  We, therefore, have the first duty to set the conditions so that such an evil never, ever happens again. I promised this to the mother of Spyros, the engine driver from Lianokladi, who lost her only son.  I would say the same to the parents of Elpida, of Giannis, of all the young children who were so unjustly lost. And this promise I consider my sacred duty.  No one hurts more today than the families of the victims.  But no Greek is in more or less pain than the other. ","Γιατί ξέρουμε πια ότι στα Τέμπη, εκεί που θρηνήσατε και εσείς δικούς σας συμπατριώτες, συναντήθηκαν τα ανθρώπινα λάθη με τις ελλείψεις ενός προβληματικού οργανισμού  Με διαχρονικά προβλήματα, που δυστυχώς δεν μπορέσαμε να ανατάξουμε πλήρως πριν μας προλάβει το κακό Γι’ αυτό άλλωστε ανέλαβα και την ευθύνη στο όνομα όλων όσοι κυβέρνησαν τη χώρα, καθώς το δράμα έγινε με εμάς στο τιμόνι  Προσωπικά δεν κρύφτηκα ποτέ, ούτε και θα πω εγώ «φταίνε όλοι οι άλλοι εκτός από εμάς»  Εμείς, συνεπώς, έχουμε πρώτοι το χρέος να διαμορφώσουμε τους όρους, ώστε να μην ξανασυμβεί ποτέ, μα ποτέ ξανά ένα τέτοιο κακό Το υποσχέθηκα αυτό στη μητέρα του Σπύρου, του μηχανοδηγού από το Λιανοκλάδι, που έχασε το μονάκριβο γιο της  Το ίδιο θα έλεγα στους γονείς της Ελπίδας, του Γιάννη, όλων των νέων παιδιών που τόσο άδικα χάθηκαν Κι αυτή την υπόσχεση τη θεωρώ ιερό μου καθήκον  Κανείς δεν πονάει, σήμερα, περισσότερο από τις οικογένειες των θυμάτων  Αλλά και κανείς Έλληνας δεν πονά περισσότερο ή λιγότερο από τον άλλον",other,,other,,train derailment in tempe,-0.3,0.1,0.0,0.1,0.2,0.2,0.0,0.0,"[['tempe', 'location', '1.0'], ['greek', 'nationality', '0.5'], ['spyros', 'person', '1.0'], ['lianokladi', 'location', '1.0'], ['elpida', 'person', '1.0'], ['giannis', 'person', '1.0']]","[['tempe', 'location', '0.9'], ['greek', 'organization', '0.6'], ['spyros', 'person', '0.8'], ['lianokladi', 'location', '0.7'], ['elpida', 'person', '0.6'], ['giannis', 'person', '0.6'], ['greek', 'country', '0.9']]"
5,"So I will not follow those who pour party poison on a national trauma.  I stick to the obvious truth that everyone has now realized. Telecommanding of trains - which should have been ready by 2016 - was never done by the government of the day.  While we may have accelerated it, installed a local control in Larissa, but we failed to complete the project nationwide on time. ","Δεν θα ακολουθήσω, λοιπόν, εκείνους που ρίχνουν κομματικό δηλητήριο πάνω σε ένα εθνικό τραύμα  Μένω στην προφανή αλήθεια που όλοι πλέον έχουν αντιληφθεί Η τηλεδιοίκηση των τρένων -που έπρεπε να ήταν έτοιμη από το 2016- δεν έγινε ποτέ από την τότε κυβέρνηση  Ενώ εμείς μπορεί να την επιταχύναμε, να εγκαταστήσαμε τοπικό έλεγχο στη Λάρισα, όμως δεν καταφέραμε να ολοκληρώσουμε πανελλαδικά το έργο εγκαίρως",accountability,,railway,,train telecommanding,-0.2,0.1,0.0,0.1,0.0,0.1,0.0,0.0,"[['larissa', 'location', '0.9'], ['2016', 'date', '0.8']]","[['1. larissa', 'location', '1.0'], ['2. 2016', 'date', '1.0']]"
6,"And as for the individual behaviours of the unacceptable dialogues, the urns, the blancos, the fake hours, all this will be judged by justice.  But they still show the old Greece that I will fight and change.  First I'd like to turn back the clock. ","Και όσο για τις ατομικές συμπεριφορές των απαράδεκτων διαλόγων, των τεφτεριών, των μπλάνκο, των πλαστών ωραρίων, όλα αυτά θα κριθούν από τη Δικαιοσύνη  Αλλά δεν παύουν να δείχνουν την παλιά Ελλάδα που θα πολεμήσω και θα αλλάξω  Πρώτος εγώ θα ήθελα να γυρίσω τον χρόνο πίσω",justice,,other,,reforming greece,0.0,0.1667,0.0,0.1,0.2,0.2,0.0,0.0,"[['greece', 'location', '1.0']]","[['greece', 'country', '1.0'], ['justice', 'organization', '1.0']]"
7,"  But the place must not be left behind.  Our task, then, is to grit our teeth and turn sadness and anger into stubbornness for great changes. This is the big difference in the political ethos of this party.  For our part, we admitted that we did not bring to the OSE the changes that were made to other infrastructure, especially to the roads. In this field, therefore, our attempt at reform has been defeated.  It did not break down the wall long built by irresponsible statism and individual ""pampering"".  We lost this battle. ","  Όμως, δεν πρέπει να μείνει και ο τόπος πίσω  Καθήκον μας, λοιπόν, είναι να σφίξουμε τα δόντια μετατρέποντας τη λύπη και το θυμό σε πείσμα για μεγάλες ανατροπές Αυτή άλλωστε είναι και η μεγάλη διαφορά στο πολιτικό ήθος αυτής της παράταξης  Από την πλευρά μας παραδεχτήκαμε ότι στον ΟΣΕ δεν φέραμε τις αλλαγές που έγιναν σε άλλες υποδομές, ιδίως στις οδικές Στο συγκεκριμένο πεδίο, συνεπώς, η μεταρρυθμιστική μας απόπειρα ηττήθηκε  Δεν έσπασε το τείχος που για καιρό οικοδομούσε ο ανεύθυνος κρατισμός και ο ατομικός «ωχαδερφισμός»  Χάσαμε αυτή τη μάχη",infrastructure,,reforms,,political ethos,-0.3,0.2,0.0,0.1,0.0,0.1,0.0,0.0,[],"[['ose', 'organization', '1.0'], ['political party', '1.0']]"
8," But we will persevere more vigorously in the war with the past.  Until every public action and every individual attitude is changed. And so I feel that we must also respond to those who insist on investing in misfortune.  The trap of anachronism, you see, is not only lurking in public functions, it is also lurking in political behaviour.  And such, unfortunately, we have many of them lately.  Behaviours that confuse and create toxic impressions. "," Αλλά θα επιμείνουμε πιο δυναμικά στον πόλεμο με το παρελθόν  Μέχρι να αλλάξει κάθε δημόσια δράση και κάθε ατομική στάση Και έτσι αισθάνομαι ότι πρέπει να απαντήσουμε και σε εκείνους που επιμένουν να επενδύουν στη συμφορά  Η παγίδα του αναχρονισμού, βλέπετε, δεν καραδοκεί μόνο στις δημόσιες λειτουργίες, καραδοκεί και στις πολιτικές συμπεριφορές  Και τέτοιες, δυστυχώς, έχουμε πολλές το τελευταίο διάστημα  Συμπεριφορές που σπέρνουν σύγχυση και δημιουργούν τοξικές εντυπώσεις",political parties,,other,,anachronism,-0.5,0.8,0.2,0.6,0.6,0.2,0.0,0.1,[],[]
9,"Just the other day Mr.  Spirtzis spoke for almost two hours in the Parliament, without finding an apology for the disastrous events that took place during his days.  And its leader, with various lies, told us roughly that everything was working perfectly on the Greek railways until July 2019. We will see this play many times heading into the elections.  Only it will fail miserably, since truth rejects oblivion before anything else. ","Μόλις τις προάλλες ο κ  Σπίρτζης μίλησε σχεδόν δύο ώρες στη Βουλή, χωρίς να βρει μία συγγνώμη για τα όσα ολέθρια έγιναν επί των ημερών του  Και ο αρχηγός του με διάφορα ψέματα μας είπε περίπου ότι όλα λειτουργούσαν τέλεια στους ελληνικούς σιδηρόδρομους μέχρι τον Ιούλιο του 2019 Αυτό το έργο θα το δούμε πολλές φορές βαδίζοντας προς τις εκλογές  Μόνο που θα αποτύχει οικτρά, αφού η αλήθεια απορρίπτει πριν από κάθε τι τη λήθη",other,,railway,,greek railways,-0.6,0.7,0.0,0.1,0.1,0.2,0.0,0.0,"[['mr. spirtzis', 'person', '0.8'], ['parliament', 'organization', '0.6'], ['greek', 'nationality', '0.4'], ['july 2019', 'date', '0.6']]","[['mr. spirtzis', 'person', '0.8'], ['parliament', 'organization', '0.4'], ['greek railways', 'organization', '0.5'], ['july 2019', 'date', '0.7'], ['elections', 'organization', '0.3']]"
10," Citizens remember and avenge the cynicism of those who vote on national pain.  And of course they do not forget the very important things we have achieved in these four years, which no one can erase. Allies of the party, no government since the post-war period has faced more exogenous crises in its term of office than ours.  The President said it in his brief introduction.  From the migratory invasions in Evros in March 2020 and the constant threats of a provocative Turkey, to the pandemic, the war in Ukraine, the energy crisis, the onslaught of global insecurity, a series of major natural disasters, floods, ""Janus"", the devastating fire in northern Evia.  You don't have to think about what would happen to the country if all this happened to others. "," Οι πολίτες θυμούνται και εκδικούνται τον κυνισμό όσων ψηφοθηρούν επάνω στον εθνικό πόνο  Και βέβαια δεν ξεχνούν τα πολύ σημαντικά που πετύχαμε αυτά τα τέσσερα χρόνια και τα οποία κανείς δεν μπορεί να διαγράψει Συμμαχητές της παράταξης, καμία κυβέρνηση από τη Μεταπολίτευση και μετά δεν αντιμετώπισε στη θητεία της περισσότερες εξωγενείς κρίσεις από τη δική μας  Τα είπε και ο πρόεδρος στη σύντομη εισαγωγή του  Από τις μεταναστευτικές εισβολές στον Έβρο, τον Μάρτιο του 2020, και τις διαρκείς απειλές μίας προκλητικής Τουρκίας, μέχρι την πανδημία, τον πόλεμο στην Ουκρανία, την ενεργειακή κρίση, την έφοδο της παγκόσμιας ακρίβειας, μια σειρά από μεγάλες φυσικές καταστροφές, πλημμύρες, τον «Ιανό», την καταστροφική φωτιά στη βόρεια Εύβοια  Δεν χρειάζεται να σκεφτείτε τι θα συνέβαινε στην πατρίδα αν όλα αυτά τύχαιναν σε άλλους",other,,natural disasters,,national crises,-0.3,0.3,0.2,0.2,0.3,0.1,0.2,0.0,"[['evros', 'location', '0.6'], ['turkey', 'location', '0.7'], ['ukraine', 'location', '0.6'], ['evia', 'location', '0.5']]","[['citizens', 'group of people', '1.0'], ['allies of the party', 'group of people', '0.8'], ['president', 'person', '0.9'], ['turkey', 'country', '0.8'], ['ukraine', 'location', '0.8'], ['evros', 'location', '0.7'], ['evia', 'location', '0.6']]"
