id,text,text_el,topic,topic-context,subtopic,subtopic-context,topic-open,sentiment,polarization,polarization-definition,toxicity,toxicity-definition,populism,populism-definition,hate speech,ner,ner-limited
1,"""Mr. Mayor, Mr. Mayors, thank you very much.  Friends, neo-democrats, what an amazing reception here in my city of Glyfada.  I hope that we will come close to the percentages of the ""captain"" of Glyfada in the next elections.  And on May 21, the 21st of Saints Constantine and Helen, Glyfada is celebrating, but the whole of Greece will celebrate our great victory, the victory of our New Democracy party.  And yes, my dear Mayor, you are right.  When we start a great battle we want to come primarily to places that are particularly familiar to us. ","«Κύριε Δήμαρχε, κύριοι Δήμαρχοι, ευχαριστώ πάρα πολύ  Φίλες και φίλοι, νεοδημοκράτισσες και νεοδημοκράτες, τι καταπληκτική υποδοχή εδώ στην πόλη μου στη Γλυφάδα  Εύχομαι να πλησιάσουμε τα ποσοστά του «καπετάνιου» της Γλυφάδας στις επόμενες εκλογές  Και στις 21 Μαΐου, των Αγίων Κωνσταντίνου και Ελένης, γιορτάζει η Γλυφάδα, αλλά θα γιορτάζει και όλη η Ελλάδα τη μεγάλη μας νίκη, τη νίκη της παράταξής μας της Νέας Δημοκρατίας  Και ναι, αγαπητέ μου Δήμαρχε, έχεις δίκιο  Όταν ξεκινούμε μια μεγάλη μάχη θέλουμε να ερχόμαστε κατεξοχήν σε τόπους οι οποίοι μάς είναι ιδιαίτερα οικείοι",elections,,other,,election campaign,0.4,0.03,0.0,0.1,0.0,0.2,0.0,0.0,"[['glyfada', 'location', '2.0', 'neo-democrats', 'organization', '1.0', 'may 21', 'date', '1.0', 'saints constantine and helen', 'person', '1.0', 'greece', 'location', '1.0', 'new democracy', 'organization', '1.0', 'mayor', 'person', '1.0']]","[['glyfada', 'location', '1.0'], ['neo-democrats', 'group of people', '0.7'], ['captain', 'person', '0.6'], ['may 21', 'date', '1.0'], ['saints constantine and helen', 'group of people', '1.0'], ['greece', 'country', '1.0'], ['new democracy party', 'political party', '1.0'], ['mayor', 'person', '1.0']]"
2," I was touched that you remembered that, indeed, my parents were married here in the church of Constantine and Helen in 1953 and our relations with Glyfada are historic and I am glad that under your leadership and the leadership of your team and with a close cooperation with the Government, Glyfada is flourishing, progressing, for the benefit of all its citizens and its many visitors, it is truly becoming a model city.  You are right, my friend Mayor, that indeed in this four-year period we have been called upon to deal with too many turbulences.  When you trusted us in July 2019, no one expected that our government would be called upon to deal with more crises than any other government in the post-war era.  But we kept the steering wheel steady and Greece today is stronger, it's a country that exudes more confidence and more prestige abroad than in 2019. "," Συγκινήθηκα που θυμήθηκες ότι, όντως, εδώ στην εκκλησία Κωνσταντίνου και Ελένης παντρεύτηκαν οι γονείς μου το 1953 και οι σχέσεις μας με τη Γλυφάδα είναι ιστορικές και χαίρομαι που υπό τη δική σου ηγεσία και την ηγεσία της ομάδος σου και με μία στενή συνεργασία με την Κυβέρνηση η Γλυφάδα ανθίζει, προκόβει, προς όφελος όλων των δημοτών της και των πολλών επισκεπτών της, γίνεται πραγματικά μια πόλη υπόδειγμα  Έχεις δίκιο, φίλε Δήμαρχε, ότι πράγματι αυτή την τετραετία κληθήκαμε να αντιμετωπίσουμε πάρα πολλές φουρτούνες  Όταν μας εμπιστευθήκατε τον Ιούλιο του 2019, κανείς δεν περίμενε ότι η Κυβέρνησή μας θα καλείτο να αντιμετωπίσει τις περισσότερες κρίσεις από οποιαδήποτε άλλη κυβέρνηση της Μεταπολίτευσης  Όμως, κρατήσαμε το τιμόνι σταθερό και η Ελλάδα, σήμερα, είναι πιο ισχυρή, είναι μια χώρα που αποπνέει μεγαλύτερη εμπιστοσύνη με μεγαλύτερο κύρος στο εξωτερικό από ό,τι το 2019",economy,,other,,glyfada,0.7,0.2,0.0,0.0,0.0,0.1,0.0,0.0,"[['constantine and helen', 'church', '1.0'], ['glyfada', 'location', '1.0'], ['government', 'organization', '0.75'], ['mayor', 'title', '1.0'], ['july 2019', 'date', '1.0'], ['greece', 'location', '1.0']]","[['constantine and helen', 'church', 'location', '0.9'], ['glyfada', 'location', '1.0'], ['government', 'organization', '1.0'], ['mayor', 'person', '0.9'], ['greece', 'country', '1.0'], ['2019', 'date', '1.0']]"
3," And as we begin the great battle for the elections of May 21, I believe that it is our obligation, the obligation of all the members of New Democracy and all the friends of New Democracy who united in 2019 with a great demand: to honour the truth agreement we signed.  Let us recall what we have managed to achieve in these four years in very difficult circumstances.  Because I want you to remember that despite the fact that a large part of our time was spent managing crises - to recall them briefly: a threat of a migrant invasion, a neighbour that kept causing problems in the Aegean and the Eastern Mediterranean, a pandemic, a war in Ukraine, an energy crisis, many natural disasters - despite the fact that we faced all these crises, we were consistent with all the central commitments that we made in July 2019.  And let anyone from the opposition dare to question this. "," Και καθώς ξεκινούμε τη μεγάλη μάχη για τις εκλογές της 21ης Μαΐου, θεωρώ ότι είναι υποχρέωσή μας, υποχρέωση όλων των στελεχών της Νέας Δημοκρατίας αλλά και όλων των φίλων της Νέας Δημοκρατίας που ενώθηκαν το 2019 με ένα μεγάλο αίτημα: να τιμήσουμε τη συμφωνία αλήθειας την οποία υπογράψαμε  Να θυμίσουμε τι καταφέραμε να πετύχουμε αυτά τα τέσσερα χρόνια μέσα σε πολύ αντίξοες συνθήκες  Διότι θέλω να θυμηθείτε ότι παρά το γεγονός ότι ένα μεγάλο μέρος του χρόνου μας αναλώθηκε στη διαχείριση κρίσεων -να τις θυμίσω εν τάχει: απειλή μεταναστευτικής εισβολής, ένας γείτονας που προκαλούσε συνεχώς προβλήματα στο Αιγαίο και στην Ανατολική Μεσόγειο, μια πανδημία, ένας πόλεμος στην Ουκρανία, μία ενεργειακή κρίση, πολλές φυσικές καταστροφές - παρά το γεγονός ότι αντιμετωπίσαμε όλες αυτές τις κρίσεις, ήμασταν συνεπείς σε όλες τις κεντρικές δεσμεύσεις τις οποίες δώσαμε τον Ιούλιο του 2019  Και ας τολμήσει αυτό να το αμφισβητήσει οποιοσδήποτε από την αντιπολίτευση",elections,,election spending,,elections,0.5,0.1,0.0,0.1,0.0,0.1,0.0,0.0,"[['1. may 21', 'date', '1.0'], ['2. new democracy', 'organization', '1.0'], ['3. 2019', 'date', '1.0'], ['4. ukraine', 'location', '1.0'], ['5. aegean', 'location', '1.0'], ['6. eastern mediterranean', 'location', '1.0']]","[['may 21', 'date', '1.0'], ['new democracy', 'organization', '1.0'], ['2019', 'date', '1.0'], ['ukraine', 'country', '1.0'], ['aegean', 'location', '1.0'], ['eastern mediterranean', 'location', '1.0']]"
4,"  What I told you in 2019, when we signed the truth agreement together.  The first commitment I gave you is that we will put Greece back on a growth track and reduce taxes and contributions.  These taxes that SYRIZA put on you, essentially crushing the middle class.  We have put this commitment into practice in full. ","  Τι σας είχα πει το 2019, όταν μαζί υπογράψαμε τη συμφωνία αλήθειας  Η πρώτη δέσμευση που σας είχα δώσει είναι ότι θα ξαναβάλουμε την Ελλάδα σε τροχιά ανάπτυξης και θα μειώσουμε φόρους και εισφορές  Αυτούς τους φόρους που σας έβαλε ο ΣΥΡΙΖΑ τσακίζοντας ουσιαστικά τη μεσαία τάξη  Τη δέσμευσή μας αυτή την κάναμε πράξη στο ακέραιο",economy,,tax cuts,,tax reduction,0.5,0.6,0.2,0.1,0.1,0.8,0.2,0.0,"[['greece', 'location', '0.8'], ['2019', 'date', '0.6'], ['syriza', 'organization', '0.7']]","[['greece', 'location', '1.0'], ['syriza', 'political party', '1.0']]"
5," We have supported disposable income, reduced taxes and contributions, reduced ENFIA.  We told you that we would reduce it by 30%, we reduced it by 35%.  We reduced income taxes. "," Στηρίξαμε το διαθέσιμο εισόδημα, μειώσαμε φόρους και εισφορές, μειώσαμε τον ΕΝΦΙΑ  Σας είχαμε πει ότι θα τον μειώσουμε 30%, τον μειώσαμε 35%  Μειώσαμε φόρους εισοδήματος",economy,,tax cuts,,tax reduction,0.8,0.0,0.0,0.0,0.0,0.1,0.0,0.0,"[['enfia', 'organization', '0.6'], ['30%', 'quantity', '0.5'], ['35%', 'quantity', '0.5'], ['income taxes', 'miscellaneous', '0.7']]","[['enfia', 'organization', '0.7'], ['30%', 'date', '1.0'], ['35%', 'date', '1.0'], ['income taxes', 'organization', '0.6']]"
6," We have reduced social security contributions and put Greece on a completely different growth trajectory.  In 2019 our country was lagging behind in growth, last among all the countries of the European Union.  Today we are a leader in the euro area, with a growth rate twice the European average. "," Μειώσαμε ασφαλιστικές εισφορές και βάλαμε την Ελλάδα σε μια τελείως διαφορετική αναπτυξιακή τροχιά  Το 2019 η πατρίδα μας ήταν ουραγός στην ανάπτυξη, τελευταία ανάμεσα σε όλες τις χώρες της Ευρωπαϊκής Ένωσης  Σήμερα είμαστε πρωταγωνιστές στην ευρωζώνη, με ρυθμό ανάπτυξης διπλάσιο από τον μέσο όρο της Ευρώπης",economy,,economic crisis,,greek economy,0.9,0.2,0.1,0.0,0.0,0.1,0.0,0.0,"[['greece', 'country', '1.0'], ['european union', 'organization', '1.0'], ['today', 'time indicator', '1.0'], ['euro area', 'region', '1.0'], ['european', 'demonym', '1.0']]","[['greece', 'location', '1.0'], ['european union', 'organization', '1.0'], ['today', 'date', '1.0'], ['european', 'group of people', '1.0']]"
7, This growth has a real impact on your lives.  This growth has allowed us to create 300. 000 new jobs.  Mostly well paid. , Αυτή η ανάπτυξη έχει πραγματικό αποτύπωμα στις ζωές σας  Αυτή η ανάπτυξη μας επέτρεψε να δημιουργήσουμε 300 000 νέες θέσεις εργασίας  Ως επί το πλείστον καλοπληρωμένες,employment,,employment,,job growth,0.8,0.2,0.0,0.0,0.0,0.2,0.0,0.0,[],[]
8," It is this growth that allows us to have increased the minimum wage from 650 to 780 euros.  It is this development that allowed us in the difficult moments of the pandemic to support the Greek society and especially the Greek small and medium-sized enterprises.  It is this growth that allowed us in the aftermath of the energy crisis to support households and businesses and keep electricity bills within reasonable limits.  All this did not work, friends, it worked. "," Είναι αυτή η ανάπτυξη που μας επιτρέπει να έχουμε αυξήσει τον κατώτατο μισθό από τα 650 στα 780 ευρώ  Είναι αυτή η ανάπτυξη που μας επέτρεψε τις δύσκολες στιγμές της πανδημίας να στηρίξουμε την ελληνική κοινωνία και κυρίως την ελληνική μικρομεσαία επιχείρηση  Είναι αυτή η ανάπτυξη που μας επέτρεψε την επόμενη της ενεργειακής κρίσης να στηρίξουμε νοικοκυριά και επιχειρήσεις και να κρατήσουμε σε λογικά πλαίσια τους λογαριασμούς του ηλεκτρικού ρεύματος  Όλα αυτά δεν έτυχαν, φίλες και φίλοι, πέτυχαν",economy,,economic equity,,economic growth,0.75,0.0,0.1,0.0,0.2,0.1,0.0,0.0,"[['minimum wage', 'person', '0.2831'], ['euros', 'organization', '0.5272'], ['greek society', 'organization', '0.3628'], ['greek small and medium-sized enterprises', 'organization', '1.0'], ['energy crisis', 'event', '0.3836'], ['households', 'organization', '0.4219'], ['businesses', 'organization', '0.4219'], ['electricity bills', 'organization', '0.4553']]","[['greek society', 'group of people', '0.8'], ['greek small and medium-sized enterprises', 'group of people', '0.8'], ['households', 'group of people', '0.6'], ['businesses', 'organization', '0.6'], ['electricity bills', 'organization', '0.5'], ['friends', 'group of people', '0.5'], ['greek', 'country', '0.8'], ['pandemic', 'date', '0.5']]"
9," It was the result of specific planning which, despite the very great difficulties, our country implemented.  And of course we cannot forget that all of this was done in the midst of extremely difficult geopolitical conditions.  I pledged in 2019 that our country would regain its lost prestige in Europe and in the south-eastern Mediterranean and we have fully achieved that.  I told you in 2019 that it is the duty of every favoured nation to protect its borders.  And today the borders of our country are safe.  And the day after tomorrow I will be in Evros to sign the extension of the fence that protects our land border.  I was committed to investing more in our Armed Forces, after ten years of crisis.  And a few days ago, in the parade that took place for our national holiday, the French Rafale that we got in record time with an interstate agreement flew in the Attica skies.  And the upgraded F-16 Viper which are now being built and upgraded at the Naval Air Force. "," Ήταν αποτέλεσμα συγκεκριμένου σχεδιασμού τον οποίο, παρά τις πολύ μεγάλες δυσκολίες, η πατρίδα μας υλοποίησε  Και βέβαια δεν μπορούμε να ξεχνάμε ότι όλα αυτά έγιναν εν μέσω εξαιρετικά δύσκολων γεωπολιτικών συνθηκών  Είχα δεσμευθεί το 2019 ότι η πατρίδα μας θα ανακτήσει το χαμένο  κύρος της στην Ευρώπη και στη νοτιοανατολική Μεσόγειο και το πετύχαμε στο ακέραιο  Σας είχα πει το 2019 ότι χρέος κάθε ευνομούμενης πολιτείας είναι να προστατεύει τα σύνορα της  Και σήμερα τα σύνορα της πατρίδος μας είναι ασφαλή  Και μεθαύριο θα βρεθώ στον ακριτικό Έβρο για να υπογράψουμε την επέκταση του φράχτη που προστατεύει τα χερσαία σύνορά μας  Είχα δεσμευθεί ότι πρέπει να επενδύσουμε περισσότερο στις Ένοπλες Δυνάμεις μας, μετά από δέκα χρόνια κρίσης  Και πριν από λίγες μέρες, στην παρέλαση που έγινε για την εθνική μας εορτή, πέταξαν στους αττικούς ουρανούς τα γαλλικά Rafale που πήραμε σε χρόνο ρεκόρ με διακρατική συμφωνία  Και τα αναβαθμισμένα F-16 Viper τα οποία τώρα κατασκευάζονται και αναβαθμίζονται στην ΕΑΒ",national defence,,borders,,national achievements,0.7,0.1,0.0,0.1,0.0,0.1,0.0,0.0,[],"[['our country', 'location', '1.0'], ['europe', 'location', '1.0'], ['south-eastern mediterranean', 'location', '1.0'], ['evros', 'location', '0.9'], ['armed forces', 'organization', '1.0'], ['french rafale', 'organization', '1.0'], ['naval air force', 'organization', '1.0'], ['attica', 'location', '1.0']]"
10," I also told you that we want to change the state and here we have to be honest with the citizens.  We have made important steps forward.  I want to ask if you can now imagine your life without the gov. gr.  1.2 billion electronic transactions with the state, saving you tens of hundreds of hours in queues and paperwork. "," Σας είχα πει, επίσης, ότι θέλουμε να αλλάξουμε το κράτος και εδώ πρέπει να είμαστε ειλικρινείς με τους πολίτες  Κάναμε σημαντικά βήματα προόδου  Θέλω να ρωτήσω εάν μπορείτε τώρα να φανταστείτε τη ζωή σας χωρίς το gov gr  1,2 δισεκατομμύρια ηλεκτρονικές συναλλαγές με το κράτος, σας γλιτώνουν δεκάδες εκατοντάδες ώρες σε ουρές και σε γραφειοκρατία",public sector,,digital governance,,e-government,0.8,0.0,0.0,0.0,0.0,0.2,0.0,0.0,"[['gov.gr', 'organization', '0.7'], ['billion', 'quantity', '0.5']]","[['gov.gr', 'organization', '1.0'], ['1.2 billion', 'number', '1.0']]"
