id,text,text_el,topic,topic-context,subtopic,subtopic-context,topic-open,sentiment,polarization,polarization-definition,toxicity,toxicity-definition,populism,populism-definition,hate speech,ner,ner-limited
1,I will.  Does he prefer you. ,Εγώ θα  Μήπως προτιμάει θα,other,,other,,preference,0.0,0.0,0.0,0.1,0.5,0.0,0.0,0.0,[],[]
2, Boldly ahead We will this will.  From.  They are friends. , Τολμηρά μπροστά Θα αυτό θα  Από  Είναι φίλοι,other,,other,,friendship,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,[],[]
3," I wanted to be with you today, I am on my way to New Makri where I will soon have the opportunity to inaugurate the new fire brigade training centre.  This.  The visit brings back memories of a very difficult evening, which we had to manage.  You remember it well in the difficult fire where we had to intervene and I think we have demonstrated here in your region the great progress we have made in civil protection issues.  The best coordination, dear Mr. District Governor, between the fire department of the municipalities. "," Ήθελα να βρεθώ σήμερα μαζί σας, είμαι καθ οδόν προς την νέα Μάκρη όπου θα έχω σε λίγο την ευκαιρία να εγκαινιάσω το νέο κέντρο εκπαίδευσης της πυροσβεστικής  Αυτή  Η επίσκεψη μου φέρνει στη μνήμη ένα πολύ δύσκολο βράδυ, το οποίο χρειαστήκαμε να διαχειριστούμε  Το θυμάστε και εσείς καλά στη δύσκολη φωτιά όπου έπρεπε να παρέμβουμε και νομίζω ότι αποδείξαμε και εδώ πέρα στη δικιά σας στην περιοχή τη μεγάλη πρόοδο που έχουμε κάνει και στα ζητήματα της πολιτικής προστασίας  Το καλύτερο συντονισμό αγαπητέ κύριε περιφερειάρχα μεταξύ της πυροσβεστικής υπηρεσίας των δήμων",civil protection,,fire protection,,firefighting,0.3,0.1,0.0,0.01,0.0,0.2,0.0,0.0,"[['new makri', 'location', '1.0'], ['fire brigade training centre', 'organization', '0.8'], ['civil protection issues', 'organization', '0.6'], ['mr. district governor', 'person', '0.9']]","[['new makri', 'location', '0.8'], ['fire brigade training centre', 'organization', '0.7'], ['mr. district governor', 'person', '0.6'], ['the fire department of the municipalities', 'organization', '0.6']]"
4," We have demonstrated that we put the protection of human life, the protection of human property first and foremost, and friends, as we enter the final stretch of the twenty-first century elections, the dilemmas that citizens face are very clear.  We will continue forward on the path of progress, of which we have charted this if you like for a year or we will take the risk of going back, of rolling back and losing everything we have achieved in these four years and I think that has a special significance.  Every time we address citizens.  I say this because I am also addressing experienced party officials.  I think he did it very succinctly. "," Έχουμε αποδείξει ότι πρώτα και πάνω από όλα βάζουμε την προστασία της ανθρώπινης ζωής, την προστασία της ανθρώπινης περιουσίας και φίλες και φίλοι, καθώς μπαίνουμε πια στην τελική ευθεία για τις εκλογές της εικοστής πρώτης μα o, τα διλήμματα τα οποία έχουν οι πολίτες μπροστά τους είναι πάρα πολύ ξεκάθαρα  Θα συνεχίσουμε μπροστά στο δρόμο της προόδου, των οποίων έχουμε χαράξει αυτό αν θες ένα χρόνια ή θα πάρουμε το ρίσκο να επιστρέψουμε πίσω, να κυλήσουμε πίσω και να χάσουμε όλα όσα κατακτήσαμε αυτή την τετραετία και πιστεύω ότι έχει μια ξεχωριστή σημασία  Κάθε φορά που απευθυνόμαστε στους πολίτες  Το λέω γιατί απευθύνομαι και σε έμπειρα κομματικά στελέχη  Το έκανε νομίζω πολύ περιεκτικά",elections,,election spending,,elections,0.7,0.2,0.0,0.1,0.0,0.2,0.0,0.0,[],"[['human life', 'entity', 'high', 'human property', 'entity', 'high', 'twenty-first century elections', 'date', 'high', 'progress', 'entity', 'high', 'citizens', 'group of people', 'high', 'path', 'entity', 'medium', 'risk', 'entity', 'medium', 'rolling back', 'entity', 'medium', 'four years', 'date', 'medium', 'party officials', 'group of people', 'medium].']]"
5," The President before me to remind you, without joking, without exaggerating, without exaggerating, without complacency, what we have achieved in these 4 years.  To also remind citizens of what we have achieved, we have not achieved in normal times in normal times.  We have achieved this at a time when our government has been called upon to manage more crises than any other government in the post-war period.  Tomorrow tomorrow I will be in Evros and I will have the opportunity.  Extension of the Evros dam project.  I want. "," Η Πρόεδρος πριν από μένα να θυμίζουμε εν τάχει, χωρίς να πλατειάζουμε, χωρίς υπερβολές, χωρίς θα έλεγα αυταρέσκεια τι ακριβώς πετύχαμε αυτά τα 4 χρόνια  Για να θυμίσουμε επίσης στους πολίτες αυτά τα οποία τα πετύχαμε, δεν τα πετύχαμε σε κανονικούς καιρούς σε ομαλούς καιρούς  Τα πετύχαμε σε μια συγκυρία όπου η κυβέρνησή μας κλήθηκε να διαχειριστεί τις περισσότερες κρίσεις από οποιαδήποτε άλλη κυβέρνηση της μεταπολίτευσης  Αύριο αύριο θα βρεθώ στον Έβρο και θα έχω την ευκαιρία  Επέκταση την επέκταση του έργου του φράκτη του Έβρου  Θέλω",other,,evros fence,,achievements,0.5,0.1,0.5,0.1,0.2,0.2,0.0,0.0,"[['president', 'person', '0.9'], ['evros', 'location', '1.0']]","[['president', 'person', '1.0'], ['post-war period', 'date', '1.0'], ['evros', 'location', '1.0']]"
6," Let me take this opportunity to remind you what those who supported this effort are and who are still standing against it today.  In the difficult effort that our country is making to secure its borders.  Just yesterday a SYRIZA MEP supported an amendment.  Watch, listen to this one asking the European Commission not to fund the Evros fence.  To listen all is to listen, listen, no need for disapproval, It just needs just need just need judgment and right choice for the next day. "," Να θυμίσω αυτή την ευκαιρία, τι είναι αυτοί οι οποίοι στήριξαν αυτή την προσπάθεια και ποιοι μέχρι και σήμερα βρίσκονται απέναντι  Στην δύσκολη προσπάθεια που κάνει η χώρα μας να ασφαλίσει τα σύνορά της  Μόλις χθες ευρωβουλευτής του ΣΥΡΙΖΑ στήριξε τροπολογία  Προσέξτε, ακούστε το αυτό με την οποία ζητά από την Ευρωπαϊκή Επιτροπή να μην χρηματοδοτήσει τον φράχτη του Έβρου  Να ακούσετε όλοι είναι να ακούσετε, ακούστε, δεν χρειάζονται αποδοκιμασίες, Χρειάζεται απλά χρειάζεται απλά κρίση και σωστή επιλογή για την επόμενη μέρα",refugees / migrants,,borders,,border security,0.0,0.2,0.2,0.1,0.6,0.2,0.0,0.0,"[['syriza', 'org', '0.84'], ['evros', 'misc', '0.69'], ['european commission', 'org', '0.78']]","[['1. syriza', 'organization', '0.5'], ['2. european commission', 'organization', '0.5'], ['3. evros', 'location', '0.5']]"
7," And to all those inside and outside Greece who told us that Europe does not finance such projects, I answer them by saying two things, firstly, as a result of the Greek intervention, Europe is changing its attitude to know the importance that is attached at European level to the need to protect the external borders.  Fighting today.  Wearing their party hat and their party blinkers to undermine the work of this government, I answer them clearly with or without European money. "," Και σε όλους αυτούς εντός και εκτός Ελλάδος που μας είπαν η Ευρώπη δεν χρηματοδοτεί τέτοια έργα, τους απαντώ λέγοντας τους 2 πράγματα, πρώτον, ως αποτέλεσμα και της ελληνικής παρέμβασης, η Ευρώπη αλλάζει τη στάση της για να γνωρίζει πια τη σημασία που αποδίδεται σε ευρωπαϊκό επίπεδο, στην ανάγκη προστασίας των εξωτερικών συνόρων  Αγωνίζονται σήμερα  Φορώντας το κομματικό τους καπέλο και τις κομματικές τους παρωπίδες, να υπονομεύσουν το έργο αυτής της κυβέρνησης, τους απαντώ ξεκάθαρα με ή χωρίς ευρωπαϊκά λεφτά",europe,,evros fence,,european funding,0.0,0.6,0.1,0.3,0.2,0.4,0.0,0.1,"[['greece', 'location', '1.0'], ['europe', 'location', '0.6667'], ['european', 'organization', '0.6667']]","[['greece', 'location', '1.0'], ['europe', 'location', '1.0'], ['greek', 'organization', '1.0'], ['european', 'organization', '0.75'], ['european money', 'organization', '0.5']]"
8," The Evros fence will be finished.  The migration crisis was just one of the many adventures we have had to face in these 4 years.  We have had an aggressive neighbour, a pandemic that tested the national health system, a major energy crisis as a result of the Russian invasion of Ukraine, a series of natural disasters.  I believe that all these crises have been managed with competence and efficiency.  We kept, we kept the ship of our homeland safe and Greece.  From Greece. "," Ο φράχτης στον Έβρο θα τελειώσει  Μεταναστευτική κρίση ήταν μία μόνο από τις πολλές περιπέτειες στις οποίες κληθήκαμε να αντιμετωπίσουμε αυτά τα 4 χρόνια  Είχαμε απέναντί μας έναν επιθετικό γείτονα, μια πανδημία η οποία δοκίμασε το εθνικό σύστημα υγείας, μια μεγάλη ενεργειακή κρίση, αποτέλεσμα της ρωσικής εισβολής στην Ουκρανία, μια σειρά από φυσικές καταστροφές  Όλες πιστεύω αυτές τις κρίσεις, τις διαχειριστήκαμε με επάρκεια και αποτελεσματικότητα  Κρατήσαμε, κρατήσαμε το σκάφος της πατρίδας μας ασφαλές και η Ελλάδα  Από την Ελλάδα",other,,other,,national crisis,0.6,0.2,0.1,0.1,0.2,0.2,0.0,0.0,"[['evros', 'location', '1.0'], ['migration crisis', 'event', '1.0'], ['4 years', 'time', '1.0'], ['aggressive neighbour', 'person/organization', '0.6'], ['pandemic', 'event', '1.0'], ['national health system', 'organization', '0.8'], ['energy crisis', 'event', '0.8'], ['russian invasion of ukraine', 'event', '1.0'], ['natural disasters', 'event', '1.0'], ['greece', 'location', '1.0']]","[['evros fence', 'location', '1.0'], ['greece', 'country', '1.0']]"
9," So I could stand in front of you today, friends, and say Look, my fellow citizens, I have been very busy managing a series of crises and unfortunately I have not been able to implement our electoral programme.  I don't do it because it's simply not true, despite the great crises we've faced.  We have been consistent in all.  Our election campaign.  East Attica pre-election and I had talked to you now I remind you why we will be committed and we go to see together and judge whether what I had told you we do practice.  My first commitment, and my most important commitment, was that we would revive the economy and reduce taxes and contributions and we reduced taxes and contributions. "," Θα μπορούσα λοιπόν φίλες και φίλοι σήμερα να σταθώ μπροστά σας και να σας πω Κοιτάξτε να δείτε συμπολίτες μου ήμουνα πάρα πολύ απασχολημένος με το να διαχειρίζομαι μια σειρά από κρίσεις και δυστυχώς δεν πρόφτασα να υλοποιήσω το προεκλογικό μας πρόγραμμα  Δεν το κάνω γιατί πολύ απλά δεν είναι αλήθεια, παρά τις μεγάλες κρίσεις που αντιμετωπίσαμε  Ήμασταν συνεπείς σε όλες  Τις προεκλογικές μας  Ανατολικη αττικη προεκλογικά και σας είχα μιλήσει τώρα σας θυμίσω γιατί θα δεσμευτεί και πάμε να δούμε μαζί και να κρίνουμε αν αυτά τα οποία σας είχα πει τα κάνουμε πράξη  Η πρώτη μου δέσμευση, η σημαντικότερη δε μου δέσμευση ήταν ότι θα ανατάξουμε την οικονομία και θα μειώσουμε φόρους και εισφορές και μειώσαμε φόρους και εισφορές",economy,,tax cuts,,economy,0.0,0.05,0.0,0.0,0.0,0.1,0.0,0.0,"[['east attica', 'location', '1.0']]","[['east attica', 'location', '0.7'], ['citizens', 'group of people', '0.5']]"
10," For all ages.  Read.  I was reading that yesterday.  The government of Spain, Socialist Spain, which even now has not been able to make up the lost GDP from the pandemic, whereas we have far exceeded it, is intervening, it says in the Spanish insurance system.  And what it does. "," Για όλες τις ηλικίες  Διάβαζα  Διάβαζα ότι χθες  Η κυβέρνηση της Ισπανίας, της Σοσιαλιστικής Ισπανίας, η οποία ακόμα και τώρα δεν έχει καταφέρει να καλύψει το χαμένο ΑΕΠ από την πανδημία, ενώ εμείς το έχουμε κατά πολύ ξεπεράσει, κάνει παρέμβαση, λέει στο ασφαλιστικό σύστημα της Ισπανίας  Και τι κάνει",privatization,,other,,spanish insurance,0.0,0.0,0.0,0.1,0.1,0.2,0.0,0.0,"[['spain', 'country', '0.90'], ['socialist spain', 'political party', '0.70'], ['gdp', 'measure', '0.60'], ['pandemic', 'event', '0.80'], ['spanish', 'language', '0.60'], ['insurance system', 'organization', '0.70']]","[['spain', 'country', '0.97'], ['socialist spain', 'political party', '0.55'], ['the government of spain', 'organization', '0.9'], ['spanish insurance system', 'organization', '0.8']]"
