id,text,text_el,topic,topic-context,subtopic,subtopic-context,topic-open,sentiment,polarization,polarization-definition,toxicity,toxicity-definition,populism,populism-definition,hate speech,ner,ner-limited
1,"I asked to speak on this bill today, not obviously to compete in toxicity and divisive political discourse with government ministers who have been on this House these two days, but because I think today in this bill we are called upon primarily to talk about a great wound, the great wound that opened a month ago in Tempe. We are called upon to speak with respect and sensitivity, because this wound is still open.  It is not closed for the fifty-seven families who lost their people, but it is not closed for any of us, I believe, for the whole of Greek society.  The need for respect and sensitivity becomes a hundred times more urgent when the universal mourning, as the days pass, turns into a universal anger and a universal demand for truth and justice.  This is what the grieving families are demanding today, this is what the young people who have been demonstrating for days in all the cities of our country, especially in the big cities, facing the chemicals and tear gas, this is what I believe the whole of Greek society is demanding. ","Ζήτησα να πάρω τον λόγο σήμερα σε αυτό το νομοσχέδιο όχι προφανώς για να ανταγωνιστώ σε τοξικότητα και σε διχαστικό πολιτικό λόγο υπουργούς της κυβέρνησης που έχουν ανέβει σε αυτό το Βήμα αυτές τις δύο μέρες, αλλά γιατί σήμερα νομίζω ότι σε αυτό το νομοσχέδιο καλούμαστε πρωτίστως να μιλήσουμε για μια μεγάλη πληγή, για τη μεγάλη πληγή που άνοιξε πριν από έναν μήνα στα Τέμπη Καλούμαστε να μιλήσουμε με σεβασμό και με ευαισθησία, γιατί η πληγή αυτή παραμένει ακόμα ανοιχτή  Δεν κλείνει για τις πενήντα επτά οικογένειες που έχασαν τους ανθρώπους τους, δεν κλείνει όμως για κανέναν μας πιστεύω, για το σύνολο της ελληνικής κοινωνίας  Η ανάγκη για σεβασμό και ευαισθησία γίνεται εκατό φορές πιο επιτακτική, όταν το πάνδημο πένθος, με το πέρασμα των ημερών, μετατρέπεται σε πάνδημη οργή και πάνδημη απαίτηση για αλήθεια και για δικαιοσύνη  Αυτό απαιτούν σήμερα οι οικογένειες που πενθούν, αυτό απαιτούν οι νέες και οι νέοι που διαδήλωναν για μέρες σε όλες τις πόλεις της πατρίδας μας και ιδίως στις μεγάλες πόλεις αντιμετώπιζαν τα χημικά και τα δακρυγόνα, αυτό απαιτεί πιστεύω, το σύνολο της ελληνικής κοινωνίας",justice,,other,,tempe bill,0.0,0.1,0.2,0.1,0.0,0.2,0.0,0.0,"[['tempe', 'location', '0.5'], ['greek', 'nationality or demonym', '1.0'], ['house', 'organization', '0.6'], ['fifty-seven', 'quantity', '1.0']]","[['tempe', 'location', '0.6'], ['greek society', 'group of people', '0.9'], ['fifty-seven families', 'group of people', '0.7'], ['young people', 'group of people', '0.6'], ['chemicals', 'organization', '0.5'], ['tear gas', 'organization', '0.5'], ['greek', 'country', '1.0']]"
2," And this requirement, I think, applies to all of us without exception.  We have a duty to give space to the light and the truth and there are specific responsibilities that need to be assigned.  Not everyone is to blame generally and vaguely and no one in particular.  There are specific strategic choices that have left the rail network in complete disrepair, so that we finally arrive at the unthinkable situation where two trains for about 12 minutes are on the same line, one opposite the other. "," Και αυτή η απαίτηση, νομίζω, μας αφορά όλους και χωρίς εξαιρέσεις  Έχουμε χρέος να δώσουμε χώρο στο φως και την αλήθεια και υπάρχουν συγκεκριμένες ευθύνες που πρέπει να αποδοθούν  Δεν φταίνε όλοι γενικά και αόριστα και κανείς συγκεκριμένα  Υπάρχουν συγκεκριμένες στρατηγικές επιλογές που άφησαν σε πλήρη απαξίωση το σιδηροδρομικό δίκτυο για να φτάσουμε τελικά στο αδιανόητο δύο τρένα επί 12 περίπου λεπτά να κατευθύνονται στην ίδια γραμμή, το ένα απέναντι στο άλλο",infrastructure,,railway,,rail network,-0.5,0.1,0.0,0.2,0.1,0.1,0.0,0.0,"[['none', 'all the words are common nouns or pronouns.']]",[]
3," And at the end of the day, I would say that this debt is the ultimate debt to the people who have been unjustly lost, a practical respect for their memory.  And respect for the victims does not mean hypocritical apologies.  Respect for victims means respect for the truth.  Unfortunately, however, the government has decided, as it seems, to proceed in this tragic incident, on the same path it has been on for four years.  Against truth, against responsibility, against justice.  And I'll start with the most recent event. "," Και στο τέλος της ημέρας, αυτό το χρέος θα έλεγα ότι είναι το ύστατο χρέος στους ανθρώπους που χάθηκαν άδικα, ο έμπρακτος σεβασμός στη μνήμη τους  Και σεβασμός στα θύματα δεν σημαίνει υποκριτικές συγγνώμες  Σεβασμός στα θύματα σημαίνει σεβασμός στην αλήθεια  Δυστυχώς, όμως, η κυβέρνηση έχει αποφασίσει, καθώς φαίνεται, να πορευθεί και σε αυτό το τραγικό συμβάν, στον ίδιο δρόμο που πορεύτηκε μια τετραετία  Απέναντι στην αλήθεια, απέναντι στην ευθύνη, απέναντι στη δικαιοσύνη  Και θα ξεκινήσω από το πιο πρόσφατο γεγονός",justice,,other,,government response,-0.6,0.75,0.0,0.15,0.2,0.2,0.0,0.0,[],[]
4," The support measures for the families of the victims that we are going to vote on today, one would expect that as a minimum act of respect and empathy, these would be the exclusive subject of today's procedure, a draft law exclusively for this purpose.  But what the government chose.  To bring a bill that is supposed to be about measures to support the relatives of the victims and the victims of the Tempi train accident and the regulations to enhance the safety of transport with only 21 of its 132 articles on this issue.  All the other 111 articles are disparate provisions, of various ministries and of course last-minute accommodations, just before Parliament closes for the elections. "," Τα μέτρα στήριξης για τις οικογένειες των θυμάτων που θα ψηφίσουμε σήμερα, θα περίμενε κανείς ως μια ελάχιστη πράξη σεβασμού και ενσυναίσθησης αυτά να είναι το αποκλειστικό θέμα της σημερινής διαδικασίας, ενός σχεδίου νόμου αποκλειστικά γι’ αυτό  Αλλά τι επέλεξε η κυβέρνηση  Να φέρει ένα νομοσχέδιο που υποτίθεται ότι αφορά τα μέτρα στήριξης των συγγενών των θυμάτων και των πληγέντων του σιδηροδρομικού δυστυχήματος των Τεμπών και τις ρυθμίσεις ενίσχυσης της ασφάλειας των συγκοινωνιών με μόλις 21 από τα 132 άρθρα του να αφορούν αυτό το θέμα  Όλα τα υπόλοιπα 111 άρθρα είναι ετερόκλητες διατάξεις, διαφόρων υπουργείων και βεβαίως εξυπηρετήσεις τελευταίας στιγμής, λίγο πριν κλείσει η Βουλή για τις εκλογές",accountability,,other,,support measures for victims' families,-0.8,0.5,0.0,0.2,0.0,0.1,0.0,0.0,"[['tempi train accident', 'event', '0.9'], ['government', 'organization', '0.8'], ['parliament', 'organization', '0.8']]","[['government', 'organization', '0.8'], ['tempi train', 'location', '0.7'], ['parliament', 'organization', '0.6'], ['elections', 'date', '0.5']]"
5," This in my opinion is disrespectful.  It's disrespectful to the people we lost and their relatives.  But I would say that it reflects even in terms of symbolism four years of governance in one moment.  Even worse, I would say that in these four years of one crisis after another, we have a government that baptizes the great wounds in the body of Greek society as inevitable, as imported.  And even worse, the unjust loss of fifty-seven of our fellow human beings, including many young children, as a ""sacrifice"" and the crises that came as an ""opportunity"".  And the question is: Sacrifice for whom.  Opportunity for whom.  For whom so many people, including young children, were sacrificed.  And for whom were all these crises that we have gone through in recent years, the pandemic, the energy crisis, the poverty crisis.  An opportunity for the few to amass their wealth and an opportunity for more buffets, favours and strengthening of the party state. "," Αυτό κατά τη γνώμη μου είναι ασέβεια  Είναι ασέβεια στους ανθρώπους που χάσαμε και τους συγγενείς τους  Αλλά θα έλεγα ότι καθρεφτίζει ακόμα και σε επίπεδο συμβολισμού τέσσερα χρόνια διακυβέρνησης σε μία στιγμή  Ακόμα χειρότερα, θα έλεγα ότι αυτά τα τέσσερα χρόνια που η μία κρίση έρχεται μετά την άλλη, έχουμε μια κυβέρνηση που βαφτίζει τις μεγάλες πληγές στο σώμα της ελληνικής κοινωνίας ως αναπότρεπτες, ως εισαγόμενες  Και ακόμα χειρότερα, τον άδικο χαμό πενήντα επτά συνανθρώπων μας, μεταξύ των οποίων και πολλών νέων παιδιών, ως “θυσία” και τις κρίσεις που ήρθαν ως “ευκαιρία”  Και το ερώτημα είναι: Θυσία για ποιον  Ευκαιρία για ποιον  Για ποιον θυσιάστηκαν τόσοι άνθρωποι, μεταξύ των οποίων και νέα παιδιά  Και για ποιον τελικά ήταν ευκαιρία όλες αυτές οι κρίσεις που περάσαμε τα τελευταία χρόνια, της πανδημίας, της ενέργειας, της ακρίβειας  Ευκαιρία για να αβγατίσουν τον πλούτο τους λίγοι και ευκαιρία για περισσότερα ρουσφέτια, εξυπηρετήσεις και ενίσχυση του κομματικού κράτους",corruption,,injustice,,government's disrespectfulness,-0.8,0.7,0.3,0.6,0.2,0.85,0.0,0.2,"[['greek', 'type', '1.0'], ['fifty-seven', 'type', '1.0']]","[['greek society', 'organization', '0.5'], ['the government', 'organization', '0.5'], ['fifty-seven fellow human beings', 'group of people', '0.5'], ['young children', 'group of people', '0.5'], ['the pandemic', 'date', '0.5'], ['energy crisis', 'date', '0.5'], ['poverty crisis', 'date', '0.5']]"
6," Ladies and gentlemen, ladies and gentlemen, the truth is first and foremost about respect for the victims and their families.  But it is also a necessary condition for the citizen, the Greek society, which today feels that it is facing a hostile state, which does not provide any security.  The average citizen today must feel secure.  The citizen who lives, works and moves around in this country, every child, every young person who sits at a desk, every worker who takes the suburban railway in the morning to go to work. "," Κυρίες και κύριοι βουλευτές, κυρίες και κύριοι συνάδελφοι, η αλήθεια έχει να κάνει πρωτίστως με τον σεβασμό στα θύματα και τις οικογένειές τους  Είναι όμως και απαραίτητος όρος για να νιώσει ξανά ασφάλεια ο πολίτης, η ελληνική κοινωνία που σήμερα αισθάνεται ότι έχει απέναντι της ένα κράτος εχθρικό, που δεν παρέχει καμία ασφάλεια  Πρέπει ο μέσος πολίτης σήμερα να νιώσει ασφάλεια  Ο πολίτης που ζει, εργάζεται και κυκλοφορεί σε αυτήν τη χώρα, το κάθε παιδί, ο κάθε νέος που κάθεται στα θρανία, ο κάθε εργαζόμενος που παίρνει το πρωί τον προαστιακό σιδηρόδρομο για να πάει στη δουλειά του",national security,,safety,,greek security,0.1,0.2,0.0,0.1,0.1,0.4,0.0,0.0,"[['greek', 'society', 'person', '0.75'], ['greek', 'state_or_province', '0.75'], ['citizen', 'person', '0.75'], ['child', 'person', '0.75'], ['young person', 'person', '0.75'], ['worker', 'person', '0.75'], ['suburban railway', 'location', '0.75'], ['morning', 'time', '0.75']]","[['greek society', 'group of people', '0.80'], ['greece', 'country', '0.75'], ['citizen', 'person', '0.70'], ['young person', 'person', '0.60'], ['worker', 'person', '0.60'], ['suburban railway', 'organization', '0.50']]"
7," The truth is, therefore, the obligation of all of us.  That is why, as far as we are concerned, we have tried - and I think you have all seen this from the beginning - not to raise our finger in the critical hours of mourning in particular, not to raise our voice, but we have tried from the beginning to put the real causes, the strategic mistakes and omissions in the public debate.  We have not made the accident an arena for debate, but we have taken on our duty to do what is necessary as a state to prevent such horrors from happening again.  And now we intervene so that anger does not become a force for levelling, but becomes a force for truth and justice. "," Η αλήθεια είναι, λοιπόν, υποχρέωση όλων μας  Γι’ αυτό σε ό,τι μας αφορά προσπαθήσαμε -και το είδατε όλοι φαντάζομαι από την αρχή- όχι να σηκώσουμε το δάχτυλο τις κρίσιμες ώρες του πένθους ιδίως, όχι να σηκώσουμε τους τόνους, αλλά προσπαθήσαμε από την αρχή να βάλουμε στον δημόσιο διάλογο τις πραγματικές αιτίες, τα στρατηγικά λάθη και τις παραλείψεις  Δεν κάναμε το δυστύχημα αρένα αντιπαράθεσης, αλλά αναλάβαμε το χρέος που μας αναλογεί στο να κάνουμε ό,τι χρειαστεί ως πολιτεία για να μην ξαναζήσουμε τέτοια φρίκη  Και τώρα παρεμβαίνουμε για να μη γίνει η οργή δύναμη ισοπέδωσης, αλλά να γίνει δύναμη αλήθειας και δικαιοσύνης",accountability,,safety,,truth,0.0,0.1,0.0,0.0,0.1,0.0,0.0,0.0,[],[]
8," The easy excuse for Mr.  Mitsotakis, who should be here today, should be in Parliament - I don't know if the fact that he has announced the date of the elections means that he will not be back in Parliament - not only in the accident, four years now in all the difficult things, is that he has no responsibility, is that he does not know the crucial facts, he did not know.  He didn't know that outside of intensive care units, intubated patients die.  He did not know that his nephew set up a parastatal inside the Maximos building to monitor half of the political system.  He didn't know that his minister had appointed Mr.  Lignadi. "," Η εύκολη δικαιολογία για τον κ  Μητσοτάκη που θα έπρεπε να είναι σήμερα εδώ, θα έπρεπε να είναι στη Βουλή -δεν ξέρω αν το γεγονός ότι έχει προαναγγείλει την ημερομηνία των εκλογών σημαίνει ότι δεν θα ξαναπατήσει στο Κοινοβούλιο- όχι μόνο στο δυστύχημα, τέσσερα χρόνια τώρα σε όλα τα δύσκολα, είναι ότι δεν έχει ευθύνη, είναι ότι δεν ξέρει τα κρίσιμα γεγονότα, δεν ήξερε  Δεν ήξερε ότι εκτός των Μονάδων Εντατικής Θεραπείας οι διασωληνωμένοι ασθενείς πεθαίνουν  Δεν ήξερε ότι ο ανιψιός του έστησε μέσα στο Μέγαρο Μαξίμου παρακράτος παρακολούθησης του μισού πολιτικού συστήματος  Δεν ήξερε ότι υπουργός του είχε διορίσει τον κ  Λιγνάδη",corruption,,corruption,,responsibility,-0.5,0.2,0.0,0.1,0.7,0.5,0.0,0.0,"[['mr. mitsotakis', 'person', '1.0'], ['parliament', 'organization', '0.6'], ['elections', 'event', '0.5'], ['intensive care units', 'organization', '0.6'], ['maximos building', 'organization', '0.7'], ['mr. lignadi', 'person', '0.5']]","[['mr. mitsotakis', 'person', '0.9'], ['parliament', 'organization', '0.6'], ['the elections', 'date', '0.8'], ['intensive care units', 'organization', '0.5'], ['maximos building', 'location', '0.6'], ['the political system', 'group of people', '0.5'], ['minister', 'organization', '0.6'], ['mr. lignadi', 'person', '0.7']]"
9," He didn't know even now that his minister had left the railway network in ruins.  Nice executive state.  The chief of staff knows nothing.  But who can believe him anymore.  Hypocrisy there are times when it cannot convince anyone, it cannot hide.  Everyone now understands that behind the constant ""I didn't know"" lies the fear of responsibility.  That is why the responsibility for the accident, in such an outrageous way, on the first day went to the stationmaster, on the second day it went to the rail regulator, on the third day to the previous government - the easy one -, on the fourth day to all of them together, but to no one in particular.  But a government, ladies and gentlemen, that chooses everywhere, in all critical matters, to cover up and a Prime Minister who is afraid of responsibility is a government and a Prime Minister who fills the whole of Greek society with fear, fear for security, fear for life.  And seeing the attitude of the government, especially after the tragedy, one feels that this fear, this insecurity and the feeling that those responsible for people's lives don't care - this is the feeling - when they so easily rush to make a ball of responsibility.  And, you know, the worst thing is that it prepares new tragedies and the attempt to cover up the truth prepares new tragedies.  It is not a matter of revenge to find out the truth and to be held accountable, it is a prerequisite for not having a similar tragedy again. So what is the purpose of the Prime Minister's own insistence, on the very next day of the accident, and while the justice system had already been involved from the very first moment, that he and his government appoint a three-member committee of experts for the accident?  Where did you hear this.  The people being checked after a major accident that has been brought before the judiciary, in fact, to appoint the committee that will check them.  And of course you didn't even keep up appearances.  You appointed the chairman of the OSE, during the period of the overwhelming devaluation of the OSE in 2010-2015, to come up with a conclusion on the long-standing responsibilities, that is, he himself, who was then in charge.  And after the outcry, you replaced him with another one who also, however, had previously had service contracts with the OSE. "," Δεν ήξερε και τώρα ότι υπουργός τού είχε αφήσει το σιδηροδρομικό δίκτυο ερείπιο  Ωραίο επιτελικό κράτος  Ο αρχιεπιτελάρχης δεν γνωρίζει τίποτα  Ποιος όμως μπορεί να τον πιστέψει πια  Η υποκρισία υπάρχουν στιγμές που δεν μπορεί να πείσει κανέναν, δεν μπορεί να κρυφτεί  Όλοι καταλαβαίνουν πλέον ότι πίσω από τα διαρκή «δεν ήξερα» κρύβεται ο φόβος απέναντι στην ευθύνη  Γι’ αυτό και η ευθύνη του δυστυχήματος, με τόσο εξοργιστικό τρόπο την πρώτη μέρα πήγε στον σταθμάρχη, τη δεύτερη πήγε στη ρυθμιστική αρχή σιδηροδρόμων, την τρίτη στην προηγούμενη κυβέρνηση -το εύκολο-, την τέταρτη σε όλους μαζί, αλλά σε κανέναν συγκεκριμένα  Μια κυβέρνηση όμως, κυρίες και κύριοι συνάδελφοι, που επιλέγει παντού, σε όλα τα κρίσιμα, τη συγκάλυψη και ένας πρωθυπουργός που φοβάται την ευθύνη είναι μια κυβέρνηση και ένας πρωθυπουργός που γεμίζει με φόβο όλη την ελληνική κοινωνία, φόβο για την ασφάλεια, φόβο για τη ζωή  Και βλέποντας κανείς τη στάση της κυβέρνησης, ιδιαίτερα μετά από την τραγωδία, αισθάνεται να πολλαπλασιάζεται αυτός ο φόβος, αυτή η ανασφάλεια και η αίσθηση ότι οι υπεύθυνοι για τις ζωές των ανθρώπων δεν νοιάζονται -αυτή είναι η αίσθηση- όταν με τόση ευκολία σπεύδουν να κάνουν μπαλάκι την ευθύνη  Και, ξέρετε, το χειρότερο είναι ότι αυτό προετοιμάζει νέες τραγωδίες και η απόπειρα συγκάλυψης της αλήθειας προετοιμάζει νέες τραγωδίες  Δεν είναι θέμα εκδίκησης το να μάθουμε την αλήθεια και να αποδοθούν ευθύνες, είναι προϋπόθεση για να μην ξαναζήσουμε παρόμοια τραγωδία Σε τι λοιπόν αποσκοπεί η σπουδή του ίδιου του πρωθυπουργού, την επόμενη κιόλας μέρα του δυστυχήματος, και ενώ είχε ήδη από την πρώτη στιγμή επιληφθεί η δικαιοσύνη, να ορίσει ο ίδιος και η κυβέρνησή του τριμελή επιτροπή πραγματογνωμόνων για το δυστύχημα  Πού ακούστηκε αυτό  Οι ελεγχόμενοι μετά από ένα μεγάλο δυστύχημα που έχει επιληφθεί η Δικαιοσύνη, μάλιστα, να ορίζουν την επιτροπή που θα τους ελέγξει  Και βεβαίως δεν κρατήσατε ούτε τα προσχήματα  Ορίσατε τον πρόεδρο του ΟΣΕ, την περίοδο της συντριπτικής απαξίωσης του ΟΣΕ το 2010-2015, να βγάλει πόρισμα για τις διαχρονικές ευθύνες, δηλαδή ο ίδιος για τον εαυτό του που ήταν τότε επικεφαλής  Και μετά την κατακραυγή, τον αλλάξατε με έναν άλλο που, επίσης, όμως, στο παρελθόν είχε συμβάσεις παροχής υπηρεσιών στον ΌΣΕ",accountability,,other,,government responsibility,-0.9,0.75,0.1,0.9,0.3,0.8,0.2,0.1,"[['greek', 'nationality', '1.0'], ['minister', 'title', '1.0'], ['railway network', 'organization', '0.7'], ['executive state', 'location', '0.5'], ['chief of staff', 'title', '1.0'], ['hypocrisy', 'concept', '0.9'], ['responsibility', 'concept', '1.0'], ['accident', 'event', '1.0'], ['stationmaster', 'title', '0.7'], ['rail regulator', 'title', '0.7'], ['previous government', 'organization', '0.8'], ['greek society', 'organization', '0.6'], ['prime minister', 'title', '1.0'], ['justice system', 'organization', '0.8'], ['three-member committee', 'organization', '0.7'], ['ose', 'organization', '1.0']]","[['minister', 'person', '0.5'], ['railway network', 'organization', '0.5'], ['nice', 'location', '1.0'], ['the chief of staff', 'group of people', '0.5'], ['hypocrisy', 'organization', '0.5'], ['previous government', 'political party', '0.5'], ['greek', 'country', '1.0'], ['prime minister', 'person', '1.0'], ['ose', 'organization', '1.0'], ['justice system', 'organization', '0.5']]"
10," And today you come to do something even more provocative, something even more offensive to the fifty-seven families and to the Greek society that is seeking the truth.  You are coming to vote in this bill the unprosecution of these three people on the committee that you appointed to investigate you.  And I wonder: What are you afraid of and want the experts you've appointed not to be prosecuted.  The truth is not what they are supposed to be called upon to investigate.  Fear of being prosecuted for the truth.  And, really, they know this themselves.  Did they ask you for it or are you offering it to them without them asking for it? "," Και σήμερα έρχεστε να κάνετε κάτι ακόμα πιο προκλητικό, κάτι ακόμα πιο προσβλητικό για τις πενήντα επτά οικογένειες και για την ελληνική κοινωνία που αναζητά την αλήθεια  Έρχεστε να ψηφίσετε σε αυτό το νομοσχέδιο το ακαταδίωκτο αυτών των τριών ανθρώπων της επιτροπής που εσείς ορίσατε για να σας ελέγξει  Και διερωτώμαι: Τι φοβάστε και θέλετε να μην διώκονται οι πραγματογνώμονες που ορίσατε  Την αλήθεια δεν υποτίθεται ότι θα κληθούν αυτοί να διερευνήσουν  Φοβάστε μην διωχθούν για την αλήθεια  Και, αλήθεια, οι ίδιοι το γνωρίζουν αυτό  Σας το ζήτησαν ή εσείς τους το προσφέρετε δίχως να το ζητήσουν",corruption,,corruption,,unprosecution,-0.7,0.85,0.2,0.79,0.6,0.3,0.0,0.1,"[['greek society', 'organization', '1.0'], ['the truth', 'event', '1.0'], ['three people', 'person', '1.0'], ['committee', 'organization', '1.0']]","[['greek society', 'group of people', '1.0'], ['fifty-seven families', 'group of people', '1.0'], ['committee', 'group of people', '1.0'], ['experts', 'group of people', '0.7'], ['truth', 'group of people', '0.6'], ['greek', 'country', '1.0'], ['vote', 'political party', '0.5']]"
