id,text,text_el,topic,topic-context,subtopic,subtopic-context,topic-open,sentiment,polarization,polarization-definition,toxicity,toxicity-definition,populism,populism-definition,hate speech,ner,ner-limited
1,"Thank you, Mr President, ladies and gentlemen.  The day before yesterday I was in Arkalochori, the earthquake-prone, earthquake-stricken village outside Heraklion, Crete.  You of the New Democracy know that auctions and seizures of earthquake-affected houses have already begun.  You know this. ","Ευχαριστώ κύριε Πρόεδρε, κυρίες και κύριοι συνάδελφοι  Προχθές ήμουν στο Αρκαλοχώρι στο σεισμοπαθές, σεισμόπληκτο αρκαλοχώρι έξω από το Ηράκλειο της Κρήτης  Εσείς της Νέας Δημοκρατίας γνωρίζετε ότι έχουν ήδη ξεκινήσει πλειστηριασμοί και κατασχέσεις σεισμοπλήκτων οικιών  Το γνωρίζετε αυτό",housing,,foreclosures,,earthquakes,-0.3,0.2,0.0,0.1,0.0,0.0,0.0,0.0,"[['arkalochori', 'location', '0.90'], ['heraklion', 'location', '1.00'], ['crete', 'location', '0.95'], ['new democracy', 'organization', '0.70']]","[['mr president', 'person', '0.9'], ['new democracy', 'political party', '0.9'], ['arkalochori', 'location', '0.8'], ['heraklion', 'location', '0.7'], ['crete', 'country', '0.6']]"
2," Take a look at this Irish fund based in Delaware with a bank account in Cayman Island.  As we speak, he's foreclosing.  After an auction of a house of earthquake victims in Arkalochori, while the so-called independent public revenue authority Adae has made seizures to the alleged.  Seized accounts that had relief funds for our earthquake victims.  Please contradict me.  The only alternative you have is to run out of here running with your tail between your legs in shame is your shame.  This will confiscate.  Account attachment by the tax authorities and simultaneous auctions by an Irish fund.  Earthquake-affected hearths. "," Για κοιτάξτε λιγάκι για σκεφτείτε το αυτό ιρλανδικό ταμείο με έδρα το Ντέλαγουερ και τραπεζικό λογαριασμό στα Κέιμαν Άϊλαντ  Αυτή τη στιγμή που μιλάμε κάνει κατάσχεση  Μετά από πλειστηριασμό σπιτιού σεισμοπλήκτων στο Αρκαλοχώρι, την ώρα που η Αδαε η δήθεν ανεξάρτητη αρχή δημοσίων εσόδων έχει κάνει κατασχέσεις στους υποτιθέμενους  Ακατάσχετους λογαριασμούς που είχαν την αρωγή μέσα για τους σεισμοπαθείς μας  Διαψεύστε με παρακαλώ  Η μόνη εναλλακτική που έχετε είναι να φύγετε από εδώ τρέχοντας με την ουρά μέσα στα σκέλια ντροπιασμένη είναι ντροπή σας  Αυτό θα κατασχέσει  Ακατάσχετο λογαριασμών από την εφορία και ταυτόχρονα πλειστηριασμοί από ιρλανδικό ταμείο  Σεισμοπλήκτων εστιών",corruption,,foreclosures,,financial corruption,-0.7,0.857,0.0,0.5,0.8,0.8,0.5,0.1,"[['irish', 'nationality', '1.0'], ['delaware', 'location', '1.0'], ['cayman island', 'location', '1.0'], ['arkalochori', 'location', '1.0'], ['adae', 'organization', '1.0'], ['earthquake', 'event', '1.0']]","[['irish fund', 'organization', '0.8'], ['delaware', 'location', '1'], ['cayman island', 'location', '1'], ['arkalochori', 'location', '0.8'], ['adae', 'organization', '0.7'], ['tax authorities', 'organization', '0.6'], ['irish fund', 'organization', '0.8'], ['earthquake victims', 'group of people', '1'], ['earthquake-affected hearths', 'group of people', '0.7']]"
3," What to say.  It's not worth spending a second more on you new democracy.  At the same time, on the same days, Alexis Tsipras presented. "," Τι να πω  Δεν αξίζει να ξοδέψω ούτε ένα δευτερόλεπτο περισσότερο σε εσάς της νέας δημοκρατίας  Την ίδιες την ίδια εποχή, τις ίδιες μέρες ο Αλέξης Τσίπρας παρουσίασε",democracy,,other,,new democracy,-0.4,0.2,0.1,0.2,0.3,0.5,0.0,0.0,"[['alexis tsipras', 'person', '0.89']]","[['alexis tsipras', 'person', '0.95']]"
4," The proposal of SYRIZA for the protection of the first home.  As I always do, I study very carefully.  The plans, especially when they have some costing, also have numbers our political opponent.  What I see from the SYRIZA plan.  Take, Let's take a loan which was contracted in 2008 for 100. 000 for a purchase of a house, a property for 150. 000.  That is, the man put 50. "," Την πρόταση του ΣΥΡΙΖΑ για την προστασία της πρώτης κατοικίας  Όπως κάνω πάντα, μελετώ πολύ προσεκτικά  Τα σχέδια, ιδίως όταν έχουν και κάποια κοστολόγηση, έχουν και αριθμούς τον πολιτικό μας αντίπαλο  Τι διαπιστώνω από το σχέδιο του ΣΥΡΙΖΑ  Πάρουμε, Ας πάρουμε ένα δάνειο το οποίο συναφθεί το 2008 για 100 000 για μια αγορά ενός σπιτιού, ενός ακινήτου προς 150 000  Δηλαδή ο άνθρωπος έβαλε 50",housing,,mortgages,,housing protection,0.0,0.0,0.0,0.1,0.1,0.1,0.0,0.0,"[['syriza', 'organization', '1.0'], ['first home', 'concept', '1.0']]","[['syriza', 'organization', '0.85'], ['political opponent', 'group of people', '0.75'], ['2008', 'date', '0.95']]"
5,"000 in pocket in 2008 there was a loan 100. 000 paid off between 2008 and two thousand twelve in the depths of the crisis, then around 20. 000.  So, but today's debt is over 100. 000 with the overcoats.  You know them. ","000 στην τσέπη το 2008 υπήρξε ένα δάνειο 100 000 αποπλήρωσε μεταξύ του 2008 και του δυο χιλιαδες δωδεκα στα βάθη της κρίσης, τότε γύρω στις 20 000  Έτσι, αλλά σημερινή οφειλή είναι πάνω από 100 000 με τα πανωτόκια  Τα γνωρίζετε",debt,,loans,,debt,-0.5,0.0,0.0,0.1,0.5,0.2,0.0,0.0,"[['2008', 'date', '1.0'], ['100.000', 'money', '1.0'], ['2008', 'date', '1.0'], ['two thousand twelve', 'date', '1.0'], ['20.000', 'money', '1.0'], ['100.000', 'money', '1.0']]","[['2008', 'date', '1.0'], ['100', 'organization', '0.8 (assuming this refers to a financial amount)'], ['2012', 'date', '1.0'], ['20', '000', 'organization', '0.8 (assuming this refers to a financial amount)'], ['100', '000', 'organization', '0.8 (assuming this refers to a financial amount)']]"
6, And let's say it has an objective value of 80. 000.  This property once purchased 150. 000. , Και έστω ότι έχει μία αντικειμενική αξία 80 000  Αυτό το ακίνητο που αγοράστηκε κάποτε 150 000,other,,other,,real estate,-0.5,0.0,,0.0,0.0,0.0,0.0,0.0,[],[]
7, 2 are the forms of protection proposed by the SYRIZA plan.  The first is called short-term out-of-court.  Settlement with a big haircut of 50% sounds good to the ears.  Maybe we can look at it a little bit numerically. , 2 είναι οι μορφές προστασίας που προτείνει το σχέδιο του ΣΥΡΙΖΑ  Το πρώτο το ονομάζουν βραχυχρόνια εξωδικαστική  Διευθέτηση με ένα μεγάλο κούρεμα της τάξης του 50% ακούγεται καλά στα αυτιά  Μπορεί να το κοιτάξουμε λίγο αριθμητικά,debt,,bank regulations,,debt protection,0.3,0.2,0.2,0.2,0.1,0.2,0.0,0.0,"[['syriza', 'organization', '0.92'], ['50%', 'percent', '0.8']]","[['syriza', 'organization', '1.0']]"
8," So that this man can make his payments.  You will get it for up to 10 years at an interest rate of 4%, which means that over the next 10 years.  For this loan.  Who had paid off 20 grand but has turned 100 again. 000 and any loan the fund from Ireland based in Delaware with a bank account in Cayman Island gave 3000 to get 3000 to get the loan of 100. 000.  Correct me if you can't because I know. "," Για να μπορεί να πληρώνει τις δόσεις ο άνθρωπος αυτός  Θα το πάρει για μέχρι 10 χρόνια με ένα επιτόκιο 4%, το οποίο σημαίνει ότι τα επόμενα 10 χρόνια  Για αυτό το δάνειο  Που είχε αποπληρώσει 20 χιλιαδες αλλα εχει Ξαναγινει 100 000 και το όποιο δάνειο το ταμείο από την Ιρλανδία με έδρα το Ντέλαγουερ και τραπεζικό λογαριασμό τα Κέιμαν Άϊλαντ έδωσε 3000 να το πάρει 3000 για να πάρει το δάνειο των 100 000  Διαψεύστε με αν κοτάτε γιατί το ξέρω",debt,,loans,,loan finances,0.0,0.0,0.0,0.1,0.5,0.0,0.0,0.0,"[['delaware', 'location', '1.0'], ['cayman island', 'location', '0.7']]","[['ireland', 'location', '0.9'], ['delaware', 'location', '0.9'], ['cayman island', 'location', '0.9']]"
9," This particular fund gave 3 grand for this particular loan.  He will receive in the 10 years of the out-of-court short-term settlement anything of this agreement, according to the SYRIZA program, he will receive 74 thousand or 617 € per month.  In other words, the Irish will have put the heads fund 3 grand. "," Το συγκεκριμένο ταμείο 3 Χιλιάρικα έδωσε για το συγκεκριμένο δάνειο  Θα έχει λαμβάνειν στα 10 χρόνια του εξωδικαστικού βραχυχρόνιου συμβιβασμού οτιδήποτε αυτής της συμφωνίας, σύμφωνα με το πρόγραμμα του ΣΥΡΙΖΑ, θα έχει λαμβάνειν 74 χιλιάρικα ή 617 € μηνιαίως  Με άλλα λόγια, θα έχουνε βάλει η Ιρλανδοί το heads fund 3 Χιλιάρικα",other,,loans,,fund,0.0,0.0,0.0,0.0,0.2,0.3,0.0,0.0,"[['syriza', 'org', '0.9'], ['irish', 'misc', '0.8']]",[]
10," They will receive 617 per month for 10 years, for a total of 74. 000.  Profit 71. 000 3000 have put 71. 000. "," Θα παίρνουν 617 μηνιαίως για 10 χρόνια, συνολικά 74 000  Κέρδος 71 000 3000 έχουν βάλει 71 000",other,,other,,investment,1.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,[],[]
