id,text,text_el,topic,topic-context,subtopic,subtopic-context,topic-open,sentiment,polarization,polarization-definition,toxicity,toxicity-definition,populism,populism-definition,hate speech,ner,ner-limited
1,"Thank you very much, Mr President, and this will be my last speech in this House as leader of Hellenic Solution as Chairman of the party, anyway. We were at least consistent for 4 years we were here. We talked, we made proposals. ","Ευχαριστώ πάρα πολύ κύριε Πρόεδρε και θα είναι η τελευταία ομιλία στην παρούσα Βουλή ως αρχηγός της Ελληνικής Λύσης ως Πρόεδρος του κόμματος, έτσι κι αλλιώς Εμείς τουλάχιστον ήμασταν συνεπείς επί 4 χρόνια ήμασταν εδώ Μιλήσαμε, καταθέσαμε προτάσεις",political parties,,other,,politics,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[['hellenic solution', 'org', '0.9'], ['chairman', 'title', '0.8']]","[['mr president', 'person', '0.9'], ['hellenic solution', 'political party', '0.9'], ['chairman', 'person', '0.8']]"
2," We have always criticised, in an elegant, elegant way and in a decent way, without any exaggerations.  The view of Parliament is once again disappointing, as there are always no Members of Parliament, of course. They all have time to go on the morning news channels to parade like political pots, but they don't come to the Greek parliament to perform their own duties for which they are paid by the Greek people.  I am ashamed because my proposal to Mr Tasoulas did not materialise. "," Κρίναμε επικρίναμε πάντοτε, με κομψό, κομψό τρόπο και κόσμιο τρόπο, χωρίς εξαλλοσύνες  Η θέα του Κοινοβουλίου για ακόμη μια φορά είναι απογοητευτική, όπως πάντοτε βέβαια δεν υπάρχουν βουλευτές Προλαβαίνουν να πας στα κανάλια στα πρωινάδικα όλοι τους να κάνουν παρέλαση σαν τις γλάστρες τις πολιτικές, αλλά για να ασκήσουν τα δικά τους καθήκοντα για τα οποία πληρώνονται από τον ελληνικό λαό δεν έρχονται στο ελληνικό κοινοβούλιο  Ντρέπομαι γιατί η πρότασή μου προς τον κύριο Τασούλα δεν υλοποιήθηκε",accountability,,lack of accountability,,parliament attendance,-0.6,0.25,0.0,0.2,0.1,0.2,0.2,0.0,"[['parliament', 'org', '0.9'], ['members of parliament', 'misc', '0.7'], ['greek', 'misc', '0.5'], ['mr tasoulas', 'per', '0.5']]","[['parliament', 'organization', '0.8'], ['members of parliament', 'group of people', '0.8'], ['greek parliament', 'location', '0.7'], ['greek people', 'group of people', '0.7'], ['mr tasoulas', 'person', '0.7']]"
3,"That is to say that Members who are not in Parliament should not be paid.  We have been saying for four years that they get a thousand dollars and it is much more than the normal amount, but it is a situation, a situation of political thinking that unfortunately is tolerated by the Bureau of the Parliament and the leaders of the parties and so we devalue politics with our absence and the political system with our absence.  We politicians with the. Of course, the profession of MP is now unpleasant for me, and I say this because I am a businessman, it is not a political profession, it is a profession where the five and a half grand must be commensurate with the work that is done here.  Unfortunately it is not possible. ","Δηλαδή οι βουλευτές που δεν βρίσκονται στο Κοινοβούλιο να μην πληρώνονται  Το λέμε εδώ και 4 χρόνια να παίρνουν ένα χιλιάρικο και είναι και πολλά κιόλας παραπάνω από το κανονικό, αλλά είναι μια κατάσταση, μια κατάσταση πολιτικής σκέψεως που δυστυχώς την ανέχεται και το Προεδρείο της Βουλής την ανέχονται και οι αρχηγοί των κομμάτων και έτσι απαξιώνουμε με τη δική μας απουσία την πολιτική με η  Εμείς οι πολιτικοί με οι Βέβαια, το επάγγελμα πλέον του βουλευτού για μένα είναι δυσάρεστο και που το λέω γιατί είμαι επιχειρηματίας, δεν είναι πολιτικός επαγγελματίας, είναι ένα επάγγελμα που τα πεντέμισι χιλιάρικα πρέπει να ανταποκρίνονται και στη δουλειά που γίνεται εδώ μέσα  Δυστυχώς δεν γίνεται",employment,,other,,parliamentary payments,-0.5,0.2,0.0,0.2,0.1,0.2,0.0,0.0,"[['parliament', 'organization', '1.0'], ['bureau of the parliament', 'organization', '0.8'], ['mp', 'job_title', '0.5']]","[['parliament', 'organization', '1.0'], ['members', 'group of people', '1.0'], ['thousand dollars', 'date', '0.5'], ['bureau of the parliament', 'organization', '0.8'], ['leaders of the parties', 'organization', '0.8'], ['politicians', 'group of people', '1.0'], ['mp', 'organization', '0.7'], ['businessman', 'person', '0.8']]"
4,"Neither the job, but especially neither. And one can say that it is satisfactory. The image of the Parliament, look, we are talking.  It's really miserable. I'm ashamed to say it, but that's the way it is, it doesn't matter. ","Ούτε η δουλειά, αλλά κυρίως ούτε Και μπορεί κάποιος να πει ότι είναι ικανοποιητική Η εικόνα του Κοινοβουλίου, κοιτάξτε, μιλάμε  Είναι άθλια πραγματικά Ντρέπομαι που το λέω, αλλά έτσι είναι, δεν πειράζει",other,,other,,parliament image,-0.4,0.2,0.0,0.2,0.1,0.2,0.0,0.0,"[['parliament', 'organization', '0.6']]","[['parliament', 'organization', '0.85']]"
5,"Let the Greek people understand this and when they go to vote again they should know that they voted. We have begun, Minister. This morning I learned. Start taking calls. ",Ας το καταλάβει ελληνικός λαός και όταν πάει να ψηφίσει ξανά να ξέρετε ψήφισε Ξεκινήσαμε κύριε υπουργέ μου Το πρωί έμαθα Ξεκινήσετε να παίρνετε τηλέφωνα,elections,,other,,greek elections,0.0,0.0,0.0,0.2,0.1,0.1,0.0,0.0,"[['greek', 'nationality', '0.5'], ['minister', 'title', '0.5']]","[['greek people', 'group of people', '0.85'], ['minister', 'person', '0.7'], ['morning', 'date', '0.6']]"
6,"You're desperate Minister, not you personally your party are getting calls. We have had 2 cases of our parliamentary candidates being called by the new republic to allow them to run with the Greek solution to go to the new republic. This morning. ","Έχετε απελπιστεί κύριε Υπουργέ, όχι εσείς προσωπικά το κόμμα σας παίρνουν τηλέφωνα Είχαμε 2 κρούσματα σε υποψήφιους βουλευτές μας που παίρνει η νέα δημοκρατία τηλέφωνο ώστε να τους επιτρέψει να κατέβουν με την με την ελληνική λύση να πάμε στη νέα δημοκρατία Σήμερα το πρωί",political parties,,election spending,,political candidates,-0.5,0.2,0.0,0.2,0.1,0.2,0.0,0.0,"[['minister', 'person', '0.9'], ['greek', 'norp', '0.7']]","[['greek', 'country', '0.99'], ['minister', 'person', '0.85'], ['parliamentary candidates', 'group of people', '0.75'], ['new republic', 'organization', '0.95'], ['political party', 'organization', '0.70']]"
7,"To persuade them not to run with the Greek Solution we had something in bits and pieces, bits and pieces of one euro, of one unit.  Now we have them of course still grown up, if they have been in apostasy a party that has made transfers. Well that's good that you've been thinking about moving from here to the polls to the polls, it's built on apostasy. However, the new democracy is desperate with all that is happening. And despair leads you to apostasy. Of course, in recent years we have observed a phenomenon of palindromic returns. ","Για να τους πείσουν να μην κατέβουν με την Ελληνική Λύση είχαμε κάτι υπό κομματίδια κομματίδια του ενός ευρώ, της μιας μονάδος  Τώρα έχουμε και αυτά βέβαια ακόμα που είναι μεγαλωμένο, αν δρώμενο στην αποστασία ένα κόμμα που έχει κάνει μεταγραφές Καλὰ ποὺ νοθείες μεταφέροντας από δω κάλπες στις ψηφοφορίες, είναι χτισμένο στην αποστασία Πάντως, η νέα δημοκρατία είναι απελπισμένη με όλα αυτά που γίνονται Και η απελπισία σε οδηγεί στην αποστασία Βέβαια, τα τελευταία χρόνια έχουμε παρατηρήσει ένα φαινόμενο παλίνδρομων επαναφορών",political parties,,other,,persuasion,0.0,0.5,0.0,0.15,0.5,0.7,0.0,0.0,"[['greek solution', 'organization', '1.0'], ['euro', 'currency', '1.0'], ['one unit', 'measurement', '0.7'], ['apostasy', 'concept', '1.0'], ['new democracy', 'organization', '1.0'], ['palindromic returns', 'concept', '0.6']]","[['greek solution', 'organization', '1.0'], ['euro', 'currency', '0.9'], ['apostasy', 'religious concept', '0.8'], ['new democracy', 'political party', '1.0'], ['palindromic returns', 'concept', '0.7.']]"
8," Leaving PASOK for SYRIZA, leaving PASOK for New Democracy and turning around.  This means what and I want the Greek people to understand that these 3 parties have no ideological differences, they have no ideological differences when a party like New Democracy calls candidates of the Greek Solution and tells them ""Don't run with the Greek solution, we are here and if you are not elected, there is a little place somewhere to settle down. It's okay, he's got the gift, he's got the gift. "," Φεύγουν από το ΠΑΣΟΚ στο ΣΥΡΙΖΑ, φεύγουν από το ΠΑΣΟΚ στη Νέα Δημοκρατία και να γυρίζουν ανάποδα  Αυτό σημαίνει τι και θέλω να καταλάβω ελληνικός λαός ότι τα 3 κόμματα αυτά δεν έχουν ιδεολογικές διαφορές, δεν έχουν καμία ιδεολογική διαφορά όταν φτάνει ένα κόμμα όπως η Νέα Δημοκρατία, να παίρνει τηλέφωνα σε υποψηφίους της Ελληνικής Λύσης να τους λέει Μην κατεβαίνετε με την ελληνική λύση, είμαστε εδώ και αν δεν εκλεγείτε έχει μια θεσούλα κάπου να βολευτείτε Δεν πειράζει, έχει το αντίδωρο, έχει το δωράκι",political parties,,other,,greek politics,-0.6,0.75,0.2,0.54,0.7,0.7,0.0,0.2,"[['pasok', 'org', '1.0'], ['syriza', 'org', '1.0'], ['new democracy', 'org', '1.0'], ['greek solution', 'org', '1.0']]","[['1. pasok', 'organization', '1.0'], ['2. syriza', 'organization', '1.0'], ['3. new democracy', 'organization', '1.0'], ['4. greek solution', 'political party', '1.0'], ['5. greek people', 'group of people', '1.0'], ['6. new democracy candidates', 'group of people', '1.0'], ['7. greece', 'country', '1.0']]"
9," Imagine what will happen the next day of the elections, when these gentlemen will need 10, 15, 20 defectors and the suitcases will leave; they are used to suitcases and either they are wheeled or else how to leave the suitcases asking for defectors in the temple of democracy. They're used to it I've done it before and they continue to not learn from their mistakes.  Because because they are only interested in the chair of the chair with ricochet beasts, the power, the plunder to eat the doorknobs, to fan the doors, to eat them and the locks of a Nothing else. "," Φανταστείτε τι θα γίνει την επόμενη μέρα των εκλογών, όταν θα χρειάζονται αυτοί οι κύριοι 10, 15, 20 αποστάτες και θα φεύγουν οι βαλίτσες είναι μαθημένοι στις βαλίτσες κι αλλιώς είτε τροχήλατες, η αλλιώς πως να φεύγουν οι βαλίτσες ζητώντας αποστάτες στον ναό της δημοκρατίας Το χουν συνηθισμένο Το έχω ξανακάνει και συνεχίζουν να μη μαθαίνουν από τα λάθη τους  Γιατί γιατί τους ενδιαφέρει μόνο η καρέκλα βο με ίκαρο θηρία, η εξουσία, η λεηλασία να φάνε τα πόμολα, να φαν τις πόρτες, να φάει και τις κλειδαριές αυτούς μιας Τίποτα άλλο",elections,,other,,elections,-0.9,0.8,0.25,0.8,0.95,0.9,0.8,0.8,[],"[['gentlemen', 'person', '1.0'], ['defectors', 'group of people', '1.0'], ['democracy', 'organization', '0.9'], ['power', 'organization', '0.8'], ['nothing else', 'organization', '0.8']]"
10,They're looking for defectors and I'll put it another way. This party is unfortunately mired in the mire of immorality.  He has lost any moral advantage. And the complaint can also be made anonymously.  We will go to the prosecutor. No more plates. ,Ψάχνουν αποστάτες και θα το πω αλλιώς Αυτό το κόμμα δυστυχώς είναι βουτηγμένο στον βούρκο της ανηθικότητας  Έχει χάσει κάθε πλέον ηθικό πλεονέκτημα Και η καταγγελία μπορεί να γίνει και επώνυμα  Εμείς θα πάμε και στον εισαγγελέα Τέρμα οι πλάκες,other,,corruption,,party defections,-0.8,0.9,0.0,0.6,0.8,0.8,0.0,0.2,[],[]
