id,text,text_el,topic,subtopic,topic-open,sentiment,polarization,polarization-definition,toxicity,toxicity-definition,populism,populism-definition,hate speech,ner
1,Friends and friends.  Your presence today confirms. ,Φίλες και φίλοι  Η σημερινή σας παρουσία επιβεβαιώνει,reference to other parties,,,1.0,0.0,0.0,0.0,0.0,,,0.0,[]
2," That we are rebuilding, rebuilding a relationship of trust with the Greek people.  From one end of the country to the other.  PASOK returned again strong and united to play a leading role in the political life of the country against the elitism of the new democracy and the populism of SYRIZA.  Democratic Party.  The party that in the years of post-independence gave struggles for democracy, institutional constitution of strong European infrastructures.  The party of social justice and national dignity, the party of Andreas Papandreou and here from Kilkis sends a clear message of victory throughout Greece.  is the party that made steps towards the strong and hard core of the European Union.  It is the party that made the great reforms. "," Ότι χτίζουμε ξανά, οικοδομούμε ξανά μια σχέση εμπιστοσύνης με τον ελληνικό λαό  Απ άκρη σε άκρη της χώρας  Το ΠΑΣΟΚ επέστρεψε ξανά ισχυρό δυναμικό ενωμένο για να πρωταγωνιστήσει στην πολιτική ζωή του τόπου απέναντι στον ελιτισμό της νέας δημοκρατίας και το λαϊκισμό του ΣΥΡΙΖΑ  Δημοκρατική παράταξη  Η παράταξη που τα χρόνια της μεταπολίτευσης έδωσε αγώνες δημοκρατίας θεσμικής συγκρότησης ισχυρών ευρωπαϊκών υποδομών  Η παράταξη της κοινωνικής δικαιοσύνης και της εθνικής αξιοπρέπειας, η παράταξη του Ανδρέα Παπανδρέου και εδώ από το Κιλκίς στέλνει καθαρό μήνυμα νίκης σε όλη την Ελλάδα  είναι η παράταξη που έκανε βήματα προς τον ισχυρό και σκληρό πυρήνα της Ευρωπαϊκής Ένωσης  Είναι η παράταξη που έκανε τις μεγάλες μεταρρυθμίσεις",foreign policy,reforms,,0.5,0.5,0.0,0.1,0.0,,,0.0,"[['greek', 'type', 'probability', ''], ['pasok', 'organization', 'probability', ''], ['syriza', 'organization', 'probability', ''], ['democratic party', 'organization', 'probability', ''], ['european union', 'organization', 'probability', ''], ['andreas papandreou', 'person', 'probability', ''], ['kilkis', 'location', 'probability']]"
3," Unfortunately lately.  The Greek people have experienced an unspeakable tragedy.  A tragedy that shocked all Greek women and all Greeks.  Could our own children, your own grandchildren be on this fatal train in this tragedy in Tempe?  A tragedy that proves the inability of the state to protect the basic necessities of security, the prospect.  Make modern European infrastructure, make good use of European programmes. "," Δυστυχώς το τελευταίο διάστημα  Ο ελληνικός λαός έζησε μια ανείπωτη τραγωδία  Μια τραγωδία που συγκλόνισε όλες τις Ελληνίδες και όλους τους Έλληνες  Θα μπορούσαν τα δικά μας παιδιά τα δικά σας εγγόνια να είναι σε αυτό το μοιραίο τρένο σε αυτή την τραγωδία των Τεμπών  Μια τραγωδία που αποδεικνύει την αδυναμία του κράτους να περιφρουρήσει τα στοιχειώδη την ασφάλεια, την προοπτική  Να κάνει σύγχρονες ευρωπαϊκές υποδομές, να αξιοποιεί σωστά τα ευρωπαϊκά προγράμματα",infrastructure,infrastructure,,-0.6,0.3,0.0,0.0,0.0,,,0.0,"[['greek', 'norp', '0.8'], ['tempe', 'person', '0.4'], ['european', 'norp', '0.6']]"
4," But what are the responsibilities.  They have learned in recent years The gentlemen of the new democracy, when something good happens it is always by order.  Mitsotakis.  When something bad, tragic happens.  Mitsotakis does not know anything, declares ignorance.  What is unnecessary price. "," Ποιες όμως είναι οι ευθύνες  Μάθανε τα τελευταία χρόνια Οι κύριοι της νέας δημοκρατίας, όταν συμβαίνει κάτι καλό να είναι πάντα με την εντολή  Μητσοτάκη  Όταν συμβαίνει κάτι άσχημο, τραγικό  ο Μητσοτάκης δεν ξέρει τίποτα δηλώνει άγνοια  Αυτό τι είναι περιττή τιμή",reference to other parties,,,-0.6,0.6,0.1,0.6,0.7,,,0.1,"[['mitsotakis', 'person', '0.666']]"
5, Treats honour to the Prime Minister.  But I want to tell you what happened before.  Since a few hours in the Greek Parliament today you are discussing.  This very serious.  tragic accident.  They said they did not know the extent of the problem.  But let's put things in order. , Περιποιεί τιμή στον πρωθυπουργό  Θέλω όμως να σου πω τι συνέβη πριν  Από λίγες ώρες στην Βουλή των Ελλήνων σήμερα που συζητάτε  Αυτό το πολύ σοβαρό  τραγικό δυστύχημα  Είπαν ότι δεν γνώριζαν το μέγεθος του προβλήματος  Ας τα βάλουμε όμως στη σειρά τα πράγματα,,other,,0.0,0.1,0.0,0.1,0.0,,,0.0,"[['prime minister', 'person', '0.9'], ['greek parliament', 'organization', '0.8']]"
6, The European Railway Agency.  Conducts rail safety surveys every 2 years across Europe.  In 2020 and 2022 Greece will officially.  It has the highest mortality rate. , Ο Ευρωπαϊκός Οργανισμός Σιδηροδρόμων  Κάνει κάθε 2 χρόνια έρευνες για την ασφάλεια των σιδηροδρόμων σε όλη την Ευρώπη  Το 2020 και το 2022 επισήμως η Ελλάδα  Έχει το μεγαλύτερο δείκτη θνησιμότητας,reference to other parties,railways,,-1.0,1.0,0.0,0.3,0.2,,,0.0,"[['european railway agency', 'organization', '1.0'], ['europe', 'location', '1.0'], ['greece', 'location', '1.0']]"
7," On a kilometre basis across the European Union.  In 2019, in March, before the elections, Mr Mitsotakis himself, at a New Democracy event on the New Democracy programme, was saying and showing the real situation of the network.  Of course, that didn't stop him from talking about hydrogen trains a few years later that he was going to include them in the Recovery Fund.  And of course as Mr Tsipras before Mr Mitsotakis was talking about the silver train that they were going to bring to these networks, which could not even guarantee the safety, the basic safety of the citizens.  The European Commission is coming soon.  A few weeks before this shocking accident.  And sends us to the European Court of Justice.  We had not managed to get the cooperation legislation in place between the rail regulator. "," Βάσει χιλιομέτρων σε όλη την Ευρωπαϊκή Ένωση  Το 2019, τον Μάρτιο, πριν τις εκλογές ο ίδιος ο κύριος Μητσοτάκης σε εκδήλωση της Νέας Δημοκρατίας για το πρόγραμμα της Νέας Δημοκρατίας έλεγε και εμφάνιζε την πραγματική κατάσταση που είχε το δίκτυο  Βεβαίως αυτό δεν τον εμπόδιζε να μιλά για τρένα υδρογόνου λίγα χρόνια μετά ότι θα τα ενέτασσε στο Ταμείο Ανάκαμψης  Και βέβαια όπως ο κύριος Τσίπρας πριν από τον κύριο Μητσοτάκη μιλούσε για το ασημένιο τρένο που θα φέρνανε σε αυτά τα δίκτυα, τα οποία δεν μπορούσαν να εγγυηθούν ούτε την ασφάλεια, τη στοιχειώδη ασφάλεια των πολιτών  Μετά από λίγο έρχεται η Ευρωπαϊκή Επιτροπή  Λίγες εβδομάδες πριν το συγκλονιστικό αυτό δυστύχημα  Και μας στέλνει στο Ευρωπαϊκό Δικαστήριο  Δεν είχαμε καταφέρει να φτιάξουμε τη νομοθεσία συνεργασίας μεταξύ της ρυθμιστικής αρχής σιδηροδρόμων",infrastructure,railways,,0.0,0.2,0.0,0.2,0.2,,,0.0,"[['european union', 'organization', '1.0'], ['2019', 'date', '1.0'], ['march', 'date', '1.0'], ['mr mitsotakis', 'person', '1.0'], ['new democracy', 'organization', '1.0'], ['hydrogen trains', 'product', '1.0'], ['recovery fund', 'organization', '1.0'], ['mr tsipras', 'person', '1.0'], ['silver train', 'product', '1.0'], ['european commission', 'organization', '1.0'], ['european court of justice', 'organization', '1.0'], ['rail regulator', 'organization', '1.0']]"
8, And ERGOSE.  And today.  You have another bomb. , Και της ΕΡΓΟΣΕ  Και σήμερα  Έχετε μια ακόμη βόμβα,reference to other parties,other,,-1.0,0.5,0.0,0.4,0.8,,,0.0,"[['ergose', 'organization', '0.90'], ['today', 'date', '0.80'], ['bomb', 'object', '0.60']]"
9, In a document.  The National Transparency Authority.  Which he sent.  At the Ministry of Transport.  On 04/10/2021.  He speaks of criminal inaction in the handling of the 717 contract.  04/10/2021. , Με έγγραφο  Της η εθνική Αρχή Διαφάνειας  Το οποίο έστειλε  Στο Υπουργείο Μεταφορών  Στις 04/10/2021  Μιλά για εγκληματική αδράνεια στους χειρισμούς που αφορούν τη σύμβαση 717  04/10/2021,transparency,corruption,,-0.6,0.0,0.0,0.1,0.0,,,0.0,"[['national transparency authority', 'organization', '0.95'], ['ministry of transport', 'organization', '0.85'], ['717 contract', 'product', '0.70']]"
10, He went to the Ministry of Mr. Karamanlis.  The conclusion of the authority.  The special independent transparency authority.  And today our MPs are asking him in Parliament and he says he knew nothing. , Πήγε στο Υπουργείο του κυρίου Καραμανλή  Το πόρισμα της αρχής  Της ειδικής ανεξάρτητης αρχής διαφάνειας  Και σήμερα τον ρωτάνε οι βουλευτές μας στη Βουλή και λέει ότι δεν γνώριζε τίποτα,transparency,transparency,,-0.5,0.0,0.0,0.2,0.2,,,0.0,"[['mr. karamanlis', 'person', '0.7'], ['ministry', 'organization', '0.6'], ['authority', 'organization', '0.9'], ['special independent transparency authority', 'organization', '1.0'], ['mps', 'organization', '0.5'], ['parliament', 'organization', '0.6.']]"
