id,text,text_el,topic,topic-other-context,subtopic,topic-open,sentiment,polarization,polarization-definition,toxicity,toxicity-definition,populism,populism-definition,hate speech,ner,ner-limited
1,"Friends, thank you from the bottom of my heart for your moving presence here from Sparta.  And here from Laconia today.  A few weeks before the national elections, we send a clear message.  That PASOK. ","Φίλες και φίλοι σας ευχαριστώ από τα βάθη της καρδιάς μου για την συγκινητική σας παρουσία σας εδώ από τη Σπάρτη  Και εδώ από τη Λακωνία σήμερα  Λίγες εβδομάδες πριν τις εθνικές εκλογές, στέλνουμε ένα καθαρό μήνυμα  Ότι το ΠΑΣΟΚ",elections,political parties,other,elections,0.5,0.0,0.0,0.1,0.5,0.9,0.0,0.0,[],[]
2, It returned dynamically as a historic movement for change and overthrow of the pathologies of Greek society.  We have always been on the side and on the shore of great changes and great reforms of social justice and national dignity.  And we have always been opposed by powerful forces of conservation and domestic.  Of course oligarchy.  Which in the last few days I see they've been particularly annoyed. , Επέστρεψε δυναμικά ως ένα ιστορικό κίνημα αλλαγής και ανατροπής των παθογενειών της ελληνικής κοινωνίας  Ήμασταν πάντα στην πλευρά και στην όχθη των μεγάλων αλλαγών και των μεγάλων μεταρρυθμίσεων της κοινωνικής δικαιοσύνης και της εθνικής αξιοπρέπειας  Και πάντα απέναντί μας ήταν ισχυρές δυνάμεις της συντήρησης και της εγχώριας  Βέβαια ολιγαρχίας  Που τις τελευταίες μέρες βλέπω ότι έχουνε ενοχληθεί ιδιαίτερα,democracy,political parties,oligarchy,greek society,0.5,0.8,0.2,0.2,0.1,0.6,0.3,0.0,"[['greek', 'society', 'social justice', 'national dignity', 'oligarchy', 'last few days']]","[['greek society', 'location', '0.7'], ['social justice', 'group of people', '0.5'], ['national dignity', 'group of people', '0.5'], ['oligarchy', 'political party', '0.7']]"
3," What I said from the first moment of my election I say to this day.  And for partnerships.  And about the big changes that need to be made.  And on how to build a new relationship of trust between the political system and the ordinary citizen and especially the new generation.  Who turns her back on politics, just the same.  But what has changed in recent days.  And the same words.  The same vision made the domestic interconnection to be in vertigo.  The domestic complex is in vertigo. "," Ό,τι έλεγα από την πρώτη στιγμή της εκλογής μου λέω μέχρι σήμερα  Και για τις συνεργασίες  Και για τις μεγάλες αλλαγές που πρέπει να γίνουν  Και για το πώς θα οικοδομηθεί μια νέα σχέση εμπιστοσύνης του πολιτικού συστήματος με τον απλό πολίτη και ιδιαίτερα με τη νέα γενιά  Που γυρνά την πλάτη της στην πολιτική, ακριβώς τα ίδια  Τι άλλαξε όμως τις τελευταίες ημέρες  Και οι ίδιες λέξεις  Η ίδια θεώρηση έκανε την εγχώρια διαπλοκή να βρίσκεται σε βέρτιγκο  Η εγχώρια διαπλοκή βρίσκεται σε βέρτιγκο",elections,political parties,other,political leadership,0.0,0.0,0.0,0.1,0.2,0.2,0.0,0.0,[],[]
4, Because he knows very well now that the Greek people have zero tolerance for the system.  Mitsotakis the system that does not respect institutions that does not respect human rights that disregards common sense.  A system of power that has taught them to give priority to serving the interests of this oligarchy and not the interests of the people.  So we have a debt. , Διότι ξέρει πολύ καλά πια ότι ο ελληνικός λαός δείχνει μηδενική ανοχή στο σύστημα  Μητσοτάκη το σύστημα που δεν σέβεται τους θεσμούς που δεν σέβεται τα ανθρώπινα δικαιώματα που περιφρονεί την κοινή λογική  Ένα σύστημα εξουσίας που τους έμαθε να έχει προτεραιότητα να υπηρετεί τα συμφέροντα αυτής της ολιγαρχίας και όχι τα συμφέροντα του λαού  Εμείς λοιπόν έχουμε ένα χρέος,debt,corruption,debt regulations,greek politics,-0.7,0.81,0.2,0.4,0.2,0.7,0.6,0.0,"[['mitsotakis', 'person', '0.8'], ['greek people', 'location', '0.7']]","[['mitsotakis', 'person', '0.95'], ['greek people', 'group of people', '0.95'], ['oligarchy', 'group of people', '0.7']]"
5," In the next national elections, it is the duty of the democratic party to make this system of the decline of Mr Mitsotakis' power a thing of the past.  But I see that the leadership of SYRIZA agrees with Mitsotakis' vision.  Oh, how strange. ", Στις επόμενες εθνικές εκλογές αυτό το σύστημα της παρακμής της εξουσίας του κυρίου Μητσοτάκη να αποτελέσει παρελθόν είναι χρέος της δημοκρατικής παράταξης  Βλέπω όμως ότι με τη θεώρηση Μητσοτάκη συμφωνεί η ηγεσία του ΣΥΡΙΖΑ  Ω τι περίεργο,elections,political parties,election spending,national elections,-0.6,0.8,0.7,0.25,0.3,0.6,0.2,0.0,"[['next national elections', 'event', '0.75'], ['democratic party', 'organization', '0.75'], ['mr mitsotakis', 'person', '0.8'], ['syriza', 'organization', '0.8']]","[['national elections', 'date', '1'], ['democratic party', 'political party', '1'], ['mr mitsotakis', 'person', '1'], ['syriza', 'political party', '1.']]"
6," They probably don't know what the Constitution says.  They respected the Constitution.  Where the Constitution was respected.  In the competition for television licences.  Where the result was that he was convicted.  13 zeros from the Special Court, the closest associate of Mr Tsipras. "," Μάλλον δεν ξέρουν τι λέει το Σύνταγμα  Το σεβάστηκαν το Σύνταγμα  Πού το σεβάστηκαν το Σύνταγμα  Στο διαγωνισμό των τηλεοπτικών αδειών  Όπου το αποτέλεσμα ήταν να καταδικαστεί  13 μηδέν από το Ειδικό Δικαστήριο, ο στενότερος συνεργάτης του κυρίου Τσίπρα",other,media,other,constitution,-0.5,0.0,0.0,0.2,0.2,0.2,0.0,0.0,"[['constitution', 'law', '0.7'], ['constitution', 'law', '0.7'], ['constitution', 'law', '0.7'], ['television licences', 'law', '0.7'], ['result', 'entity', '0.7'], ['special court', 'organization', '0.7'], ['tsipras', 'person', '0.7']]","[['constitution', 'organization', '0.5'], ['special court', 'organization', '0.5'], ['mr tsipras', 'person', '0.5']]"
7," And instead of being a thing of the past from the political system, they have him as the first showcase in their ballots.  Who respected the Constitution.  In their attacks on the independent authorities.  The current government, which says it came to confront the viciousness of the SYRIZA-Independent Greeks government, respected the Constitution.  On the issue of the wiretapping that exposed the country worldwide, to monitor the leader of the third party, the heads of the armed forces.  Their ministers.  Where have these things been heard before, but that is what PASOK and Andreas Papandreou fought for, for democracy, for national pride, for respect for human rights, for the rule of law.  This is what all the leaderships of the democratic party fought for.  And what the domestic oligarchy asks of us to show tolerance to all these phenomena of decadence.  And to take the mandate that the Constitution gives me the right to have in my hands and to propose as Prime Minister one of the protagonists of the debasement. "," Και αντί να αποτελεί παρελθόν από το πολιτικό σύστημα να τον έχουνε πρώτη βιτρίνα στα ψηφοδέλτια τους  Που σεβάστηκαν το Σύνταγμα  Στις επιθέσεις τους στις ανεξάρτητες αρχές  Που σεβάστηκαν το Σύνταγμα η σημερινή κυβέρνηση που λέει ότι ήρθε να αντιμετωπίσει τη φαυλότητα της κυβέρνησης ΣΥΡΙΖΑ-Ανεξάρτητων Ελλήνων  Στο ζήτημα των υποκλοπών που εξέθεσαν παγκοσμίως τη χώρα, να παρακολουθούν τον αρχηγό του τρίτου κόμματος, τους αρχηγούς των ενόπλων δυνάμεων  Υπουργούς τους  Πού ξανακούστηκαν αυτά μα γι αυτά αγωνίστηκε το ΠΑΣΟΚ και ο Ανδρέας Παπανδρέου για την δημοκρατία, για την Εθνική περηφάνια για τον σεβασμό στα ανθρώπινα δικαιώματα για το κράτος δικαίου  Για αυτό αγωνίστηκαν όλες οι ηγεσίες της δημοκρατικής παράταξης  Και ζητεί τι από μας η εγχώρια ολιγαρχία να δείξουμε ανοχή σε όλα αυτά τα φαινόμενα της παρακμής  Και να πάρω την εντολή που το Σύνταγμα μου δίνει δικαίωμα να έχω στα χέρια μου και να προτείνω πρωθυπουργό έναν από τους πρωταγωνιστές της απαξίωσης",democracy,democracy,other,political system,-0.4,0.6,0.3,0.1,0.6,0.2,0.2,0.0,"[['pasok', 'organization', '0.9'], ['andreas papandreou', 'person', '0.9'], ['syriza-independent greeks government', 'organization', '0.9'], ['constitution', 'entity', '1.0'], ['prime minister', 'title', '1.0']]","[['constitution', 'organization', '0.8'], ['syriza-independent greeks', 'political party', '0.8'], ['pasok', 'political party', '0.8'], ['andreas papandreou', 'person', '0.8'], ['democratic party', 'group of people', '0.8'], ['oligarchy', 'group of people', '0.8'], ['prime minister', 'political party', '0.8'], ['third party', 'political party', '0.8']]"
8," They probably don't know our history very well.  They do not know our principles well.  They do not know our values well.  So to the vertigo of the interconnectedness, we respond with a clear message here today from Sparta, from the Peloponnese. "," Μάλλον δεν ξέρουν καλά την ιστορία μας  Δεν ξέρουν καλά τις αρχές μας  Δεν ξέρουν καλά τις αξίες μας  Στο βέρτιγκο λοιπόν της διαπλοκής, απαντάμε με ένα καθαρό μήνυμα σήμερα εδώ από τη Σπάρτη, από την Πελοπόννησο",other,other,other,ignorance,0.0,0.0,0.0,0.1,0.0,0.2,0.0,0.0,"[['sparta', 'location', '0.9'], ['peloponnese', 'location', '0.9']]","[['sparta', 'location', '0.9'], ['peloponnese', 'location', '0.8']]"
9," On the night of the next national elections, PASOK will guarantee the new change, the change of social dignity.  The change of social justice.  The change that will make every citizen equal before justice and not have injustice for the many. "," Το βράδυ των επόμενων εθνικών εκλογών το ΠΑΣΟΚ θα εγγυηθεί τη νέα αλλαγή, την αλλαγή της κοινωνικής αξιοπρέπειας  Την αλλαγή της κοινωνικής δικαιοσύνης  Την αλλαγή που θα κάνει κάθε πολίτη να είναι ισότιμος απέναντι στη δικαιοσύνη και όχι να έχουμε αδικία για τους πολλούς",elections,democracy,other,elections,0.6,0.16,0.0,0.0,0.0,0.5,0.7,0.0,"[['pasok', 'organization', '0.8']]","[['pasok', 'organization', '1.0'], ['national elections', 'date', '1.0']]"
10," And always supporting the interests of the few.  The Greek people can no longer bear this.  The Greek people can't bear to be told in 2012, 2013, 2014.  Stubbornness of the gentlemen of SYRIZA the gentlemen of the far right. "," Και πάντα στήριξη των συμφερόντων των λίγων  Αυτό δεν μπορεί να το αντέξει πια ο ελληνικός λαός  Δεν αντέχει ο ελληνικός λαός να λένε το 2012, 2013, 2014  Σεισάχθεια οι κύριοι του ΣΥΡΙΖΑ οι κύριοι της Ακροδεξιάς",political parties,political parties,far-right,greek politics,-0.5,1.0,0.75,0.69,0.8,0.9,0.5,0.25,"[['greek', 'norp', '1.0'], ['greek people', 'gpe', '1.0'], ['2012', 'date', '1.0'], ['2013', 'date', '1.0'], ['2014', 'date', '1.0'], ['syriza', 'org', '1.0'], ['far right', 'org', '0.873']]","[['greek people', 'group of people', '1.0'], ['syriza', 'political party', '0.5'], ['far right', 'political party', '0.5']]"
