id,text,text_el,topic,topic-context,subtopic,subtopic-context,topic-open,sentiment,polarization,polarization-definition,toxicity,toxicity-definition,populism,populism-definition,hate speech,ner,ner-limited
1,"Today we have with us. The man who inspires us. And guiding us on the difficult path we have chosen is our President Nikos Androulakis, whom I invite to the podium. Gall for. Friends, thank you from the bottom of my heart for this warm welcome here in Lesvos. ","Σήμερα έχουμε κοντά μας. Τον άνθρωπο που μας εμπνέει. Και μας καθοδηγεί στο δύσκολο δρόμο που έχουμε επιλέξει τον Πρόεδρό μας Νίκο Ανδρουλάκη, ε οποίο και καλώ στο βήμα. Gall για. Φίλες και φίλοι σας ευχαριστώ από τα βάθη της καρδιάς μου για αυτή τη θερμή υποδοχή εδώ στη Λέσβο.",other,other,other,other,,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[],"[['nikos androulakis', 'person', '0.95'], ['lesvos', 'location', '0.95']]"
2,"A reception that proves that the democratic party and PASOK have made a dynamic return to the country's political scene. On May 21. On 21 May this historic movement has only one way to go, victory. But what does victory mean for PASOK? Victory for PASOK means a proud homeland and a people that will live in social justice and national dignity away from the deadlocks that led our country. SYRIZA and New Democracy. They are annoyed. ","Μια υποδοχή που αποδεικνύει περίτρανα ότι η δημοκρατική παράταξη και το ΠΑΣΟΚ επέστρεψαν δυναμικά στο πολιτικό προσκήνιο της χώρας. Στις 21 Μαΐου. Στις 21 μα o το ιστορικό αυτό κίνημα έχει μόνο ένα δρόμο, τη νίκη. Τι σημαίνει όμως νίκη για το ΠΑΣΟΚ; Νίκη για το ΠΑΣΟΚ σημαίνει α περήφανη πατρίδα και ένας λαός που θα ζει σε κοινωνική δικαιοσύνη και εθνική αξιοπρέπεια μακριά από τα αδιέξοδα που οδήγησαν την πατρίδα μας. Ο ΣΥΡΙΖΑ και η Νέα Δημοκρατία. Έχουν ενοχληθεί.",political parties,opponent criticism,other,election spending,,0.6,0.8,0.5,0.7,0.5,0.8,0.2,0.1,[],"[['democratic party', 'organization', '0.9'], ['pasok', 'political party', '0.9'], ['may 21', 'date', '1.0'], ['pasok', 'political party', '0.9'], ['syriza', 'political party', '0.9'], ['new democracy', 'group of people', '0.9']]"
3,"And Mr Mitsotakis. And Mr Tsipras, why are we talking? And we express the view that the country needs a coalition government. Who will stand in the way of the arrogance of these parties. And we are even talking about programmatic convergences. ","Και ο κύριος Μητσοτάκης. Και ο κύριος Τσίπρας, γιατί μιλούμε; Και εκφράζουμε την άποψη ότι η χώρα χρειάζεται κυβέρνηση συνεργασίας. Που θα μπουν εμπόδιο στην αλαζονεία των κομμάτων αυτών. Και μάλιστα μιλούμε για προγραμματικές συγκλίσεις.",political parties,other,coalition,coalition,,0.0,0.2,0.1,0.1,0.2,0.4,0.0,0.0,[],"[['mr mitsotakis', 'person', '0.7'], ['mr tsipras', 'person', '0.7'], ['coalition government', 'group of people', '0.6'], ['parties', 'group of people', '0.5'], ['programmatic convergences', 'organization', '0.4'], ['country', 'location', '0.5']]"
4,"It is strange what is happening to us all over Europe. Also, they are annoyed because we say they can't play the lead. In these governments persons who invoke solutions to the problems they themselves created, can solve the problem of red loans. The one who said Stisachthia and sold off the red loans of the Greek people to the funds. Gal. He can talk. ","Είναι παράξενα αυτά που μας συμβαίνουν σε όλη την Ευρώπη. Επίσης, ενοχλούνται διότι λέμε ότι δεν μπορούν να πρωταγωνιστήσουν. Σε αυτές τις κυβερνήσεις πρόσωπα που επικαλούνται λύσεις στα προβλήματα που οι ίδιοι δημιούργησαν, μπορεί να λύσει το πρόβλημα των κόκκινων δανείων. Αυτός που έλεγε Σεισάχθεια και ξεπούλησε τα κόκκινα δάνεια του ελληνικού λαού στα funds. Gal. Μπορεί να μιλά.",privatization,other,other,other,,-0.6,0.6,0.0,0.3,0.5,0.6,0.0,0.1,[],"[['europe', 'location', '1.0'], ['greek', 'country', '1.0'], ['stisachthia', 'person', '0.5'], ['gal', 'person', '0.5']]"
5,To protect the first home. The weakest Greek citizens. He. That essentially eliminated all protection of the first home. Or can they guarantee it? ,Για προστασία της πρώτης κατοικίας. Των πιο αδύναμων ελλήνων πολιτών. Αυτός. Που ουσιαστικά απάλειψε κάθε προστασία της πρώτης κατοικίας. Ή μήπως μπορούν να εγγυηθούν;,housing,housing,home protection,other,,-0.6,0.5,0.0,0.2,0.2,0.5,0.0,0.1,[],[]
6,"A strong democracy, a rule of law, separation of powers, persons who have violated every principle of human rights and the rule of law. Mr Tsipras. With all his weapons in the process of his time, he shot at the independent authorities. When they objected, whether it was to the so-called tender for the TV licences. ","Μια ισχυρή δημοκρατία, ένα κράτος δικαίου, διάκριση των εξουσιών, τα πρόσωπα που καταπάτησαν κάθε αρχή ανθρωπίνων δικαιωμάτων και κράτος δικαίου. Κύριος Τσίπρας. Με όλα του τα όπλα κατά τη διαδικασία της εποχής του, πυροβολούσε τις ανεξάρτητες αρχές. Όταν αυτές έφεραν αντίρρηση, είτε αυτό αφορούσε τον δήθεν διαγωνισμό των τηλεοπτικών αδειών.",democracy,democracy,judicial independence,other,,-0.4,0.3,0.1,0.1,0.6,0.2,0.0,0.1,[],"[['mr tsipras', 'person', '0.8'], ['independent authorities', 'group of people', '0.6'], ['tv licences', 'organization', '0.6']]"
7,"Or other issues, Mr Mitsotakis, who denounced Mr Tsipras then, is he not doing the same now? The executives of Mr Georgiades are not the ones they targeted. The people of the independent authorities, when they tried to investigate the sickening case of the wiretapping state. So can these persons? ","Είτε άλλα ζητήματα, ο κύριος Μητσοτάκης που κατήγγειλε τώρα τότε τον κύριο Τσίπρα, μήπως τώρα δεν κάνει το ίδιο; Τα στελέχη του Ο κύριος Γεωργιάδης δεν είναι αυτοί που στοχοποίησαν. Τους ανθρώπους των ανεξάρτητων αρχών, όταν αυτοί προσπάθησαν να διερευνήσουν τη νοσηρή υπόθεση του παρακράτους των υποκλοπών. Μπορούν λοιπόν τα πρόσωπα αυτά;",accountability,corruption,wiretapping,wiretapping,,0.0,0.0,0.0,0.3,0.5,0.2,0.0,0.0,[],"[['mitsotakis', 'person', '0.9'], ['tsipras', 'person', '0.9'], ['georgiades', 'person', '0.6'], ['independent authorities', 'group of people', '0.8'], ['state', 'location', '0.6.']]"
8,"Which have shown no respect. In justice, in the separation of powers to guarantee a homeland that functions according to European standards. Never before has our country put up walls when European institutions asked to meet the government. A few weeks ago, the European Parliament's freedom committees came in. And the new democracy met none. Why this shame? ","Τα οποία δεν έχουν δείξει κανένα σεβασμό. Στη δικαιοσύνη, στη διάκριση των εξουσιών να εγγυηθούν μια πατρίδα που θα λειτουργεί στα ευρωπαϊκά πρότυπα. Ποτέ άλλοτε η χώρα μας σήκωσε τείχη όταν ευρωπαϊκοί θεσμοί ζήτησαν να συναντήσουν την κυβέρνηση. Πριν από μερικές εβδομάδες ήρθαν επιτροπές των ελευθεριών του Ευρωπαϊκού Κοινοβουλίου. Και η νέα δημοκρατία δεν συνάντησε κανένα. Γιατί αυτή η ντροπή;",other,democracy,injustice,judicial independence,,-0.4,0.8,0.1,0.2,0.2,0.2,0.0,0.0,[],"[['european parliament', 'organization', '1.0']]"
9,"What does Greece have to do with Hungary and Poland? What is Mr Mitsotakis afraid of? So here, all this proves that in the next national elections, all of us who stayed through the difficult times and believed in the movement of Andreas Papandreou, have a huge national debt to stand up to the institutional decline, the institutional decline that Mr Tsipras, Mr Mitsotakis, has led Greece into. To put a stop to social inequalities, to put a stop to the politics that wants the few strong and the many even weaker. Friends, we must and we have a duty to talk about the future. Because the past is now well known to everyone. One can no longer say that he did not know. ","Τι σχέση έχει η Ελλάδα με την Ουγγαρία και την Πολωνία; Τι φοβάται ο κύριος Μητσοτάκης; Εδώ λοιπόν, όλα αυτά αποδεικνύουν ότι στις επόμενες εθνικές εκλογές όλοι εμείς που μείναμε στα δύσκολα που πιστέψαμε στο κίνημα του Ανδρέα Παπανδρέου, έχουμε ένα τεράστιο εθνικό χρέος να μπούμε μόδιο στη θεσμική παρακμή στη θεσμική παρακμή που οδήγησε την Ελλάδα ο κύριος Τσίπρας, ο κύριος Μητσοτάκης. Να μπούμε πόδιο στις κοινωνικές ανισότητες, να μπούμε εμπόδιο στην πολιτική που θέλει τους λίγους ισχυρούς και τους πολλούς ακόμη πιο αδύναμους. Φίλες και φίλοι πρέπει και έχουμε χρέους να μιλήσουμε για το μέλλον. Διότι το παρελθόν όλοι πια το γνωρίζουν καλά. Δεν μπορεί κανείς να πει πια ότι δεν ήξερε.",other,opponent criticism,other,other,,-0.2,0.2,0.1,0.2,0.1,0.2,0.2,0.0,[],"[['andreas papandreou', 'person', '0.9'], ['mr mitsotakis', 'person', '0.9'], ['mr tsipras', 'person', '0.9'], ['greece', 'country', '0.9'], ['hungary', 'country', '0.5'], ['poland', 'country', '0.5'], ['national elections', 'date', '0.9']]"
10,"Perhaps Mr Tsipras had an advantage in 2015 because the Greek people had not experienced a government of Syriza and the far right. Of course, I want to say what is common in the history of our country in the years of post-independence. It is this SYRIZA coalition then ruling with the right not to forget modern history as well. Nobody expected a tax policy that flattens the middle class and the weakest to be the first left-wing tax policy. What is the coveted cushion that Mr Tsipras often invokes? ","Ίσως ο κύριος Τσίπρας είχε ένα πλεονέκτημα το 2015 γιατί δεν είχε βιώσει ο ελληνικός λαός μια κυβέρνηση του ΣΥΡΙΖΑ και της Ακροδεξιάς. Βέβαια, θέλω να πω ότι σύνηθες στην ιστορία της πατρίδας μας τα χρόνια της μεταπολίτευσης. Είναι αυτό ο ΣΥΡΙΖΑ ο συνασπισμός τότε να κυβερνά με τη δεξιά για να μην ξεχνάμε και τη σύγχρονη ιστορία, όπως επίσης. Κανείς δεν περίμενε να είναι πρώτη φορά αριστερά μια φορολογική πολιτική, η οποία ισοπεδώνει τη μεσαία τάξη και τους πιο αδύναμους. Τι είναι το πολυπόθητο μαξιλάρι που πολλές φορές επικαλείται ο κύριος Τσίπρας;",economy,other,other,austerity,,-0.5,0.3,0.2,0.2,0.2,0.2,0.0,0.0,[],"[['mr tsipras', 'person', '1.0'], ['greek people', 'group of people', '1.0'], ['syriza', 'political party', '0.8'], ['right', 'political party', '0.7'], ['post-independence', 'date', '1.0'], ['middle class', 'group of people', '0.7']]"
11,"The taxes of the middle class and the weakest Greek citizens. You know, a lot of times he just talks about it. But forget what happened to the Greek people's money that was invested in stabilizing the banking system and which was annihilated in the summer of 2015. I say this because we are all now very well known for our choices on the economy and for our easy big talk, but also for our choices on major national issues. Mr Mitsotakis and a huge opportunity in 2019. As he said before the elections, he said that the country should change its page, that there should be respect for the institutions, that we should not experience fake referendums again, that we should not experience a policy that exposes the country abroad. But I want to tell you how many times the foreign media have dealt with the government of Mr. Mitsotakis was it ever for anything good? It was a good bugging state because it didn't allow the justice system to do its job. ","Οι φόροι της μεσαίας τάξης και των πιο αδύναμων ελλήνων πολιτών. Ξέρετε, πολλές φορές μιλά μόνο για αυτό. Ξέχνα όμως τι συνέβη με τα χρήματα του ελληνικού λαού που επενδύθηκαν στη σταθεροποίηση του τραπεζικού συστήματος και τα οποία εξαϋλώθηκαν το καλοκαίρι του 2015. Τα λέω αυτά, διότι όλοι πια γνωριζόμαστε πάρα πολύ καλά και για τις επιλογές μας στην οικονομία και για τα εύκολα μεγάλα λόγια, αλλά και για τις επιλογές μας στα μεγάλα εθνικά ζητήματα. Κύριος Μητσοτάκης και μια τεράστια ευκαιρία το 2019. Όπως έλεγε πριν τις εκλογές να αλλάξει η χώρα σελίδα να υπάρχει σεβασμός στους θεσμούς, να μην ζήσουμε ξανά ψεύτικα δημοψηφίσματα, να μη ζήσουμε μια πολιτική η οποία εκθέτει τη χώρα στο εξωτερικό. Αλλά θέλω να σας πω πόσες φορές έχουν ασχοληθεί τα ξένα μέσα μαζικής ενημέρωσης με την κυβέρνηση του κυρίου Μητσοτάκη ήταν ποτέ για κάτι καλό; Ήταν καλό το παρακράτος των υποκλοπών γιατί δεν επέτρεψε στη δικαιοσύνη να κάνει τη δουλειά της.",accountability,economy,other,other,,-0.3,0.25,0.5,0.7,0.4,0.2,0.0,0.0,[],"[['middle class', 'group of people', '0.75'], ['greek citizens', 'group of people', '0.75'], ['greek people', 'group of people', '0.75'], ['banking system', 'organization', '0.75'], ['summer of 2015', 'date', '0.75'], ['economy', 'organization', '0.75'], ['national issues', 'organization', '0.75'], ['mr mitsotakis', 'person', '1.0'], ['2019', 'date', '0.75'], ['country', 'location', '0.75'], ['institutions', 'organization', '0.75'], ['fake referendums', 'organization', '0.75'], ['foreign media', 'organization', '0.75'], ['government', 'organization', '0.75'], ['justice system', 'organization', '0.75']]"
12,"Why didn't he allow the commissions of inquiry to invite his nephew and the businessmen who marketed the Protato? Because quite simply, Mr Mitsotakis has no interest in the truth, his priority is the cover-up.He knows very well that he is part of this choice to set up a morbid parastate in 2022 in a European country and you can be sure that this will haunt him until the end of his political career, which I hope for the sake of the Greek people will be as soon as possible. That they are not worthy. Greece does not deserve to have a prime minister who does everything he can to save his chair at the expense of the public interest. Because I can't characterize otherwise all that has happened in recent years, and it's not just the interceptions. That happened to many civilians, even to the heads of the armed forces. If it is possible to the heads of the armed forces in a civilian leader but these were certainly happening in other decades and not in a normal European country in 2023, but is that all? ","Γιατί δεν επέτρεψε στις εξεταστικές επιτροπές να καλέσουν τον ανιψιό του και τους επιχειρηματίες που εμπορευόταν το Πρωτάτο; Γιατί πολύ απλά ο κύριος Μητσοτάκης δεν έχει ενδιαφέρον για την αλήθεια, έχει προτεραιότητα τη συγκάλυψη, Γνωρίζει πάρα πολύ καλά ότι είναι κομμάτι αυτής της επιλογής να στηθεί ένα νοσηρό παρακράτος εν έτει 2022 σε μια ευρωπαϊκή χώρα και αυτό να είστε σίγουροι ότι θα τον κυνηγά μέχρι το τέλος της πολιτικής του καριέρας που εύχομαι για το καλό του ελληνικού λαού να είναι το συντομότερο δυνατό. Ότι δεν αξίζουν. Δεν αξίζει η Ελλάδα να έχει ένα πρωθυπουργό ο οποίος κάνει ό, τι μπορεί για να σώσει την καρέκλα του εις βάρος του δημοσίου συμφέροντος. Διότι δεν μπορώ να χαρακτηρίσω διαφορετικά όλα αυτά που έχουν συμβεί τα τελευταία χρόνια και δεν είναι μόνο οι υποκλοπές. Που συνέβησαν σε πολλούς πολίτες, ακόμη και στους αρχηγούς των ενόπλων δυνάμεων. Αν είναι δυνατόν στους αρχηγούς των ενόπλων δυνάμεων σε πολιτικό αρχηγό μα αυτά συνέβαιναν σίγουρα άλλες δεκαετίες και όχι σε μια κανονική ευρωπαϊκή χώρα το 2023 είναι όμως μόνο αυτό;",other,corruption,corruption,other,,-0.9,0.95,0.5,0.7,0.8,0.7,0.0,0.1,[],"[['mitsotakis', 'person', '1.0'], ['nephew', 'person', '1.0'], ['protato businessmen', 'group of people', '1.0'], ['greek people', 'group of people', '1.0'], ['greece', 'country', '1.0'], ['european country', 'location', '1.0'], ['2022', 'date', '1.0'], ['interceptions', 'organization', '1.0'], ['armed forces', 'organization', '1.0'], ['2023', 'date', '1.0']]"
13,Today the conclusion of the Tempi tragedy was announced. What does this finding say? That everyone has responsibilities. So I want to talk here today from Mytilene about the responsibilities. ,Σήμερα ανακοινώθηκε το πόρισμα της τραγωδίας των Τεμπών. Τι λέει αυτό το πόρισμα; Ότι όλοι έχουν ευθύνες. Θέλω λοιπόν εδώ σήμερα από τη Μυτιλήνη να μιλήσουμε για τις ευθύνες.,other,other,other,other,,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,[],"[['mytilene', 'location', '1.0'], ['tempi', 'location', '0.8']]"
14,"After this tragedy. Is it possible in a European country to have a competition in 2014? There should be a commitment from the contractor to implement the project in 2 years, to deliver it in 2016. From 16 to date it has received 7 extensions and has been endowed with 14 million euros more to reach 55 million euros all European funds. ","Μετά από αυτή την τραγωδία. Είναι δυνατόν σε μια ευρωπαϊκή χώρα να γίνεται ένας διαγωνισμός το 2014; Να υπάρχει δέσμευση της αναδόχου εταιρείας να υλοποιήσει το έργο σε 2 χρόνια, να το παραδώσει στο 2016. Από το 16 μέχρι σήμερα να παίρνει 7 παρατάσεις και να προικοδοτείται με 14 εκατομμύρια ευρώ παραπάνω να φτάνει στα 55 εκατομμύρια ευρώ όλα ευρωπαϊκά κονδύλια.",infrastructure,other,funds,other,,0.0,0.2,0.0,0.0,0.0,0.1,0.0,0.0,[],[]
15,The project is not being implemented. And in October 21 the independent transparency authority will take a file to the Ministry of Mr. Karamanlis saying who is responsible and the work of the Telecommunications Authority that led 57 of our fellow citizens to the tragedy is not being implemented. So today this conclusion. What does it say about 7 17? ,Το έργο να μην υλοποιείται. Και τον Οκτώβριο του 21 να πηγαίνει η ανεξάρτητη αρχή διαφάνειας ένα φάκελο στο Υπουργείο του κυρίου Καραμανλή λέγοντας ποιοι έχουν τις ευθύνες και δεν υλοποιείται το έργο της Τηλεδιοίκησης που οδήγησε 57 συνανθρώπους μας στην τραγωδία. Σήμερα λοιπόν αυτό το πόρισμα. Τι λέει για την 7 17;,accountability,accountability,other,other,,-0.5,0.2,0.0,0.1,0.0,0.0,0.0,0.0,[],"[['october 21', 'date', '1.0'], ['transparency authority', 'organization', '1.0'], ['ministry of mr. karamanlis', 'organization', '1.0'], ['telecommunications authority', 'organization', '1.0'], ['57 fellow citizens', 'group of people', '1.0'], ['mr. karamanlis', 'person', '1.0']]"
