id,text,text_el,topic,topic-context,subtopic,subtopic-context,topic-open,sentiment,polarization,polarization-definition,toxicity,toxicity-definition,populism,populism-definition,hate speech,ner,ner-limited
1,"Friends. Every day, every hour in every corner of Greece. Meetings like these prove only one thing. PASOK on 21 May will be a strong party, a party that will be the protagonist of the new era. So here's why. I invite all Greek democrats, progressive citizens. To raise the green flag of the sun high. The flag of social justice and national dignity of the historic movement of our founder Andreas Papandreou, a movement. Which offered much to the Greek people. A democratic movement, a reformist movement. that has succeeded today after many years of crisis. Millions of Greek citizens. Watching series on television and saying, reminiscing about the good years of PASOK, we have a duty to make the good years of social justice, of perspective and hope for all Greeks a reality again. 27 days. They are left from the moment when citizens will go to the polls in the national elections to make a brave decision for change. To change the terms of their lives. To demand more opportunities for the younger generation, to change the state of favouritism, and the cronies in power. The state they led to bankruptcy and unfortunately some remain unrepentant, continuing these vicious practices. So the dilemma of these elections is not about Tsipras or Mitsotakis, is it? The majority of Greek citizens in the future if these 2 former prime ministers are saved? The people are not interested in answering their personal dead ends. They are already giving change to each other, investing in extreme polarization, false dilemmas and fake news.","Φίλες και φίλοι. Κάθε μέρα, κάθε ώρα σε κάθε γωνιά της Ελλάδας. Συναντήσεις όπως αυτές αποδεικνύουν μόνο ένα πράγμα. Το ΠΑΣΟΚ στις 21 Μαΐου θα είναι ένα ισχυρό κόμμα, ένα κόμμα πρωταγωνιστής της νέας εποχής. Γι αυτό λοιπόν. Καλώ όλους τους Έλληνες δημοκράτες, προοδευτικούς πολίτες. Να σηκώσουν ψηλά την πράσινη σημαία του ήλιου. Την σημαία της κοινωνικής δικαιοσύνης και της εθνικής αξιοπρέπειας του ιστορικού κινήματος του ιδρυτή μας Ανδρέα Παπανδρέου, ενός κινήματος. Που πρόσφερε πολλά στον ελληνικό λαό. Ενός κινήματος δημοκρατικού, ενός κινήματος μεταρρυθμιστικού. που κατάφερε σήμερα μετά από πολλά χρόνια κρίσης. Εκατομμύρια Έλληνες πολίτες. Να βλέπουν σειρές στην τηλεόραση και να λένε αναπολώντας ΠΑΣΟΚ ωραία χρόνια έχουμε χρέος τα ωραία χρόνια της κοινωνικής δικαιοσύνης, της προοπτικής και της ελπίδας για όλες τις Ελληνίδες και όλους τους Έλληνες να ξαναγίνουν πραγματικότητα. 27 μέρες. Έμειναν από τη στιγμή που οι πολίτες θα προσέρχονται στις κάλπες των εθνικών εκλογών για να πάρουν μια γενναία απόφαση αλλαγής. Να αλλάξουν τους όρους της ζωής τους. Να διεκδικήσουν περισσότερες ευκαιρίες για τη νέα γενιά, να αλλάξουν το κράτος της ευνοιοκρατίας, και των κολλητών της εξουσίας. Το κράτος που οδήγησαν στη χρεοκοπία και δυστυχώς κάποιοι μένουν αμετανόητοι, συνεχίζοντας αυτές τις φαύλες πρακτικές. Το δίλημμα λοιπόν των εκλογών αυτών δεν είναι Τσίπρας ή Μητσοτάκης δεν αφορά; Την πλειοψηφία των Ελλήνων πολιτών στο μέλλον αν σωθούν αυτοί οι 2 πρώην πρωθυπουργοί; Δεν ενδιαφέρει τον λαό να απαντήσει στα προσωπικά τους αδιέξοδα. Ήδη δίνουν τα ρέστα μεταξύ τους, επενδύοντας στην ακραία πόλωση, στα ψευτοδιλήμματα και τα fake news. ",,elections,,other,,0.0,,0.2,,,,0.2,,[],"[['pasok', 'organization', '1.0'], ['andreas papandreou', 'person', '1.0'], ['greek people', 'group of people', '1.0'], ['greek democrats', 'group of people', '0.9'], ['millions of greek citizens', 'group of people', '0.9'], ['greece', 'country', '0.8'], ['27 days', 'date', '0.8'], ['national elections', 'event', '0.7'], ['tsipras', 'person', '0.6'], ['mitsotakis', 'person', '0.6']]"
2,"Mr Mitsotakis, who promised an effective executive state but turned out to be a stooge of powerful economic interests, a champion of temporary employees and a champion of direct assignments.",Ο κύριος Μητσοτάκης που υποσχέθηκε ένα αποτελεσματικό επιτελικό κράτος που αποδείχτηκε όμως τροχονόμο ισχυρών οικονομικών συμφερόντων πρωταθλητής στους μετακλητούς υπαλλήλους και πρωταθλητής βεβαίως στις απευθείας αναθέσεις. ,,corruption,,other,,-0.8,,0.5,,,,0.5,,[],"[['mitsotakis', 'person', '1.0']]"
3,"Today. No one from New Democracy said an apology when a month ago we were saying that the transfer of the stationmaster leading to the tragedy in Tempe was illegal and we were told. That it was perfectly legal under the law of the New Republic. The commission appointed by Mr Mitsotakis himself, the three-member commission, said that it was an illegal transfer. Still. And in such tragic events. In which we mourned 57 dead. The majority of them young people, when the central government has such a political ethos of not telling a drop of truth. Do you understand what we owe on May 21 to close this cycle of vicious governance of the New Democracy?","Σήμερα. Δεν λέει κανείς από τη Νέα Δημοκρατία ένα συγγνώμη όταν πριν από ένα μήνα λέγαμε ότι ήταν παράνομη η μετάταξη του σταθμάρχη που οδήγησε στην τραγωδία των Τεμπών και μας έλεγαν. Ότι ήταν απολύτως νόμιμη με τον νόμο της Νέας Δημοκρατίας. Η Επιτροπή που διόρισε ο ίδιος ο κύριος Μητσοτάκης, η τριμελής Επιτροπή είπε ότι ήταν μια παράνομη μετάταξη. Ακόμη. Και σε τέτοια τραγικά γεγονότα. Που θρηνήσαμε 57 νεκρούς. Στην πλειοψηφία τους νέους ανθρώπους, όταν η κεντρική εξουσία έχει τέτοιο πολιτικό ήθος να μη λέει μια σταγόνα αλήθειας. Καταλαβαίνετε τι χρέος έχουμε στις 21 Μαΐου για να κλείσει αυτός ο κύκλος της φαύλης διακυβέρνησης της Νέας Δημοκρατίας; ",,elections,,other,,-0.8,,0.1,,,,0.2,,[],"[['new democracy', 'political party', '1.0'], ['tempe', 'location', '1.0'], ['new republic', 'country', '1.0'], ['mr mitsotakis', 'person', '1.0'], ['commission', 'organization', '1.0'], ['may 21', 'date', '1.0']]"
4,"During the days of the current prime minister, social inequalities and the accuracy of basic foodstuffs have widened. Prices are still galloping through this twelve-month inflationary surge. New jobs the more than 400 €. This is the gentleman's growth. Mitsotakis, the growth of 300 € but making many young people. Your children and your grandchildren are unable to establish themselves in our country and are constantly looking for opportunities abroad.","Επί των ημερών του σημερινού πρωθυπουργού διευρύνθηκαν οι κοινωνικές ανισότητες, η ακρίβεια στα βασικά είδη διατροφής. Καλπάζουν ακόμη οι τιμές μέσα από αυτό τον δωδεκάμηνη αύξηση του πληθωρισμού. Νέες θέσεις εργασίας οι περισσότερες των 400 €. Αυτή είναι η ανάπτυξη του κυρίου. Μητσοτάκη, η ανάπτυξη των 300 € που κάνει όμως πολλούς νέους ανθρώπους. Τα παιδιά σας και τα εγγόνια σας να μην μπορούν να στεριώσουν στον τόπο μας και να ψάχνουν συνεχώς ευκαιρίες στο εξωτερικό. ",,employment,,economic equity,,-0.8,,0.0,,,,0.0,,[],"[['mitsotakis', 'person', '0.95'], ['gentleman', 'group of people', '0.8'], ['young people', 'group of people', '0.9'], ['children', 'group of people', '0.8'], ['grandchildren', 'group of people', '0.7'], ['our country', 'location', '0.85'], ['abroad', 'location', '0.7']]"
5,"In the face of the actions of New Democracy, Mr Mitsotakis, out of his great anguish, even recruited Karatzaferis to pick up some votes and the scarecrow of Mr Tsipras, saying, watch out, SYRIZA is coming, vote for New Democracy and we answer from Agrinio, vote for PASOK so that both of them can leave. They are squeezing PASOK please with the party of drachma of Yanis Varoufakis. No matter how much they want to distort the modern history of Greece. The reality that we are living the democratic party, PASOK was the only party, which from the beginning of the crisis and the bankruptcy left behind by Mr. Karamanlis, kept an honest attitude, a firm position and defended Greece of the euro, when New Democracy, together with SYRIZA, Varoufakis and the extreme right were saying big and easy words with a law and an article. So without asterisks, without illusions from Zappia and Thessaloniki for us, then that struggle was not just about a currency, it was about the geopolitical position of the country, because this geopolitical position of the country is above all security and perspective. Because we are a deeply patriotic movement that does not play games on the backs of the Greek people on such crucial issues of the future.  Mr Mitsotakis accuses us of talking about monstrosities, inventing science fiction scenarios. PASOK, Mr Mitsotakis, knows a monstrosity. That of the lower square and the upper square of drachmas, neo-Nazis, left-wing and blue illusions glorified together on the sacrifices and sufferings of the Greek people.","Απέναντι λοιπόν στα πεπραγμένα της Νέας Δημοκρατίας ο κύριος Μητσοτάκης επιστράτευσε από τη μεγάλη του αγωνία μέχρι και τον Καρατζαφέρη για να του μαζέψει μερικούς ψήφους και το σκιάχτρο του κυρίου Τσίπρα, λέγοντας, προσέξτε, έρχεται ο ΣΥΡΙΖΑ, ψηφίστε Νέα Δημοκρατία και απαντάμε από το Αγρίνιο, ψηφίστε ΠΑΣΟΚ για να φύγουν και οι 2. Τις τελευταίες ημέρες εν χορώ τα στελέχη της Νέας Δημοκρατίας αγωνιώντας για τις καρέκλες τους. Τσουβαλιάζουν το ΠΑΣΟΚ παρακαλώ με το κόμμα της δραχμής του Γιάνη Βαρουφάκη. Όσο και αν θέλουν μια διαστρεβλώσουν την σύγχρονη ιστορία της Ελλάδας. Την πραγματικότητα που ζούμε η δημοκρατική παράταξη, το ΠΑΣΟΚ ήταν το μόνο κόμμα, που από την αρχή της κρίσης και της χρεοκοπίας που άφησε πίσω του κύριος Καραμανλής κράτησε στάση ειλικρίνειας, σταθερή θέση και υπερασπίστηκε την Ελλάδα του ευρώ, όταν η Νέα Δημοκρατία, μαζί με τον ΣΥΡΙΖΑ, το Βαρουφάκη και την ακροδεξιά έλεγαν μεγάλα και εύκολα λόγια με ένα νόμο και με ένα άρθρο. Χωρίς λοιπόν αστερίσκους χωρίς αυταπάτες από τα Ζάππεια και τη Θεσσαλονίκη για εμάς, τότε εκείνος ο αγώνας δεν ήτανε απλά για ένα νόμισμα, ήταν για για τη γεωπολιτική θέση της χώρας, γιατί αυτή η γεωπολιτική θέση της χώρας είναι πάνω από όλα η ασφάλεια και η προοπτική. Διότι είμαστε ένα βαθιά πατριωτικό κίνημα που δεν παίζει στις πλάτες του ελληνικού λαού παιχνίδια για τόσο κρίσιμα ζητήματα του μέλλοντος.  Ο κύριος Μητσοτάκης μας κατηγορεί λέγοντας για τερατογενέσεις, επινοώντας σενάρια επιστημονικής φαντασίας. Το ΠΑΣΟΚ, κύριε Μητσοτάκη, μια τερατογένεση γνωρίζει. Αυτή της κάτω πλατείας και της πάνω πλατείας δραχμιστές, νεοναζιστές, αριστερές και γαλάζιες αυταπάτες δοξάζονταν παρέα πάνω στις θυσίες και τους πόνους του ελληνικού λαού. ",,political parties,,bankruptcy,,-0.3,,0.8,,,,0.1,,[],"[['mitsotakis', 'person', '0.9'], ['karatzaferis', 'person', '0.6'], ['tsipras', 'person', '0.6'], ['syriza', 'political party', '0.8'], ['new democracy', 'political party', '0.9'], ['agrinio', 'location', '0.7'], ['pasok', 'political party', '1.0'], ['yanis varoufakis', 'person', '0.8'], ['karamanlis', 'person', '0.7'], ['greece', 'country', '0.9'], ['euro', 'date', '0.5'], ['zappia', 'person', '0.5'], ['thessaloniki', 'location', '0.5'], ['neo-nazis', 'group of people', '0.6']]"
6,So that's why there are lessons of responsibility elsewhere and there is of course the example of Mr George. The man that SYRIZA and New Democracy tried to blame the bankruptcy of Mr. Karamanlis with the 15.5% external deficit. When he was vindicated a few weeks ago by the European Court of Human Rights. Such is the liberalism of Mr Mitsotakis and the Progressivism of Mr Tsipras that they did not issue a word of statement to apologise for trying to blame the bankruptcy of the right wing by the so-called Left and Right on a single man. Is this not European normality?,"Για αυτό λοιπόν, μαθήματα υπευθυνότητας αλλού και υπάρχει βέβαια και το παράδειγμα του κυρίου Γεωργίου. Του ανθρώπου που ΣΥΡΙΖΑ και Νέα Δημοκρατία προσπάθησαν να φορτώσουν τη χρεοκοπία του κυρίου Καραμανλή με τα 15.5% εξωτερικό έλλειμμα. Όταν δικαιώθηκε πριν από μερικές εβδομάδες από το Ευρωπαϊκό Δικαστήριο Ανθρωπίνων Δικαιωμάτων. Είναι τέτοιος ο φιλελευθερισμός του κυρίου Μητσοτάκη και ο Προοδευτισμός του κυρίου Τσίπρα που δεν έβγαλαν μια λέξη ανακοίνωσης για να ζητήσουν συγγνώμη που προσπαθούσαν τη χρεοκοπία της δεξιάς οι δήθεν Αριστεροί και δεξιοί να την χρεώσουν σε έναν και μόνο άνθρωπο. Αυτό δεν είναι ευρωπαϊκή κανονικότητα; ",,political parties,,bankruptcy,,0.0,,0.2,,,,0.0,,[],"[['mr george', 'person', '1.0'], ['syriza', 'political party', '1.0'], ['new democracy', 'political party', '1.0'], ['mr. karamanlis', 'person', '1.0'], ['european court of human rights', 'organization', '1.0'], ['mr mitsotakis', 'person', '1.0'], ['mr tsipras', 'person', '1.0']]"
7,"Friends and friends. On the other side is SYRIZA. It only knows. A practice. Divisiveness and populism along with the magic solutions that just missed to destroy the country. Today Mr. Tsipras is tightly embraced by the representative of the Karamanlis government, Mr. Antonaros. A terribly left-wing and progressive choice.","Φίλες και φίλοι. Από την άλλη πλευρά ο ΣΥΡΙΖΑ. Γνωρίζει μόνο. Μια πρακτική. Το διχασμό και τον λαϊκισμό μαζί με τις μαγικές λύσεις που λίγο βέβαια έλειψαν να καταστρέψουν τη χώρα. Σήμερα ο κύριος Τσίπρας είναι σφιχταγκαλιασμένος με τον εκπρόσωπο της κυβέρνησης Καραμανλή, τον κύριο Αντώναρο. Φοβερά αριστερή και προοδευτική επιλογή. ",,opponent criticism,,populism,,-0.7,,0.7,,,,0.2,,[],"[['syriza', 'organization', '1.0'], ['mr. tsipras', 'person', '1.0'], ['karamanlis government', 'political party', '0.6'], ['mr. antonaros', 'person', '1.0.']]"
8,"It also closes the eye. In Golden Dawn, by not voting to put a legislative obstacle in the way of allowing neo-Nazism and not only neo-Nazism to the murderers of Pavlos Fyssas to participate in the next Parliament. Which of these things is progressive?","Επίσης κλείνει το μάτι. Στην Χρυσή Αυγή, μη ψηφίζοντας να μπούμε εμπόδιο νομοθετικό στο να υπάρχει δυνατότητα στο νεοναζισμό και όχι μόνο στο νεοαζισμό στους δολοφόνους του Παύλου Φύσσα να συμμετέχουν στην επόμενη Βουλή. Τι από όλα αυτά είναι προοδευτικό; ",,democracy,,other,,-0.8,,0.2,,,,,,[],"[['golden dawn', 'organization', '1.0'], ['pavlos fyssas', 'person', '1.0'], ['parliament', 'organization', '0.6']]"
9,"Is it progressive to be convicted 13-0 by the Special Court because of the TV licenses? His closest associate, Mr. Pappas, and instead of being at home, he's front table center on the SYRIZA ballot.
So what credibility? And let Mr Tsipras finally stop pretending to be the representative of progressive governance. All he can achieve is to be the scarecrow for the gentleman. Mitsotakis, if it were not for this option, New Democracy would already be past the wiretapping scandal. Also, let's remember the past, because these are not recent houia. They are old houia when it had the choice not to co-govern with another, but from the first night tightly embraced by Mr Kammenos and the Independent Greeks today. They say that we. We think it was a bad time with Mr Kammenos, while some of the candidates say it was a blessing to be in coalition with Mr Kammenos. It was probably a blessing in disguise, because if you look at the SYRIZA ballot papers of the so-called Left, there are dozens of candidates who are orphans of Mr Kammenos.","Μήπως είναι προοδευτικό το να καταδικάζεται με 13-0 από το Ειδικό Δικαστήριο λόγω των τηλεοπτικών αδειών; Ο πιο στενός του συνεργάτης, ο κύριος Παππάς και αντί να είναι σπίτι του να είναι πρώτο τραπέζι πίστα στα ψηφοδέλτια του ΣΥΡΙΖΑ. 
Ποια λοιπόν αξιοπιστία; Και επιτέλους ας σταματήσει ο κύριος Τσίπρας να προσποιείται τον εκπρόσωπο της προοδευτικής διακυβέρνησης. Το μόνο που μπορεί να πετύχει είναι να ‘ναι το σκιάχτρο υπέρ του κυρίου. Μητσοτάκη, αν δεν υπήρχε αυτή η επιλογή, ήδη η Νέα Δημοκρατία θα αποτελούσε παρελθόν από το σκάνδαλο των υποκλοπών. Επίσης, ας θυμηθούμε και το παρελθόν, διότι αυτά δεν είναι πρόσφατα χούγια. Είναι παλιά χούγια όταν είχε την επιλογή δεν συγκυβέρνησε με άλλο, αλλά από την πρώτη νύχτα σφιχτά αγκαλιά με τον κύριο Καμμένο και τους Ανεξάρτητους Έλληνες σήμερα. Λένε ότι εμείς. Θεωρούμε ότι ήταν μια κακή εποχή με τον κύριο Καμμένο, ενώ κάποιοι υποψήφιοι βουλευτές λένε ότι ήταν ευλογία η συγκυβέρνηση με τον κύριο Καμμένο. Τελικά μάλλον ήταν ευλογία, γιατί παρατηρώντας τα ψηφοδέλτια του ΣΥΡΙΖΑ της δήθεν Αριστεράς υπάρχουν δεκάδες υποψήφιοι ορφανά του κυρίου Καμμένου. ",,opponent criticism,,other,,,,0.8,,,,0.2,,[],"[['special court', 'organization', '1.0'], ['mr. pappas', 'person', '1.0'], ['syriza', 'political party', '1.0'], ['mr tsipras', 'person', '1.0'], ['gentleman', 'group of people', '1.0'], ['mitsotakis', 'person', '1.0'], ['new democracy', 'political party', '1.0'], ['independent greeks', 'political party', '1.0'], ['syriza', 'political party', '1.0']]"
10,"So, dear friends. On 21 May we vote PASOK and PASOK comes out. We are opening a new page for our country, for the young people, for all generations, and that is why we call on the Greek people to make a choice of responsibility, a choice of change and to choose between a state of opacity that exists only as a spoil for the blue children and a state of transparency and respect for institutions and human rights. A state of social injustice that implements policies for the few and powerful and a state of justice with strong public health and education.","Για αυτό λοιπόν αγαπητές φίλες και φίλοι. Στις 21 Μαϊου ψηφίζουμε ΠΑΣΟΚ και βγαίνει ΠΑΣΟΚ. Ανοίγοντας νέα σελίδα για την πατρίδα, για τους νέους, για όλες τις γενιές, για αυτό καλούμε τον ελληνικό λαό να κάνει επιλογή ευθύνης, επιλογή αλλαγής και να επιλέξει ανάμεσα σε ένα κράτος αδιαφάνειας που υπάρχει μόνο ως λάφυρο για τα γαλάζια παιδιά, ένα κράτος διαφάνειας και σεβασμού των θεσμών και των ανθρωπίνων δικαιωμάτων. Σε ένα κράτος κοινωνικής αδικίας που υλοποιεί πολιτικές για τους λίγους και ισχυρούς και σε ένα κράτος δικαιοσύνης με ισχυρή δημόσια υγεία και παιδεία. ",,social state,,other,,0.8,,0.1,,,,0.0,,[],"[['pasok', 'political party', '1.0'], ['greek people', 'group of people', '1.0'], ['greece', 'country', '1.0'], ['21 may', 'date', '1.0']]"
