id,text,text_el,topic,topic-context,subtopic,subtopic-context,topic-open,sentiment,polarization,polarization-definition,toxicity,toxicity-definition,populism,populism-definition,hate speech,ner,ner-limited
1,"Friends, thank you from the bottom of my heart for your touching welcome with your warm presence.","Φίλες και φίλοι, σας ευχαριστώ από τα βάθη της καρδιάς μου για τη συγκινητική σας υποδοχή με τη θερμή σας παρουσία. ",,other,,other,,0.8,,0.0,,,,0.0,,[],"[['friends', 'group of people', '100%']]"
2,"It proves that the democratic party, the historic movement founded by Andreas Papandreou, has once again become a leading player in the political scene of the country. A short while ago, Mr Mitsotakis. Giving an interview to a television channel, he said that I have a personal problem with him. The question, Mr Mitsotakis, is not whether I have a personal problem with you. The issue for you is that, ahead of 21 May, millions of Greeks have a personal problem with your policies. For Mr Mitsotakis. And his communications staff every day of the campaign is April Fools' Day. In all my interviews and mine and all our staff. We have made it clear that there is no scenario of a coalition with Mr Varoufakis' party. and those who played the country in the dice of the drachma. But Mr Mitsotakis. He continues to be terrified to bring up this scenario. So we give him today from the heart of Epirus from Ioannina Oscar fiction of Mr. Mitsotakis deserves this Oscar, because every day he bombards the Greek people with lies and fake news. There is no other way to explain his obsession with lies, so I would suggest that he should leave the conspiracy theories behind and answer some of the questions that the Greek citizen discusses every day.","Αποδεικνύεται ότι η δημοκρατική παράταξη, το ιστορικό κίνημα που ίδρυσε ο Ανδρέας Παπανδρέου, ξανάρθε πρωταγωνιστής στο πολιτικό προσκήνιο του τόπου. Πριν από λίγο ο κύριος Μητσοτάκης. Δίνοντας μια συνέντευξη σε ένα τηλεοπτικό κανάλι, είπε ότι έχω προσωπικό πρόβλημα μαζί του. Το ζήτημα, κύριε Μητσοτάκη, δεν είναι εάν εγώ έχω προσωπικό πρόβλημα μαζί σας. Το ζήτημα για σας είναι μπροστά στην 21η Μαϊου ότι έχουν προσωπικό πρόβλημα με τις πολιτικές σας εκατομμύρια Ελληνίδες και Έλληνες. Για τον κύριο Μητσοτάκη. Και το επικοινωνιακό του επιτελείο κάθε μέρα της προεκλογικής εκστρατείας είναι Πρωταπριλιά. Σε όλους μου τις συνεντεύξεις και τις δικές μου και όλων των στελεχών μας. Έχουμε ξεκαθαρίσει ότι δεν υπάρχει κανένα σενάριο συγκυβέρνησης με το κόμμα του κυρίου Βαρουφάκη. και όσους έπαιξαν τη χώρα στα ζάρια της δραχμής. Ο κύριος Μητσοτάκης όμως. Συνεχίζει τρομοκρατημένος να ανασύρει αυτό το σενάριο. Του δίνουμε λοιπόν σήμερα από την καρδιά της Ηπείρου από τα Γιάννενα Όσκαρ μυθοπλασίας του αξίζει του κυρίου Μητσοτάκη αυτό το Όσκαρ, διότι καθημερινά βομβαρδίζει με ψέματα και με fake news τον ελληνικό λαό. Δεν εξηγείται αλλιώς τέτοια εμμονή που έχει στο ψεύδος θα του πρότεινα λοιπόν να αφήσει τις θεωρίες συνωμοσίας και να απαντήσει σε κάποια ερωτήματα από αυτά που συζητά κάθε μέρα ο Έλληνας πολίτης. ",,opponent criticism,,election spending,,-0.7,,0.2,,,,0.2,,[],"[['andreas papandreou', 'person', '0.9'], ['democratic party', 'political party', '0.9'], ['mr mitsotakis', 'person', '0.9'], ['21 may', 'date', '0.9'], ['greeks', 'group of people', '0.9'], [""mr varoufakis' party"", 'organization', '0.9'], ['epirus', 'location', '0.9'], ['ioannina', 'location', '0.9'], ['greek citizen', 'group of people', '0.9']]"
3,"The conclusion of the Commission on the tragedy of Tempi. The commission appointed by himself states that the transfer of the fatal stationmaster was illegal. What does Mr Mitsotakis have to say to his ministers, Mr Voridis and Mr Georgiades, who, after the death of 57 people, told all the channels that the transfer was legal? Who, after all, is responsible for this party buffoonery of New Democracy? Not PASOK, as they wanted to present themselves at that time, not even respecting the families of the victims. Mr Mitsotakis is interested. The citizen should know the truth. But he keeps Mr Karamanlis on his ballot papers. The head of the ministry who arrived in his office in October 2021. The Transparency Authority's finding that pointed to those responsible for both the SYRIZA era and the New Democracy era that delayed the implementation of the 717 contract, which if implemented would have been telecommunications and we would have avoided this tragedy. Mr Tsipras does not say anything about this finding of the Transparency Authority either.","Το πόρισμα της Επιτροπής για την τραγωδία των Τεμπών. Της Επιτροπής που διόρισε ο ίδιος αναφέρει ότι ήταν παράνομη η μετάταξη του μοιραίου σταθμάρχη. Τι έχει να πει ο κύριος Μητσοτάκης στους υπουργούς του τον κύριο Βορίδη και τον κύριο Γεωργιάδη, που μετά τον θάνατο 57 ανθρώπων έλεγαν σε όλα τα κανάλια ότι η μετάταξη ήταν νόμιμη; Ποιος τελικά είναι υπεύθυνος για αυτό το κομματικό ρουσφέτι της Νέας Δημοκρατίας; Όχι πάντως το ΠΑΣΟΚ, όπως ήθελαν να εμφανίσουν κείνες τις ώρες μη σεβόμενοι ούτε τις οικογένειες των θυμάτων. Ενδιαφέρεται ο κύριος Μητσοτάκης. Να μάθει ο πολίτης την αλήθεια. Μα κρατά στα ψηφοδέλτιά του τον κύριο Καραμανλή. Τον προϊστάμενο του υπουργείου που έφτασε στο γραφείο του τον Οκτώβριο του 2021. Πόρισμα της Αρχής Διαφάνειας που υποδείκνυε τους υπεύθυνους και της εποχής του ΣΥΡΙΖΑ και της εποχής της Νέας Δημοκρατίας που καθυστερούσε η υλοποίηση της σύμβασης 717, η οποία εάν υλοποιηθεί θα υπήρχε τηλεδιοίκηση και θα είχαμε αποφύγει αυτή την τραγωδία. Ούτε ο κύριος Τσίπρας λέει κάτι για το πόρισμα αυτό της Αρχής Διαφάνειας. ",,accountability,,other,,-0.5,,0.2,,,,0.2,,[],"[['commission', 'organization', '1.0'], ['tempi', 'location', '1.0'], ['mitsotakis', 'person', '1.0'], ['voridis', 'person', '1.0'], ['georgiades', 'person', '1.0'], ['new democracy', 'political party', '1.0'], ['pasok', 'political party', '1.0'], ['karamanlis', 'person', '1.0'], ['transparency authority', 'organization', '1.0'], ['syriza', 'political party', '1.0'], ['tsipras', 'person', '1.0'], ['717 contract', 'date', '1.0']]"
4,Is the economy doing well? And there the questions are relentless. The trade deficit increased under the New Democracy. Public debt has broken the 400 billion euro barrier and only 14% of investment is productive and not real estate. Investment that is gutting the Greek economy investment that has made rents skyrocket and land purchase costs expensive for Greeks in this day and age.,Πάει καλά μήπως η οικονομία; Και εκεί τα ερωτήματα είναι αμείλικτα. Το εμπορικό έλλειμμα αυξήθηκε κατά την περίοδο της Νέας Δημοκρατίας. Το δημόσιο χρέος έχει σπάσει το φράγμα των 400 δισεκατομμυρίων ευρώ και μόνο το 14% των επενδύσεων είναι παραγωγικές και όχι real estate. Επενδύσεις που αφελληνίζουν την ελληνική οικονομία επενδύσεις που έχουν κάνει τα ενοίκια να είναι στα ύψη και ακριβό το κόστος αγοράς γης για τους Έλληνες στην εποχή μας. ,,economy,,economic crisis,,-0.8,,0.1,,,,0.0,,[],"[['new democracy', 'political party', '1.0'], ['greece', 'country', '1.0'], ['greeks', 'group of people', '0.5'], ['euro', 'currency', '0.5'], ['400 billion', 'number', '0.5']]"
5,"The prime minister is a liberal. Who has all the orphans of Mr. Karatzaferis in his crucial ministries of government. Or is the Prime Minister a liberal and centrist when he has brought Karatzaferis himself to attack me daily from the channels? Is the Prime Minister liberal, who banned the European institutions a few weeks ago from meeting with his ministers. Or is he a liberal prime minister who is responsible for the scandal of the state's eavesdropping scandal and who went so far as to justify it by presenting the leader of PASOK as a force as an agent of foreign powers? Mr Mitsotakis must understand that these are out of the worst times of the right-wing, the times when Andreas Papandreou's PASOK was consigned to the dustbin of history. I understand his panic, I understand that he does not see the very large PASOK rallies, and a moment ago he said that he said I was hiding.","Είναι φιλελεύθερος ο πρωθυπουργός. Που έχει στα κρίσιμα υπουργεία διακυβέρνησής του όλα τα ορφανά του κυρίου Καρατζαφέρη. Ή μήπως είναι φιλελεύθερος ο πρωθυπουργός και κεντρογενής όταν έχει ανασύρει τον ίδιο τον Καρατζαφέρη για να μου επιτίθεται καθημερινά από τα κανάλια; Είναι φιλελεύθερος ο πρωθυπουργός, ο οποίος απαγόρευσε στους ευρωπαϊκούς θεσμούς πριν από μερικές εβδομάδες να συναντηθούν με τους υπουργούς του. Ή μήπως είναι φιλελεύθερος ο πρωθυπουργός που επί ευθύνεται για το σκάνδαλο του παρακράτους των υποκλοπών και που έφτασε στο σημείο για να το δικαιολογήσει να εμφανίσει τον αρχηγό του ΠΑΣΟΚ ως δύναμη ως πράκτορα ξένων δυνάμεων; Ο κύριος Μητσοτάκης πρέπει να καταλάβει ότι αυτά είναι βγαλμένα απ τις χειρότερες εποχές της δεξιάς, τις εποχές που το ΠΑΣΟΚ του Ανδρέα Παπανδρέου έκλεισε στο χρονοντούλαπο της ιστορίας. Καταλαβαίνω τον πανικό του, καταλαβαίνω ότι δεν βλέπει τις πολύ μεγάλες συγκεντρώσεις του ΠΑΣΟΚ και πριν από λίγο είπε λέει ότι κρύβομαι. ",,opponent criticism,,other,,-0.5,,0.6,,,,0.4,,[],"[['prime minister', 'person', '1.0'], ['mr. karatzaferis', 'person', '1.0'], ['liberal', 'political party', '1.0'], ['european institutions', 'organization', '1.0'], ['leaders of pasok', 'group of people', '1.0'], ['mitsotakis', 'person', '1.0'], [""andreas papandreou's pasok"", 'political party', '1.0'], ['pasok rallies', 'group of people', '1.0']]"
6,"You know my goal? This party is to become the home of every democrat and progressive Greek to stop being hostage to a false dilemma between Tsipras and Mitsotakis, so I call on every democrat, every progressive from Ioannina to come to our side and stand by us in this difficult struggle. But you can be sure that it will be victorious because it is a struggle for dignity and perspective.","Ξέρετε στόχος μου; Είναι αυτή η παράταξη να γίνει η στέγη, το σπίτι κάθε δημοκράτη και προοδευτικού Έλληνα για να σταματήσουμε να είμαστε όμηροι ενός ψευτοδιλήμματος μεταξύ Τσίπρα και Μητσοτάκη για αυτό καλώ και από τα Γιάννενα κάθε δημοκράτη, κάθε προοδευτικό να σκάσει στο πλευρό μας να σταθεί δίπλα μας σε αυτό το δύσκολο αγώνα. Αλλά να είστε σίγουροι ότι θα είναι νικηφόρος γιατί είναι αγώνας αξιοπρέπειας, προοπτικής. ",,political parties,,other,,0.8,,0.1,,,,0.1,,[],"[['tsipras', 'person', '0.7'], ['mitsotakis', 'person', '0.7'], ['ioannina', 'location', '0.7'], ['greek', 'country', '0.7'], ['democrat', 'political party', '0.7'], ['progressive', 'group of people', '0.7']]"
7,"Friends, on the other hand, Mr.Tsipras is obsessed with proclaiming himself as the representative of progress in Greece. Is it progress? Following the example of Mr Mitsotakis, not having issued a press release and not having said an apology for Andreas Georgiou, who was targeted by him and the Right as being responsible for the memoranda, when only Mr Karamanlis and his government were responsible. Mr Georgiou was vindicated in the European courts, but you know, it is not a good sign for democracy, for the rule of law in our country and for me and other people to resort to the Court of Human Rights to find justice in Greece in 2023. That is why PASOK has a great duty to play an important role in strengthening democracy, the rule of law and respect for human rights. Is it progress, Mr Tsipras, that you have been cooperating closely with Mr Kamenos, or is it progress that you have put dozens of Kamenos' members on your ballot papers, and recently also recently? The press spokesman of the bankrupt government of Mr Karamanlis? Well, with all these executives, that is not the Left. This is a conglomerate for power and the chair.","Φίλες και φίλοι από την άλλη, ο κύριος Τσίπρας έχει εμμονή να αυτοανακηρύσσεται ως εκπρόσωπος της προόδου στην Ελλάδα. Είναι πρόοδος; Ακολουθώντας το παράδειγμα του κυρίου Μητσοτάκη να μην έχει βγάλει ένα δελτίο Τύπου και να μην έχει πει μια συγγνώμη για την για τον Ανδρέα Γεωργίου που τον στοχοποίησε και αυτός και η Δεξιά ως υπεύθυνο για τα μνημόνια, ενώ μόνος υπεύθυνος ήταν ο κύριος Καραμανλής και η διακυβέρνησή του. Ο κύριος Γεωργίου δικαιώθηκε στα ευρωπαϊκά δικαστήρια, αλλά ξέρετε, δεν είναι καλό σημάδι για τη δημοκρατία, για το κράτος δικαίου στην πατρίδα μας και εγώ και άλλοι άνθρωποι να καταφεύγουμε στο Δικαστήριο Ανθρωπίνων Δικαιωμάτων για να βρούμε το δίκιο μας στην Ελλάδα του 2023. Γι αυτό το ΠΑΣΟΚ έχει ένα μεγάλο χρέος να παίξει σημαντικό ρόλο ενίσχυσης της δημοκρατίας, του κράτους δικαίου και του σεβασμού των ανθρωπίνων δικαιωμάτων. Είναι μήπως πρόοδος, κύριε Τσίπρα, η αγαστή σας συνεργασία με τον κύριο Καμμένο ή μήπως είναι πρόοδος ότι στα ψηφοδέλτιά σας έχετε βάλει δεκάδες στελέχη του Καμμένου, αλλά και τώρα τελευταία; Τον εκπρόσωπο Τύπου της κυβέρνησης της χρεοκοπίας του κυρίου Καραμανλή; Ε με όλα αυτά τα στελέχη αυτό δεν είναι Αριστερά. Αυτό είναι ένα συνοθύλευμα για την εξουσία και την καρέκλα. ",,other,,other,,-0.7,,0.2,,,,0.0,,[],"[['andreas georgiou', 'organization', '1.0'], ['mr tsipras', 'person', '1.0'], ['mr mitsotakis', 'person', '1.0'], ['mr karamanlis', 'person', '1.0'], ['mr georgiou', 'person', '1.0'], ['european', 'political party', '1.0'], ['pasok', 'political party', '1.0'], ['mr kamenos', 'person', '1.0']]"
8,"The real left is here in the democratic party. And finally, justice everywhere - yes, the Greek people are thirsty for justice - we all feel that we need a better quality of justice in the country - justice everywhere - but if Mr.Tsipras believed this, if Mr.Pappas, who was convicted 13-0 by the Special Court for the illegal TV licenses he wanted to give to his oligarch friends, had believed it, he would not have been on the SYRIZA ballot papers.","Η πραγματική αριστερά είναι εδώ στη δημοκρατική παράταξη. Και τέλος το δικαιοσύνη παντού ναι διψά ο ελληνικός λαός για δικαιοσύνη όλοι νιώθουμε ότι χρειάζεται καλύτερη ποιότητα δικαιοσύνης στον τόπο δικαιοσύνη παντού το πιστεύει όμως αυτό που λέει ο κύριος Τσίπρας εάν το πίστευε ο καταδικασμένος με 13-0 από το Ειδικό Δικαστήριο για τις παράνομες τηλεοπτικές άδειες που ήθελε να δώσει σε φιλικούς του ολιγάρχες, κύριος Παππάς, δεν θα ήταν στα ψηφοδέλτια του ΣΥΡΙΖΑ. ",,corruption,,corruption,,-0.6,,0.1,,,,0.1,,[],"[['democratic party', 'organization', '0.8'], ['greek people', 'group of people', '0.8'], ['mr.tsipras', 'person', '0.9'], ['mr.pappas', 'person', '0.8'], ['special court', 'organization', '0.7'], ['syriza', 'political party', '0.9']]"
9,"Friends. We must understand that on May 21, voting for PASOK, only PASOK comes out. And what our political opponents are saying - Mr Mitsotakis saying that you vote PASOK and you get SYRIZA and Mr Tsipras saying that you vote PASOK and you get New Democracy - shows their terror and their anxiety for the rebirth of the democratic party, for the great mass participation of democratic citizens here in Ioannina as well.","Φίλες και φίλοι. Πρέπει να καταλάβουμε ότι στις 21 Μαϊου, ψηφίζοντας ΠΑΣΟΚ, βγαίνει μόνο ΠΑΣΟΚ. Και αυτά που λένε οι πολιτικοί μας αντίπαλοι ο μεν κύριος Μητσοτάκης ότι ψηφίζεις ΠΑΣΟΚ και βγαίνει ΣΥΡΙΖΑ και ο Τσίπρας ότι ψηφίζεις ΠΑΣΟΚ και βγαίνει Νέα Δημοκρατία, δείχνουν τον τρόμο τους και την αγωνία τους για την αναγέννηση της δημοκρατικής παράταξης, για τη μεγάλη μαζική συμμετοχή των δημοκρατών πολιτών και εδώ στα Γιάννενα. ",,opponent criticism,,other,,0.6,,0.2,,,,0.2,,[],"[['pasok', 'political party', '1.0'], ['mitsotakis', 'person', '1.0'], ['syriza', 'political party', '1.0'], ['tsipras', 'person', '1.0'], ['new democracy', 'political party', '1.0'], ['democratic party', 'organization', '1.0'], ['ioannina', 'location', '1.0'], ['may 21', 'date', '1.0']]"
10,"Friends, that is why I call on every Greek to choose between a state of opacity, patronage for the blue children, for the cronies of Mr.Tsipras, a state of meritocracy, transparency and respect for institutions, or a state of social injustice that implements policies that make the rich richer, or a state with justice and strong health and public education. Between a state that hands over the toil, the sacrifices of the Greek people through their red loans to the speculators of the funds, and a state that ensures the fair regulation of the private debt of households and businesses. Friends, Mr Mitsotakis. He touts himself as a champion of stability. He talks of paralysis when his track record includes the interception or capture of the rule of law, the blue children, the widening of social inequalities and he states clearly that he will hold elections as many times as necessary until he himself is elected Prime Minister. But he is probably not so sure of his strategy, because he said a moment ago that he will eventually use the first mandate. So let the Greek people see who has a firm position to govern the country? I have been talking for a year now about stability and progress since the first mandate, or Mr Mitsotakis, who has been talking about second and third elections, but in the face of deadlock, his staff say that he will use the first mandate. We will hear a lot because they understand quite simply that things are not that simple. For his part, Mr Tsipras voted for the simple proportional representation. What does simple proportional representation mean throughout Europe? It means that the parties that have 151 seats work together. But he is talking about a special simple proportional representation that in order to cooperate in the electoral system that he voted for he has to be the first party, do you know what that proves? That the real concern of the leader of Syriza is not to get rid of New Democracy and Mitsotakis, but to save his own political future.","Φίλες και φίλοι, γι αυτό καλώ κάθε Ελληνίδα και κάθε Έλληνα να επιλέξει ανάμεσα σε ένα κράτος αδιαφάνειας, πελατειασμό για τα γαλάζια παιδιά, για τους κολλητούς του κυρίου Τσίπρα σε ένα κράτος αξιοκρατίας, διαφάνειας και σεβασμού των θεσμών μεταξύ ενός κράτους κοινωνικής αδικίας που υλοποιεί πολιτικές που κάνουν τους πλούσιους πλουσιότερους σε ένα κράτος με δικαιοσύνη και ισχυρή υγεία και δημόσια παιδεία. Μεταξύ ενός κράτους που παραδίδει τις κόπους, τις θυσίες του ελληνικού λαού μέσω των κόκκινων δανείων του στους κερδοσκόπους των funds, σε ένα κράτος που διασφαλίζει τη δίκαιη ρύθμιση του ιδιωτικού χρέους των νοικοκυριών και των επιχειρήσεων. Φίλες και φίλοι, κύριος Μητσοτάκης. Αυτοδιαφημίζεται ως υπέρμαχος της σταθερότητας. Μιλάει για παραλυσία, όταν στα πεπραγμένα του συγκαταλέγονται οι υποκλοπές ή άλωση του κράτους δικαίου, τα γαλάζια παιδιά, η διεύρυνση των κοινωνικών ανισοτήτων και δηλώνει ευθαρσώς ότι θα κάνει όσες φορές χρειαστεί εκλογές μέχρι ο ίδιος να εκλεγεί πρωθυπουργός. Μάλλον όμως δεν είναι τόσο σίγουρος για τη στρατηγική του, γιατί πριν από λίγο είπε ότι τελικά θα αξιοποιήσει την πρώτη εντολή. Ας δει λοιπόν ο ελληνικός λαός, ποιος έχει σταθερή θέση για τη διακυβέρνηση της χώρας; Εγώ τώρα και ένα χρόνο που μιλώ από την πρώτη εντολή σταθερότητα και πρόοδο, ή ο κύριος Μητσοτάκης που έλεγε και δεύτερες και τρίτες εκλογές, αλλά μπροστά στο αδιέξοδο το προσωπικό του λέει ότι θα αξιοποιήσει την πρώτη εντολή. Θα ακούσουμε πολλά γιατί πολύ απλά καταλαβαίνουν ότι δεν είναι τόσο απλά τα πράγματα. Από την πλευρά του ο κύριος Τσίπρας ψήφισε την απλή αναλογική. Τι σημαίνει απλή αναλογική σε όλη την Ευρώπη; Ότι συνεργάζονται τα κόμματα που έχουν 151 έδρες. Όμως αυτός μιλάει για μια ειδική απλή αναλογία ότι για να συνεργαστεί στο εκλογικό σύστημα που ψήφισε ο ίδιος πρέπει να είναι πρώτο κόμμα, ξέρετε τι αποδεικνύει αυτό; Ότι η πραγματική αγωνία του αρχηγού του ΣΥΡΙΖΑ δεν είναι να φύγει η Νέα Δημοκρατία και ο Μητσοτάκης, αλλά να σώσει ο ίδιος το πολιτικό του μέλλον. ",,opponent criticism,,election spending,,-0.5,,0.5,,,,0.2,,[],[]
