id,text,text_el,topic,topic-other-context,subtopic,topic-open,sentiment,polarization,polarization-definition,toxicity,toxicity-definition,populism,populism-definition,hate speech,ner,ner-limited
1,"(Foreign publication) - PRESS RELEASE - JKE - Speech by the President of the Greek Communist Party. γ.  Dimitris Koutsouba, at an event of the K. Ε. ","(Ξένη δημοσίευση) - ΑΝΑΚΟΙΝΩΣΗ ΤΥΠΟΥ - ΚΚΕ - Ομιλία του γ γ  Δημήτρη Κουτσούμπα, σε εκδήλωση της Κ Ε",political parties,other,other,speech,0.0,0.9,0.8,0.2,0.5,0.9,0.0,0.2,"[['dimitris koutsouba', 'person', '1.0'], ['greek communist party', 'organization', '1.0'], ['k.e.', 'organization', '1.0']]","[['dimitris koutsouba', 'person', '0.9'], ['greek communist party', 'political party', '0.9'], ['k.e.', 'organization', '0.8'], ['greece', 'country', '0.6']]"
2," on International Women's DaySpeech by Dimitris Koutsoumbas, General Secretary of the KKE KKE Central Committee, at an event of the KKE Central Committee on International Women's DayCompañeras and comrades, Friends and friends, We would like to take this opportunity to salute the overwhelming, massive and magnificent participation of the people and youth in the strike rallies from all over Greece. 	In particular, we want to salute the tens of thousands of pupils and students who, with their youth, their determination and their clear vision, flooded the streets and squares in all major cities and shouted with conviction ""this crime will not be forgotten"". 	Yes, it will not be forgotten, we will see to it, all of us, all of us.  	So today, International Women's Day, the shadow of grief and anger casts a heavy shadow over the tragic train accident in Tempe.  	Seeing the eyes of mothers, fathers, relatives, friends, flooded with pain for the lost children, we grit our teeth because we have no right to remain silent. "," για την Παγκόσμια Ημέρα της ΓυναίκαςΟμιλία του ΓΓ της ΚΕ του ΚΚΕ Δημήτρη Κουτσούμπα σε εκδήλωση της ΚΕ του ΚΚΕ για την Παγκόσμια Ημέρα της ΓυναίκαςΣυντρόφισσες και σύντροφοι, Φίλες και φίλοι,  	Θέλουμε και απ’ αυτή την εκδήλωση να χαιρετίσουμε τη συγκλονιστική, μαζική και μεγαλειώδη συμμετοχή του λαού και της νεολαίας στις απεργιακές συγκεντρώσεις απ’ άκρη σε άκρη σε όλη την Ελλάδα 	Ιδιαίτερα θέλουμε να χαιρετίσουμε τους δεκάδες χιλιάδες μαθητές και φοιτητές που με τα νιάτα τους, την αποφασιστικότητα τους και το καθαρό βλέμμα τους πλημμύρισαν τους δρόμους, τις πλατείες σε όλες τις μεγάλες πόλεις και φώναξαν με πείσμα “το έγκλημα αυτό δεν θα ξεχαστεί” 	Ναι, δεν θα ξεχαστεί, θα φροντίσουμε εμείς γι αυτό, όλοι και όλες  	Σήμερα, λοιπόν, Παγκόσμια Μέρα της Γυναίκας, πέφτει βαριά η σκιά της θλίψης και οργής από το τραγικό πολύνεκρο σιδηροδρομικό δυστύχημα στα Τέμπη  	Βλέποντας τα μάτια των μητέρων, των πατεράδων, των συγγενών, των φίλων, να πλημμυρίζουν από πόνο για τα αδικοχαμένα παιδιά, σφίγγουμε τα δόντια γιατί δεν έχουμε δικαίωμα να σιωπήσουμε",other,other,other,international women's day,-0.5,0.4,0.0,0.1,0.2,0.1,0.0,0.0,"[[""international women's day"", 'date', '1.0'], ['dimitris koutsoumbas', 'person', '1.0'], ['kke', 'organization', '0.75'], ['central committee', 'organization', '0.75'], ['kke central committee', 'organization', '0.75'], ['greece', 'location', '1.0'], ['compañeras', 'person', '1.0'], ['friends', 'person', '1.0'], ['students', 'person', '0.75'], ['cities', 'location', '1.0'], ['tempe', 'location', '1.0']]","[['dimitris koutsoumbas', 'person', '0.8'], ['kke', 'organization', '0.9'], ['central committee', 'organization', '0.8'], ['greece', 'location', '0.8'], [""international women's day"", 'date', '0.9'], ['tempe', 'location', '0.8']]"
3," In order not to let the predestined crime be forgotten, covered up.  	Because what hurts us and shocks us is not a one-act play, only to look for what went wrong, who did not play their role properly... The workers' warnings leave no room for second thoughts.  	The new tragedy is the result of a long chain of decisions, laws and directives - European and Greek - that were jointly passed and implemented by the bourgeois parties that ruled.  That is, the New Democracy, SYRIZA, PASOK, promoting the liberalization of rail transport work on the basis of business-capitalist profit.  Related to this criterion is the fact that the railway infrastructure remained in the hands of the State.  This is the criterion by which the development of fixed-track transport in Greece lagged behind.  	The maximum possible safety with the use of modern scientific and technological means, the recruitment of permanent, properly trained staff, were cut down on the basis of ""cost"" both for the purely privatized parts of the railway and for those managed by the urban state.  	All this works against the need of workers and youth for safe, cheap and modern transport.  	But these are not the choices of a single government, a single Minister.  It has to do mainly with how competition and the shares of the monopolies in Europe, in the whole capitalist world, have been shaped over time.  It affects whether and how much sea, road, rail and air transport develops. "," Για να μην αφήσουμε το προδιαγεγραμμένο έγκλημα να ξεχαστεί, να συγκαλυφθεί  	Γιατί όσα μας πονούν και μας συγκλονίζουν, δεν είναι ένα μονόπρακτο έργο, για να αναζητήσει κανείς μόνο το τι πήγε στραβά, ποιος δεν έπαιξε σωστά το ρόλο του… Οι προειδοποιήσεις των εργαζομένων δεν αφήνουν περιθώρια για δεύτερες σκέψεις  	Η νέα τραγωδία, είναι το αποτέλεσμα μιας μακράς αλυσίδας αποφάσεων, νόμων και  οδηγιών -ευρωπαϊκών και ελληνικών- που από κοινού ψήφισαν και υλοποίησαν τα αστικά κόμματα που κυβέρνησαν  Δηλαδή, η ΝΔ, ο ΣΥΡΙΖΑ, το ΠΑΣΟΚ, προωθώντας την απελευθέρωση του σιδηροδρομικού μεταφορικού έργου με κριτήριο το επιχειρηματικό- καπιταλιστικό κέρδος  Με αυτό το κριτήριο σχετίζεται το γεγονός ότι οι υποδομές του σιδηρόδρομου παρέμειναν στην κρατική επιχείρηση  Με αυτό το κριτήριο έμεινε πίσω η ανάπτυξη των μεταφορικών μέσων σταθερής τροχιάς στην Ελλάδα  	Η μέγιστη δυνατή ασφάλεια με την αξιοποίηση των σύγχρονων επιστημονικών, τεχνολογικών μέσων, οι προσλήψεις μόνιμου προσωπικού, κατάλληλα εκπαιδευμένου, πετσοκόφτηκαν με κριτήριο το “κόστος” τόσο για τα αμιγώς ιδιωτικοποιημένα κομμάτια του σιδηρόδρομου, όσο και για εκείνα που διαχειρίζεται το αστικό κράτος  	Όλα αυτά λειτουργούν σε βάρος της ανάγκης των εργαζομένων και της νεολαίας για ασφαλή, φθηνή και σύγχρονη μετακίνηση  	Αυτές, όμως, δεν είναι επιλογές μιας μόνο κυβέρνησης, κάποιου Υπουργού  Έχει να κάνει κυρίως με το πώς διαχρονικά διαμορφώνεται ο ανταγωνισμός και τα μερίδια των μονοπωλίων στην Ευρώπη, σε όλο τον καπιταλιστικό κόσμο  Επιδρά στο αν και πόσο αναπτύσσονται οι θαλάσσιες, οδικές, σιδηροδρομικές κι εναέριες μεταφορές",privatization,privatization,other,railway safety in greece,-0.8,0.4,0.0,0.2,0.2,0.3,0.0,0.0,"[['europe', 'location', '1.0'], ['greek', 'nationality', '1.0'], ['new democracy', 'organization', '1.0'], ['syriza', 'organization', '1.0'], ['pasok', 'organization', '1.0']]","[['new democracy', 'organization', '0.9'], ['syriza', 'political party', '0.9'], ['pasok', 'political party', '0.9'], ['greece', 'country', '0.9']]"
4," 	All this is related to the choices of the EU, to the interests of the capitalists in Greece, as expressed in the respective policies of all bourgeois parties and governments.  That is why they are not entitled today to talk about the ""unique exception of delay"" in Greece.  Nor are they entitled to blame each other, detached from the totality of their choices.  	As a Party we look into the eyes of every woman who is angered by such moments.  Every employed and unemployed, self-employed, self-employed, freelancer, every young mother who wonders how she can feel secure for herself and her children.  	It is our duty towards the victims of the crime in Tempe, towards our children, to strengthen the current of struggle against politics and the state that leave the people and their children unprotected, because they protect the competitiveness and profitability of the conglomerates. 	That is why every woman has before her a crucial and decisive choice for her future. "," 	Όλα αυτά σχετίζονται με τις επιλογές της ΕΕ, με τα συμφέροντα των καπιταλιστών στην Ελλάδα, όπως εκφράζονται στην αντίστοιχη πολιτική όλων των αστικών κομμάτων και των κυβερνήσεων  Για αυτό και δεν δικαιούνται σήμερα να μιλάνε για “μοναδική εξαίρεση καθυστέρησης” στην Ελλάδα  Ούτε δικαιούνται να ρίχνουν τις ευθύνες ο ένας στον άλλον, αποσπασμένα από το σύνολο των επιλογών τους  	Ως Κόμμα κοιτάμε στα μάτια κάθε γυναίκα που οργίζεται από τέτοιες στιγμές  Κάθε εργατοϋπάλληλο και άνεργη, αυτοαπασχολούμενη, ελευθεροεπαγγελματία, κάθε νέα μητέρα που αναρωτιέται, πώς μπορεί να νοιώθει ασφάλεια για την ίδια και για τα παιδιά της  	Είναι χρέος απέναντι στα θύματα του εγκλήματος στα Τέμπη, απέναντι στα παιδιά μας, να δυναμώσουμε το αγωνιστικό ρεύμα της σύγκρουσης με την πολιτική και το κράτος που αφήνουν απροστάτευτο το λαό και τα παιδιά του, επειδή προστατεύουν την ανταγωνιστικότητα και την κερδοφορία των ομίλων 	Για αυτό κάθε γυναίκα έχει μπροστά της μια κρίσιμη και αποφασιστική για το μέλλον της επιλογή",economy,accountability,other,eu policies,-0.5,0.6,0.2,0.1,0.2,0.0,0.0,0.0,"[['eu', 'organization', '1.0'], ['greece', 'location', '1.0'], ['capitalists', 'group', '1.0'], ['bourgeois parties', 'organization', '1.0'], ['governments', 'organization', '1.0'], ['greece', 'location', '1.0'], ['party', 'organization', '1.0'], ['tempe', 'location', '1.0']]","[['eu', 'organization', '0.75'], ['greece', 'country', '0.75'], ['bourgeois parties', 'group of people', '0.75'], ['governments', 'organization', '0.75'], ['party', 'political party', '0.75'], ['woman', 'person', '0.75'], ['employed', 'group of people', '0.75'], ['unemployed', 'group of people', '0.75'], ['self-employed', 'group of people', '0.75'], ['freelancer', 'person', '0.75'], ['young mother', 'person', '0.75'], ['tempe', 'location', '0.75'], ['state', 'organization', '0.75'], ['conglomerates', 'organization', '0.75']]"
5," To show confidence in the slogan born in the daily battles: That only the people can save the people on the road of subversion, with a strong KKE.  Such is the content of the call for militant solidarity with the KKE in all battles.  	On this path she can draw courage, strength, hope, change her life. "," Να δείξει εμπιστοσύνη στο σύνθημα που γεννήθηκε μέσα στις καθημερινές μάχες: Ότι μόνο ο λαός σώζει το λαό στο δρόμο της ανατροπής, με δυνατό ΚΚΕ  Τέτοιο περιεχόμενο δίνει το κάλεσμα αγωνιστικής συμπόρευσης με το ΚΚΕ σε όλες τις μάχες  	Σε αυτό το δρόμο μπορεί να αντλήσει θάρρος, δύναμη, ελπίδα, να αλλάξει τη ζωή της",political parties,political parties,populism,militant solidarity,0.3,0.2,0.0,0.0,0.2,0.6,0.1,0.0,"[['kke', 'org', '0.9']]","[['kke', 'organization', '1.0'], ['people', 'group of people', '0.9']]"
6," Fighting, with her participation in the daily struggle and her vote in the elections.  	A strong KKE means that it strengthens the current of fighters who do not compromise.  The current of militants who can overturn the logic that the bourgeois parties must be strengthened by the elections in order to ensure a ""stable government"", as they say.  Stable for them, for the drones they serve, stable for their profits, but full of insecurity and instability for the people, working women, young people and youth. "," Μαχόμενη, με τη συμμετοχή της στον καθημερινό αγώνα και την ψήφο της στις εκλογές  	Ένα ισχυρό ΚΚΕ σημαίνει ότι δυναμώνει το ρεύμα των αγωνιστών και αγωνιστριών που δεν συμβιβάζονται  Το ρεύμα των αγωνιστριών και αγωνιστών που μπορεί να ανατρέπει τη λογική ότι από τις εκλογές πρέπει να δυναμώσουν τα αστικά κόμματα για να εξασφαλίσουν μια “σταθερή κυβέρνηση”, όπως λένε  Σταθερή για αυτούς, για τους κηφήνες που υπηρετούν, σταθερή για τα κέρδη τους μεν, αλλά γεμάτη ανασφάλεια και αστάθεια για το λαό, τις εργαζόμενες γυναίκες, τους νέους και τις νέες",elections,elections,election spending,political activism,-0.6,0.8,0.2,0.2,0.1,0.2,0.25,0.0,"[['kke', 'org', '1.0']]","[['kke', 'organization', '0.95'], ['fighters', 'group of people', '0.80'], ['bourgeois parties', 'political party', '0.70'], ['young people', 'group of people', '0.60']]"
7,"	Every vote for the KKE that is taken away from the bourgeois parties weakens the full frontal attack of the next government and the business groups on our rights, on our income, on our lives.  	The stronger the KKE, the stronger the workers', people's demands, the stronger the opposition to the anti-people's policy.  The stronger the people become to put obstacles in the way, to wrest conquests.  The weaker the bourgeois political system of injustice and barbarism will be.  	In the run-up to the elections, both ND and SYRIZA, as well as PASOK and the other parties, intensify the false dilemmas and blackmail. ","	Κάθε ψήφος στο ΚΚΕ η οποία αφαιρείται από τα αστικά κόμματα, αδυνατίζει την ολομέτωπη επίθεση της όποιας επόμενης κυβέρνησης και των επιχειρηματικών ομίλων, στα δικαιώματα, στο εισόδημα, στη ζωή μας  	Όσο πιο δυνατό ΚΚΕ, τόσο πιο δυνατή η εργατική, λαϊκή διεκδίκηση, η αντιπολίτευση στην αντιλαϊκή πολιτική  Τόσο πιο δυνατός γίνεται ο λαός για να βάλει εμπόδια, για να αποσπά κατακτήσεις  Τόσο πιο αδύναμο θα είναι το αστικό πολιτικό σύστημα της αδικίας και της βαρβαρότητας  	Προεκλογικά, τόσο η ΝΔ, όσο και ο ΣΥΡΙΖΑ, όπως και το ΠΑΣΟΚ, τα άλλα κόμματα, εντείνουν τα κάλπικα διλήμματα και τους εκβιασμούς",elections,elections,working class,elections or voting,0.0,0.5,0.5,0.1,0.0,0.2,0.5,0.0,"[['kke', 'organization', '2', 'government', 'organization', '1', 'bourgeois parties', 'organization', '1', 'business groups', 'organization', '1', 'workers', 'people', 'group', '1', ""anti-people's policy"", 'concept', '1', 'bourgeois political system', 'organization', '1', 'nd', 'organization', '1', 'syriza', 'organization', '1', 'pasok', 'organization', '1].']]","[['kke', 'organization', '1.0'], ['nd', 'political party', '1.0'], ['syriza', 'political party', '1.0'], ['pasok', 'political party', '1.0']]"
8," They create illusions that the answer to the current deadlocks and the suffocation felt by the women of the working, popular majority is the supposedly immediate and ""costed"" solutions of the programmes of the various government parties of the bourgeois establishment. 	But the questions are relentless: Can women's modern rights, for example at work, be met without clashing with the long-standing policies of all governments and the EU guidelines on women's employment?  	They cannot. "," Δημιουργούν πλάνες, ότι απάντηση στα σημερινά αδιέξοδα και την ασφυξία που νιώθουν οι γυναίκες της εργατικής, λαϊκής πλειοψηφίας, είναι οι δήθεν άμεσες και “κοστολογημένες” λύσεις των προγραμμάτων των διαφόρων κυβερνητικών κομμάτων του αστικού κατεστημένου 	Τα ερωτήματα, όμως, είναι αμείλικτα: Μπορούν να ικανοποιηθούν τα σύγχρονα δικαιώματα της γυναίκας, για παράδειγμα στην εργασία, χωρίς σύγκρουση με τη διαχρονική πολιτική όλων των κυβερνήσεων και με τις κατευθύνσεις της ΕΕ για τη γυναικεία απασχόληση  	Δεν μπορούν",employment,employment,working class,women's rights,-0.8,0.6,0.1,0.2,0.2,0.1,0.0,0.2,"[['eu', 'organization', '0.8707'], ['governments', 'organization', '0.8198']]","[['women', 'group of people', '0.95'], ['government parties', 'organization', '0.8'], ['bourgeois establishment', 'organization', '0.6'], ['eu', 'organization', '0.6']]"
9," No matter how much they try to dress up in the ""progressive"" cloak of gender equality and equal opportunities, the intensity of the exploitation and oppression of women on behalf of capital.  	They provocatively present irregular working hours as a convenience for the working mother... Work in the form of telecommuting, working from home, project contracts.  	In fact, it is the coercion of women into ""flexible"" work, under the weight of the objective difficulties in their living and working conditions.  	This blurs the boundaries between the actual working time and the personal time of an employed working woman who is also looking after her family.  She is burdened with the tedious and laborious housework, while she is racing to deliver projects to her work. "," Όσο κι αν προσπαθούν να ντύσουν με τον “προοδευτικό” μανδύα της ισότητας των φύλων και των ίσων ευκαιριών, την ένταση της εκμετάλλευσης και καταπίεσης της γυναίκας για λογαριασμό του κεφαλαίου  	Παρουσιάζουν προκλητικά, ως διευκόλυνση της εργαζόμενης μητέρας τα ακανόνιστα ωράρια εργασίας… Τη δουλειά με τη μορφή της τηλεργασίας, της εργασίας από το σπίτι, των συμβάσεων έργου  	Στην πραγματικότητα, είναι εξαναγκασμός των γυναικών στην “ευέλικτη” εργασία, κάτω από το βάρος των αντικειμενικών δυσκολιών στις συνθήκες ζωής και εργασίας της  	Έτσι, γίνονται δυσδιάκριτα τα όρια ανάμεσα στον πραγματικά εργάσιμο χρόνο και τον προσωπικό χρόνο μιας μισθωτής εργαζόμενης γυναίκας, η οποία παράλληλα φροντίζει την οικογένειά της  Επιβαρύνεται με τις άχαρες και κοπιαστικές οικιακές εργασίες, τη στιγμή που κάνει αγώνα δρόμου για να παραδώσει τα project στη δουλειά της",other,gender equality,women's rights,gender inequality,-0.8,0.85,0.8,0.85,0.8,0.8,0.0,0.5,"[['no', 'none', 'none'], ['gender equality', 'person', '0.6'], ['equal opportunities', 'organization', '0.4'], ['exploitation', 'person', '0.6'], ['oppression', 'person', '0.6'], ['capital', 'organization', '0.4'], ['working mother', 'person', '0.6'], ['telecommuting', 'organization', '0.4'], ['project contracts', 'organization', '0.4'], ['women', 'person', '0.6'], ['flexible', 'none', 'none']]",[]
10,"	It is a challenge for the New Democracy government to boast that during its time, Greece recorded the largest reduction in the unemployment rate of women in the EU.  She says this when working women continue to experience job insecurity.  Such as:The workers of the short-term work programmes, who are about to retire and will soon be dismissed.  Salaried scientists, dubbed ""collaborators"" and there is no provision for them to have maternity leave, ""special purpose"" leave, parental leave and related benefits.  Women shop assistants, who work more and more Sundays, as a prerequisite for the profits of the giants of commerce, the super market chains, to increase their profits. ","	Είναι πρόκληση, η κυβέρνηση της ΝΔ να κομπάζει, ότι επί των ημερών της, η Ελλάδα κατέγραψε τη μεγαλύτερη μείωση στο ποσοστό της ανεργίας των γυναικών σε όλη την ΕΕ  Τα λέει αυτά όταν οι εργαζόμενες γυναίκες συνεχίζουν να βιώνουν την εργασιακή ανασφάλεια  Όπως:Οι εργαζόμενες των προγραμμάτων ολιγόμηνης δουλειάς, που βρίσκονται πριν τη σύνταξη και σε λίγο απολύονται  Οι μισθωτές επιστήμονες, που βαφτίζονται “συνεργάτες” και δεν υπάρχει καμία πρόβλεψη για να έχουν άδειες μητρότητας, άδειες “ειδικού σκοπού”, γονική άδεια και σχετικά επιδόματα  Οι γυναίκες εμποροϋπάλληλοι, που δουλεύουν όλο και περισσότερες Κυριακές, ως προαπαιτούμενο για να μεγεθύνονται τα κέρδη των κολοσσών του Εμπορίου, των αλυσίδων super market",employment,employment,working class,unemployment rate of women,-0.3,0.8,0.0,0.2,0.2,0.3,0.0,0.0,"[['new democracy', 'government', '1.0'], ['greece', 'country', '1.0'], ['eu', 'organization', '1.0'], ['workers', 'occupation', '1.0'], ['scientists', 'occupation', '1.0'], ['maternity leave', 'benefit', '1.0'], ['parental leave', 'benefit', '1.0'], ['women', 'gender', '1.0'], ['shop assistants', 'occupation', '1.0'], ['sundays', 'day', '1.0'], ['giants of commerce', 'company', '1.0'], ['super market chains', 'company', '1.0']]","[['new democracy government', 'organization', '1.0'], ['greece', 'country', '1.0'], ['eu', 'organization', '1.0'], ['women', 'group of people', '1.0'], ['workers', 'group of people', '1.0'], ['salaried scientists', 'group of people', '1.0'], ['shop assistants', 'group of people', '1.0'], ['sundays', 'date', '1.0']]"
