id,text,text_el,topic,topic-other-context,subtopic,topic-open,sentiment,polarization,polarization-definition,toxicity,toxicity-definition,populism,populism-definition,hate speech,ner,ner-limited
1,"(Foreign Publication) - PRESS RELEASE - KKE - Speech by Dimitris Koutsoumbas, General Secretary of the KKE KKE at the event for the 100 years of Kokkinia PRESS OFFICE OF THE CENTRAL COMMITTEE.  Heraklion 145- 142 31 PERISSOSTel. :210-2592418 fax: 210-2592388e-mail: mailbox@gt. kke. gr, http://www. ","(Ξένη Δημοσίευση) - ΑΝΑΚΟΙΝΩΣΗ ΤΥΠΟΥ - ΚΚΕ - Ομιλία του ΓΓ της ΚΕ του ΚΚΕ Δημήτρη Κουτσούμπα στην εκδήλωση για τα 100 χρόνια Κοκκινιάς  	ΓΡΑΦΕΙΟ ΤΥΠΟΥ ΤΗΣ ΚΕΝΤΡΙΚΗΣ ΕΠΙΤΡΟΠΗΣΛ  Ηρακλείου 145- 142 31 ΠΕΡΙΣΣΟΣτηλ :210-2592418 fax: 210-2592388e-mail: mailbox@gt kke gr, http://www",political parties,other,other,speech,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[['dimitris koutsoumbas', 'person', '1.0'], ['kke', 'organization', '1.0'], ['press office of the central committee', 'organization', '1.0'], ['heraklion', 'location', '1.0']]","[['dimitris koutsoumbas', 'person', '1.0'], ['kke', 'political party', '1.0'], ['kokkinia', 'location', '1.0'], ['press office of the central committee', 'organization', '1.0'], ['heraklion', 'location', '1.0'], ['perissos', 'location', '1.0'], ['greece', 'country', '1.0'], ['100 years', 'date', '1.0']]"
2,"kke. gr Speech by Dimitris Koutsoumbas, General Secretary of the KKE at the event for the 100th anniversary of Kokkinia Comrades and Compañeras Friends Here, from the Kokkinia of refugees, of Mantra, of the blockade, of the heroic Battle, but also from the Kokkinia that wants its children to live humanly and not ""to live by chance"", we call for battle, struggle, a call for solidarity and strengthening of the KKE everywhere. 	From here and in all the working people's neighbourhoods of Piraeus, in the port, in the factories, in the offices, in the shops, in the hospitals, in the schools, everywhere, where the heart of the working class, of the popular strata, of the youth beats, we send a strong message in every direction: The KKE will not allow the crime in Tempe to be covered up, the policy that exterminates, murders and kills. 	Besides, the Redness of memory and struggle, 100 years now, a century in total, has proven that it DOES NOT KNOW. ","kke gr	 Ομιλία του ΓΓ της ΚΕ του ΚΚΕ Δημήτρη Κουτσούμπα στην εκδήλωση για τα 100 χρόνια Κοκκινιάς Σύντροφοι και Συντρόφισσες	Φίλες και Φίλοι	Εδώ, από την Κοκκινιά των προσφύγων, της Μάντρας, του Μπλόκου, της ηρωικής Μάχης, αλλά και από την Κοκκινιά που θέλει τα παιδιά της να ζήσουν ανθρώπινα και όχι «να ζουν από τύχη», απευθύνουμε κάλεσμα μάχης, αγώνα, κάλεσμα συμπόρευσης και ισχυροποίησης του ΚΚΕ παντού 	Από εδώ και σε όλες τις εργατικές λαϊκές γειτονιές του Πειραιά, στο Λιμάνι, στα εργοστάσια, στα γραφεία, στα μαγαζιά, στα νοσοκομεία, στα σχολεία και τις σχολές, παντού, όπου χτυπά η καρδιά της εργατικής τάξης, των λαϊκών στρωμάτων, της νεολαίας, στέλνουμε δυνατό μήνυμα προς πάσα κατεύθυνση: Το ΚΚΕ δεν πρόκειται να επιτρέψει να συγκαλυφθεί το έγκλημα στα Τέμπη, να τη βγάλει φτηνά η πολιτική που εξοντώνει, δολοφονεί 	Άλλωστε, η Κοκκινιά της μνήμης και του αγώνα, 100 χρόνια τώρα, έναν αιώνα ολάκερο, έχει αποδείξει ότι ΔΕΝ ΞΕΧΝΑ",other,accountability,working class,speech about the 100th anniversary of kokkinia comrades and friends,0.0,0.4,0.0,0.2,0.1,0.15,0.0,0.0,"[['dimitris koutsoumbas', 'person', '1.0'], ['kke', 'organization', '1.0'], ['kokkinia', 'location', '1.0'], ['mantra', 'location', '0.5'], ['piraeus', 'location', '1.0'], ['tempe', 'location', '1.0']]","[['dimitris koutsoumbas', 'person', '1.0'], ['kke', 'organization', '1.0'], ['kokkinia comrades and compañeras friends', 'group of people', '1.0'], ['kokkinia', 'location', '1.0'], ['mantra', 'location', '1.0'], ['piraeus', 'location', '1.0'], ['kke', 'organization', '1.0'], ['tempe', 'location', '1.0'], ['redness', 'group of people', '1.0'], ['100 years', 'date', '1.0'], ['century', 'date', '0.8']]"
3,"	We will express, as we always do, the genuine popular feeling, the anger that justly overflows from the working people, from the youth of our country.  We will be in front, as always, to make this rage a decision to overthrow the rotten exploitative system that generates these tragedies. 	Every mother and father knows well what our young people write on the banners: ""take when you reach..."". ","	Θα εκφράσουμε, όπως κάνουμε πάντα, το γνήσιο λαϊκό αίσθημα, την οργή που δίκαια ξεχειλίζει από τον εργατικό – λαϊκό κόσμο, από τη νεολαία της πατρίδας μας  Θα είμαστε μπροστά, όπως πάντα, για να γίνει αυτή η οργή απόφαση ανατροπής του σάπιου εκμεταλλευτικού συστήματος που γεννά αυτές τις τραγωδίες 	Κάθε μάνα και κάθε πατέρας γνωρίζει καλά τι σημαίνει αυτό που γράφουν οι νέοι μας στα πανό: ""πάρε όταν φτάσεις…""",political parties,accountability,working class,protest,-0.8,0.85,0.1,0.4,0.2,0.8,0.8,0.1,[],"[['working people', 'group of people', '0.7', 'youth', 'group of people', '0.7', 'country', 'location', '0.7', 'exploitative system', 'organization', '0.6', 'mother', 'person', '0.7', 'father', 'person', '0.7', 'young people', 'group of people', '0.7']]"
4," Every man cannot help but feel his stomach tighten, precisely because he knows that this is a predestined crime. 	It's not the bad time, it's not the bad country, it's not the bad moment.  It's the hunt for profit that dominates and murders everywhere, it's the fault of those who rule and govern this country. 	The KKE will give all its forces in the workplaces, in the factories, in the neighbourhoods, in the schools and in the schools, in order to ""get the knife to the bone"" this time.  We will not let this pass. "," Κάθε άνθρωπος, δεν μπορεί παρά να νιώσει το στομάχι του να σφίγγεται, ακριβώς γιατί γνωρίζει ότι πρόκειται για ένα προδιαγεγραμμένο έγκλημα 	Ούτε η κακιά ώρα φταίει, ούτε η κακιά η χώρα, ούτε η κακιά στιγμή  Φταίει το κυνήγι του κέρδους που κυριαρχεί παντού και δολοφονεί, φταίνε όσοι κυβέρνησαν και κυβερνούν αυτήν την χώρα 	Το ΚΚΕ θα δώσει όλες τις δυνάμεις του μέσα στους χώρους δουλειάς, στα εργοστάσια, στις γειτονιές, στις σχολές και στα σχολεία, ώστε «να φτάσει το μαχαίρι στο κόκκαλο» αυτή την φορά  Δεν θα το αφήσουμε να περάσει έτσι",corruption,corruption,working class,capitalism,-0.7,0.8,0.5,0.2,0.4,0.3,0.0,0.0,"[['kke', 'organization', '1.0']]","[['kke', 'organization', '1.0'], ['country', 'location', '1.0']]"
5," 	Responsibilities must be assigned, both state and government and private company and individual responsibilities where they exist, all.  They must not be time-barred, they must not be forgotten.  	We stress this, knowing the methodical effort made by all the other parties of the system to bury the causes that led to the death of 57 of our fellow human beings. 		 And the reasons are: the notorious ""liberalization"" of the market based on EU guidelines, the commercialization of public transport, the dismemberment of OSE and the privatization of its profitable parts, the huge understaffing and the huge deficiencies in safety measures and infrastructure of the state-owned OSE. 	These are all the things that KKE MPs have highlighted over time in the Parliament, such as two months ago in the debate on the rail accidents bill.  They are all things that workers have been demanding for many years in the workplace as well.  	The last example is the announcement of the faction that supports PAME. "," 	Οι ευθύνες πρέπει να αποδοθούν και οι κρατικές και οι κυβερνητικές και της ιδιωτικής εταιρείας και οι ατομικές ευθύνες όπου υπάρχουν, όλες  Δεν πρέπει να παραγραφούν, δεν πρέπει να ξεχαστούν  	Το τονίζουμε, γνωρίζοντας τη μεθοδική προσπάθεια που κάνουν όλα τα υπόλοιπα κόμματα του συστήματος, να θαφτούν οι αιτίες που οδήγησαν στον θάνατο 57 συνανθρώπων μας 		 Και οι αιτίες είναι: η περιβόητη «απελευθέρωση» της αγοράς με βάση τις κατευθύνσεις της ΕΕ, η εμπορευματοποίηση των συγκοινωνιών, ο τεμαχισμός του ΟΣΕ και η ιδιωτικοποίηση των κερδοφόρων κομματιών του, η τεράστια υποστελέχωση σε προσωπικό και οι τεράστιες ελλείψεις σε μέτρα ασφαλείας και υποδομές του κρατικού ΟΣΕ 	Είναι όλα αυτά που έχουν αναδείξει διαχρονικά οι βουλευτές του ΚΚΕ μέσα στη Βουλή, όπως πριν δύο μήνες στη συζήτηση του νομοσχεδίου για τα σιδηροδρομικά ατυχήματα  Είναι όλα αυτά που και μέσα στους χώρους δουλειάς, οι εργαζόμενοι διεκδικούν πολλά χρόνια  	Τελευταίο παράδειγμα αποτελεί και η ανακοίνωση της παράταξης που στηρίζει το ΠΑΜΕ",privatization,privatization,other,railway safety,-0.5,0.2,0.2,0.3,0.5,0.1,0.0,0.0,"[['state', 'organization', '0.5'], ['government', 'organization', '0.5'], ['private company', 'organization', '0.5'], ['individual', 'person', '0.5'], ['eu', 'organization', '0.5'], ['ose', 'organization', '1.0'], ['kke', 'organization', '1.0'], ['parliament', 'organization', '0.5'], ['pame', 'organization', '1.0']]","[['1. eu', 'organization', '0.5'], ['2. ose', 'organization', '1.0'], ['3. kke mps', 'group of people', '1.0'], ['4. parliament', 'organization', '0.5'], ['5. pame', 'political party', '1.0']]"
6," Where on 7/2/23, 20 days before the tragedy, he noted the problems of the area and called for the mockery to stop because ""we will not wait for the accident that is coming, to see them shed crocodile tears making statements"".  	Workers' warnings were not heeded because safety is treated as a cost.  The repeated accidents rang not a bell, a real bell of danger, of the tragedy that was coming. 	Let them leave the rotten ones.  Nobody eats fodder. "," Όπου στις 7/2/23, 20 μέρες πριν την τραγωδία, σημείωνε τα προβλήματα του χώρου και καλούσε να σταματήσει η κοροϊδία διότι “δεν θα περιμένουμε το δυστύχημα που έρχεται, για να τους δούμε να χύνουν κροκοδείλια δάκρυα κάνοντας διαπιστώσεις”  	Οι προειδοποιήσεις των εργαζομένων δεν εισακούστηκαν, επειδή η ασφάλεια αντιμετωπίζεται σαν κόστος  Τα απανωτά ατυχήματα χτυπούσαν όχι καμπανάκι, κανονική καμπάνα του κινδύνου, της τραγωδίας που ερχόταν 	Ας αφήσουν τα σάπια  Δεν τρώει κανένας κουτόχορτο",other,infrastructure,safety,industrial accidents,-0.5,0.8,0.2,0.65,0.7,0.6,0.1,0.2,"[['named entity', 'type', 'probability'], ['7/2/23', 'date', '1.0'], ['workers', 'person_or_group', '0.9']]","[['7/2/23', 'date', '1.0'], [""workers' warnings"", 'group of people', '1.0']]"
7," Like the Southwest, which tried to convince us with its first speech that it was just a ""tragic human error"".  The people did not bite. 	Under the popular pressure of the several days of strike action by the railway workers, the government, under the popular pressure of the strike, had to adjust the rest of the mobilisations throughout Greece, apologising on behalf of all the previous governments. "," Όπως η ΝΔ, που προσπάθησε να μας πείσει με το πρώτο διάγγελμά της, ότι πρόκειται απλά για “τραγικό ανθρώπινο λάθος”  Ο λαός δεν τσίμπησε 	Κάτω από τη λαϊκή πίεση των πολυήμερων απεργιακών κινητοποιήσεων των σιδηροδρομικών, τις υπόλοιπες κινητοποιήσεις σε όλη την Ελλάδα, η κυβέρνηση, αναγκάστηκε να αναπροσαρμόσει, ζητώντας συγγνώμη εκ μέρους όλων των προηγούμενων κυβερνήσεων",employment,accountability,other,railway strike,-0.3,0.3,0.0,0.0,0.2,0.6,0.0,0.0,"[['southwest', 'org', '0.64'], ['greece', 'gpe', '0.98']]","[['southwest', 'organization', '0.5'], ['government', 'organization', '1.0'], ['railway workers', 'group of people', '0.7'], ['greece', 'country', '1.0']]"
8," This is where what our people say fits in: Since the apology came out, the philanthropy is gone. 	The wretched parrots may change the trope a little, but their purpose is always to hide the truth.  No one is convinced by crocodile tears.  In fact, the government said, it was an ""unfortunate coincidence"", since it happened a few months before the so-called Digital Control System.  Everything is always inexplicable, based on the SW. 	Of course, SYRIZA is also close by. "," Εδώ ταιριάζει αυτό που λέει ο λαός μας: Από τότε που βγήκε η συγγνώμη, χάθηκε το φιλότιμο 	Τα άθλια παπαγαλάκια μπορεί να αλλάζουν λίγο το τροπάρι, αλλά πάντα σκοπός τους είναι να κρύψουν την αλήθεια  Δεν πείθουν κανέναν τα κροκοδείλια δάκρυα  Μάλιστα, η κυβέρνηση δήλωσε, ότι ήταν μια “άτυχη συγκυρία”, αφού έτυχε λίγους μήνες πριν λειτουργήσει το επονομαζόμενο Ψηφιακό Σύστημα Ελέγχου  Όλα είναι πάντα ανεξήγητα, με βάση τη ΝΔ 	Από κοντά φυσικά και ο ΣΥΡΙΖΑ",political parties,other,other,apology,-0.6,0.8,0.5,0.8,0.8,0.7,0.0,0.2,"[['syriza', 'org', '0.80'], ['digital control system', 'misc', '0.75']]","[['1. syriza', 'political party', '1.0'], ['2. government', 'organization', '0.9'], ['3. digital control system', 'organization', '0.8']]"
9," Who was the first to declare that it is a time for mourning and not for talking about responsibility.  ""We'll settle up later"", the well-known despicable slogan he used in the pandemic, in Versions 2.  It is logical, of course, since as a government he has backed the ""liberalization"", the privatization of transport, and it was he who sold TRAINOSE to the Italian monopoly, for a plate of lentils and without terms and conditions of basic safety and protection of passengers.  And they don't have a chip on their shoulder.  The world has taken notice of them too.  How they try to justify themselves.  We are told that they were forced to privatise supposedly because of the commitments and the memoranda.  But it's interesting to see what they do, as the official opposition, now that they are not ""forced"", not ""pressured"", as they say.  We have and say: In the pandemic: ""We'll settle up later"".  In the fires in the North. "," Που έσπευσε πρώτος να δηλώσει ότι είναι ώρα για θλίψη και όχι για να μιλήσουμε για ευθύνες  «Θα λογαριαστούμε μετά», το γνωστό κατάπτυστο σλόγκαν που χρησιμοποίησε στην πανδημία, σε βερσιόν Νο 2  Λογικό βέβαια, αφού έχει βάλει πλάτη ως κυβέρνηση στην «απελευθέρωση», την ιδιωτικοποίηση και των μεταφορών, ήταν αυτός που ξεπούλησε την ΤΡΑΙΝΟΣΕ στο ιταλικό μονοπώλιο, αντί πινακίου φακής και χωρίς όρους και προϋποθέσεις στοιχειώδους ασφαλείας και προστασίας των επιβατών  Και δεν έχουν και τσίπα  Τους έχει πάρει χαμπάρι και αυτούς ο κόσμος  Πώς προσπαθούν να δικαιολογηθούν  Μας λένε ότι αναγκάστηκαν να κάνουν την ιδιωτικοποίηση δήθεν λόγω των δεσμεύσεων και των μνημονίων  Έχει ενδιαφέρον, όμως, να δούμε και ως αξιωματική αντιπολίτευση τι κάνουν, τώρα που δεν τους «αναγκάζουν», δεν τους «πιέζουν»,  όπως λένε  Έχουμε και λέμε: Στην πανδημία: “Θα λογαριαστούμε μετά”  Στις πυρκαγιές στη Β",privatization,privatization,other,government response to crises,-0.8,0.8,0.8,0.6,0.8,0.8,0.8,0.2,"[['trainose', 'organization', '1.0'], ['italian', 'nationality', '1.0']]","[['1. government', 'organization', '1.0'], ['2. trainose', 'organization', '1.0'], ['3. italian', 'country', '1.0'], ['4. pandemic', 'date', '1.0'], ['5. north', 'location', '1.0']]"
10," Evia: ""I am not asking for resignations"".  On auctions: ""There is no country where auctions are banned"".  And at the critical moment in Tempe they said: ""This is not the time to talk about responsibility"".  But he can't hide. ", Εύβοια: “Δεν ζητώ παραιτήσεις”  Για τους πλειστηριασμούς: “Δεν υπάρχει χώρα που να απαγορεύονται οι πλειστηριασμοί”  Και στην κρίσιμη στιγμή στα Τέμπη είπαν: “Δεν είναι ώρα να μιλήσουμε για ευθύνες”  Δεν μπορεί να κρυφτεί όμως,criticism,other,other,responsibility,-0.4,0.3,0.0,0.2,0.2,0.2,0.0,0.0,"[['evia', 'location', '0.92'], ['tempe', 'location', '0.76']]","[['evia', 'location', '1.0'], ['tempe', 'location', '1.0']]"
