id,text,text_el,topic,subtopic,topic-open,sentiment,polarization,polarization-definition,toxicity,toxicity-definition,populism,populism-definition,hate speech,ner,ner-limited
1,"Friends, compañeras and comrades.  We want to get out of here.  From Thrace.  From Komotini to greet. ",Φίλες και φίλοι συντρόφισσες και σύντροφοι  Θέλουμε από δω  Από τη Θράκη  Από την Κομοτηνή να χαιρετίσουμε,other,other,travel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[['thrace', 'location', '0.83'], ['komotini', 'location', '0.83']]","[['komotini', 'location', '1.0'], ['thrace', 'location', '1.0']]"
2," The tens of thousands of striking students, pupils, farmers, professionals.  The women of the popular strata.  All of them.  Which have died and today.  The spaces.  Work that closed the.  Schools and schools.  who once again flooded the streets.  And the squares in all the cities of the country, the. "," Τους δεκάδες χιλιάδες απεργούς τους φοιτητές, τους μαθητές, τους αγρότες, τους επαγγελματίες  Τις γυναίκες των λαϊκών στρωμάτων  Όλους αυτούς  Που νέκρωσαν και σήμερα  Τους χώρους  Δουλειάς που έκλεισαν τα  Σχολια και τις σχολες  Που πλημμύρισαν για μια ακόμα φορά τους δρόμους  Και τις πλατείες σε όλες τις πόλεις της χώρας, το",education,other,protests,-0.3,0.0,0.0,0.1,0.2,0.2,0.0,0.0,"[['striking students', 'org', '0.6'], ['pupils', 'misc', '0.4'], ['farmers', 'misc', '0.4'], ['professionals', 'misc', '0.4'], ['women', 'misc', '0.6'], ['popular strata', 'loc', '0.6'], ['spaces', 'misc', '0.4'], ['schools', 'org', '0.6'], ['streets', 'loc', '0.4'], ['squares', 'loc', '0.4'], ['cities', 'loc', '0.4'], ['country', 'loc', '0.4']]","[['students', 'group of people', 'high', '0.8'], ['farmers', 'group of people', 'low', '0.3'], ['professionals', 'group of people', 'low', '0.2'], ['women', 'group of people', 'low', '0.4'], ['the popular strata', 'group of people', 'low', '0.6'], ['schools', 'organization', 'high', '0.9'], ['the streets', 'location', 'high', '0.9'], ['the squares', 'location', 'high', '0.8'], ['the country', 'country', 'high', '0.9']]"
3," We said and we do.  Act will not leave them on a bare branch.  The crime.  This will not be forgotten.  This people.  These youth do not forget the crime in Tempe, they do not forget the 57 fellow human beings who. "," Είπαμε και το κάνουμε  Πράξη δεν θα τους αφήσουμε σε χλωρό κλαρί  Το έγκλημα  Αυτό δεν θα ξεχαστεί  Αυτός ο λαός  Αυτοί οι νεολαία δεν ξεχνά το έγκλημα στα Τέμπη, δεν ξεχνά τους 57 συνανθρώπους μας που",other,other,crime,-0.5,0.7,0.0,0.5,0.5,0.5,0.0,0.1,"[['tempe', 'location', '0.5'], ['57', 'quantity', '0.5']]","[['act', 'organization', '0.5'], ['tempe', 'location', '0.5'], ['57', 'group of people', '0.5']]"
4, They lost their lives.  Sacrificed.  On the altar of profit for the various investors on the altar of.  The reduction of costs for the hostile bourgeois state that this.  Multi-day race. , Έχασαν τη ζωή τους  Που θυσιάστηκαν  Στο βωμό του κέρδους των διαφόρων επενδυτών στο βωμό  Της μείωσης του κόστους για το εχθρικό αστικό κράτος αυτός ο  Πολυήμερος αγώνας,other,other,race fatalities,-0.9,0.9,0.0,0.6,0.7,0.8,0.0,0.1,"[['none', 'as there are no proper nouns included in the text.']]",[]
5, These angry but clear and bright faces.  Those clenched fists.  It's the only color in this blackness that makes us.  He has condemned the rotten.  And their corrupt system is the only hope to change.  Something.  Leriotti time Tiller.  These days we have.  Get a small one only. , Αυτά τα οργισμένα αλλά καθαρά και φωτεινά πρόσωπα  Αυτές οι σφιγμένες γροθιές  Είναι το μόνο χρώμα μέσα σε αυτή τη μαυρίλα που μας  Έχει καταδικάσει το σάπιο  Και διεφθαρμένο σύστημά τους είναι η μόνη ελπίδα για να αλλάξει  Κάτι  Λεριώτη ώρα Τίλερ  Αυτές τις μέρες έχουμε  Πάρει μια μικρή μόνο,other,other,protest or revolution,-0.2,0.4,0.0,0.5,0.5,0.8,0.0,0.0,"[['leriotti', 'person', '0.7'], ['tiller', 'person', '0.7']]","[['leriotti', 'person', '0.9'], ['tiller', 'person', '0.9']]"
6," Taste of what.  The people and the youth can do when they organise themselves, when they.  Discuss collectively, decide.  The demands, the slogans, the forms.  their struggle when they march side by side hand in hand with the communists who. "," Γεύση του τι  Μπορεί να κάνει ο λαός και η νεολαία όταν οργανώνονται, όταν  Συζητούν συλλογικά, αποφασίζουν  Τα αιτήματα, τα συνθήματα, τις μορφές  Πάλης τους όταν βαδίζουν πλάι πλάι χέρι χέρι με τους κομμουνιστές που",political parties,other,protest,0.5,0.8,0.0,0.25,0.1,0.8,0.5,0.0,[],"[['people', 'group of people', '1.0'], ['youth', 'group of people', '1.0'], ['communists', 'group of people', '1.0']]"
7, As always.  So this time too.  Fora we are on the front line in feeling.  Our responsibility.  In these critical hours. , Όπως πάντα  Έτσι και αυτή τη  Φορά είμαστε στην πρώτη γραμμή στην αισθανόμενη  Την ευθύνη μας  Αυτές τις κρίσιμες ώρες,other,other,responsibility,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,"[['fora', 'organization', '0.6'], ['critical', 'event', '0.5']]","[['fora', 'organization', '0.5']]"
8," We had to do a lot, overcome many obstacles, it was not enough just to.  The rage, the grief.  In order for these struggles to develop, they had to.  Fail and failed those who tried to avoid them.  Throwing it all away again. "," Έπρεπε να κάνουμε πολλά, να υπερνικήσουμε πολλά εμπόδια, δεν έφτανε μόνο  Η οργή, η θλίψη  Για να αναπτυχθούν αυτοί οι αγώνες, έπρεπε να  Αποτύχουν και απέτυχαν όσοι προσπάθησαν να τους αποφύγουν  Ρίχνοντάς τα όλα πάλι",other,other,struggles,-0.5,0.5,0.0,0.4,0.2,0.5,0.0,0.0,[],[]
9," On some individual responsibility.  As they did in the pandemic, as the previous government did.  On the disasters at Mati.  In Mandra, Attica. "," Σε κάποια ατομική ευθύνη  Όπως έκαναν και στην πανδημία, όπως έκανε και η προηγούμενη κυβέρνηση  Στις καταστροφές στο Μάτι  Στην Μάνδρα της Αττικής",civil protection,natural disasters,disasters,0.0,0.0,0.0,0.2,0.1,0.0,0.0,0.0,"[['mati', 'location', '1.0'], ['mandra', 'location', '1.0'], ['attica', 'location', '1.0']]","[['mati', 'location', '0.8'], ['mandra', 'location', '0.8'], ['attica', 'location', '0.75']]"
10," Those who had assumed that.  Within a few days.  This rage will subside.  The mobilisations will deflate.  And the issue.  It will be forgotten, since as. "," Έχουν ήδη διαψευστεί όσοι υπολόγιζαν ότι  Μέσα σε λίγες μέρες  Η οργή αυτή θα καταλαγιάσει  Οι κινητοποιήσεις θα ξεφουσκώσουν  Και το θέμα  Θα ξεχαστεί, αφού όπως",other,other,social protest,0.0,0.0,0.0,0.1,0.0,0.2,0.0,0.0,[],[]
11," They say.  For better or worse life goes on.  All those who have tried to bring these mobilisations to their attention have failed.  Measures to reward them.  That is, the content that. ", Λένε  Καλώς ή κακώς η ζωή συνεχίζεται  Έχουν αποτύχει όλοι όσοι προσπάθησαν να φέρουν αυτές τις κινητοποιήσεις στα δικά τους  Μέτρα να τους αποδώσουν  Δηλαδή το περιεχόμενο που,other,other,mobilizations,0.0,0.0,0.0,0.2,0.5,0.0,0.0,0.0,[],[]
12, They would like to.  They have either.  Talking about the general and abstract. , Εκείνοι θα ήθελαν να  Έχουν είτε  Να μιλούν για την γενικά και αφηρημένα,other,other,hypothetical situations,0.0,0.0,0.0,0.2,0.1,0.0,0.0,0.0,[],[]
13," For the evil hour you say and they also say and for the evil country as they say.  As if we're all to blame.  That is, the perpetrators.  And the victims.  Of this policy.  Either to talk only about the responsibilities of a minister. ", Για την κακιά την ώρα λες και οι επίσης και για την κακιά τη χώρα όπως λένε  Λες και φταίμε όλοι  Δηλαδή και οι θύτες  Και τα θύματα  Αυτής της πολιτικής  Είτε να μιλούν μόνο για τις ευθύνες ενός υπουργού,accountability,corruption,politics,0.0,0.0,0.0,0.1,0.2,0.5,0.0,0.0,[],[]
14, A government.  As if the problem.  Started. , Μιας κυβέρνησης  Λες και το πρόβλημα  Ξεκίνησε,other,other,government,-0.5,0.5,0.0,0.4,0.3,0.8,0.0,0.1,[],[]
15, Only in recent years have.  Fail and those who.  They also tried to set up.  Various provocations to terrorize with dismissals with arrests.  Even young children of schoolchildren.  To suppress the mobilizations by force nothing.  It seems from all this to catch.  Why they failed.  Because today.  More and more.  They are the ones who understand the real. , Μόνο τα τελευταία χρόνια έχουν  Αποτύχει και όσοι  Προσπάθησαν επίσης να στήσουν  Διάφορες προβοκάτσιες να τρομοκρατήσουν με απολύσεις με συλλήψεις  Ακόμα και μικρών παιδιών μαθητών ουν  Να καταστείλουν τις κινητοποιήσεις με τη βία τίποτα δεν  Φαίνεται από όλα αυτά να πιάνει  Γιατί απέτυχαν  Γιατί σήμερα  Όλο και περισσότεροι  Είναι αυτοί που καταλαβαίνουν τις πραγματικές,democracy,protest,suppression,0.0,0.7,0.0,0.3,0.7,0.5,0.0,0.0,[],"[['fail', 'organization', '0.35'], ['those who', 'group of people', '0.35'], ['various provocations', 'group of people', '0.35'], ['young children', 'group of people', '0.35'], ['schoolchildren', 'group of people', '0.35']]"
16," Causes behind this tragedy, namely the policy that faces.  Critical sectors.  For life.  of people, such as transport, transport as a.  Fields, field of profitability.  For big capital for business groups.  Every time, every time.  It turns out that the profit. "," Αιτίες πίσω από αυτή την τραγωδία, δηλαδή την πολιτική που αντιμετωπίζει  Κρίσιμους τομείς  Για τη ζωή  Των ανθρώπων, όπως είναι οι μεταφορές, οι συγκοινωνίες σαν  Πεδία, πεδίο κερδοφορίας  Για το μεγάλο κεφάλαιο για τους επιχειρηματικούς ομίλους  Κάθε μα κάθε φορά  Αποδεικνύεται ότι το κέρδος",privatization,other,profitability,-0.5,1.0,0.0,0.8,0.8,1.0,0.0,0.2,"[['none', 'none', 'none'], ['none', 'none', 'none'], ['none', 'none', 'none'], ['none', 'none', 'none'], ['transport', 'field', '0.5'], ['none', 'none', 'none'], ['none', 'none', 'none'], ['none', 'none', 'none'], ['none', 'none', 'none'], ['none', 'none', 'none'], ['none', 'none', 'none'], ['profit', 'field', '0.5']]",[]
17, And the social and real needs of the people are not compatible.  Either the former will be served or the latter.  But did you.  These are obsessions of the communists. , Και η κοινωνικές οι πραγματικές ανάγκες του λαού δεν συμβιβάζονται  Ή το πρώτο θα υπηρετείται ή το δεύτερο  Μήπως όμως  Αυτά είναι εμμονές των κομμουνιστών,other,other,communism,-0.6,1.0,1.0,0.6,0.6,0.9,0.0,0.2,[],"[['communists', 'group of people', '0.9'], ['people', 'group of people', '0.8']]"
18, Mr JV.  Who no matter what happens will say the same thing.  As they wrote and as.  Some still write.  But listen to what the European Commission's special report said.  Court of Auditors for the.  Railways in 2010 7 that.  He revealed just a few minutes ago.  Days the radical was referring to the delayed introduction. , Του κ ΚΕ  Που ότι κι αν συμβεί θα λένε τα ίδια  Όπως έγραψαν και όπως  Γράφουν ακόμα κάποιοι  Ακούστε όμως τι έγραφε Η ειδική έκθεση του Ευρωπαϊκού  Ελεγκτικού Συνεδρίου για τους  Σιδηροδρόμους το 2010 7 που  Αποκάλυψε πριν λίγες μόνο  Μέρες ο ριζοσπάστης αναφερόταν στην καθυστέρηση εισαγωγής,infrastructure,railway,mr jv,0.0,0.0,0.0,0.5,0.2,0.0,0.0,0.0,"[['mr jv', 'person', '1.0'], ['european commission', 'organization', '1.0'], ['court of auditors', 'organization', '1.0']]","[['1. mr jv', 'person', '0.8'], ['2. european commission', 'organization', '1.0'], ['3. court of auditors', 'organization', '1.0'], ['4. railways', 'organization', '0.7'], ['5. radical', 'group of people', '0.6'], ['6. european union', 'organization', '0.5 (implicit reference in ""european commission"")'], ['7. 2010', 'date', '1.0.']]"
19," Modern electronic systems.  In all European countries.  Union on railways.  This delay, writes.  Report can be attributed to. "," Των σύγχρονων ηλεκτρονικών συστημάτων  Σε όλες τις χώρες της Ευρωπαϊκής  Ένωσης στους σιδηροδρόμους  Αυτή η καθυστέρηση, γράφει η  Έκθεση μπορεί να αποδοθεί",infrastructure,railway,railway delays,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,"[['modern electronic systems', 'organization', '0.68'], ['european countries', 'location', '0.89'], ['union', 'organization', '0.58'], ['railways', 'organization', '0.42'], ['report', 'title', '0.76']]","[['european countries', 'location', '0.8'], ['union on railways', 'organization', '0.7']]"
