id,text,text_el,topic,topic-other-context,subtopic,topic-open,sentiment,polarization,polarization-definition,toxicity,toxicity-definition,populism,populism-definition,hate speech,ner,ner-limited
1,"""From today's rally, once again here in Thessaloniki, we want to say with all our strength, addressing the new generation, the youth of this country: You can make a difference.  You proved it in the past few days all over Greece. ","«Από τη σημερινή συγκέντρωση, για μία ακόμα φορά εδώ στη Θεσσαλονίκη, θέλουμε να πούμε με όλη μας τη δύναμη, απευθυνόμενοι στη νέα γενιά, τη νεολαία αυτού του τόπου: Μπορείτε να κάνετε τη διαφορά  Το αποδείξατε τις προηγούμενες μέρες σε όλη την Ελλάδα",democracy,democracy,youth,youth empowerment,0.8,0.1,0.0,0.0,0.0,0.1,0.2,0.0,"[['thessaloniki', 'location', '1.0'], ['greece', 'location', '1.0']]","[['thessaloniki', 'location', '0.9'], ['greece', 'country', '0.8']]"
2,With your struggle you can claim your life and the role you deserve in the present and the future of our country.  With your vote you can punish all those who have served and are serving a policy that mortgages the lives of the younger generation. Strengthen the KKE a lot. ,"Με τον αγώνα σας μπορείτε να διεκδικήσετε τη ζωή, αλλά και τον ρόλο που σας αξίζει στο παρόν και το μέλλον της χώρας μας  Με την ψήφο σας μπορείτε να τιμωρήσετε όλους αυτούς που υπηρέτησαν και υπηρετούν μια πολιτική που υποθηκεύει τη ζωή της νέας γενιάς Να δυναμώσετε πολύ το ΚΚΕ",other,elections,election spending,greek elections,-0.8,1.0,0.0,0.3,0.1,0.8,0.2,0.0,"[['kke', 'organization', '1.0']]","[['kke', 'organization', '0.8'], ['country', 'location', '0.5'], ['younger generation', 'group of people', '0.3']]"
3, The only party that appeals to young people and young people and says to them: Yes.  We can live better.  All the possibilities exist today. It is up to us to make it. , Το μόνο Κόμμα που απευθύνεται στις νέες και τους νέους και τους λέει: Ναι  Μπορούμε να ζήσουμε καλύτερα  Υπάρχουν σήμερα όλες οι δυνατότητες Είναι στο δικό μας χέρι να τα καταφέρουμε,political parties,other,youth,political party,0.6,0.0,0.0,0.0,0.0,0.2,0.2,0.0,[],[]
4," Because the tragic events of the last few days have revealed, through the great tragedy, through the grief and anger, which quickly became an organised struggle, a small part of what all those who project themselves as ""powerful"" fear: the enormous power of our people.  Only the people save the people.  And that slogan has been proven again from one end of the country to the other. "," Γιατί τα τραγικά γεγονότα των τελευταίων ημερών ανέδειξαν μέσα από τη μεγάλη τραγωδία, μέσα από τη θλίψη και την οργή, που γρήγορα έγιναν οργανωμένος αγώνας, ένα μικρό μέρος από αυτό που φοβούνται όλοι όσοι προβάλλονται ως “πανίσχυροι”: Την τεράστια δύναμη του λαού μας  Μόνο ο λαός σώζει το λαό  Και αυτό το σύνθημα αποδείχθηκε ξανά απ’ άκρη σ’ άκρη της χώρας",democracy,national security,other,people power,0.8,0.2,0.0,0.1,0.1,0.2,0.7,0.0,"[['none', 'as there are no specific named entities mentioned in the text.']]","[['people', 'group of people', '1.0'], ['organised struggle', 'organization', '0.6'], ['country', 'location', '1.0.']]"
5,"But they also showed the drive, the ingenuity, the willpower of tens of thousands of young people all over Greece who took to the streets to demand justice for their dead.  To make ""NEVER AGAIN"" their own cause, but also to claim, to fight for all those things that have slowly and painfully filled the glass of anger and indignation for so many years. Because, for this generation, the ""we have been measured and outnumbered"" comes back again and again like a bad nightmare.  When in the natural disasters in Mati and Mandra the criminal responsibility of the state and all governments led to dozens of deaths.  When, after the peak of the pandemic, the timeless health crime was completed with tens of thousands of deaths.  In the repeated incidents of domestic violence, the murders of young women, the murderous attacks of fan armies and the various phenomena of decay and decline of this system, which are constantly coming to the surface.  But not only there.  Because the youth in this system feel the same way when they measure their rights to education, to health, to leisure, to access to open spaces, to sport and recreation. When she opens her wallet and counts how much she has left after paying exorbitant rents, bills or buying a ticket to a concert or the cinema. ","Ανέδειξαν, όμως, και την ορμή, την εφευρετικότητα, τη δύναμη της θέλησης δεκάδων χιλιάδων νέων σε όλη την Ελλάδα που βγήκαν στους δρόμους για να ζητήσουν δικαίωση για τους νεκρούς τους  Για να κάνουν πράξη και δική τους υπόθεση το «ΠΟΤΕ ΞΑΝΑ», αλλά και για να διεκδικήσουν, να αγωνιστούν για όλα εκείνα που αργά και βασανιστικά γέμιζαν το ποτήρι της οργής και της αγανάκτησης εδώ και τόσα χρόνια Γιατί, γι’ αυτή τη γενιά, το “μετρηθήκαμε και είμαστε λιγότεροι” επανέρχεται ξανά και ξανά σαν κακός εφιάλτης  Όταν στις φυσικές καταστροφές στο Μάτι, τη Μάνδρα η εγκληματική ευθύνη του κράτους και όλων των κυβερνήσεων οδήγησε σε δεκάδες νεκρούς  Όταν μετά την κορύφωση της πανδημίας, το διαχρονικό έγκλημα στην υγεία ολοκληρώθηκε με δεκάδες χιλιάδες νεκρούς  Στα αλλεπάλληλα περιστατικά ενδοοικογενειακής βίας, τις δολοφονίες νέων γυναικών, των δολοφονικών επιθέσεων οπαδικών στρατών και τα διάφορα φαινόμενα σήψης και παρακμής αυτού του συστήματος, που έρχονται συνεχώς στην επιφάνεια  Αλλά όχι μόνο εκεί  Γιατί το ίδιο νιώθει η νεολαία σε αυτό το σύστημα όταν μετράει τα δικαιώματά της στην παιδεία, στην υγεία, στον ελεύθερο χρόνο, στην πρόσβασή της σε ελεύθερους χώρους, σε χώρους άθλησης και αναψυχής Όταν ανοίγει το πορτοφόλι της και μετράει πόσα της μένουν ύστερα από την πληρωμή των υπέρογκων ενοικίων, των λογαριασμών ή όταν αγοράζει ένα εισιτήριο για μια συναυλία ή το σινεμά",justice,social state,youth,youth activism in greece,-0.8,0.4,0.5,0.1,0.0,0.2,0.0,0.0,"[['greece', 'location', '1.0'], ['never again', 'organization', '1.0'], ['mati', 'location', '1.0'], ['mandra', 'location', '1.0']]","[['greece', 'location', '1.0'], ['never again', 'date', '1.0'], ['mati', 'location', '1.0'], ['mandra', 'location', '1.0.']]"
6,"When young couples have their first child and count how many places are left in nurseries and it seems like they have to catch the joker to find a place for their child. This is the reality that shapes this system, a system that serves the interests of the few and is profit-centred.  This is the everyday life that the ND-Syriazas-PASOK governments of the past years have created for the youth, but also the policy of the EU, which all of them are constantly trying to ""make oil"".  That is why the KKE said from the first moment and says it again: it is not the bad time or the bad country, it is the capitalist profit and those who ruled and rule this country. We were the first and the only ones who spoke clearly and proved directly that Tempe was not just an accident, but a crime, and a predictable one at that.  Because we knew very well the chronology of this crime and the real culprits:From the PASOK government that carried out the dismemberment of OSE in 2009 to the ND-PASOK coalition government in 2013 that ""ran"" the privatization and from there to the SYRIZA government that in 2017 sold TRAINOSE and burdened the people with debts of 14.3 billion.  of the OSE, to continue this grim work today the Southwest. But not alone. ","Όταν νέα ζευγάρια αποκτούν το πρώτο τους παιδί και μετρούν πόσες θέσεις μένουν στους παιδικούς σταθμούς και τους φαίνεται σαν να πρέπει να πιάσουν το τζόκερ για να βρουν θέση για το παιδί τους Αυτή είναι η πραγματικότητα που διαμορφώνει αυτό το σύστημα, ένα σύστημα που εξυπηρετεί τα συμφέροντα των λίγων και έχει στο επίκεντρο το κέρδος  Αυτή είναι η καθημερινότητα που έφτιαξαν για τη νεολαία οι κυβερνήσεις ΝΔ-ΣΥΡΙΖΑ-ΠΑΣΟΚ των προηγούμενων χρόνων, αλλά και η πολιτική της ΕΕ, που προσπαθούν, μόνιμα, “να βγάλουν λάδι” όλοι τους  Γι’ αυτό το ΚΚΕ είπε από την πρώτη στιγμή και το λέει ξανά:Δε φταίει η κακιά η ώρα ούτε η κακιά η χώρα, φταίει το καπιταλιστικό κέρδος και όσοι κυβέρνησαν και κυβερνούν αυτή τη χώρα Ήμασταν οι πρώτοι και οι μόνοι που μιλήσαμε καθαρά και αποδείξαμε άμεσα ότι τα Τέμπη δεν ήταν απλώς ένα δυστύχημα, αλλά ένα έγκλημα και μάλιστα προδιαγεγραμμένο  Γιατί ξέραμε πολύ καλά το χρονικό αυτού του εγκλήματος και τους πραγματικούς ενόχους:Από την κυβέρνηση του ΠΑΣΟΚ που πραγματοποίησε τον τεμαχισμό του ΟΣΕ το 2009 στη συγκυβέρνηση ΝΔ-ΠΑΣΟΚ το 2013 που “έτρεξε” την ιδιωτικοποίηση και από εκεί στην κυβέρνηση ΣΥΡΙΖΑ που το 2017 πούλησε την ΤΡΑΙΝΟΣΕ και φόρτωσε στον λαό τα χρέη 14,3 δισ  του ΟΣΕ, για να συνεχίσει αυτό το ζοφερό έργο σήμερα η ΝΔ Όχι μόνοι τους όμως",privatization,privatization,youth,nursery places or child care,-0.8,0.75,0.3,0.4,0.2,0.8,0.2,0.0,"[['nd-syriazas-pasok', 'org', '1.0'], ['eu', 'org', '1.0'], ['kke', 'org', '1.0'], ['tempe', 'loc', '1.0'], ['pasok', 'org', '1.0'], ['ose', 'org', '1.0'], ['nd', 'org', '1.0'], ['syriza', 'org', '1.0'], ['trainose', 'org', '1.0'], ['southwest', 'loc', '1.0']]","[['nd-syriazas-pasok', 'organization', '0.8'], ['eu', 'organization', '0.6'], ['kke', 'political party', '0.7'], ['tempe', 'location', '0.9'], ['ose', 'organization', '0.9'], ['pasok', 'political party', '0.7'], ['nd', 'political party', '0.6'], ['syriza', 'political party', '0.7'], ['trainose', 'organization', '0.8'], ['southwest', 'location', '0.5.']]"
7," Because they followed the policy of the European Union itself, which, with a series of directives and guidelines, led to the liberalisation of the railways in order to open up new fields of profitability for capital.  Besides, in the EU itself, things are no better, with over 600 deaths in rail accidents in 2021 alone. Because in the end, everywhere and above all, there is the same big culprit, which is a system centred on capitalist profit. After all, Mr.  Marx, who some will call us ""stuck"" for quoting him 140 years after his death, had written: ""Capital (. ) with a 300% profit, there is no crime that is not risky enough to do so..."". "," Γιατί ακολούθησαν την πολιτική της ίδιας της -πολυδιαφημισμένης στη νεολαία- Ευρωπαϊκής Ένωσης, που, με μια σειρά οδηγίες και κατευθύνσεις, οδήγησε στην απελευθέρωση του σιδηρόδρομου για να ανοίξει νέα πεδία κερδοφορίας για το κεφάλαιο  Άλλωστε, και στην ίδια την ΕΕ, τα πράγματα δεν είναι καλύτερα, με πάνω από 600 νεκρούς σε δυστυχήματα στον σιδηρόδρομο μόνο το 2021 Γιατί τελικά παντού και πάνω απ’ όλα, βρίσκεται ο ίδιος μεγάλος ένοχος, που είναι ένα σύστημα που έχει στο επίκεντρο το καπιταλιστικό κέρδος Άλλωστε ο Κ  Μαρξ, που κάποιοι θα μας αποκαλέσουν “κολλημένους” που τον επικαλούμαστε 140 χρόνια μετά τον θάνατό του, είχε γράψει: “Το κεφάλαιο ( ) με 300% κέρδος δεν υπάρχει έγκλημα που να μη ριψοκινδυνέψει να το πράξει…”",privatization,other,railway,railway liberalisation,-0.8,0.95,0.1,0.6,0.4,0.1,0.0,0.0,"[['european union', 'organization', '1.0'], ['capital', 'concept', '1.0'], ['eu', 'organization', '1.0'], ['2021', 'date', '1.0'], ['mr. marx', 'person', '1.0']]","[['european union', 'organization', '1.0'], ['eu', 'organization', '0.8'], ['2021', 'date', '1.0'], ['marx', 'person', '1.0']]"
8," Something like this was tragically reflected in the lines of Tempi a few days ago. In the developments of these days, the KKE has shown once again that it is separated by an abyss from all the bourgeois parties, not only in its positions, but also in its understanding of the role of the people and the youth.  Because, in these days, it has become clear how much the whole system and its parties fear the power of popular, youthful anger and the power that it can gain through organised mobilisation. They were bothered by a lot.  The government and its parrots were shaken by the thousands on the streets and that is why they called on them ""to keep calm"", not to let a ""bad moment"" spoil the ""work"" of so many years. SYRIZA feared the fact that the youth ""does not chew"" and puts itself in the frame of responsibility.  That's why he said: that ""it's not the time to take responsibility"" when young people were taking to the streets in their thousands. Of course, it's not the first time.  It has become a joke, the different versions he invents each time, of ""we'll settle this later"" so that he never has to account for it. But also MP25, which, through Mr. "," Κάτι τέτοιο αποτυπώθηκε με τραγικό τρόπο στις γραμμές των Τεμπών πριν λίγες μέρες Το ΚΚΕ μέσα στις εξελίξεις αυτών των ημερών, έδειξε ξανά ότι το χωρίζει άβυσσος από όλα τα αστικά κόμματα, όχι μόνο στις θέσεις που έχει, αλλά και στην αντίληψή του για τον ρόλο του λαού και της νεολαίας  Γιατί, αυτές τις μέρες, έγινε καθαρό, πόσο τρέμει όλο το σύστημα και τα κόμματά του τη δύναμη της λαϊκής, της νεολαιίστικης οργής και της δύναμης που μπορεί να αποκτήσει αυτή μέσα από την οργανωμένη κινητοποίηση Τους ενόχλησαν πολλά  Ταρακούνησαν την κυβέρνηση και τα παπαγαλάκια της οι χιλιάδες στον δρόμο και γι’ αυτό τους καλούσαν “να επικρατήσει ψυχραιμία”, να μη χαλάσει μια “κακιά στιγμή” το “έργο” τόσων χρόνων Φοβήθηκε ο ΣΥΡΙΖΑ το γεγονός ότι η νεολαία “δε μασάει” και βάζει και τον ίδιο στο κάδρο των ευθυνών  Γι αυτό και έλεγε: ότι “δεν είναι ώρα για ευθύνες” όταν οι νέοι κατέβαιναν κατά χιλιάδες στους δρόμους Βέβαια δεν είναι η πρώτη φορά  Έχουν καταντήσει ανέκδοτο, οι διαφορετικές εκδοχές που εφευρίσκει κάθε φορά, τού “θα λογαριαστούμε μετά” για να μη λογαριαστεί ποτέ Αλλά και το ΜέΡΑ25, που, μέσω του κ",political parties,accountability,youth,protest or youth mobilization,-0.5,0.6,0.2,0.1,0.0,0.2,0.2,0.0,"[['tempi', 'org', '0.7'], ['kke', 'org', '1.0'], ['bourgeois', 'misc', '0.6'], ['people', 'misc', '0.7'], ['youth', 'misc', '0.8'], ['system', 'misc', '0.6'], ['government', 'org', '0.7'], ['syriza', 'org', '0.8'], ['mp25', 'org', '1.0']]","[['tempi', 'organization', '0.4'], ['kke', 'political party', '0.8'], ['bourgeois parties', 'group of people', '0.4'], ['people', 'group of people', '0.5'], ['youth', 'group of people', '0.5'], ['system', 'organization', '0.3'], ['government', 'organization', '0.5'], ['syriza', 'political party', '0.7'], ['mp25', 'person', '0.4.']]"
9," Varoufakis, at the crucial moment, he said ""no anger, no protest, no condemnation at the polls"", only votes.  Because - as much as he tries to hide it - he has his own share of responsibility, both with his participation as Minister of Economy in the government of 2015, which led to the 3rd and worst memorandum, and with his complete submission to the EU, the Commission and its directives.  After all, when you lean towards ""realism"" in all cases, you probably want to hide the deep compromise that possesses you. The people and the youth, however, have shown that neither the waiting nor the so-called ""realism"" of this system suits them.  That's why, more than anything else, the system itself, the bosses, their analysts, are afraid and terrified of the doubt that is spreading.  The questioning that embraces their parties, their state, the system itself, whose ""GOD"" is profit. They are afraid that many more people are now drawing conclusions, that more people are choosing the organised struggle, because there were tens of thousands of people who thickened the blocks and banners of the unions, the student associations, the student councils, the parents' associations.  Those who are looking for a way to organise themselves in the workplace. "," Βαρουφάκη, την κρίσιμη στιγμή, έλεγε “ούτε οργή, ούτε διαμαρτυρία, καταδίκη στις κάλπες”, μόνο ψηφαλάκια δηλαδή  Γιατί - όσο κι αν προσπαθεί να το κρύψει - έχει το δικό του μερίδιο ευθύνης, τόσο με τη συμμετοχή του ως υπουργός Οικονομίας στην κυβέρνηση του 2015, η οποία οδήγησε στο 3ο και χειρότερο μνημόνιο, όσο και με την πλήρη υποταγή του στην ΕΕ, στην Κομισιόν και τις οδηγίες της  Άλλωστε, όταν κλίνεις σε όλες τις πτώσεις τον “ρεαλισμό”, μάλλον θες να κρύψεις τον βαθύ συμβιβασμό που σε διακατέχει Ο λαός και η νεολαία, όμως, έδειξαν ότι δεν τους ταιριάζει ούτε η αναμονή, ούτε ο δήθεν “ρεαλισμός” αυτού του συστήματος  Γι’ αυτό και πιο πολύ απ’ όλους, φοβήθηκε και τρέμει, το ίδιο το σύστημα, τα αφεντικά, οι αναλυτές τους, την αμφισβήτηση που απλώνεται  Την αμφισβήτηση που αγκαλιάζει τα κόμματά τους, το κράτος τους, το ίδιο το σύστημα που “ΘΕΟΣ” του είναι το κέρδος Φοβούνται ότι πλέον βγαίνουν συμπεράσματα από πολύ περισσότερους, ότι πιο πολλοί επιλέγουν τον οργανωμένο αγώνα, γιατί ήταν δεκάδες χιλιάδες όσοι πύκνωσαν τα μπλοκ και τα πανό των σωματείων, των φοιτητικών συλλόγων, των μαθητικών συμβουλίων, των συλλόγων γονέων  Όσοι ψάχνουν τρόπο να οργανωθούν μέσα στους χώρους δουλειάς",economy,economy,youth,varoufakis,-0.5,0.6,0.3,0.2,0.3,0.2,0.2,0.0,"[['varoufakis', 'person', '1.0'], ['minister of economy', 'job title', '1.0'], ['eu', 'organization', '1.0'], ['commission', 'organization', '1.0']]","[['varoufakis', 'person', '1.0'], ['government', 'organization', '0.5'], ['eu', 'organization', '0.7'], ['commission', 'organization', '0.5'], ['people', 'group of people', '1.0'], ['youth', 'group of people', '0.8'], ['system', 'organization', '0.6'], ['bosses', 'group of people', '0.8'], ['analysts', 'group of people', '0.5'], ['parties', 'political party', '0.5'], ['state', 'location', '0.5'], ['unions', 'organization', '0.7'], ['student associations', 'organization', '0.6'], ['student councils', 'organization', '0.6'], [""parents' associations"", 'organization', '0.6'], ['workplace', 'location', '0.5']]"
10,"They are afraid because the youth did not come down with vague slogans, with blind rage, but knew WHAT and WHO is to blame.  She knew and knows WHY she is angry and WHAT she is asking for.  That's why thousands cried out: ""You count profits and losses, we are talking about human lives. ”. They are afraid because even the sad attempts at provocation, which are now recognised from afar by young children, have not been able to stop the masses of young people demonstrating. But this is the big difference between us and the other parties.  The images that the other parties saw and were overcome with terror, we saw them and our smiles, our confidence and our certainty grew. ","Φοβούνται γιατί η νεολαία δεν κατέβηκε με θολά συνθήματα, με τυφλή οργή, αλλά ήξερε και ΤΙ και ΠΟΙΟΣ της φταίει  Ήξερε και ξέρει ΓΙΑΤΙ είναι οργισμένη και ΤΙ ζητάει  Γι’ αυτό φώναξαν χιλιάδες: “Εσείς μετράτε κέρδη και ζημιές, εμείς μιλάμε για ανθρώπινες ζωές ” Φοβούνται γιατί ούτε οι θλιβερές προσπάθειες προβοκάτσιας, που πλέον τις αναγνωρίζουν από μακριά και τα μικρά παιδιά, κατάφεραν να ανακόψουν τις μάζες νέων που διαδήλωναν Αυτή, όμως, είναι και η μεγάλη διαφορά μας με τα υπόλοιπα κόμματα  Τις εικόνες που έβλεπαν τα άλλα κόμματα και τους κυρίευε ο τρόμος, εμείς τις βλέπαμε και μεγάλωνε το χαμόγελό μας, η αυτοπεποίθηση και η σιγουριά μας",other,other,youth,youth protest,0.8,0.15,0.8,0.2,0.6,0.2,0.3,0.0,"[['the youth', 'organization', '0.5', 'what', 'unknown', '0.5', 'who', 'unknown', '0.5', 'she', 'person', '0.5', 'why', 'unknown', '0.5', 'what', 'unknown', '0.5', 'thousands', 'number', '0.5', 'human lives', 'other', '0.5', 'attempts', 'other', '0.5', 'young children', 'age', '0.5', 'masses', 'other', '0.5', 'young people', 'age', '0.5', 'us', 'organization', '0.5', 'other parties', 'organization', '0.5', 'images', 'other', '0.5].']]","[['youth', 'group of people', '0.8'], ['who', 'organization', '0.6'], ['thousands', 'group of people', '0.5'], ['other parties', 'organization', '0.5']]"
