id,text,text_el,topic,topic-context,subtopic,subtopic-context,topic-open,sentiment,polarization,polarization-definition,toxicity,toxicity-definition,populism,populism-definition,hate speech,ner,ner-limited
1,"	 SPEECH BY THE SECRETARY GENERAL OF THE KKEKE PARTY DEMETRIS KOUTSOUMPAS AT THE EVENT ON: ""WITH THE KKE FOR THE REALLY NEW AND INNOVATIVE IN SCIENCE AND RESEARCH ""Friends, comrades, compañeras and comrades We finally meet today for this event that we had planned before the crime in Tempe, an event that we had to postpone. 	When we talk about a predetermined crime, it does not mean that one knows exactly when and where it will happen.  But we know with certainty that it will happen, as long as human life and safety is weighed in the balance of cost-benefit for each investor and for the investor state.  This is the situation that the current government of the Southwest and all previous governments of SYRIZA and PASOK have created in the railways. 		As long as modern security devices, developed through the painstaking work of you and your colleagues, are treated across the country and around the world by investors as an extra expense that does not usually bring immediate financial benefits. ","	 ΟΜΙΛΙΑ ΤΟΥ ΓΓ ΤΗΣ ΚΕ ΤΟΥ ΚΚΕ ΔΗΜΗΤΡΗ ΚΟΥΤΣΟΥΜΠΑ ΣΤΗΝ ΕΚΔΗΛΩΣΗ ΜΕ ΘΕΜΑ: «ΜΕ ΤΟ ΚΚΕ ΓΙΑ ΤΟ ΠΡΑΓΜΑΤΙΚΑ ΝΕΟ ΚΑΙ ΚΑΙΝΟΤΟΜΟ ΣΤΗΝ ΕΠΙΣΤΗΜΗ ΚΑΙ ΤΗΝ ΕΡΕΥΝΑ»Φίλες και φίλοι, συντρόφισσες και σύντροφοι	Συναντιόμαστε τελικά σήμερα για αυτή την εκδήλωση που είχαμε προγραμματίσει πριν το προδιαγεγραμμένο έγκλημα στα Τέμπη, εκδήλωση βέβαια που ήμασταν υποχρεωμένοι να αναβάλουμε 	Όταν μιλάμε για προδιαγεγραμμένο έγκλημα δε σημαίνει ότι γνωρίζει κανείς το πότε και πού ακριβώς θα συμβεί  Γνωρίζουμε, όμως, με βεβαιότητα ότι θα συμβεί, όσο η ανθρώπινη ζωή και ασφάλεια μπαίνει στη ζυγαριά του κόστους - οφέλους για τον κάθε επενδυτή και για το κράτος των επενδυτών  Αυτή την κατάσταση διαμόρφωσαν και στους σιδηρόδρομους η σημερινή κυβέρνηση της ΝΔ και όλες οι προηγούμενες του ΣΥΡΙΖΑ και του ΠΑΣΟΚ 		Όσο τα σύγχρονα μέσα ασφαλείας, που αναπτύσσονται με την κοπιαστική δουλειά τη δική σας και των συναδέλφων σας, αντιμετωπίζονται σε όλη τη χώρα και σε όλον τον κόσμο από τους επενδυτές σαν ένα επιπλέον έξοδο που μάλιστα δεν φέρνει συνήθως άμεσα οικονομικά οφέλη",employment,,other,,railway safety,-0.7,0.4,0.0,0.2,0.2,0.2,0.0,0.0,"[['speech', 'event', '1.0'], ['secretary general', 'person', '1.0'], ['kkeke party', 'organization', '1.0'], ['demetris koutsoumpas', 'person', '1.0'], ['tempe', 'location', '1.0'], ['kke', 'organization', '1.0'], ['science and research', 'field of study', '1.0'], ['syriza', 'organization', '1.0'], ['pasok', 'organization', '1.0']]","[['demetris koutsoumpas', 'person', '0.8'], ['kkeke party', 'organization', '0.9'], ['tempe', 'location', '0.6'], ['southwest', 'location', '0.5'], ['syriza', 'political party', '0.6'], ['pasok', 'political party', '0.6']]"
2,"	There is no need to analyse in this event the reasons why it is unthinkable in our time for trains to run in blindness, regardless of any existing human errors and negligence.  You understand this better than we do and can confirm and document it. 		And unfortunately we cannot be optimistic that we will not have more such crimes in the future, which today - and long before - are predicted.  One only has to look at the situation in the seismic armouring of schools and buildings, the condition of the ships that operate the coastal routes, the lack of flood protection works, even though we have paid for it so many times, the lack of preventive measures for the possibility of a large-scale industrial accident in industrial areas and so on. 	But we are optimistic that this situation can and will change and the only way for this to happen is for the promising struggle of the workers and especially the youth, pupils and students throughout the country to continue, to become even more massive, to acquire even more radical goals.  All those people who made grief and anger a mood to finally change something.  All those who went on strike, closed schools and colleges, defied terrorism, repression and those who say more or less that this is how the far right is strengthened - if that is possible.  - and took to the streets, shouting ""it's their profits or our lives"". ","	Δεν χρειάζεται να αναλύσουμε σε αυτήν εδώ την εκδήλωση τους λόγους για τους οποίους είναι αδιανόητο να κυκλοφορούν στην εποχή μας τα τρένα στα τύφλα, ανεξάρτητα από τα όποια υπαρκτά ανθρώπινα λάθη και αμέλειες  Το καταλαβαίνετε καλύτερα από εμάς και μπορείτε να το επιβεβαιώσετε και να το τεκμηριώσετε 		Και δυστυχώς δεν μπορούμε να είμαστε αισιόδοξοι ότι δεν θα έχουμε κι άλλα τέτοια εγκλήματα στο μέλλον, τα οποία σήμερα - αλλά και καιρό πριν – προδιαγράφονται  Αρκεί να κοιτάξει κανείς την κατάσταση στην αντισεισμική θωράκιση σχολείων και κτηρίων, 		την κατάσταση στην οποία βρίσκονται τα πλοία που εκτελούν τα ακτοπλοϊκά δρομολόγια, 		την έλλειψη αντιπλημμυρικών έργων και ας το έχουμε πληρώσει τόσες και τόσες φορές, 		την έλλειψη προληπτικών μέτρων για την πιθανότητα ενός Βιομηχανικού Ατυχήματος Μεγάλης Έκτασης σε βιομηχανικές περιοχές και πάει λέγοντας 	Είμαστε όμως αισιόδοξοι ότι αυτή η κατάσταση μπορεί να αλλάξει και θα αλλάξει και ο μόνος τρόπος να συμβεί αυτό, είναι να συνεχιστεί, να μαζικοποιηθεί κι άλλο, να αποκτήσει ακόμα πιο ριζοσπαστικούς στόχους ο ελπιδοφόρος αγώνας των εργαζομένων και ιδιαίτερα της νεολαίας, των μαθητών, των φοιτητών σε όλη τη χώρα  Όλων αυτών των ανθρώπων που έκαναν τη θλίψη και την οργή διάθεση για να αλλάξει επιτέλους κάτι  Όλων αυτών που απέργησαν, έκλεισαν σχολεία και σχολές, αψήφησαν την τρομοκρατία, την καταστολή και όσους λένε λίγο-πολύ ότι έτσι ενισχύεται η ακροδεξιά - αν είναι δυνατόν  - και ξεχύθηκαν στους δρόμους βροντοφωνάζοντας “ή τα κέρδη τους ή η ζωές μας”",infrastructure,,safety,,transportation safety,-0.25,0.35,0.0,0.1,0.1,0.4,0.0,0.0,[],[]
3,"	We, for our part, commit ourselves to give our best as KKE and KNE to ensure that the crime is not forgotten, to impose measures to protect our lives and the lives of our children.  	There and only there will we deposit whatever strength the people and the youth give us in the political battles ahead of us in the coming period, while the parties of the bourgeois administration with shared roles will promote the next steps of this criminal policy. 	In these circumstances, we choose to discuss with you what is truly new and innovative in science and research, not to be distracted by very timely and ultimately human - very human - developments.  Instead, we seek to see together a great truth of our time.  A truth that says that the man of scientific intellectual work can, through the successive developments and the daily research and teaching toil, see himself and his anxieties in the political proposal of the KKE. ","	Εμείς από την πλευρά μας δεσμευόμαστε ότι θα δώσουμε ως ΚΚΕ και ως ΚΝΕ τον καλύτερό μας εαυτό για να μην ξεχαστεί το έγκλημα, για να επιβάλλουμε μέτρα προστασίας της ζωής μας και της ζωής των παιδιών μας  	Εκεί και μόνο εκεί θα καταθέσουμε όση δύναμη μας δώσει ο λαός και η νεολαία στις πολιτικές μάχες που έχουμε μπροστά μας το επόμενο διάστημα, την ώρα που τα κόμματα της αστικής διαχείρισης με μοιρασμένους ρόλους θα  προωθούν τα επόμενα βήματα αυτής της εγκληματικής πολιτικής 	Σε αυτές τις συνθήκες, επιλέγουμε να συζητήσουμε μαζί σας για το πραγματικό νέο και καινοτόμο στην επιστήμη και στην έρευνα, όχι για να αποσπαστούμε από πολύ επίκαιρες και τελικά ανθρώπινες -πολύ ανθρώπινες- εξελίξεις  Αντιθέτως, επιδιώκουμε να δούμε μαζί μια μεγάλη αλήθεια της εποχής μας  Μια αλήθεια που λέει, ότι και ο άνθρωπος της επιστημονικής διανοητικής εργασίας μπορεί, μέσα από τις αλλεπάλληλες εξελίξεις και τον καθημερινό ερευνητικό και διδακτικό μόχθο, να δει τον εαυτό του και τις αγωνίες του, στην πολιτική πρόταση του ΚΚΕ",other,,academic research,,political commitment,0.0,0.2,0.0,0.1,0.0,0.0,0.0,0.0,"[['kke', 'org', '1.0'], ['kne', 'org', '1.0']]","[['kke', 'organization', '1.0'], ['kne', 'organization', '1.0'], ['people', 'group of people', '1.0'], ['children', 'group of people', '1.0'], ['bourgeois administration', 'organization', '1.0'], ['kke', 'political party', '1.0'], ['science', 'organization', '1.0'], ['research', 'organization', '1.0'], ['kke', 'political party', '1.0']]"
4," That is, how, today, conditions, terms and prerequisites will be created for the voice of the social majority to expand and strengthen.  To weaken, to lose supporters and pillars, everywhere the iron heel of the capitalist system in order to multiply the sparks of struggles and ideological and scientific conflict and study within universities and research centres. 	So, we are addressing you here who - why should we hide it, like us - were touched by the positive results of last year's student elections that made the Panhellenic Students' Union the leading force in the Universities.  	We know that among you there are various generations of people whose presence in the Communist Party and the Party was not redeemed, people who may have once parted ways with us, but who, like us, ""maintained watering holes"" in the flames of the counter-revolution, of the regression of the communist and workers' movement. "," Στο πώς δηλαδή, σήμερα θα δημιουργούνται συνθήκες, όροι και προϋποθέσεις για να διευρύνεται, να δυναμώνει η φωνή της κοινωνικής πλειοψηφίας  Να αδυνατίζει, να χάνει συμπαραστάτες και πυλώνες, παντού η σιδερένια φτέρνα του καπιταλιστικού συστήματος για να πολλαπλασιάζονται και μέσα στα πανεπιστήμια και στα ερευνητικά κέντρα, οι σπίθες των αγώνων και της ιδεολογικής και επιστημονικής διαπάλης αλλά και μελέτης 	Απευθυνόμαστε, λοιπόν, σε σας εδώ που – γιατί να το κρύβουμε, όπως κι εμείς - συγκινηθήκαμε με τα περσινά θετικά αποτελέσματα των φοιτητικών εκλογών που ανάδειξαν την Πανσπουδαστική, πρώτη δύναμη στα Πανεπιστήμια  	Γνωρίζουμε ότι ανάμεσά σας βρίσκονται διάφορες γενιές ανθρώπων που την παρουσία τους στην ΚΝΕ και στο Κόμμα δεν την εξαργύρωσαν, άνθρωποι που ενδεχομένως κάποτε χώρισαν οι δρόμοι μας, αλλά κι αυτοί, όπως κι εμείς, «συντήρησαν φωλιές νερού» μέσα στις φλόγες της αντεπανάστασης, της οπισθοχώρησης του κομμουνιστικού και εργατικού κινήματος",political parties,,other,,strengthening the voice of the social majority,0.0,0.3,0.2,0.1,0.2,0.2,0.0,0.0,"[[""panhellenic students' union"", 'organization', '1.0'], ['communist party', 'organization', '0.8'], ['party', 'organization', '0.8']]","[[""panhellenic students' union"", 'organization', '0.8'], ['communist party', 'organization', '0.7'], [""workers' movement"", 'group of people', '0.6'], ['university', 'location', '0.9'], ['research centres', 'organization', '0.7'], ['capitalist system', 'organization', '0.5'], ['social majority', 'group of people', '0.6'], [""last year's student elections"", 'date', '0.6']]"
5," But here we are today.  To discuss, to listen to your suggestions, your comments, such as the one we accept in advance: Yes.  The children of the KNE should be in class and be good students. "," Όμως σήμερα είμαστε εδώ  Για να συζητήσουμε, για να ακούσουμε προτάσεις, τις επισημάνσεις σας, όπως αυτή που από τώρα και προκαταβολικά αποδεχόμαστε: Ναι  Τα παιδιά της ΚΝΕ πρέπει να βρίσκονται και μέσα στο μάθημα και να είναι και καλοί φοιτητές και φοιτήτριες",education,,other,,education,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,"[['kne', 'organization', '.3']]","[['kne', 'organization', '0.95']]"
6," But mainly to contribute from your side, to make our struggle stronger.  And now in the run-up to the parliamentary elections, but also in all the open fronts that we have before us, which are not a few.  And especially. "," Κυρίως όμως για να συμβάλλετε κι εσείς από τη μεριά σας, για να γίνει ο αγώνας μας πιο δυνατός  Και τώρα μπροστά στις βουλευτικές εκλογές, αλλά και σε όλα τα ανοιχτά μέτωπα που έχουμε μπροστά μας που ούτε λίγα είναι  Και κυρίως",elections,,election spending,,political activism,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[['parliamentary elections', 'event', '0.7']]","[['parliamentary elections', 'date', '1.0']]"
7," These are literally life and death issues.  Friends The imperialist war in Ukraine, between the Euro-Atlantic bloc on the one hand and Russia and its allies on the other, is escalating.  The conflict between the US and China for supremacy in the global imperialist system is intensifying and the conflicts within ""traditional"" alliances, such as NATO and the EU, are intensifying.  Greece's involvement in both military planning, energy warfare and economic rivalries intensifies.  Thus, the dangers for the people and the country are multiplied even more by the aggravation of the conflicts in the region and the aggressive plans of the Turkish bourgeoisie that bargains its relationship with NATO and the EU, but also the economic developments in our country lead with mathematical precision to the further aggravation of all the workers' - people's problems.  		The problems are piling up.  The exploitation of the working class is intensifying, its absolute and relative impoverishment is increasing.  At the same time, based on the despicable decision of the Supreme Court, which is based on the legislative framework passed by ND, SYRIZA and PASOK, the auctions of houses for thousands of people are released. "," Είναι ζητήματα κυριολεκτικά ζωής και θανάτου  Φίλες και φίλοι	Ο ιμπεριαλιστικός πόλεμος στην Ουκρανία, ανάμεσα στο ευρωατλαντικό μπλοκ από τη μία και τη Ρωσία με τους συμμάχους της από την άλλη, κλιμακώνεται  Ενισχύεται η σύγκρουση ΗΠΑ και Κίνας για την πρωτοκαθεδρία στο παγκόσμιο ιμπεριαλιστικό σύστημα και οξύνονται οι αντιθέσεις στο εσωτερικό «παραδοσιακών» συμμαχιών, όπως το ΝΑΤΟ και η ΕΕ  Εντείνεται η εμπλοκή της Ελλάδας τόσο στους πολεμικούς σχεδιασμούς,  όσο και στον ενεργειακό πόλεμο και τους οικονομικούς ανταγωνισμούς  Πολλαπλασιάζονται έτσι, οι κίνδυνοι για τον λαό και τη χώρα ακόμα περισσότερο, από την όξυνση των αντιθέσεων στην περιοχή και τα επιθετικά σχέδια της τουρκικής αστικής τάξης που παζαρεύει τη σχέση της με το ΝΑΤΟ και την ΕΕ, αλλά και οι οικονομικές εξελίξεις στη χώρα μας οδηγούν με μαθηματική ακρίβεια στην παραπέρα όξυνση του συνόλου των εργατικών - λαϊκών προβλημάτων  		Συσσωρεύονται τα προβλήματα  Εντείνεται η εκμετάλλευση της εργατικής τάξης, μεγαλώνει η απόλυτη και σχετική εξαθλίωσή της  Την ίδια στιγμή απελευθερώνονται, με βάση και την κατάπτυστη απόφαση του Αρείου Πάγου που βασίζεται στο νομοθετικό πλαίσιο που ψήφισαν ΝΔ, ΣΥΡΙΖΑ και ΠΑΣΟΚ, οι πλειστηριασμοί κατοικιών για χιλιάδες κόσμο",national defence,,other,,geopolitical conflicts,-1.0,0.9,0.8,0.6,0.8,0.1,0.2,0.0,"[['ukraine', 'location', '0.60'], ['euro-atlantic', 'organization', '0.60'], ['russia', 'location', '0.60'], ['us', 'organization', '0.60'], ['china', 'location', '0.60'], ['nato', 'organization', '0.60'], ['eu', 'organization', '0.60'], ['greece', 'location', '0.60'], ['turkish', 'misc', '0.60'], ['nd', 'organization', '0.60'], ['syriza', 'organization', '0.60'], ['pasok', 'organization', '0.60']]","[['ukraine', 'location', '1.0'], ['euro-atlantic bloc', 'group of people', '0.75'], ['russia', 'country', '1.0'], ['us', 'country', '0.75'], ['china', 'country', '0.75'], ['nato', 'organization', '1.0'], ['eu', 'organization', '1.0'], ['greece', 'country', '1.0'], ['turkish bourgeoisie', 'group of people', '1.0'], ['workers', 'group of people', '1.0'], ['supreme court', 'organization', '1.0'], ['nd', 'political party', '1.0'], ['syriza', 'political party', '1.0'], ['pasok', 'political party', '1.0']]"
8,"	Friends, the peoples have not said their last word.  The working class both in our country and internationally shows that it has metal.  The totality of developments shows that possibilities are being formed so that popular discontent is not trapped in false and blackmailing dilemmas.  It shows that the ruling class is not omnipotent and its power can be tested by cracks and shocks.  	Without disregarding the negative correlation of forces, the mass workers' - people's mobilisations in a number of countries, despite their still weak orientation, confirm that the people are not ""given"", nor will popular movements always be used as a ""stepping stone"" for the up and down of more or less the same kind of governments.  The bourgeois staffs in the EU and in Greece know that the disastrous consequences for the people of the implementation of capital's strategy will be seen much more strongly in the coming period.  That is why they seek as stable as possible governments ""for the next day"", governments that will seek to deal effectively with any radical mood that can lead to a revival of the labour movement.  They are worried about social explosions, the possible rise of radicalism, the dynamics that the struggles of the workers can gain by having a stronger KKE on their side.  The goal of this ""governmental stability"", which for the people means great instability and insecurity, is served by both the New Democracy and the other parties, SYRIZA, PASOK, but also MERA 25, regardless of the way each of them pursues it.  	Besides, the recent tragedies and the latest ""Polakiada"" highlight the scenarios of at least a national bourgeois understanding that are written more and more often by the two main pillars of the bourgeois political system with the various statements of prominent members of the Southwest, Syriza and PASOK about the possibility of a governmental cooperation. ","	Φίλες και φίλοι,	Οι λαοί δεν έχουν πει την τελευταία τους λέξη  Η εργατική τάξη και στη χώρα μας και διεθνώς δείχνει ότι έχει μέταλλο  Το σύνολο των εξελίξεων αναδεικνύει ότι διαμορφώνονται δυνατότητες ώστε η λαϊκή δυσαρέσκεια να μην εγκλωβιστεί στα ψεύτικα και εκβιαστικά διλήμματα  Αναδεικνύει ότι η άρχουσα τάξη δεν είναι παντοδύναμη και η εξουσία της μπορεί να δοκιμαστεί από ρωγμές και κλονισμούς  	Χωρίς να παραγνωρίζουμε τον αρνητικό συσχετισμό δυνάμεων, οι μαζικές εργατικές - λαϊκές κινητοποιήσεις σε μια σειρά χώρες, παρά τον ακόμη αδύναμο προσανατολισμό τους, επιβεβαιώνουν ότι οι λαοί δεν είναι «δεδομένοι», ούτε τα λαϊκά κινήματα θα αξιοποιούνται πάντα ως ένα «σκαλοπάτι» για το ανεβοκατέβασμα ίδιας κοπής λίγο ως πολύ κυβερνήσεων  Τα αστικά επιτελεία στην ΕΕ και στην Ελλάδα γνωρίζουν ότι οι ολέθριες συνέπειες για τον λαό από την υλοποίηση της στρατηγικής του κεφαλαίου θα φανούν πολύ πιο έντονα το επόμενο διάστημα  Γι' αυτό και επιδιώκουν όσο γίνεται πιο σταθερές κυβερνήσεις «για την επόμενη μέρα», κυβερνήσεις που θα επιδιώξουν να αντιμετωπίσουν αποτελεσματικά κάθε ριζοσπαστική διάθεση που μπορεί να οδηγήσει σε ανάταση του εργατικού κινήματος  Ανησυχούν για τις κοινωνικές εκρήξεις, την πιθανή άνοδο του ριζοσπαστισμού, τη δυναμική που μπορούν να αποκτήσουν οι αγώνες των εργαζομένων έχοντας στο πλευρό τους ένα πιο δυνατό ΚΚΕ  Τον στόχο αυτής της «κυβερνητικής σταθερότητας», που για τον λαό σημαίνει μεγάλη αστάθεια και ανασφάλεια, υπηρετούν τόσο η ΝΔ όσο και τα υπόλοιπα κόμματα, ο ΣΥΡΙΖΑ, το ΠΑΣΟΚ, αλλά και το ΜΕΡΑ 25,  ανεξάρτητα από τον τρόπο που την επιδιώκει ο καθένας  	Άλλωστε και οι πρόσφατοι τραγέλαφοι και η τελευταία “Πολακιάδα” αναδεικνύουν τα σενάρια τουλάχιστον εθνικής αστικής συνεννόησης που γράφονται όλο και πιο συχνά και από τους δυο βασικούς πυλώνες του αστικού πολιτικού συστήματος με τις διάφορες δηλώσεις επιφανών στελεχών της ΝΔ, του ΣΥΡΙΖΑ, του ΠΑΣΟΚ για το ενδεχόμενο μιας κυβερνητικής συνεργασίας",political parties,,working class,,people's mobilization,0.0,0.3,0.3,0.05,0.2,0.3,0.1,0.0,"[['working class', 'type', '1.0'], ['country', 'type', '1.0'], ['popular discontent', 'type', '0.6'], ['ruling class', 'type', '1.0'], ['mass workers', 'type', '1.0'], ['people', 'type', '1.0'], ['e.u.', 'type', '1.0'], ['greece', 'type', '1.0'], ['disastrous consequences', 'type', '0.6'], [""capital's strategy"", 'type', '0.6'], ['labour movement', 'type', '1.0'], ['kke', 'type', '1.0'], ['new democracy', 'type', '1.0'], ['syriza', 'type', '1.0'], ['pasok', 'type', '1.0'], ['mera 25', 'type', '1.0'], ['national bourgeois understanding', 'type', '0.6'], ['southwest', 'type', '0.6']]","[['friends', 'group of people', '0.9'], ['working class', 'group of people', '0.8'], ['country', 'location', '0.7'], ['eu', 'organization', '0.7'], ['greece', 'country', '0.7'], ['kke', 'political party', '0.8'], ['new democracy', 'political party', '0.7'], ['syriza', 'political party', '0.7'], ['pasok', 'political party', '0.7'], ['mera 25', 'political party', '0.7'], ['polakiada', 'date', '0.6']]"
9,"	But is this common political ground not also found in the issues of the strategy for Universities and Research, which have been implemented for decades, with specific negative consequences and deadlocks that produce. 	It is well known that developments in higher education and research are closely following the EU's strategy for the Single Area of Higher Education and Research, or the Bologna Treaty, as it is commonly known. 	It is also known that the position of the KKE. ","	Μήπως όμως αυτό το κοινό πολιτικό έδαφος δεν το συναντάμε και στα ζητήματα της στρατηγικής για τα Πανεπιστήμια και την Έρευνα, που δεκαετίες τώρα υλοποιούνται, με συγκεκριμένες τις αρνητικές συνέπειες και τα αδιέξοδα που παράγουν 	Είναι γνωστό ότι οι εξελίξεις στην τριτοβάθμια εκπαίδευση και στην έρευνα, ακολουθούν πιστά τη στρατηγική της ΕΕ για τον Ενιαίο Χώρο Ανώτατης Εκπαίδευσης και Έρευνας ή της συνθήκης της Μπολόνια, κατά το κοινώς λεγόμενον 	Είναι γνωστή επίσης  και η θέση της ΚΚΕ",education,,higher education,,universities/higher education,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[['universities', 'org', '0.6'], ['research', 'org', '0.5'], ['eu', 'org', '0.8'], ['single area of higher education and research', 'misc', '0.5'], ['bologna treaty', 'misc', '0.5'], ['kke', 'org', '1.0']]","[['1. eu', 'organization', '0.6'], ['2. single area of higher education and research', 'organization', '0.6'], ['3. bologna treaty', 'organization', '0.6'], ['4. kke', 'political party', '0.6.']]"
10," From the very first moment we pointed out that this development is directly related to the commercialisation of education and research, so that universities and research institutions produce commercial value in direct connection with businesses.  It is also related to the decoupling of degree-profession, in order to serve the 4 Maastricht principles and to ""free"" future graduates from the shackles of access to a profession with stable employment relationships, in the name of flexibility, lifelong learning and wanderlust.  Finally, it is related to the increasingly pressing need for increased qualifications, which is the result of scientific development, the development of productive forces and the development of the economy.  	A need, however, that the anarchic way of development of the capitalist economy cannot meet, leading young graduates, the most dynamic part of the scientific potential, to unemployment, underemployment, emigration. 	The recent report by the National Authority for Higher Education (NEAE) was revealing: official unemployment among young graduates is 17%, higher than for the general population, and the highest in the EU. "," Από την πρώτη στιγμή επισημάναμε ότι αυτή η εξέλιξη σχετίζεται άμεσα με την εμπορευματοποίηση της εκπαίδευσης και της έρευνας, ώστε τα πανεπιστημιακά κι ερευνητικά ιδρύματα να παράγουν εμπορική αξία σε άμεση σύνδεση με τις επιχειρήσεις  Σχετίζεται επίσης και με την αποσύνδεση πτυχίου –επαγγέλματος, ώστε να εξυπηρετηθούν οι 4 αρχές του Μάαστριχτ και να “απελευθερωθούν” από τα δεσμά της πρόσβασης στο επάγγελμα με σταθερές σχέσεις εργασίας, οι μελλοντικοί απόφοιτοι στο όνομα της ευελιξίας, της δια βίου μάθησης και περιπλάνησης  Σχετίζεται, τέλος, με την όλο και πιο πιεστική ανάγκη για αυξημένα προσόντα, η οποία προκύπτει από την ίδια την επιστημονική εξέλιξη, την ανάπτυξη των παραγωγικών δυνάμεων  	Μια ανάγκη όμως, που ο άναρχος τρόπος ανάπτυξης της καπιταλιστικής οικονομίας δεν μπορεί να καλύψει, οδηγώντας έτσι τους νέους πτυχιούχους, το πιο δυναμικό τμήμα του επιστημονικού δυναμικού, στην ανεργία, την ετεροαπασχόληση, τη μετανάστευση 	Η πρόσφατη έκθεση της ΕΘΑΑΕ (Εθνικής Αρχή Ανώτατης Εκπαίδευσης) ήταν αποκαλυπτική: η επίσημη ανεργία στους νέους πτυχιούχους είναι 17%, μεγαλύτερη από ό,τι στον γενικό πληθυσμό, και η μεγαλύτερη στην ΕΕ",employment,,academic research,,commercialisation of education and research,-0.7,0.75,0.1,0.1,0.0,0.5,0.0,0.0,"[['maastricht principles', 'organization', '1.0'], ['national authority for higher education', 'organization', '1.0'], ['neae', 'organization', '0.9'], ['eu', 'organization', '0.9']]","[['neae', 'organization', '1.0'], ['maastricht principles', 'political party', '0.7'], ['eu', 'country', '0.7']]"
