id,text,text_el,topic,topic-context,subtopic,subtopic-context,topic-open,sentiment,polarization,polarization-definition,toxicity,toxicity-definition,populism,populism-definition,hate speech,ner,ner-limited
1,"Good evening, friends, compañeras and compañeros And from this historic site of the Polytechnic, a timeless symbol of the struggle of the new generation for the conquest of knowledge, for the freedom of struggle, for a life that corresponds to its dreams and desires.  We call on every student, every young and new student to join us.  On 21 May. ","Καλησπέρα σας φίλες και φίλοι συντρόφισσες και σύντροφοι Και από αυτόν εδώ τον ιστορικό χώρο του Πολυτεχνείου, διαχρονικό σύμβολο του αγώνα της νέας γενιάς για την κατάκτηση της γνώσης, της ελευθερίας του αγώνα, για μια ζωή που θα ανταποκρίνεται στα όνειρα και τις επιθυμίες της  Απευθύνουμε κάλεσμα σε κάθε φοιτητή και φοιτήτρια σε κάθε νέο και νέα  Στις 21 Μαίου",other,,other,,student activism,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,"[['polytechnic', 'organization', '0.8'], ['may', 'date', '0.5']]","[['polytechnic', 'organization', '0.9'], ['may', 'date', '0.9']]"
2," Do what they don't expect.  Make those who blacken your future bathe in cold sweat seeing Mr JU standing very high.  Give strength to your own voice, to your own power that you will find next to you tomorrow.  Support in every small and big fight and not against you. "," Κάντε αυτό που δεν περιμένουν  Κάντε αυτούς που σας μαυρίζουν το μέλλον να λουστούν από κρύο ιδρώτα βλέποντας το κ ΚΕ να βρίσκεται πολύ ψηλά  Δώστε δύναμη στη δική σας φωνή, στη δική σας δύναμη που θα τη βρείτε αύριο δίπλα σας  Στήριγμα σε κάθε μικρό και μεγάλο αγώνα και όχι απέναντί σας",other,,other,,motivation,0.8,0.1,0.0,0.1,0.2,0.2,0.0,0.0,"[['mr ju', 'person', '0.9']]","[['mr ju', 'person', '0.9']]"
3," Because whatever power he returns always returns to our people, to the youth, to their struggles.  This is proven by its entire history, from its foundation in 1918 to the heroic uprising of the Polytechnic in 1973, which this year marks its 50th anniversary, and to the shocking mobilisations of the new generation today, the two major strikes that broke out after this predestined crime in Tempe, a crime on the altar of profit that cost the lives of 57 of our fellow human beings, among them, unfortunately, many students.  But this struggle has already achieved a lot.  It succeeded in not covering up the crime behind the well-known theory of individual responsibility, which we have had enough of, and in the pandemic not to hide the responsibilities behind the repulsive quarrel of the parties that rule and governed the new democracy, SYRIZA, PASOK. Was it or was it not buffoonery as stationmaster completed or not and at what rate, or one or another contract for the TV station. "," Γιατί η όποια δύναμή του και επιστρέφει επιστρέφει πάντα στον λαό μας, στη νεολαία, στους αγώνες τους  Αυτό αποδεικνύει ολόκληρη η ιστορία του από την ίδρυσή του, το μακρινό 1918 μέχρι τον ηρωικό ξεσηκωμό του Πολυτεχνείου το 1973, από τον οποίο φέτος συμπληρώνονται 50 χρόνια, αλλά Και μέχρι τις συγκλονιστικές κινητοποιήσεις της νέας γενιάς σήμερα, τις 2 μεγάλες απεργίες που ξέσπασαν μετά από αυτό το προδιαγεγραμμένο έγκλημα στα Τέμπη, ένα έγκλημα στο βωμό του κέρδους που κόστισε τη ζωή σε 57 συνανθρώπους μας, ανάμεσά τους δυστυχώς και πολλούς φοιτητές και φοιτήτριες  Αυτός ο αγώνας όμως έχει ήδη πετύχει πολλά  Πέτυχε να μη συγκαλυφθεί το έγκλημα πίσω από τη γνωστή θεωρία της ατομικής ευθύνης, από την οποία χορτάσαμε και μέσα στην πανδημία να μην κρυφτούν οι ευθύνες πίσω από τον αποκρουστικό τσακωμό των κομμάτων που κυβερνούν και κυβέρνησαν της νέας δημοκρατίας, του ΣΥΡΙΖΑ, του ΠΑΣΟΚ Ήταν ή δεν ήταν ρουσφέτι ως σταθμάρχης ολοκληρώθηκε ή όχι και σε τι ποσοστό, ή μιά ή άλλη σύμβαση για την τηλεδιοίκηση",other,,other,,youth struggles,0.0,0.2,0.0,0.05,0.0,0.2,0.0,0.0,"[['polytechnic', 'organization', '0.9'], ['tempe', 'location', '0.9'], ['syriza', 'organization', '0.7'], ['pasok', 'organization', '0.7'], ['tv station', 'organization', '0.5']]","[['polytechnic', 'organization', '1.0'], ['1973', 'date', '1.0'], ['tempe', 'location', '1.0'], ['57', 'number', '1.0'], ['students', 'group of people', '1.0'], ['syriza', 'political party', '1.0'], ['pasok', 'political party', '1.0'], ['new democracy', 'political party', '1.0']]"
4," And all this to say Why none of them delivered a modern and safe railway.  But the struggle has cancelled the propaganda about the pathologies of the deep state, showing that this deep rotten bourgeois state, hostile to our people and our youth, is all theirs and they can pretend they don't know it whenever it suits them.  This state is too capable with its repressive forces to beat up young people who demonstrate, to auction houses electronically, to make strikes illegal in no time, to pass 10, 10 unpopular laws, to distribute with the sack of the Recovery Fund subsidy to the various business groups.  But it proves state incapable, even for what seems the simplest thing in the twenty-first century, of ensuring that a train will start from Athens and arrive safely in Thessaloniki just for this. "," Και όλα αυτά να τα λένε Γιατί κανένας τους δεν παρέδωσε έναν σύγχρονο και ασφαλή σιδηρόδρομο  Ο αγώνας όμως ακύρωσε την προπαγάνδα περί παθογενειών του βαθέως κράτους, αναδεικνύοντας ότι αυτό το βαθύ σάπιο εχθρικό για το λαό μας και την νεολαία μας αστικό κράτος είναι όλο δικό τους και ας κάνουν όποτε τους βολεύει ότι δεν το ξέρουν  Αυτό το κράτος είναι πάρα πολύ ικανό με τις δυνάμεις καταστολής του να χτυπάει τους νέους που διαδηλώνουν να πλειστηριάζει σπίτια ηλεκτρονικά, να βγάζει απεργίες παράνομες σε χρόνο ντετέ να ψηφίζει 10, 10 τους αντιλαϊκούς νόμους να μοιράζει με το τσουβάλι της επιδότησης του Ταμείου Ανάκαμψης στους διάφορους επιχειρηματικούς ομίλους  Αλλά αποδεικνύεται κράτος ανίκανο, ακόμα και για αυτό που μοιάζει το πιο απλό πράγμα στον εικοστό πρώτο αιώνα, να εξασφαλίσει ότι εν ἰατρεῖο ότι ένα τρένο θα ξεκινήσει από την Αθήνα και θα φτάσει με ασφάλεια στη Θεσσαλονίκη ακριβώς για αυτό",infrastructure,,railway,,railway safety,-0.7,0.8,0.2,0.75,0.8,0.9,0.5,0.2,"[['athens', 'location', '1.0'], ['thessaloniki', 'location', '1.0']]","[['athens', 'location', '0.8'], ['thessaloniki', 'location', '0.8'], ['recovery fund', 'organization', '0.6']]"
5," And this incompetence in relation to the real needs of the people and the youth is not dealt with today by some re-nationalisation of TRAINOSSE or PPC for electricity and other enterprises that are still being put forward, unfortunately still naively by certain political forces, because quite simply all this stems from the very class character of the bourgeois state. Some may appear to be still sucking their thumbs, but the only state that can defend and truly safeguard the needs of the people is the state of working people's power. Yes, this struggle has already achieved a great deal; the main thing is that it has highlighted the real causes, the real culprits, that is, the same policy.  The liberalization of markets, the dismemberment of markets, services and the privatization of the profitable part, which all the other parties that have been in government over the years have all served, this struggle has highlighted the destructive criterion of cost-benefit for the people, on the basis of which either the state or the private investor today.  Shaw cuts prevention and protection measures not only in the railways, but in every area of our lives. "," Και αυτή η ανικανότητα σε σχέση με τις πραγματικές ανάγκες του λαού και της νεολαίας, δεν αντιμετωπίζεται σήμερα με κάποια επανακρατικοποίηση της ΤΡΑΙΝΟΣΕ ή της ΔΕΗ για το ρεύμα και άλλων επιχειρήσεων που προβάλλουν, δυστυχώς ακόμα αφελώς ορισμένες πολιτικές δυνάμεις, γιατί πολύ απλά όλα αυτά απορρέουν από τον ίδιο τον ταξικό χαρακτήρα του αστικού κράτους Μπορεί κάποιοι να εμφανίζονται σαν να πιπιλάνε το δάχτυλό τους ακόμα, αλλά το μόνο κράτος που μπορεί να υπερασπίσει να διασφαλίσει πραγματικά τις λαϊκές ανάγκες είναι το κράτος της εργατικής λαϊκής εξουσίας Ναι, αυτός ο αγώνας ήδη έχει πετύχει πάρα πολλά το κύριο ανέδειξε τις πραγματικές αιτίες, τους πραγματικούς ενόχους, την ίδια δηλαδή πολιτική  Της απελευθέρωσης των αγορών, του τεμαχισμού, των υπηρεσιών και της ιδιωτικοποίησης του κερδοφόρου κομματιού που υπηρέτησαν όλοι τους όλα τα άλλα κόμματα που βρέθηκαν στις κυβερνήσεις διαχρονικά ανέδειξε αυτός ο αγώνας, το καταστροφικό για το λαό κριτήριο του κόστους οφέλους, με βάση το οποίο είτε το κράτος είτε ο ιδιώτης επενδυτής σήμερα  Σο κόβουν τα μέτρα πρόληψης και προστασίας όχι μόνο στο σιδηρόδρομο, αλλά σε κάθε τομέα της ζωής μας",other,,hospital privatization,,privatization,-0.7,0.912,0.2,0.5,0.2,0.9,0.2,0.0,"[['trainosse', 'organization', '0.5'], ['ppc', 'organization', '0.5']]","[['trainosse', 'organization', '0.75'], ['ppc', 'organization', '0.75'], ['political forces', 'group of people', '0.5'], ['bourgeois state', 'organization', '0.75'], [""working people's power"", 'organization', '0.5'], ['liberalization of markets', 'organization', '0.5'], ['cost-benefit', 'organization', '0.5'], ['shaw', 'person', '0.75'], ['railways', 'location', '0.5.']]"
6," But it also showed the very power of the struggle when it is organized.  When students, pupils, workers discuss, they all decide together collectively on the forms of struggle, on their demands, on their slogans.  Within the Student Council within the student council within the student association within the trade union, when each and every one of them makes the struggle really their own affair and is not just a visitor to an anonymous, generally and abstractly online call, in which ultimately anyone who wants, anyone who likes can stick whatever label they want and finally cap it.  Both the content of the requests. "," Ανέδειξε όμως και την ίδια τη δύναμη που έχει ο αγώνας όταν είναι οργανωμένος  Όταν φοιτητές, μαθητές, εργαζόμενοι συζητούν αποφασίζουν όλοι μαζί συλλογικά για τις μορφές πάλης, για τα αιτήματα, για τα συνθήματά τους  Μέσα στο Μαθητικό Συμβούλιο μέσα στο φοιτητικό σύλλογο μέσα στο εργατικό σωματείο, όταν ο καθένας και η καθεμιά κάνει τον αγώνα πραγματικά δική του υπόθεση και δεν είναι απλά επισκέπτης σε ένα ανώνυμο γενικά και αφηρημένα διαδικτυακό κάλεσμα, στο οποίο τελικά όποιος θέλει όποιος γουστάρει μπορεί να κολλήσει ότι ταμπέλα θέλει και να το καπελώσει τελικά  Τόσο το περιεχόμενο των αιτημάτων",other,,other,,struggle or protest,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,"[['student council', 'organization', '0.5'], ['student council', 'organization', '0.5'], ['student association', 'organization', '0.5'], ['trade union', 'organization', '0.5']]","[['students', 'group of people', '0.75'], ['pupils', 'group of people', '0.75'], ['workers', 'group of people', '0.75'], ['student council', 'organization', '0.85'], ['student association', 'organization', '0.75'], ['trade union', 'organization', '0.85'], ['anonymous', 'group of people', '0.6'], ['online call', 'organization', '0.6']]"
7," As much as it was the element of organization that made it very difficult to impossible to find a place to pour their poison.   The various far-right fascist groups, as we have seen happen on other occasions in the past.  And yet this has not prevented several media outlets, both friendly to the new democracy and other friendly to SYRIZA, from saying and repeating about the possibility of strengthening these forces, to the point that one wonders whether this is simply a warning or a pursuit. They even have the nerve. "," Όσο και το στοιχείο της οργάνωσης ήταν που έκανε πολύ δύσκολο έως αδύνατο να βρουν χώρο για να χύσουν το δηλητήριο τους   Οι διάφορες ακροδεξιές φασιστικές ομάδες, όπως έχουμε δει να συμβαίνει σε άλλες περιπτώσεις στο παρελθόν  Κι όμως αυτό δεν έχει εμποδίσει αρκετά μέσα μαζικής ενημέρωσης τόσο φιλικά προς τη νέα δημοκρατία, όσο και άλλα φιλικά προς το ΣΥΡΙΖΑ να λένε και να ξαναλένε για το ενδεχόμενο ενίσχυσης αυτών των δυνάμεων, σε σημείο μάλιστα που να αναρωτιέται κανείς αν τελικά πρόκειται για προειδοποίηση απλά ή και για επιδίωξη Τελικά έχουν μάλιστα το θράσος",political parties,,far-right,,far-right political groups,-0.6,0.6,0.7,0.75,0.8,0.5,0.0,0.3,"[['syriza', 'organization', 'probability', 'various far-right fascist groups', 'type', 'new democracy', 'media outlets', 'probability.']]","[['1. syriza', 'organization', '1.0'], ['2. media outlets', 'group of people', '0.9'], ['3. far-right fascist groups', 'group of people', '0.9'], ['4. democracy', 'organization', '0.8']]"
8," To classify these fascist forces as anti-systemic forces, when it has been proven both historically and in the very recent past that they are the best watchdogs of the system who do not hesitate to commit the most heinous crimes in order to serve this system.  There is greater evidence of the links between these groups and parts of the state apparatus than the attempt by the convicted Nazi criminal, the criminal cassidian, to put a former deputy prosecutor in front of him.  The Supreme Court in order for his party to win the elections. "," Να κατατάσσουν αυτές τις δυνάμεις τις φασιστικές στις αντισυστημικές δυνάμεις, όταν έχει αποδειχθεί τόσο ιστορικά όσο και στο πολύ πρόσφατο παρελθόν, ότι πρόκειται για τα καλύτερα μαντρόσκυλα του συστήματος που δεν διστάζουν να διαπράξουν τα πιο αποτρόπαια εγκλήματα προκειμένου να υπηρετήσουν αυτό το σύστημα  Υπάρχει μεγαλύτερη απόδειξη για τις σχέσεις αυτών των ομάδων με τμήματα του κρατικού μηχανισμού, από την προσπάθεια του καταδικασμένου ναζί, εγκληματία κασιδιάρη να βάλει μπροστινό του έναν πρώην αντιεισαγγελέα  Του Αρείου Πάγου για να καταφέρει το κόμμα του να κατέβει στις εκλογές",democracy,,far-right,,fascist forces,-0.8,0.95,0.8,0.8,0.8,0.4,0.0,0.2,[],"[['fascist forces', 'group of people', '1.0'], ['nazi criminal', 'person', '0.9'], ['cassidian', 'organization', '0.9'], ['supreme court', 'organization', '0.8'], ['party', 'group of people', '0.7'], ['elections', 'date', '0.6']]"
9," So, as they are reporting these days, the reports are not what they are afraid of, nor could they be, since they themselves are promoting what they are really afraid of. It is the prospect, it is the tangible content, it is the possibility that the anger and indignation of the youth will be transformed in massive terms into a conscious attitude of questioning the policy and these choices, that the anger will become a force for reversal, that it will be expressed in the elections with hundreds of thousands of young anti-systemic militant votes for Mr.  Friends, compañeras and comrades.  At the moment, as you know, mobilisations are taking place not only in Greece, but also in the major countries of the European Union.  From one end to the other, the myth of the pro-popular European Union of European normality, the so-called welfare state and the rule of law, to which Mr Tsipras wants, he says, to bring us back, even claiming the glory of the slogan.  We are staying in Europe as the defenders of the new in the phoney shouted. "," Όπως αναφέρουν αυτές τις μέρες, τα σχετικά δημοσιεύματα δεν είναι αυτό λοιπόν που τους φοβίζει, ούτε και θα μπορούσε να είναι, αφού αυτοί οι ίδιοι αλλωστε το προμοτάρουν αυτό που πραγματικά φοβούνται Είναι η προοπτική είναι το χειροπιαστό περιεχόμενο, Είναι το ενδεχόμενο ο θυμός και η αγανάκτηση της νεολαίας να μετουσιωθεί με μαζικούς όρους σε συνειδητή στάση αμφισβήτησης της πολιτικής και αυτών των επιλογών τους, να γίνει η οργή δύναμη ανατροπής, να εκφραστεί και στις εκλογές με εκατοντάδες χιλιάδες νεανικές αντισυστημικές αγωνιστικές ψήφους υπέρ του κ ΚΕ  Φίλες και φίλοι συντρόφισσες και σύντροφοι  Αυτή την περίοδο, όπως ξέρετε, κινητοποιήσεις δεν γίνονται μόνο στην Ελλάδα, αλλά και στις μεγαλύτερες χώρες της Ευρωπαϊκής Ένωσης  Απ άκρη σ άκρη καταρρέει με πάταγο ο μύθος της φιλολαϊκής Ευρωπαϊκής Ένωσης της Ευρωπαϊκής κανονικότητας, του δήθεν κοινωνικού κράτους και του κράτους δικαίου, στην οποία ο κύριος Τσίπρας θέλει, λέει να μας επαναφέρει, διεκδικώντας μάλιστα αισίως και τη δόξα του συνθήματος  Μένουμε Ευρώπη που φώναζαν οι υπερασπιστές του νέου στο κάλπικο",elections,,youth,,youth anger and political mobilizations,0.0,0.6,0.5,0.2,0.2,0.6,0.3,0.0,"[['greece', 'location', '1.0'], ['european union', 'organization', '1.0'], ['mr. tsipras', 'person', '1.0']]","[['mr. friends', 'person', '0.8'], ['european union', 'organization', '0.9'], ['greece', 'country', '0.8'], ['european union', 'location', '0.8'], ['tsipras', 'person', '0.6']]"
10," The referendum of no that was held by Mr.Tsipras and his cohorts the other day ended up being this huge NO a yes in 2015 with the logic that there is supposedly a lesser evil being shattered once again.  In France, workers strike and demonstrate in their millions against the anti-insurance reform of the Macron government.  We recall that Macron's election was hailed a year ago by the New Democracy as SYRIZA, PASOK as a victory for democracy, while in the past he was supported by Varoufakis, who even wrote passionately about him in the British Guardian.  And how it treats youth and workers. "," Δημοψήφισμα του όχι που έγινε από τον κύριο Τσίπρα και τους συν αυτώ την άλλη μέρα κατέληξε να είναι αυτό το πελώριο ΟΧΙ ένα ναι το 2015 μαζί του γκρεμίζεται για μια ακόμη φορά και η λογική ότι υπάρχει δήθεν κάποιο μικρότερο κακό  Στη Γαλλία, οι εργαζόμενοι απεργούν και διαδηλώνουν κατά εκατομμύρια ενάντια στην αντιασφαλιστική μεταρρύθμιση της κυβέρνησης μακρόν  Θυμίζουμε ότι την εκλογή μακρόν τη χαιρέτιζαν παρέα πριν ένα χρόνο η νέα δημοκρατία ως ΣΥΡΙΖΑ, το ΠΑΣΟΚ ως νίκη της δημοκρατίας, ενώ παλιότερα τον είχαν υποστηρίξει και ο βαρουφάκης, αρθρογραφώντας μάλιστα με πάθος γι αυτόν μέχρι και στον βρετανικό γκάρντιαν  Και πώς αντιμετωπίζει τη νεολαία και τους εργαζόμενους",employment,,workers' rights,,anti-insurance reform,-0.7,0.45,0.3,0.2,0.5,0.4,0.0,0.0,"[['mr. tsipras', 'person', '1.0'], ['france', 'location', '1.0'], ['macron', 'person', '1.0'], ['new democracy', 'organization', '1.0'], ['syriza', 'organization', '1.0'], ['pasok', 'organization', '1.0'], ['varoufakis', 'person', '1.0'], ['guardian', 'organization', '1.0']]","[['mr. tsipras', 'person', '0.9'], ['france', 'location', '0.9'], ['macron government', 'organization', '0.7'], ['new democracy', 'political party', '0.6'], ['syriza', 'political party', '0.6'], ['pasok', 'political party', '0.6'], ['varoufakis', 'person', '0.5'], ['guardian', 'organization', '0.5'], ['youth', 'group of people', '0.4'], ['workers', 'group of people', '0.4'], ['2015', 'date', '0.3']]"
