id,text,text_el,topic,subtopic,topic-open,sentiment,polarization,polarization-definition,toxicity,toxicity-definition,populism,populism-definition,hate speech,ner
1,"Speech by Dimitris Koutsoumbas, General Secretary of the KKE KKE at the Conference of the Attica Party Organisation The Conference of the KKE concludes today, after a rich 4-month internal party discussion in all the KEB and the Sectoral Conferences, with the participation of all Party members, and while another 4-month rich process for the Conference of the KKE, which was completed in February, had preceded it. 	The CMO definitely comes out stronger. ","Ομιλία του ΓΓ της ΚΕ του ΚΚΕ Δημήτρη Κουτσούμπα στη Συνδιάσκεψη της Κομματικής Οργάνωσης Αττικής 	Η Συνδιάσκεψη της ΚΟΑ ολοκληρώνεται σήμερα, μετά από μια πλούσια 4μηνη εσωκομματική συζήτηση σε όλες τις ΚΟΒ και τις Τομεακές Συνδιασκέψεις, με τη συμμετοχή όλων των μελών του Κόμματος κι ενώ είχε προηγηθεί άλλη μια 4μηνη πλούσια διαδικασία για το Συνέδριο της ΚΝΕ, που ολοκληρώθηκε τον Φεβρουάριο 	Η ΚΟΑ βγαίνει σίγουρα πιο δυνατή",reference to other parties,,party conference,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,"[['dimitris koutsoumbas', 'person', '1.0'], ['kke', 'organization', '1.0'], ['attica party organisation', 'organization', '1.0'], ['kke', 'organization', '1.0'], ['keb', 'organization', '1.0'], ['sectoral conferences', 'organization', '1.0'], ['party', 'organization', '1.0'], ['kke', 'organization', '1.0'], ['cmo', 'organization', '1.0']]"
2," In the two years since the last Conference for the 21st Congress, we have gone through difficult and to some extent unprecedented situations.  From a great pandemic, which we have faced with a struggle, leading from the very first moment, with the slogan ""under the masks, we have a voice"". 	We passed through the fire of the outbreak of an imperialist war in our neighbourhood, which is constantly escalating and which from the very first moment the KKE redirected the movement not to choose the camp of imperialist thieves, but to see with its class glasses the need to organise its own struggle against the war plans of NATO and the government, which involve our country in dangerous developments. 	We have gone through natural disasters, an upsurge in foreclosures of first homes, worsening energy poverty, the price of consumer goods, workplace accidents at workplaces with large-scale mobilisations, such as at COSCO, but also for working class rights, as in e-food and elsewhere, and from large mobilisations of artists, teachers, pupils, students, from large strikes and rallies, culminating in the mobilisations for the predictable crime in Tempe, where 57 of our fellow human beings, most of them young people, perished.  	In all this we have stepped forward.  We shouted ""only the people save the people"".  During these two years the Panspoudashtiki emerged as the leading force in the Universities, the correlation in many trade unions and Labour Centres in Athens, Piraeus, Lavrion and Piraeus was improved.  Also in the teachers' associations of Attica, in most public hospitals of Attica and elsewhere. "," Στα δύο αυτά χρόνια, που μεσολάβησαν από την προηγούμενη Συνδιάσκεψη για το 21ο Συνέδριο, περάσαμε μέσα από δύσκολες και ως ένα βαθμό πρωτόγνωρες καταστάσεις  Από μια μεγάλη πανδημία, που την αντιμετωπίσαμε αγωνιστικά, πρωτοπόρα από την πρώτη στιγμή, με το σύνθημα “κάτω από τις μάσκες, έχουμε φωνή” 	Περάσαμε μέσα από τη φωτιά του ξεσπάσματος ενός ιμπεριαλιστικού πολέμου στη γειτονιά μας, που συνεχώς κλιμακώνεται και που από την πρώτη στιγμή το ΚΚΕ προσανατόλισε το κίνημα στο να μην επιλέξει στρατόπεδο ιμπερια-ληστών, αλλά να δει με τα ταξικά γυαλιά του την ανάγκη οργάνωσης της δικής του πάλης ενάντια στους πολεμικούς σχεδιασμούς του ΝΑΤΟ και της κυβέρνησης, που μπλέκουν τη χώρα μας σε επικίνδυνες εξελίξεις 	Περάσαμε μέσα από φυσικές καταστροφές, από έξαρση των πλειστηριασμών πρώτης κατοικίας, από επιδείνωση της ενεργειακής φτώχειας, της ακρίβειας στα είδη πλατιάς λαϊκής κατανάλωσης, από εργατικά ατυχήματα σε χώρους δουλειάς με μεγαλειώδεις κινητοποιήσεις, όπως στην COSCO, αλλά και για τα δικαιώματα της εργατικής τάξης, όπως στην e-food και αλλού και από μεγάλες κινητοποιήσεις σε καλλιτέχνες, εκπαιδευτικούς, μαθητές, φοιτητές, από μεγάλες απεργίες και συλλαλητήρια, με αποκορύφωμα τις κινητοποιήσεις για το προδιαγεγραμμένο έγκλημα στα Τέμπη, όπου χάθηκαν 57 συνάνθρωποί μας, οι περισσότεροι νέοι  	Σε όλα αυτά μπήκαμε μπροστά  Βροντοφωνάξαμε “μόνο ο λαός, σώζει το λαό”  Αυτά τα δύο χρόνια η Πανσπουδαστική αναδείχθηκε πρώτη δύναμη στα Πανεπιστήμια, βελτιώθηκε ο συσχετισμός σε πολλά εργατικά σωματεία και Εργατικά Κέντρα, της Αθήνας, του Πειραιά, του Λαυρίου  Επίσης στους συλλόγους εκπαιδευτικών της Αττικής, στα περισσότερα δημόσια νοσοκομεία της Αττικής και αλλού",health,natural disasters,difficult situations,0.0,0.3,0.0,0.1,0.0,0.1,0.0,0.0,"[['conference', 'event', '0.5'], ['21st congress', 'event', '0.5'], ['pandemic', 'event', '0.5'], ['kke', 'organization', '0.5'], ['nato', 'organization', '0.5'], ['cosco', 'organization', '0.5'], ['e-food', 'organization', '0.5'], ['tempe', 'location', '0.5'], ['panspoudashtiki', 'organization', '0.5'], ['universities', 'organization', '0.5'], ['athens', 'location', '0.5'], ['piraeus', 'location', '0.5'], ['lavrion', 'location', '0.5'], [""teachers' associations"", 'organization', '0.5'], ['public hospitals', 'organization', '0.5'], ['attica', 'location', '0.5']]"
3," 	We were able to put it all together: And internal party operation and discussion within all the organs and organizations of the KKE and the KNE and action in the mass workers' - people's movement and ideological - political intervention in the Parliament and among the people, even in a prolonged election period.  We keep this as a legacy and we continue.  	It has been rightly pointed out that in the 43 days remaining until the elections, a great pan-alliance will be needed from everyone and up to the last minute.  This battle is all of ours.  Executives and members of the Party and the KNE, friends and supporters, we give all our efforts to reach as wide as possible. 	This job needs drawing, paper and pencil from all of us. "," 	Μπορέσαμε και τα συνδυάσαμε όλα: Και εσωκομματική λειτουργία και συζήτηση μέσα σε όλα τα όργανα και τις οργανώσεις του ΚΚΕ και της ΚΝΕ και δράση στο μαζικό εργατικό – λαϊκό κίνημα και ιδεολογική - πολιτική παρέμβαση στη Βουλή και μέσα στο λαό, σε παρατεταμένη μάλιστα εκλογική περίοδο  Τα κρατάμε αυτά ως παρακαταθήκη και συνεχίζουμε  	Σωστά επισημάνθηκε ότι στις 43 μέρες που απομένουν έως τις εκλογές θα χρειαστεί μεγάλη πανστρατιά απ' όλους και μέχρι την τελευταία στιγμή  Αυτή η μάχη είναι όλων μας  Στελέχη και μέλη του Κόμματος και της ΚΝΕ, φίλοι και οπαδοί, δίνουμε όλες μας τις δυνάμεις να φτάσουμε όσο πιο πλατιά γίνεται 	Η δουλειά αυτή χρειάζεται σχέδιο, χαρτί και μολύβι απ' όλους μας",reference to other parties,elections,elections,0.0,0.1,0.0,0.1,0.0,0.1,0.0,0.0,"[['kke', 'organization', '1.0'], ['kne', 'organization', '1.0'], ['parliament', 'organization', '1.0']]"
4," In order to exhaust every possibility, so that no one of those we know, of those we met in the previous period in the struggles, of those who today are worried about their choice at the ballot box, that we do not discuss specifically the need to strengthen the Party. 	The experience of all of us shows that the most effective way is meetings in homes, in cafes, in event venues and other suitable places depending on the subject, the participants, which are conducive to discussion.  And when they are well organised, each meeting leads to many more, new possibilities are born. 	We take the lead and intervene in the great popular problems that will continue during this period, organizing as a Party thematic events to communicate as widely as possible with new people, but also organizing the struggle within the movement for the development of mass struggles. 	Ensuring that any initiatives are disseminated very widely, with appropriate means of communication.  Organizing all the workplaces, Education, Health, neighborhoods, squares and parks of Attica, with well-organized tours, meetings, speeches. "," Για να εξαντλήσουμε κάθε δυνατότητα, να μη μείνει κανείς από αυτούς που γνωρίζουμε, από αυτούς που συναντηθήκαμε το προηγούμενο διάστημα στους αγώνες, από αυτούς που σήμερα προβληματίζονται για την επιλογή τους στην κάλπη, που να μη συζητήσουμε συγκεκριμένα για την ανάγκη ενίσχυσης του Κόμματος 	Η πείρα όλων μας δείχνει, ότι ο πιο αποτελεσματικός τρόπος είναι οι συσκέψεις σε σπίτια, σε καφετέριες, σε χώρους εκδηλώσεων και άλλους κατάλληλους χώρους ανάλογα με το θέμα, τους συμμετέχοντες, που ευνοούν το να γίνει συζήτηση  Όταν μάλιστα οργανώνονται καλά, η κάθε σύσκεψη οδηγεί στη συνέχεια σε πολλές ακόμα, γεννιούνται νέες δυνατότητες 	Πρωτοστατούμε και παρεμβαίνουμε στα μεγάλα λαϊκά προβλήματα που θα συνεχίζονται αυτήν την περίοδο, οργανώνοντας ως Κόμμα θεματικές εκδηλώσεις για να επικοινωνήσουμε όσο πιο πλατιά γίνεται με καινούργιο κόσμο, αλλά και οργανώνοντας την πάλη μέσα στο κίνημα για την ανάπτυξη μαζικών αγώνων 	Εξασφαλίζοντας οι όποιες πρωτοβουλίες να διαδίδονται πολύ πλατιά, με κατάλληλους τρόπους επικοινωνίας  Οργώνοντας όλους τους χώρους δουλειάς, Εκπαίδευσης, Υγείας, τις γειτονιές, τις πλατείες και τα πάρκα της Αττικής, με καλά οργανωμένες περιοδείες, συσκέψεις, ομιλίες",,,strengthening the party,0.0,0.1,0.0,0.1,0.0,0.1,0.0,0.0,"[['attica', 'location', '1.0'], ['party', 'organization', '1.0']]"
5,"	With our tool ""Rizospastis"" we are constantly aware of how the debate evolves from day to day, we catch and immediately exploit new arguments and examples that make our work more evident, convincing and relevant. 	This effort requires patience and art.  We communicate every day with people who come into contact with the Party for the first time and it is logical that they have doubts, reservations, concerns and even disagreements.  They recognise the Party's pioneering action, they agree with our positions on a number of issues, but this does not mean that they know and agree with our programmatic elaborations.  	This is a people we treat with confidence, it is a people who in the majority of the past period, in one way or another, took part in militant processes and our contact with them does not have the elections on the horizon, but looks much further ahead, sees the next ballot box. 	We are fully aware that concerns and doubts do not go away once and for all, but when a person takes the decision to join the struggle, meets the communists, this is the first and big step.  With patience, faith and endurance, we give all our strength tirelessly.  WE'LL MAKE IT TO THE TOP FOR KKKE.  PANDU. ","	Με εργαλείο μας τον «Ριζοσπάστη» είμαστε διαρκώς ενήμεροι για το πώς εξελίσσεται η αντιπαράθεση από μέρα σε μέρα, πιάνουμε και αξιοποιούμε άμεσα νέα επιχειρήματα και παραδείγματα που κάνουν τη δουλειά μας πιο αποδεικτική, πειστική και εύστοχη 	Στην προσπάθεια αυτή χρειάζεται υπομονή και τέχνη  Επικοινωνούμε καθημερινά με ανθρώπους που για πρώτη φορά έρχονται σε επαφή με το Κόμμα και είναι λογικό να έχουν αμφιβολίες, επιφυλάξεις, προβληματισμούς, ακόμα και διαφωνίες  Αναγνωρίζουν στο Κόμμα την πρωτοπόρα δράση του, συμφωνούν με θέσεις μας σε μια σειρά από ζητήματα, χωρίς όμως αυτό να σημαίνει ότι γνωρίζουν και συμφωνούν με τις προγραμματικές μας επεξεργασίες  	Αυτόν τον κόσμο τον αντιμετωπίζουμε με εμπιστοσύνη, είναι κόσμος που στην πλειοψηφία του το προηγούμενο διάστημα, με τον έναν ή τον άλλον τρόπο, πήρε μέρος σε αγωνιστικές διεργασίες και η επαφή μας μαζί του δεν έχει ορίζοντα τις εκλογές, αλλά κοιτάει πολύ πιο μπροστά, βλέπει και την επόμενη της κάλπης 	Έχουμε πλήρη επίγνωση ότι οι προβληματισμοί και οι αμφιβολίες δεν φεύγουν μια κι έξω, όταν όμως ένας άνθρωπος παίρνει την απόφαση να μπει στην πάλη, συναντάει τους κομμουνιστές, αυτό είναι το πρώτο και μεγάλο βήμα Μαζί θα κάνουμε και τα υπόλοιπα στις μεγάλες μάχες που έρχονται και μετά τις εκλογές  Με υπομονή, πίστη και αντοχή, δίνουμε όλες μας τις δυνάμεις ακούραστα  ΘΑ ΤΑ ΚΑΤΑΦΕΡΟΥΜΕ ΝΑ ΦΤΑΣΕΙ ΤΟ ΚΚΕ ΑΚΟΜΑ ΠΙΟ ΨΗΛΑ  ΠΑΝΤΟΥ",government programme,other,party's outreach efforts,0.4,0.2,0.0,0.1,0.0,0.05,0.0,0.0,"[['rizospastis', 'tool', '1.0'], ['party', 'organization', '1.0'], ['party', 'organization', '1.0'], ['know', 'issue', '1.0'], ['programmatic elaborations', 'issue', '1.0'], ['militant processes', 'event', '1.0'], ['communists', 'group', '1.0'], ['kkke', 'political organization', '1.0'], ['pandu', 'unknown', '1.0']]"
6,"	Comrades, With the announcement of the elections, the dilemma of stability has intensified once again.  	But we know very well that for the people, stability is to be able to live on the basis of modern needs and possibilities:- to have salaries, pensions that correspond to these modern needs.  - To have the right to stable work with rights.  - Universal and free access to high quality health, education and sport services that are not commodities.  - Right to rest and recreation, culture and culture.  - Cheap, safe and modern transport.  - Living in a peaceful environment in solidarity with the peoples of the region; Utilizing the achievements of science and technology, which are the creation of the world of work, to meet all these modern needs and not turning them into additional fetters and tools to intensify the exploitation of the many under the stranglehold of capitalist ownership and the profits of the few. ","	Συντρόφισσες και σύντροφοι, 	Με την ανακοίνωση των εκλογών εντάθηκε εκ νέου το δίλημμα περί σταθερότητας  	Όμως, εμείς ξέρουμε πολύ καλά ότι, για το λαό σταθερότητα είναι να μπορεί να ζει με βάση τις σύγχρονες ανάγκες και δυνατότητες:•	Να έχει μισθούς, συντάξεις που να ανταποκρίνονται σ’ αυτές τις σύγχρονες ανάγκες  •	Να έχει δικαίωμα στη σταθερή δουλειά με δικαιώματα  •	Καθολική και δωρεάν πρόσβαση σε υψηλές και ποιοτικές υπηρεσίες υγείας, παιδείας και αθλητισμού τα οποία δεν θα αποτελούν εμπορεύματα  •	Δικαίωμα στην ξεκούραση και την αναψυχή, στον πολιτισμό  •	Φθηνές, ασφαλείς και σύγχρονες μεταφορές  •	Ζωή σε ειρηνικό περιβάλλον με αλληλεγγύη με τους λαούς της περιοχής•	Να αξιοποιούνται συνολικά τα επιτεύγματα της επιστήμης και της τεχνολογίας, που είναι δημιούργημα του κόσμου της δουλειάς, για την κάλυψη όλων αυτών των σύγχρονων αναγκών και όχι να μετατρέπονται σε επιπλέον δεσμά και εργαλεία έντασης της εκμετάλλευσης των πολλών κάτω από τον ασφυκτικό κλοιό της καπιταλιστικής ιδιοκτησίας και των κερδών των λίγων",,staff salaries,stability,0.0,0.1,0.2,0.02,0.0,0.5,0.2,0.0,"[['none', 'this text does not contain any named entities.']]"
7," 	On the contrary, what ""stability"", ""social cohesion"" and all the other things that the other bourgeois parties invoke, the people know from their own experience:- With the constant waves of inexpensiveness plaguing the popular families, such as for example the prices of food and energy-fuel which are constantly rising. - With the firmly fixed wages and the ""steady"" implementation of the law of Vroutsis-Ahtsioglou that abolishes collective bargaining agreements and three-year terms, determines wages based on the competitiveness of capital, while any drip-feed increases are wiped out and do not give any real breathing space.  While the minimum wage in purchasing power is still below its 2011 level.  It is this law that the salary is determined by the Minister and despite the pre-election fanfare on both sides from the Southwest and Syriza, no one makes a sound that he will abolish it. 	The people know this stability with the steady pace of loans that are constantly reddening and the people's housing being served on the plate of the ravens of the banks and the funds and the rents have become unaffordable with 80% of the salary going to accommodation and food.  	With the policy of ND, SYRIZA and other parties, not only is the legislative framework in favour of banks, crows and electronic auctions not only not affected, but is more shielded.  Even state subsidies for the most vulnerable, lead to the people paying, in all ways and from all pockets, to ensure that the banks profit.  And all this, at a time when the ECB's interest rate hike is creating a new generation of people's red loans.  This explains the fact that everyone else repeatedly rejects the KKE's proposals for a ban on auctions and for substantial relief for the people, including the cancellation of interest and a large part of the debt to the banks. "," 	Αντίθετα το τι σημαίνει η “σταθερότητα”, η “κοινωνική συνοχή” και όλα τα άλλα που επικαλούνται τα άλλα αστικά κόμματα, ο λαός τα γνωρίζει από την ίδια του την πείρα:•	Με τα σταθερά κύματα ακρίβειας να μαστίζουν τις λαϊκές οικογένειες, όπως για παράδειγμα οι τιμές των τροφίμων και ενέργειας- καυσίμων που αυξάνονται συνεχώς •	Με τους σταθερά καθηλωμένους μισθούς και τη «σταθερή» υλοποίηση του νόμου Βρούτση- Αχτσιόγλου που καταργεί ΣΣΕ και τριετίες, καθορίζει μισθό με βάση την ανταγωνιστικότητα κεφαλαίου, ενώ οι όποιες αυξήσεις με το σταγονόμετρο εξανεμίζονται και δε δίνουν ουσιαστική ανάσα  Ενώ ο κατώτατος μισθός στην αγοραστική του δύναμη βρίσκεται ακόμα κάτω από το επίπεδο που είχε το 2011  Είναι αυτός ο νόμος που ο μισθός καθορίζεται από τον Υπουργό που παρά τις προεκλογικές φανφάρες εκατέρωθεν από ΝΔ και ΣΥΡΙΖΑ, κανείς δε βγάζει τσιμουδιά ότι θα τον καταργήσει 	Ο λαός γνωρίζει αυτή τη σταθερότητα με το σταθερό ρυθμό των δανείων που κοκκινίζουν συνεχώς και την λαϊκή κατοικία να σερβίρεται στο πιάτο των κορακιών των τραπεζών και των funds και τα νοίκια έχουν γίνει απλησίαστα με το 80% του μισθού να πηγαίνει σε διαμονή και διατροφή  	Με την πολιτική της ΝΔ, του ΣΥΡΙΖΑ και των άλλων κομμάτων, όχι μόνο δεν θίγεται, αλλά θωρακίζεται περισσότερο το νομοθετικό πλαίσιο υπέρ των τραπεζών, των κορακιών και των ηλεκτρονικών πλειστηριασμών  Ακόμα και οι κρατικές επιδοτήσεις για τους πιο ευάλωτους, οδηγούν στο να πληρώνει ο λαός, με όλους τους τρόπους και από όλες τις τσέπες, για να εξασφαλιστεί ότι θα κερδίζουν οι τράπεζες  Κι όλα αυτά, σε μια περίοδο που η εκτόξευση των επιτοκίων της ΕΚΤ, δημιουργεί μια νέα γενιά λαϊκών κόκκινων δανείων  Έτσι εξηγείται και το γεγονός ότι όλοι οι άλλοι απορρίπτουν επανειλημμένα τις προτάσεις του ΚΚΕ για απαγόρευση πλειστηριασμών και για ουσιαστική ελάφρυνση του λαού και με διαγραφή τόκων και μεγάλου μέρους του χρέους προς τις τράπεζες",economy,,economic struggles of the people,-0.9,0.9,0.3,0.8,0.6,0.9,0.8,0.1,"[['vroutsis-ahtsioglou', 'law', '1.0'], ['nd', 'political party', '0.8'], ['syriza', 'political party', '0.8'], ['southwest', 'political party', '0.5'], ['kke', 'political party', '1.0'], ['ecb', 'organization', '0.9']]"
8,"	Further, the people know this stability.  With orders for power cuts increasing progressively.  Reaching 400 last year. ","	Παραπέρα, ο λαός γνωρίζει αυτήν τη σταθερότητα  Με τις εντολές για διακοπές ρεύματος να αυξάνονται προοδευτικά  Φθάνοντας πέρυσι τις 400",energy,energy crisis,power cuts,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,[]
9,"000, while ¼ of them were implemented, in the context of liberalisation, which is alive and well, in accordance with the EU strategy, regardless of the percentage of the state's share in PPC. 	With the constant tax rate of the people paying 95% of the taxes, with over 56 billion.  every year, while for large business groups the percentage of their participation in taxation is steadily decreasing (in net profits, depreciation, insurance contributions, etc. ), with ""super-taxes"" coming from the new year. 	With our country consistently coming first in terms of spending as a percentage of GDP on NATO spending and planning and sticking its feet to the fire especially on the ground of escalating imperialist war. 	This is the constancy of the attempt to impose graveyard silence, ""we'll deal with it later"" and ultimately never. ","000, ενώ υλοποιήθηκε το ¼ από αυτές, στα πλαίσια της απελευθέρωσης, που ζει και βασιλεύει, σύμφωνα και με τη στρατηγική της ΕΕ, ανεξάρτητα από το ποσοστό του μετοχικού πακέτου που έχει το κράτος στη ΔΕΗ 	Με το σταθερό ποσοστό φοροληστείας του λαού που πληρώνει το 95% των φόρων, με πάνω από 56 δισ  κάθε χρόνο, ενώ για τους μεγάλους επιχειρηματικούς ομίλους το ποσοστό συμμετοχής τους στη φορολογία σταθερά μειώνεται (σε καθαρά κέρδη, αποσβέσεις, ασφαλιστικές εισφορές κλπ ), ενώ έρχονται «υπερπλεονάσματα» από τη νέα χρονιά 	Με τη χώρα μας να έρχεται σταθερά πρώτη στις δαπάνες σε ποσοστό του ΑΕΠ για τις ΝΑΤΟικές δαπάνες και σχεδιασμούς και χώνοντας την με τα μπούνια στον κίνδυνο ειδικά στο έδαφος της κλιμάκωσης του ιμπεριαλιστικού πολέμου 	Αυτή είναι η σταθερότητα της προσπάθειας επιβολής σιγής νεκροταφείου, του “θα λογαριαστούμε μετά” και εν τέλει ποτέ",economy,taxation,liberalisation,0.0,0.5,0.0,0.7,0.2,0.0,0.0,0.0,"[['eu', 'organization', '1.0'], ['ppc', 'organization', '1.0'], ['nato', 'organization', '1.0']]"
10," The constant attack on unions and trade unions, the obstacles to their functioning, the majority of strikes being illegal and abusive.  Overall, the anti-worker legislation has been. χ.  the laws of Vroutsis - Achtsioglou for the fixing of wages by Ministerial Decisions, the laws of Katrougalos and the laws of SYRIZA and ND for the restriction of the right to strike, the transformation of the struggle for the protection of people's housing into a specific offence by SYRIZA, which was maintained by ND, and the laws of the Greek government. ά. "," Το σταθερό χτύπημα των σωματείων και των συνδικάτων, τα εμπόδια στην λειτουργία τους, η πλειοψηφία των απεργιών να βγαίνουν παράνομες και καταχρηστικές  Συνολικά η αντεργατική νομοθεσία π χ  των νόμων Βρούτση - Αχτσιόγλου για την καθήλωση των μισθών με Υπουργικές Αποφάσεις, των νόμων Κατρούγκαλου και των νόμων ΣΥΡΙΖΑ και ΝΔ για τον περιορισμό του δικαιώματος στην απεργία, τη μετατροπή του αγώνα για την προστασία της λαϊκής κατοικίας σε ιδιώνυμο αδίκημα από το ΣΥΡΙΖΑ που διατήρησε η ΝΔ κ ά",work,workers' rights,unions,-0.8,0.9,0.5,0.8,0.3,0.8,0.2,0.0,"[['unions', 'organization', '0.75'], ['trade unions', 'organization', '0.75'], ['strikes', 'event', '0.5'], ['legislation', 'government', '0.5'], ['vroutsis', 'person', '0.5'], ['achtsioglou', 'person', '0.5'], ['katrougalos', 'person', '0.5'], ['syriza', 'organization', '0.75'], ['nd', 'organization', '0.75'], ['greek government', 'government', '0.75']]"
