id,text,text_el,topic,subtopic,topic-open,sentiment,polarization,polarization-definition,toxicity,toxicity-definition,populism,populism-definition,hate speech,ner,ner-limited
1,Dear compañeras and compañeros.  Delegates to the conference invited by the conference.  Today the Conference of the central party organization of Central Macedonia concludes after a rich four-month internal party discussion in all party organizations with the participation of all party members.  And while it was also preceded by. ,Αγαπητές συντρόφισσες και σύντροφοι  Αντιπρόσωποι στη συνδιάσκεψη προσκεκλημένοι της συνδιάσκεψης  Σήμερα ολοκληρώνεται η Συνδιάσκεψη της κεντρικής της κομματικής Οργάνωσης Κεντρικής Μακεδονίας μετά από μια πλούσια τετράμηνη εσωκομματική συζήτηση σε όλες τις κομματικές οργανώσεις με τη συμμετοχή όλων των μελών του κόμματος  Και ενώ είχε προηγηθεί επίσης,other,other,party conference,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,"[['central macedonia', 'location', '0.71'], ['conference', 'organization', '1.0']]","[['central macedonia', 'location', '1.0'], ['conference', 'organization', '0.8'], ['party organization', 'organization', '0.6'], ['party members', 'group of people', '0.6'], ['central party', 'political party', '0.5']]"
2," Another four-month.  Procedure for all.  Organizations of the KNE.  The sectoral conferences on the course.  To its congress, which was attended by the members of the KNE.  The party organization of Central Macedonia has made very important steps in the 2 years since the previous conference. "," Μια άλλη τετράμηνη  Διαδικασία για όλες τις  Οργανώσεις της ΚΝΕ  Τις τομεακές συνδιασκέψεις στην πορεία  Προς το συνέδριό της, στην οποία συμμετείχαν τα μέλη της ΚΝΕ  Η κομματική Οργάνωση Κεντρικής Μακεδονίας αυτά τα χρόνια έκανε πολύ σημαντικά βήματα στα 2 αυτά χρόνια που μεσολάβησαν από την προηγούμενη συνδιάσκεψη",political parties,other,kne organization,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[['kne', 'organization', '0.9'], ['central macedonia', 'location', '0.7']]","[['kne', 'organization', '0.9'], ['central macedonia', 'location', '1.0'], ['2 years', 'date', '0.7'], ['congress', 'organization', '0.6']]"
3," Who was on the march to the twenty-first.  Conference then we went through.  From difficult and to a certain extent I would say unprecedented situations.  From a great pandemic that we faced with a racing pioneer.  From the first.  Moment with the motto.  Below.  The masks, we have voice. "," Που ήταν στην πορεία για το εικοστό πρώτο  Συνέδριο τότε περάσαμε μέσα  Από δύσκολες και ως ένα βαθμό θα έλεγα και πρωτόγνωρες καταστάσεις  Από μια μεγάλη πανδημία που την αντιμετωπίσαμε αγωνιστικά πρωτοπόρα  Από την πρώτη  Στιγμή με το σύνθημα  Κάτω από  Τις μάσκες, έχουμε φωνή",pandemic,other,conference attendees,0.0,0.0,0.0,0.2,0.5,0.0,0.0,0.0,[],"[['conference', 'event', '0.7'], ['pandemic', 'event', '0.6']]"
4, We went through.  From the fire of.  the outbreak of an imperialist war here in our neighbourhood.  Which is constantly escalating. , Περάσαμε μέσα  Από τη φωτιά του  Ξεσπάσματος ενός ιμπεριαλιστικού πολέμου εδώ στη γειτονιά μας  Που συνεχώς κλιμακώνεται,national security,other,war,-0.6,0.5,0.0,0.2,0.2,0.25,0.0,0.0,"[['imperialist', 'misc', '0.8016']]","[['imperialist war', 'organization', '0.8'], ['neighbourhood', 'location', '0.6']]"
5, And who from.  The first moment.  The CCI has reoriented the. , Και που από  Την πρώτη στιγμή  Το KKΕ προσανατόλισε το,other,other,cci reorientation,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,[],[]
6," Movement not to.  Select.  Camp imperialists, but seen with the class real.  His glasses. "," Κίνημα στο να μην  Επιλέξει  Στρατόπεδο ιμπεριαλιστών, αλλά να δει με τα ταξικά πραγματικά  Γυαλιά του",other,other,anti-imperialism,0.0,0.0,0.0,0.2,1.0,0.0,0.0,0.0,"[['movement', 'organization', '0.6'], ['camp', 'location', '0.4']]",[]
7," The need to organise.  Of our own.  The autonomous struggle against the NATO war plans and adventurism of the New Democracy government that entangle our country.  Dangerous developments in the.  The vanguard of this.  Struggle found the executives and members.  The JKE.  of the KNE in Central Macedonia, here in Thessaloniki, as we all know who have faced the state's.  Suppression really brave. "," Την ανάγκη οργάνωσης  Της δικής  Του αυτόνομης πάλης ενάντια στους πολεμικούς σχεδιασμούς και τυχοδιωκτισμούς του ΝΑΤΟ της κυβέρνησης της Νέας Δημοκρατίας που μπλέκουν τη χώρα μας  Σε επικίνδυνες εξελίξεις στην  Εμπροσθοφυλακή αυτού του  Αγώνα βρέθηκαν τα στελέχη και τα μέλη  Του ΚΚΕ  Της ΚΝΕ στην Κεντρική Μακεδονία, εδώ στη Θεσσαλονίκη, όπως ξέρουμε όλοι που αντιμετώπισαν την κρατική  Καταστολή πραγματικά παλικαρίσια",other,other,organising,0.3,0.8,0.0,0.3,0.3,0.3,0.0,0.0,"[['nato', 'organization', '0.60'], ['new democracy', 'political party', '0.75'], ['kne', 'political organization', '0.50'], ['central macedonia', 'geographical location', '0.80'], ['thessaloniki', 'geographical location', '0.90']]","[['nato', 'organization', '0.75'], ['new democracy', 'political party', '0.75'], ['central macedonia', 'location', '0.9'], ['thessaloniki', 'location', '0.8'], ['jke', 'organization', '1.0'], ['kne', 'organization', '1.0']]"
8," Gallery we also spent these 2 years in.  From natural disasters.  From fires, floods.  All over the country from. "," Gallery περάσαμε επίσης αυτά τα 2 χρόνια μέσα  Από φυσικές καταστροφές  Από πυρκαγιές, πλημμύρες  Σε όλη τη χώρα από",other,other,art gallery,0.0,0.0,0.0,0.1,0.2,0.1,0.0,0.0,[],[]
9, Increase in first-time auctions.  Housing from deterioration of the.  Energy poverty. , Έξαρση των πλειστηριασμών πρώτης  Κατοικίας από επιδείνωση της  Ενεργειακής φτώχειας,housing,affordable housing,housing,-0.5,0.0,0.0,0.3,0.2,0.5,0.0,0.0,[],[]
10, Precision in the broad popular goods.  Consumption from occupational accidents.  In workplaces.  which were met with truly magnificent. , Της ακρίβειας στα είδη πλατιάς λαϊκής  Κατανάλωσης από εργατικά ατυχήματα  Σε χώρους δουλειάς  Που αντιμετωπίστηκαν με μεγαλειώδεις πραγματικά,other,other,occupational accidents,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,[],[]
