id,text,text_el,topic,topic-other-context,subtopic,topic-open,sentiment,polarization,polarization-definition,toxicity,toxicity-definition,populism,populism-definition,hate speech,ner,ner-limited
1,"The Prime Minister's speech in full ""Mr. Ministers, Mr. Regional Governor, Mr. Mayors, Mr. Chief, ladies and gentlemen, dear members of the Armed Forces and the Greek Police, Three years ago, everything was different here.  We were reminded very vividly through the description of Police Officer George Tournakis. ","Ολόκληρη η ομιλία του Πρωθυπουργού«Κύριοι Υπουργοί, κύριε Περιφερειάρχα, κύριοι Δήμαρχοι, κύριε Αρχηγέ, κυρίες και κύριοι, αγαπητά στελέχη των Ενόπλων Δυνάμεων και της Ελληνικής Αστυνομίας,Τέτοιες μέρες πριν από τρία χρόνια, εδώ όλα ήταν διαφορετικά  Μας τα θύμισε πολύ γλαφυρά μέσα από την περιγραφή του ο Αστυνόμος Γιώργος Τουρνάκης",national security,other,police violence,speech,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[['prime minister', 'person', '0.95'], ['mr. ministers', 'person', '0.70'], ['mr. regional governor', 'person', '0.70'], ['mr. mayors', 'person', '0.70'], ['mr. chief', 'person', '0.70'], ['armed forces', 'organization', '0.80'], ['greek police', 'organization', '0.80'], ['police officer george tournakis', 'person', '0.90']]","[['police officer george tournakis', 'person', '1.0'], ['prime minister', 'person', '1.0'], ['mr. ministers', 'group of people', '1.0'], ['mr. regional governor', 'person', '1.0'], ['mr. mayors', 'group of people', '1.0'], ['mr. chief', 'person', '1.0'], ['armed forces', 'organization', '1.0'], ['greek police', 'organization', '1.0'], ['greece', 'country', '1.0'], ['three years ago', 'date', '1.0']]"
2," Tens of thousands of illegal immigrants, transported en masse from all parts of Turkey, constantly attempted - and often with the use of violence - to enter Greek territory. And already by the end of February, from that night of the 28th to the 29th of February, the place, not here but mainly further north, in Kastanies, had essentially turned into a battlefield, with attempts to invade accompanied by operations to undermine and destroy the deterrent barrier that exists in northern Evros on the other side of the border.  What we experienced here, three years ago, was the first but not the last phase of a new form of hybrid warfare breaking out in Europe. "," Δεκάδες χιλιάδες παράνομοι μετανάστες, μεταφερόμενοι μαζικά από κάθε σημείο της Τουρκίας, επιχειρούσαν διαρκώς -και συχνά με τη χρήση βίας- να εισέλθουν στο ελληνικό έδαφος Και ήδη από τα τέλη Φεβρουαρίου, από εκείνο το βράδυ της 28ης προς την 29η Φεβρουαρίου, ο τόπος, όχι εδώ αλλά κυρίως πιο βόρεια, στις Καστανιές, είχε μετατραπεί ουσιαστικά σε ένα πεδίο μάχης, με απόπειρες εισβολής να πλαισιώνουν και επιχειρήσεις υπονόμευσης, καταστροφής του αποτρεπτικού εμποδίου που υπάρχει στον βόρειο Έβρο από την άλλη πλευρά των συνόρων  Αυτό το οποίο ζήσαμε εδώ, πριν από τρία χρόνια, ήταν η πρώτη αλλά όχι η τελευταία φάση μιας νέας μορφής υβριδικού πολέμου που ξεσπούσε στην Ευρώπη",national security,refugees / migrants,borders,illegal immigration,-0.8,0.85,0.3,0.75,0.6,0.05,0.0,0.1,"[['turkey', 'location', '1.0'], ['greek', 'nationality', '1.0'], ['february', 'date', '1.0'], ['kastanies', 'location', '1.0'], ['northern evros', 'location', '1.0'], ['europe', 'location', '1.0']]","[['turkey', 'location', '1.0'], ['greece', 'country', '1.0'], ['kastanies', 'location', '1.0'], ['evros', 'location', '1.0'], ['europe', 'location', '1.0']]"
3,"And yet Greece, which at the same time, I would like to remind you, at that time was organizing its defense against the coronavirus wave, won this war.   It defended in practice its national sovereignty in Evros and in the Aegean and overturned the plans of all those who sought to make the migration problem a lever of political pressure.  Those who instrumentalized the suffering of persecuted people. ","Κι όμως η Ελλάδα, που ταυτόχρονα, θέλω να θυμίσω, εκείνη την εποχή οργάνωνε την άμυνά της απέναντι στο κύμα του κορονοϊού, αυτόν τον πόλεμο τον κέρδισε   Προστάτεψε στην πράξη την εθνική της κυριαρχία στον Έβρο αλλά και στο Αιγαίο και ανέτρεψε τα σχέδια όλων όσοι επεδίωξαν να κάνουν το μεταναστευτικό πρόβλημα μοχλό πολιτικών πιέσεων  Όσων εργαλειοποίησαν τον πόνο κατατρεγμένων ανθρώπων",other,refugees/migrants,borders,greek sovereignty,0.5,0.2,0.2,0.2,0.2,0.4,0.0,0.1,"[['greece', 'location', '1.0'], ['evros', 'location', '1.0'], ['aegean', 'location', '1.0']]","[['greece', 'country', '1.0'], ['coronavirus wave', 'date', '0.7'], ['evros', 'location', '1.0'], ['aegean', 'location', '1.0']]"
4,"At the same time, he made this challenge not only national but also European, calling three days after the crisis broke out, here, on the spot, on the borders of our country, the entire leadership of Europe. I dare say it was the moment when in practice, in practice and not in words, the eastern borders of our country were effectively transformed into the borders of Europe.  And this was confirmed by the presence of the President of the European Council Charles Michel, the President of the European Commission Ursula von der Leyen, the late President of the European Parliament David Sassoli, the President of the European Parliament David Sassoli, the President of the European Council Ursula von der Leyen, the President of the European Commission Ursula von der Leyen and the President of the European Parliament David Sassoli. ","Ενώ παράλληλα κατέστησε και αυτή την πρόκληση όχι μόνο εθνική αλλά και ευρωπαϊκή, καλώντας τρεις μέρες αφότου ξέσπασε η κρίση, εδώ, επιτόπου, στα σύνορα της πατρίδας μας, ολόκληρη την ηγεσία της Ευρώπης Τολμώ να πω ήταν εκείνη η στιγμή που στην πράξη, στην πράξη και όχι στα λόγια, τα ανατολικά σύνορα της πατρίδας μας μετατράπηκαν ουσιαστικά και σε σύνορα της Ευρώπης  Και το βεβαίωσαν τότε με την παρουσία τους -την ώρα που η Ελληνική πολιτεία, η Αστυνομία αλλά και οι Ένοπλες Δυνάμεις, οι Εβρίτες μαχόντουσαν για τον τόπο τους- ο Πρόεδρος του Ευρωπαϊκού Συμβουλίου Charles Michel, η Πρόεδρος της Ευρωπαϊκής Επιτροπής Ursula von der Leyen, ο αείμνηστος Πρόεδρος του Ευρωπαϊκού Κοινοβουλίου David Sassoli",europe,refugees/migrants,borders,international crisis,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[['europe', 'location', '1.0'], ['president of the european council charles michel', 'person', '1.0'], ['president of the european commission ursula von der leyen', 'person', '1.0'], ['president of the european parliament david sassoli', 'person', '1.0']]","[['europe', 'location', '1.0'], ['president of the european council charles michel', 'person', '1.0'], ['president of the european commission ursula von der leyen', 'person', '1.0'], ['president of the european parliament david sassoli', 'person', '1.0'], ['european council', 'organization', '1.0'], ['european commission', 'organization', '1.0'], ['european parliament', 'organization', '1.0']]"
5,"All of them have vindicated your own struggle, saying that Evros is not just a beautiful region of northern Greece, but is essentially an outpost of Europe and the western world. I have made this particular introduction, ladies and gentlemen, not only to recall the difficulties that our country has overcome, nor simply to emphasise how valuable the unity of society and the readiness of the state proved to be at that time, but also to highlight the continuity and consistency of a unified immigration policy. A, as the Minister of Immigration and Asylum said, fair but effective policy, which sees and can and shields the borders of our country, while saving innocent people, thousands of innocent people, especially in the Aegean Sea, from the ruthless gangs of traffickers. It is a policy that is reflected in today's event. ","Όλοι αυτοί δικαίωσαν τον δικό σας αγώνα, λέγοντας ότι ο Έβρος δεν είναι απλά μια όμορφη περιοχή της βόρειας Ελλάδος, αλλά είναι ουσιαστικά ένα ακριτικό φυλάκιο της Ευρώπης και του δυτικού κόσμου Έκανα αυτή την συγκεκριμένη εισαγωγή, κυρίες και κύριοι, όχι μόνο για να θυμίσω τις δυσκολίες που ξεπέρασε η πατρίδα, ούτε απλώς για να τονίσω πόσο πολύτιμη αποδείχθηκε τότε η ενότητα της κοινωνίας αλλά και η ετοιμότητα της πολιτείας, όσο για να αναδείξω τη συνέχεια και τη συνέπεια μίας ενιαίας μεταναστευτικής πολιτικής Μιας, όπως είπε και ο Υπουργός Μετανάστευσης και Ασύλου, δίκαιης αλλά αποτελεσματικής πολιτικής, η οποία βλέπει και μπορεί και θωρακίζει τα σύνορα της πατρίδας μας, σώζοντας ταυτόχρονα αθώους, χιλιάδες αθώους, κυρίως στο Αιγαίο, από τις αδίστακτες συμμορίες των διακινητών Είναι μία πολιτική που αποτυπώνεται και στο σημερινό γεγονός",other,refugees / migrants,borders,immigration policy,0.85,0.2,0.0,0.1,0.0,0.1,0.0,0.0,"[['evros', 'location', 'high probability'], ['northern greece', 'location', 'high probability'], ['europe', 'location', 'high probability'], ['western world', 'location', 'high probability'], ['our country', 'location', 'high probability'], ['society', 'person/organization', 'medium probability'], ['state', 'organization', 'medium probability'], ['minister of immigration and asylum', 'person/organization', 'high probability'], ['immigration policy', 'concept', 'high probability'], ['aegean sea', 'location', 'high probability'], ['ruthless gangs', 'group', 'medium probability'], [""today's event"", 'concept', 'low probability']]","[['evros', 'location', '1.0'], ['greece', 'country', '1.0'], ['europe', 'location', '1.0'], ['ladies and gentlemen', 'group of people', '1.0'], ['the minister of immigration and asylum', 'person', '1.0'], ['aegean sea', 'location', '1.0']]"
6," Because this new section of the artificial barrier of Evros that will be built will add 35 more kilometres from Psathades to Kornofolia.  With autonomous surveillance systems and new outposts of both the Army and the Police.  And with even more border guards, which will increase by 250. I was delighted to hear the earlier story and the passion with which a young border guard spoke about what she does, emphasizing that the vast majority of new border guards here come from the Evros region.  I think you have other experiences and you may possibly understand even better the specificity, the difficulty, but also the importance of your function. "," Γιατί αυτό το νέο τμήμα του τεχνητού εμποδίου του Έβρου που θα κατασκευαστεί, θα προσθέσει 35 ακόμα χιλιόμετρα από τους Ψαθάδες μέχρι την Κορνοφωλιά  Με αυτόνομα συστήματα επιτήρησης και με νέα φυλάκια και του Στρατού και της Αστυνομίας  Και με ακόμα περισσότερους συνοριοφύλακες, οι οποίοι θα αυξηθούν κατά 250 Χάρηκα πολύ όταν άκουσα την προηγούμενη ιστορία και το πάθος με το οποίο μια νέα συνοριοφύλακας μίλησε για αυτό το οποίο κάνει, τονίζοντας ότι η μεγάλη πλειοψηφία των νέων συνοριοφυλάκων προέρχονται εδώ από την περιοχή του Έβρου  Νομίζω ότι έχετε άλλα βιώματα και μπορεί ενδεχομένως να καταλαβαίνετε ακόμα καλύτερα την ιδιαιτερότητα, τη δυσκολία, αλλά και τη σημασία του λειτουργήματός σας",other,national security.,borders,border security,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[['evros', 'artificial barrier', '0.7'], ['psathades', 'location', '0.6'], ['kornofolia', 'location', '0.6'], ['army', 'organization', '0.8'], ['police', 'organization', '0.8'], ['border guards', 'occupation', '0.7'], ['evros region', 'location', '0.6']]","[['evros', 'location', '1.0'], ['psathades', 'location', '0.7'], ['kornofolia', 'location', '0.7'], ['army', 'organization', '0.8'], ['police', 'organization', '0.8'], ['border guards', 'group of people', '1.0'], ['evros region', 'location', '0.9']]"
7,"Eventually this fence will reach 140 kilometres and will stretch across the entire border of Evros.  This fence - which was built in record time - together with the existing section that already exists in northern Evros, was one of the reasons why we have managed in recent years to prevent more than 250. 000 - I repeat, more than 250. ","Τελικά ο φράχτης αυτός θα φτάσει τα 140 χιλιόμετρα και θα απλώνεται σε όλη την μεθόριο του Έβρου  Ήταν και αυτός ο φράχτης -ο οποίος κατασκευάστηκε σε χρόνο ρεκόρ- μαζί και με το υφιστάμενο τμήμα το οποίο υπάρχει ήδη στο βόρειο Έβρο, ένας από τους λόγους που καταφέραμε τα τελευταία χρόνια να αποτρέψουμε σε παραπάνω από 250 000 -επαναλαμβάνω, παραπάνω από 250",refugees / migrants,000 - people from entering illegally to greece through the land border with turkey.,evros fence,border fence,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,"[['evros', 'location', '1.0'], ['140 kilometers', 'measurement', '1.0'], ['250', '000', 'quantity', '1.0']]","[['evros', 'location', '1.0'], ['250.000', 'date', '1.0']]"
8,"000 illegal immigrants to enter Greek territory. Because at maritime borders these deterrents have actually increased tenfold, exposing some people who once didn't even distinguish borders at sea.  But by exposing the party that these people serve. ","000- παράνομους μετανάστες να εισέλθουν στο ελληνικό έδαφος Γιατί στα θαλάσσια σύνορα αυτές οι αποτροπές έχουν ουσιαστικά δεκαπλασιαστεί, εκθέτοντας κάποιους οι οποίοι κάποτε δεν ξεχώριζαν καν τα σύνορα στη θάλασσα  Εκθέτοντας όμως και το κόμμα το οποίο αυτοί οι κάποιοι υπηρετούν",other,refugees/migrants,sea borders,immigration,-0.4,0.3,0.0,0.6,0.2,0.2,0.0,0.0,"[['greek', 'gpe', '0.8']]","[['1. greek', 'location', '1.0'], ['2. sea', 'location', '0.8'], ['3. party', 'group of people', '1.0']]"
9,"Because I want to remind you that a prominent member of SYRIZA asked - just the other day - from the European Parliament, in an urgent way, expressing an obviously different view on the way the country's immigration policy should be exercised, that the European Union should not finance such artificial barriers at its borders because they are supposed to violate international legality. Let me put it very simply: what SYRIZA is asking for today is that the project you see here, this expensive project, because - as you can see - we are talking about a heavy construction, that the European Union does not pay for it, as it could under certain conditions, but that you all pay for it, the Greek taxpayer. Therefore, from here I must ask the leader of the opposition something again which he carefully avoids to answer: does he want to continue the construction of the fence or not?  Or does it ultimately seek to demolish this project that has been built. ","Διότι θέλω να θυμίσω ότι προβεβλημένο στέλεχος του ΣΥΡΙΖΑ ζήτησε -μόλις προχθές- από το Ευρωκοινοβούλιο, με επιτακτικό τρόπο, εκφράζοντας μία προφανώς άλλη άποψη για τον τρόπο με τον οποίο πρέπει να ασκείται η μεταναστευτική πολιτική της χώρας, να μη χρηματοδοτεί η Ευρωπαϊκή Ένωση τέτοια τεχνητά εμπόδια στα όριά της επειδή τάχα αυτά παραβιάζουν τη διεθνή νομιμότητα Να το πω πολύ απλά: αυτό το οποίο ζητά ο ΣΥΡΙΖΑ σήμερα είναι αυτό το έργο το οποίο βλέπετε εδώ, αυτό το ακριβό έργο, διότι -όπως βλέπετε- μιλάμε για μία βαριά κατασκευή, να μην το πληρώνει η Ευρωπαϊκή Ένωση, όπως υπό προϋποθέσεις θα μπορούσε, αλλά να το πληρώνετε όλοι εσείς ουσιαστικά, ο Έλληνας φορολογούμενος Συνεπώς κι από δω θα πρέπει να ξαναρωτήσω τον αρχηγό της αξιωματικής αντιπολίτευσης κάτι το οποίο αποφεύγει επιμελώς να απαντήσει: τελικά επιδιώκει να συνεχίσει το έργο κατασκευής του φράχτη ή όχι  Ή μήπως επιδιώκει τελικά και αυτό το έργο το οποίο έχει κατασκευαστεί να το κατεδαφίσει",refugees / migrants,refugees / migrants,borders,immigration policy,-0.3,0.2,0.2,0.1,0.2,0.1,0.0,0.0,"[['syriza', 'organization', 'high', 'european parliament', 'organization', 'high', 'european union', 'organization', 'high', 'greek', 'nationality', 'medium', 'opposition', 'political group', 'medium']]","[['syriza', 'political party', '1.0'], ['european parliament', 'organization', '0.9'], ['european union', 'organization', '0.9'], ['greek', 'location', '0.9']]"
10,"I regret that I have to say this here, but I want to stress that this attitude is essentially a national exception, all the more so when it comes after the adoption of miserable lies about alleged incidents which some people say took place here in Evros, but which turned out to be lies. Because I remember very well - I remember it too, the Ministers remember it too - the ""little Maria"" incident.  When we were looking to find out where these people were, on which island of Evros they had been found. ","Λυπάμαι που αναγκάζομαι να τα πω αυτά εδώ, αλλά θέλω να τονίσω ότι η στάση αυτή συνιστά ουσιαστικά μια εθνική εξαίρεση, πολύ περισσότερο όταν έρχεται μετά από την υιοθέτηση άθλιων ψεμάτων για δήθεν επεισόδια τα οποία έγιναν κατά κάποιους εδώ στον Έβρο, πλην όμως απεδείχθησαν τελικά ότι ήταν όλα ψέματα Γιατί θυμάμαι πολύ καλά -το θυμάμαι κι εγώ, το θυμούνται και οι Υπουργοί- το περιστατικό της «μικρής Μαρίας»  Όταν ψάχναμε να βρούμε πού είναι αυτοί οι άνθρωποι, σε ποια νησίδα του Έβρου είχαν βρεθεί",other,refugees / migrants,evros fence,national attitude,-0.3,0.2,0.1,0.1,0.1,0.2,0.0,0.1,"[['evros', 'loc', '1.0'], ['maria', 'per', '1.0']]","[['evros', 'location', '1.0'], ['maria', 'person', '1.0'], ['ministers', 'group of people', '1.0']]"
