id,text,text_el,topic,subtopic,topic-open,sentiment,polarization,polarization-definition,toxicity,toxicity-definition,populism,populism-definition,hate speech,ner
1,"Speech by the Prime Minister and President of the New Democracy Kyriakos Mitsotakis in Ioannina05/04/2023 Mr. Speaker of the Parliament, Mr.  Regional Governor, dear Mayors, friends, neo-democrats of Epirus, of Ioannina, We have held many meetings in this hall, but this is by far the biggest one.  Thank you for such a warm, impressive welcome. ","Ομιλία του Πρωθυπουργού και Προέδρου της Νέας Δημοκρατίας Κυριάκου Μητσοτάκη στα Ιωάννινα05/04/2023 Κύριε Πρόεδρε της Βουλής, κ  Περιφερειάρχη, αγαπητοί Δήμαρχοι, φίλες και φίλοι, νεοδημοκράτισσες και νεοδημοκράτες της Ηπείρου, των Ιωαννίνων,  Έχουμε κάνει πολλές συγκεντρώσεις σε αυτή την αίθουσα, αυτή όμως είναι μακράν η μεγαλύτερη  Σας ευχαριστώ για το τόσο ζεστό, το τόσο εντυπωσιακό καλωσόρισμα",greetings,other,speech,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[['prime minister', 'title', '1.0'], ['president', 'title', '1.0'], ['new democracy', 'organization', '1.0'], ['kyriakos mitsotakis', 'person', '1.0'], ['ioannina', 'location', '1.0'], ['parliament', 'organization', '1.0'], ['regional governor', 'title', '1.0'], ['mayors', 'title', '1.0'], ['epirus', 'location', '1.0']]"
2," And Ioannina, Epirus, sends today its own message of optimism and hope to every corner of the country.  From here, from this place which I love so much, from this place with its enormous contribution to the building of modern Greece, the wave of victory rises.  The wave that on May 21 will bring a new self-reliant government to take our country higher and further, for a second mandate for progress, to move, as our motto says, firmly, boldly, only forward. "," Και τα Γιάννενα, η Ήπειρος, στέλνουν, σήμερα, το δικό τους μήνυμα αισιοδοξίας και ελπίδας σε κάθε γωνιά της χώρας  Από εδώ, από αυτόν τον τόπο τον οποίον τόσο αγαπώ, από αυτόν τον τόπο με την τεράστια συμβολή στο χτίσιμο της σύγχρονης Ελλάδος, υψώνεται το κύμα της νίκης  Το κύμα που στις 21 Μαΐου θα φέρει μία νέα αυτοδύναμη κυβέρνηση για να πάμε την πατρίδα μας πιο ψηλά και πιο μακριά, για μία δεύτερη εντολή στην προκοπή, για να προχωρήσουμε, όπως λέει και το σύνθημά μας, σταθερά, τολμηρά, μόνο μπροστά",government programme,elections,elections,0.9,0.1,0.0,0.0,0.0,0.2,0.0,0.0,"[['ioannina', 'location', '1.0'], ['epirus', 'location', '1.0'], ['greece', 'location', '1.0'], ['may 21', 'date', '1.0']]"
3," You know that I have come many times - I have lost count - to Epirus, here in Ioannina, and on the way to the polls on May 21, I am once again by your side.  I shake hands with each and every one of you individually and I say a big thank you from the bottom of my heart for your support, for your love, for your applause, for your smile, for your enthusiasm.  I'm here because I want to plan together what we want to achieve.  I am here because we must weigh together what we have won.  But I'm here, as Mrs. "," Ξέρετε ότι έχω έρθει πολλές φορές -έχω χάσει το μέτρημα- στην Ήπειρο, εδώ στα Γιάννενα, και στο δρόμο προς τις κάλπες της 21ης Μαΐου είμαι ακόμα μία φορά δίπλα σας  Σφίγγω το χέρι στην καθεμία και στον καθένα ξεχωριστά και σας λέω από καρδιάς ένα μεγάλο ευχαριστώ για τη στήριξή σας, για την αγάπη σας, για το χειροκρότημά σας, για το χαμόγελό σας, για τον ενθουσιασμό σας  Είμαι εδώ γιατί θέλω να σχεδιάσουμε μαζί όσα θέλουμε να φτάσουμε  Είμαι εδώ γιατί πρέπει να ζυγίσουμε μαζί αυτά που κερδίσαμε  Είμαι εδώ, όμως, όπως είπε και η κα",reference to other parties,other,political campaigning,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,"[['epirus', 'location', '1.0'], ['ioannina', 'location', '1.0'], ['may 21', 'date', '1.0']]"
4," President, let's remember together where we started.  Because it is true that in the last four years as a country, as a Greek people, we have gone through and overcome a lot: from the illegal invasions of migrants in Evros to the waves of the pandemic, and from the constant national challenges to a war on our continent.  The ensuing energy crisis, the imported precision which tests the disposable income not only of Greeks but of all Europeans.  Together we experienced painful moments, such as the Tempi.  They are tests that have revealed long-standing gaps and weaknesses. "," Πρόεδρος, για να θυμηθούμε μαζί από πού ξεκινήσαμε  Γιατί είναι αλήθεια πως εδώ και τέσσερα χρόνια ως χώρα, ως ελληνικός λαός, περάσαμε αλλά και ξεπεράσαμε πολλά: από τις παράνομες εισβολές των μεταναστών στον Έβρο μέχρι τα κύματα της πανδημίας, και από τις διαρκείς εθνικές προκλήσεις ως ένα πόλεμο στην ήπειρό μας  Τη συνεπακόλουθη ενεργειακή κρίση, την εισαγόμενη ακρίβεια η οποία δοκιμάζει το διαθέσιμο εισόδημα όχι μόνο των Ελλήνων αλλά και όλων των Ευρωπαίων  Μαζί βιώσαμε και στιγμές οδυνηρές, όπως τα Τέμπη  Είναι δοκιμασίες που αποκάλυψαν διαχρονικά κενά και αδυναμίες",health,pandemic,greek challenges,-0.2,0.2,0.0,0.1,0.2,0.1,0.0,0.0,"[['president', 'organization', '1.0'], ['greek', 'nationality', '0.9'], ['evros', 'location', '0.8'], ['pandemic', 'event', '1.0'], ['continent', 'location', '0.6'], ['energy crisis', 'event', '0.8'], ['europeans', 'nationality', '0.5'], ['tempi', 'location', '0.7']]"
5," Islands of an anachronistic yesterday that resists and has managed to take revenge on us before we uproot it, making the battle against it even more urgent.  I want to declare to you today that I am even more determined to confront all those foci that are holding our country back.  I will do it, we will do it together, with more conviction, with more momentum, but above all to implement even faster the great changes that our country needs so much.  So that by making our country better, we become better with it.  But, friends, all these adversities that have befallen us have not broken us.  And they did not bend us because the state, the state, the government stood by the citizens and businesses that were being tested.  We spent more than €50 billion to tackle the coronavirus scourge. "," Νησίδες ενός αναχρονιστικού χθες που αντιστέκεται και πρόλαβε να μας εκδικηθεί πριν το ξεριζώσουμε, κάνοντας ακόμα πιο επιτακτική τη μάχη εναντίον του  Θέλω να σας δηλώσω σήμερα ότι είμαι ακόμα πιο αποφασισμένος να συγκρουστώ με όλες εκείνες τις εστίες που κρατάνε την πατρίδα μας πίσω  Θα το κάνω, θα το κάνουμε μαζί, με μεγαλύτερο πείσμα, με περισσότερη ορμή, κυρίως όμως να υλοποιήσουμε ακόμα πιο γρήγορα τις μεγάλες αλλαγές που τόσο έχει ανάγκη η πατρίδα μας  Ώστε κάνοντας καλύτερη τη χώρα μας να γινόμαστε και εμείς καλύτεροι μαζί της  Όμως, φίλες και φίλοι, όλες αυτές οι αντιξοότητες που μας έτυχαν δεν μας λύγισαν  Και δεν μας λύγισαν γιατί η πολιτεία, το κράτος, η κυβέρνηση στάθηκε δίπλα στους δοκιμαζόμενους πολίτες και στις δοκιμαζόμενες επιχειρήσεις  Δαπανήσαμε για να αντιμετωπίσουμε τη μάστιγα του κορονοϊού παραπάνω από 50 δισεκατομμύρια ευρώ",health,pandemic,national progress,0.0,0.1,0.0,0.1,0.2,0.1,0.0,0.0,[]
6," We kept society standing, we kept the economy standing, we kept jobs standing.  There is no businessman - small, medium or large - who does not acknowledge that the state stood by him when he was watching his turnover disappear.  There is no worker who does not know that it was the state that actually paid the wages in order to preserve jobs. "," Κρατήσαμε όρθια την κοινωνία, κρατήσαμε όρθια την οικονομία, κρατήσαμε όρθια την εργασία  Δεν υπάρχει επιχειρηματίας -μικρός, μεσαίος, μεγάλος- ο οποίος να μην αναγνωρίζει ότι η πολιτεία στάθηκε στο πλευρό του τη στιγμή που έβλεπε τον τζίρο του να εξαφανίζεται  Δεν υπάρχει εργαζόμενος ο οποίος να μην γνωρίζει ότι η πολιτεία ήταν τελικά αυτή που πλήρωσε ουσιαστικά τους μισθούς προκειμένου να διαφυλάξουμε τις θέσεις εργασίας",economy,,state support,0.8,0.0,0.0,0.0,0.0,0.2,0.2,0.0,"[['society', 'org', '0.75'], ['economy', 'org', '0.75'], ['jobs', 'org', '0.75'], ['businessman', 'per', '0.75'], ['small', 'misc', '0.5'], ['medium', 'misc', '0.5'], ['large', 'misc', '0.5'], ['state', 'org', '1.0'], ['turnover', 'misc', '0.5'], ['worker', 'per', '0.75'], ['wages', 'misc', '0.5']]"
7," And I don't think there is a vulnerable citizen who is not aware and does not recognize that in these difficult times we have turned our attention primarily to those who need it most.  Because we are the great popular party of the country, New Democracy, which comes from far away and goes even further.  But we are also, mind you, the responsible New Democracy, because all these things I have described to you we did without endangering the fiscal balance.  We have made a number of wise choices and have been able to respond to the needs of the times, such as the need to strengthen our defence.  But also something else very important: despite great difficulties this government has done what it promised.  I want us to remember together, when I came to speak to you in Ioannina during the pre-election period - before the elections of May and after July 2019 - what we had committed to, this truth agreement that I asked you to sign at that time, what exactly it consisted of.  And let's go and see together if what we told you in 2019, what I had personally committed to, we have delivered. "," Και δεν νομίζω ότι υπάρχει και ευάλωτος συμπολίτης μας ο οποίος να μην γνωρίζει και να μην αναγνωρίζει ότι σε αυτές τις δύσκολες στιγμές στρέψαμε το βλέμμα μας πρωτίστως σε αυτούς που το έχουν περισσότερο ανάγκη  Γιατί είμαστε η μεγάλη λαϊκή παράταξη της χώρας, η Νέα Δημοκρατία, που έρχεται από μακριά και πηγαίνει ακόμα πιο μακριά  Αλλά είμαστε, προσέξτε, και η υπεύθυνη Νέα Δημοκρατία, διότι όλα αυτά τα οποία σας περιέγραψα τα κάναμε χωρίς να θέσουμε σε κίνδυνο τη δημοσιονομική ισορροπία  Κάναμε μια σειρά από συνετές επιλογές και μπορέσαμε να απαντήσουμε στις ανάγκες των καιρών, όπως η ανάγκη να θωρακίσουμε την άμυνά μας  Αλλά και κάτι άλλο πολύ σημαντικό: παρά τις μεγάλες δυσκολίες αυτή η κυβέρνηση έκανε πράξη αυτά που υποσχέθηκε  Θέλω να θυμηθούμε μαζί, όταν είχα έρθει να σας μιλήσω στα Γιάννενα προεκλογικά -πριν από τις εκλογές του Μαΐου και μετά του Ιουλίου του 2019- σε τι είχαμε δεσμευτεί, αυτή η συμφωνία αλήθειας που σας ζήτησα τότε να υπογράψουμε από τι ακριβώς απαρτιζόταν  Και να πάμε να δούμε μαζί αν αυτά τα οποία σας είχαμε πει το 2019, για τα οποία είχα δεσμευτεί προσωπικά, τα υλοποιήσαμε",economy,promises,new democracy's accomplishments and promises,0.5,0.1,0.0,0.1,0.0,0.2,0.0,0.0,"[['new democracy', 'organization', '1.0'], ['ioannina', 'location', '1.0']]"
8," The first thing I told you back then is that we're going to shake up the economy.  We will cut taxes, increase jobs, attract investment, modernise the state.  I told you then we will return to the middle class what the four years of SYRIZA deprived it of. I told you that I want a united society, and a united society means caring for the weakest.  To reduce, as far as possible, social inequalities. "," Το πρώτο που σας είχα πει τότε είναι ότι θα ανατάξουμε την οικονομία  Θα μειώσουμε τους φόρους, θα αυξήσουμε τις δουλειές, θα προσελκύσουμε επενδύσεις, θα εκσυγχρονίσουμε το κράτος  Σας είπα τότε θα επιστρέψουμε στη μεσαία τάξη όσα στέρησε από αυτήν η τετραετία του ΣΥΡΙΖΑ Σας είχα πει ότι θέλω μία κοινωνία ενωμένη, και ενωμένη κοινωνία σημαίνει φροντίδα προς τους πιο αδύναμους  Να μειώσουμε, όσο αυτό είναι εφικτό, τις κοινωνικές ανισότητες",economy,austerity,economy,0.4,0.1,0.1,0.0,0.0,0.2,0.0,0.0,"[['syriza', 'org', '0.60']]"
9," I told you that the economy must finally come out of its stagnation, to enter a sustainable growth path.  I pledged to you that we would restore Greece to its rightful place in Europe.  And, finally, that we will be faced with division and polarisation and that we should finally recognise as a society and learn from our history.  To be taught that the great leaps as a country, as a nation, were made only when we were united and not when we were divided. "," Σας είχα πει ότι πρέπει να βγει, επιτέλους, η οικονομία από την καθήλωση, να μπει σε μία διατηρήσιμη τροχιά ανάπτυξης  Σας είχα δεσμευτεί ότι θα ξαναδώσουμε στην Ελλάδα τη θέση που της αξίζει στην Ευρώπη  Και, τέλος, ότι θα βρεθούμε απέναντι στο διχασμό και στην πόλωση και ότι θα πρέπει, επιτέλους, να αναγνωρίσουμε ως κοινωνία και να μάθουμε από την ιστορία μας  Να διδαχθούμε ότι τα μεγάλα άλματα ως χώρα, ως έθνος, τα κάναμε μόνο όταν ήμασταν ενωμένοι και όχι όταν ήμασταν διχασμένοι",economy,austerity,greek politics,0.5,0.2,0.2,0.0,0.0,0.2,0.0,0.0,"[['greece', 'location', '0.9'], ['europe', 'location', '0.8']]"
10, So let's see what we have implemented.  Today we have cut more than 50 taxes and permanent burdens of more than 7 billion euros have been removed from the backs of citizens.  I told you in 2019 that the ENFIA will be reduced by 30%.  We reduced it by 35%.  The solidarity contribution is now a thing of the past for all Greek women and men. ," Πάμε, λοιπόν, να δούμε τι από αυτά υλοποιήσαμε  Σήμερα έχουμε μειώσει παραπάνω από 50 φόρους και από τις πλάτες των πολιτών έχουν αφαιρεθεί μόνιμα βάρη που ξεπερνούν τα 7 δισεκατομμύρια  Σας έλεγα το 2019 ότι ο ΕΝΦΙΑ θα μειωθεί κατά 30%  Τον μειώσαμε κατά 35%  Η εισφορά αλληλεγγύης είναι πια παρελθόν για όλες τις Ελληνίδες και για όλους τους Έλληνες",economy,taxation,tax reduction,0.8,0.0,0.0,0.0,0.0,0.2,0.0,0.0,"[['enfia', 'org', '0.7'], ['greek', 'misc', '0.6']]"
