id,text,text_el,topic,topic-context,subtopic,subtopic-context,topic-open,sentiment,polarization,polarization-definition,toxicity,toxicity-definition,populism,populism-definition,hate speech,ner,ner-limited
1,"""Mr. Regional Governor, Mr. Mayor, friends, neo-democrats, citizens of Megalopolis, thank you for this warm welcome, thank you for your applause. We are, in fact, one day before the official announcement of the elections. Tomorrow I will go to the President of the Republic and propose the dissolution of the Parliament, so that we can go to elections on May 21. Keep in mind that elections are held at the end of four years, as I have been committed to for several years. ","«Κύριε Περιφερειάρχα, κύριε Δήμαρχε, φίλες και φίλοι, νεοδημοκράτισσες και νεοδημοκράτες, πολίτες της Μεγαλόπολης, σας ευχαριστώ γι΄ αυτή τη θερμή υποδοχή, σας ευχαριστώ για το χειροκρότημά σας. Βρισκόμαστε, ουσιαστικά, μία μέρα πριν από την επίσημη προκήρυξη των εκλογών. Αύριο θα πάω στην Πρόεδρο της Δημοκρατίας και θα εισηγηθώ τη διάλυση της Βουλής, έτσι ώστε να οδηγηθούμε σε εκλογές την 21η Μαΐου. Συγκρατήστε ότι οι εκλογές γίνονται στο τέλος της τετραετίας, όπως είχα δεσμευτεί εδώ και αρκετά χρόνια.",elections,other,election spending,,,,0.0,0.0,0.0,0.0,0.1,,0.0,[],[]
2,"Consistent with this commitment, we are exhausting our term in government and we enter this election period with the confidence of a party that has honoured the truth agreement we signed with the Greeks in July 2019. When I was in Arcadia before and I spoke to you during the election campaign, I told you that my first concern would be to revive the Greek economy and get us out of the path that the previous ones had set, a path of disrepute, a path of limited growth, a path of taxes that crushed the middle class, of pension cuts. The growth of the economy was the first objective of this government and at the same time it is this growth that allowed us to be able to implement our election commitments, to reduce taxes for every Greek, to reduce contributions, to attract investment, to claim more European resources, to boost the economy as a whole. ","Συνεπείς και σε αυτή τη δέσμευσή μας, εξαντλούμε την κυβερνητική μας θητεία και προσερχόμαστε σε αυτή την προεκλογική περίοδο με την αυτοπεποίθηση ενός κόμματος το οποίο τίμησε τη συμφωνία αλήθειας την οποία υπογράψαμε με τις Ελληνίδες και τους Έλληνες τον Ιούλιο του 2019. Όταν είχα ξαναβρεθεί στην Αρκαδία και σας είχα μιλήσει τότε προεκλογικά, σας είχα πει ότι το πρώτο μου μέλημα θα ήταν να ανατάξω την ελληνική οικονομία και να βγούμε από αυτή την πορεία την οποία είχαν χαράξει οι προηγούμενοι, μία πορεία ανυποληψίας, μία πορεία περιορισμένης ανάπτυξης, μία πορεία φόρων που τσάκισαν τη μεσαία τάξη, περικοπών συντάξεων. Η ανάπτυξη της οικονομίας αποτέλεσε τον πρώτο στόχο αυτής της κυβέρνησης και ταυτόχρονα είναι αυτή η ανάπτυξη που μας επέτρεψε να μπορέσουμε να υλοποιήσουμε τις προεκλογικές μας δεσμεύσεις, να μειώσουμε τους φόρους για κάθε Ελληνίδα και για κάθε Έλληνα, να μειώσουμε τις εισφορές, να προσελκύσουμε επενδύσεις, να διεκδικήσουμε περισσότερους ευρωπαϊκούς πόρους, να ανατάξουμε συνολικά την οικονομία.",economy,economy,economic crisis,,,,0.1,0.0,0.0,0.0,0.1,,0.0,[],[]
3,"And livestock farming. Our farmers know that despite the problems they face, we have stood by them in the face of yet another of the many crises we have had to face, which is none other than imported precision, a product of Russia's attack on Ukraine. We didn't do all this in normal times. ","Και την κτηνοτροφία. Οι κτηνοτρόφοι μας γνωρίζουν ότι παρά τα προβλήματα τα οποία αντιμετωπίζουν, σταθήκαμε κοντά τους απέναντι σε μία ακόμα από τις πολλές κρίσεις που κληθήκαμε να αντιμετωπίσουμε, που δεν είναι άλλη από την εισαγόμενη ακρίβεια, προϊόν της επίθεσης της Ρωσίας στην Ουκρανία. Όλα αυτά δεν τα κάναμε σε κανονικούς καιρούς.",agricultural policy,other,other,,,,0.3,0.0,0.2,0.0,0.2,,0.0,[],[]
4,"I want you to recall the crises we have had to manage over these four years, starting with the migrant invasion of Evros in March 2020. Immediately afterwards, a pandemic, an unprecedented health crisis, which basically forced us to shut down the entire economy. But I do not believe that there is a single Greek among us who does not recognise that in this unprecedented health crisis the state stood by, supported businesses, supported workers, took over the payroll, gave a refundable advance and kept the productive fabric of the country standing. We have had to deal at the same time with a provocative neighbour and recently, of course, the great crisis of precision, imported precision. An inflationary crisis the likes of which we have never dealt with in the last 40 years. But there, too, we have been close to the citizens. You will have seen today that the electricity prices for next month have been announced and they are relatively lower than the previous prices. ","Θέλω να θυμηθείτε τις κρίσεις που κληθήκαμε να διαχειριστούμε αυτά τα τέσσερα χρόνια, ξεκινώντας από τη μεταναστευτική εισβολή στον Έβρο, τον Μάρτιο του 2020. Αμέσως μετά, μία πανδημία, μία πρωτοφανής υγειονομική κρίση, η οποία μας ανάγκασε ουσιαστικά να κλείσουμε όλη την οικονομία. Αλλά δεν πιστεύω ότι υπάρχει ανάμεσά μας ούτε ένας Έλληνας, ούτε μία Ελληνίδα, που να μην αναγνωρίζει ότι σε αυτή την πρωτοφανή υγειονομική κρίση το κράτος στάθηκε δίπλα, στήριξε τις επιχειρήσεις, στήριξε τους εργαζόμενους, ανέλαβε τη μισθοδοσία, έδωσε επιστρεπτέα προκαταβολή και κράτησε τον παραγωγικό ιστό της χώρας όρθιο. Είχαμε ταυτόχρονα να αντιμετωπίσουμε έναν προκλητικό γείτονα και πρόσφατα βέβαια την μεγάλη κρίση ακριβείας, εισαγόμενης ακρίβειας. Μία κρίση πληθωρισμού όμοια της οποίας δεν έχουμε ξαναδιαχειριστεί τα τελευταία 40 χρόνια. Και εκεί, όμως, σταθήκαμε κοντά στους πολίτες. Θα είδατε και σήμερα ότι ανακοινώθηκαν οι τιμές του ρεύματος για τον επόμενο μήνα και αυτές σχετικά μειωμένες σε σχέση με τις προηγούμενες τιμές.",pandemic,pandemic,inflation,,,,0.2,0.0,0.1,0.0,0.2,,0.0,[],[]
5,"You remember that a year ago, the first concern of the citizens was what to do with their electricity bills and you know very well that all this time, in every electricity bill, there was an amount that we would have paid without the state subsidy and that you finally paid because the state bent over the problem, found resources and supported households and businesses. Because that was our obligation. To stand close to society, in every difficulty, but without, at the same time, risking fiscal stability. From 2023 onwards, our country should, according to European rules, be able to produce primary surpluses again, but precisely because we have very high growth, these primary surpluses are not only feasible, they can be combined with further tax cuts and cuts in employer contributions, which we will implement in our second four years. A friend of mine who met me here said, ""And what are you going to do about the business tax? ». ","Θυμάστε ότι πριν από ένα χρόνο και, το πρώτο μέλημα των πολιτών ήταν τι θα κάνουμε με τους λογαριασμούς του ρεύματος και γνωρίζετε καλά ότι όλο αυτό το τελευταίο διάστημα, σε κάθε λογαριασμό ρεύματος, υπήρχε αυτό το οποίο θα πληρώναμε ως ποσό χωρίς τη κρατική επιδότηση και αυτό το οποίο τελικά πληρώσατε, επειδή ακριβώς το κράτος έσκυψε πάνω στο πρόβλημα, βρήκε πόρους και στήριξε νοικοκυριά και επιχειρήσεις. Διότι αυτή ήταν η υποχρέωσή μας. Να σταθούμε κοντά στην κοινωνία, σε  κάθε δυσκολία, χωρίς όμως, ταυτόχρονα, να διακινδυνεύσουμε τη δημοσιονομική σταθερότητα. H χώρα μας από το 2023 και μετά θα πρέπει, με βάση τους ευρωπαϊκούς κανόνες, να μπορεί να παράγει και πάλι πρωτογενή πλεονάσματα, αλλά επειδή ακριβώς έχουμε πολύ υψηλή ανάπτυξη, αυτά τα πρωτογενή πλεονάσματα δεν είναι απλά εφικτά, μπορούν να συνδυαστούν και με περαιτέρω περικοπές φόρων και με περικοπές στις εργοδοτικές εισφορές, πράγμα το οποίο θα υλοποιήσουμε στη δεύτερη τετραετία μας. Κάποιος φίλος ο οποίος με συνάντησε εδώ, μου είπε, «και τι θα κάνετε με το τέλος επιτηδεύματος; ».",other,economy,electricity,,,,0.1,0.0,0.1,0.0,0.0,,0.0,[],[]
6,"The business tax will be abolished within the next four years, as tax compliance of all those who are currently required to pay a tax which, because it is horizontal, is also unfair. So we will continue this policy of tax reduction, we will continue the policy of supporting investment, we will continue the policy of strengthening and strengthening Greece in a troubled neighbourhood. We will continue to protect our borders and despite all those who fight to the contrary, the fence on the Evros is being extended with or without European funds. It is really sad, ladies and gentlemen, that today there are some opposition MEPs who are fighting in the European Parliament not to finance this fence with European funds. All of us, the Greek taxpayers, should pay for a project that is necessary not only for Greece, but for Europe as a whole. ","Το τέλος επιτηδεύματος θα σβήσει εντός της επόμενης τετραετίας, καθώς θα βελτιώνεται και η φορολογική συμμόρφωση όλων όσοι καλούνται σήμερα να πληρώσουν ένα φόρο ο οποίος επειδή είναι οριζόντιος είναι και άδικος. Θα συνεχίσουμε, λοιπόν, αυτή την πολιτική μείωσης των φόρων, θα συνεχίσουμε την πολιτική στήριξης των επενδύσεων, θα συνεχίσουμε την πολιτική ενίσχυσης και ισχυροποίησης της Ελλάδος σε μια ταραγμένη γειτονιά. Θα συνεχίσουμε να προστατεύουμε τα σύνορά μας και σε πείσμα όλων όσοι αγωνίζονται για το αντίθετο, ο φράχτης στον Έβρο επεκτείνεται με ή χωρίς ευρωπαϊκούς πόρους. Είναι πραγματικά λυπηρό, φίλες και φίλοι, ότι σήμερα, υπάρχουν κάποιοι Ευρωβουλευτές της αντιπολίτευσης οι οποίοι αγωνίζονται στο Ευρωπαϊκό Κοινοβούλιο για να μη χρηματοδοτηθεί ο φράχτης αυτός με ευρωπαϊκούς πόρους. Να πληρώσουμε όλοι εμείς, δηλαδή οι Έλληνες φορολογούμενοι, ένα έργο το οποίο είναι απαραίτητο όχι μόνο για την Ελλάδα, αλλά είναι απαραίτητο συνολικά για την Ευρώπη.",other,other,borders,,,,0.25,0.2,0.1,0.2,0.3,,0.0,[],[]
7,"But I want to say two special words about the problems that you are facing here in Megalopolis. I want young farmers - whom we have supported - and young livestock farmers who can come back into the primary sector, who can produce products that are competitively priced. To reduce production costs overall, with photovoltaics that farmers and livestock farmers can also use, so that you can really be competitive. This is our vision for the primary sector. But here, in Megalopolis, I know very well that I am in a city that was and still is to a large extent the ""energy heart"" of our country. You know very well that the transition, as we gradually move away from lignite, increases the obligation of the state and my obligation personally to be able to give a developmental outlet to a city that was largely identified with the production of electricity from lignite. I want you to know that I personally, myself, at the 2020 European Council, fought hard to be able to secure the resources that today allow us to have a Fair Transition Fund with very favourable funding and the most favourable incentives throughout Greece, so that we can attract other kinds of investments here in Megalopolis. I know there have been delays. ","Θέλω να σας πω, όμως, και δύο ειδικές κουβέντες για τα προβλήματα τα οποία σάς απασχολούν εδώ στη Μεγαλόπολη. Θέλω νέους γεωργούς - τους οποίους έχουμε στηρίξει- και νέους κτηνοτρόφους οι οποίοι θα μπορούν να επανέλθουν στον πρωτογενή τομέα, να μπορούν να παράγουν προϊόντα τα οποία να παίρνουν ανταγωνιστικές τιμές. Να μειώσουμε το κόστος παραγωγής συνολικά, με φωτοβολταϊκά τα οποία θα μπορούν να αξιοποιούν και αγρότες και κτηνοτρόφοι, για να μπορείτε πραγματικά να είστε ανταγωνιστικοί. Αυτό είναι το όραμά μας για τον πρωτογενή τομέα. Όμως, εδώ, στη Μεγαλόπολη ξέρω καλά ότι είμαι σε μία πόλη η οποία αποτέλεσε και αποτελεί ακόμα σε μεγάλο βαθμό «ενεργειακή καρδιά» για την πατρίδα μας. Ξέρετε πολύ καλά, ότι η μετάβαση, καθώς σταδιακά θα απομακρυνόμαστε από το λιγνίτη, αυξάνει την υποχρέωση της πολιτείας και τη δική μου υποχρέωση προσωπικά να μπορέσω να δώσω αναπτυξιακή διέξοδο σε μία πόλη η οποία ήταν σε μεγάλο βαθμό ταυτισμένη με την παραγωγή ηλεκτρικής ενέργειας από λιγνίτη. Θέλω να ξέρετε ότι προσωπικά, ο ίδιος, στο Ευρωπαϊκό Συμβούλιο του 2020, έδωσα μεγάλους αγώνες για να μπορέσουμε να εξασφαλίσουμε εκείνους τους πόρους που σήμερα μας επιτρέπουν να έχουμε ένα Ταμείο Δίκαιης Μετάβασης με πολύ ευνοϊκές χρηματοδοτήσεις και τα πιο ευνοϊκά κίνητρα σε όλη την Ελλάδα, για να μπορέσουμε να προσελκύσουμε άλλου είδους επενδύσεις, εδώ, στη Μεγαλόπολη. Ξέρω ότι έχουν υπάρξει και καθυστερήσεις.",energy,other,energy crisis,,,,0.2,0.0,0.0,0.0,0.2,,0.0,[],[]
8,"But it is a commitment of mine - and I want you to know this and I want you to have heard it from me - that the next four years, if the Greek people trust us, will be a four-year period in which our attention will be focused even more intensively on those areas of the country that de facto need care as electricity production from lignite will decline. Megalopolis, here, the region of Ptolemaida, the region of Western Macedonia, have secured the maximum possible subsidies and funding. This will de facto attract other kinds of investors who will come here to Megalopolis. Always in consultation with the Region - and with the resources of the Region and national resources - we can plan with you a future for Megalopolis that will be more optimistic, that will be brighter. I am not going to allow under any circumstances, in this overall vision of development that I have for the country, that there are regions that feel that they are lagging behind for historical reasons and cannot participate in this effort. ","Είναι όμως μία δέσμευση δική μου -και θέλω να το ξέρετε και να το έχετε ακούσει από εμένα- ότι η επόμενη τετραετία, εφόσον μας εμπιστευθεί ο ελληνικός λαός, θα είναι μια τετραετία όπου η προσοχή μας θα στραφεί με ακόμα μεγαλύτερη ένταση σε εκείνες τις περιοχές της χώρας οι οποίες εκ των πραγμάτων χρειάζονται φροντίδα καθώς η παραγωγή ηλεκτρικής ενέργειας από λιγνίτη θα μειώνεται. Η Μεγαλόπολη, εδώ, η περιοχή της Πτολεμαΐδας, η περιοχή της Δυτικής Μακεδονίας, έχουν εξασφαλίσει τις μέγιστες δυνατές επιδοτήσεις και χρηματοδοτήσεις. Αυτό εκ των πραγμάτων θα προσελκύσει άλλου είδους επενδυτές οι οποίοι θα έρθουν εδώ στη Μεγαλόπολη. Σε συνεννόηση πάντα και με την Περιφέρεια -και με πόρους της Περιφέρειας και εθνικούς πόρους- μπορούμε να σχεδιάσουμε μαζί σας ένα μέλλον για τη Μεγαλόπολη το οποίο θα είναι πιο αισιόδοξο, το οποίο θα είναι πιο φωτεινό. Δεν πρόκειται να επιτρέψω σε καμία περίπτωση, σε αυτό το συνολικό όραμα ανάπτυξης το οποίο έχω για τη χώρα, να υπάρχουν περιοχές οι οποίες αισθάνονται ότι υστερούν για λόγους ιστορικούς και δεν μπορούν να συμμετέχουν σε αυτή την προσπάθεια.",other,other,electricity,,,,0.1,0.0,0.1,0.0,0.1,,0.0,[],[]
9,"I will tell you only one thing: trust me. What I say, I put into practice, and my credentials are the credibility of the works and words that have distinguished the whole of our four years of government. Because what we said to you during the election, we have to a very large extent put into practice. I didn't promise you miracles. I promised you hard work, concrete goals, measurable results. ","Ένα θα σας πω μόνο: να μου έχετε εμπιστοσύνη. Αυτά τα οποία λέω τα κάνω πράξη και τα διαπιστευτήριά μου είναι η αξιοπιστία έργων και λόγων που διέκρινε συνολικά την κυβερνητική μας θητεία αυτήν την τετραετία. Γιατί εμείς, αυτά τα οποία σάς είπαμε προεκλογικά, σε πολύ μεγάλο βαθμό τα κάναμε πράξη. Δεν σας έταξα θαύματα. Σας υποσχέθηκα σκληρή δουλειά, συγκεκριμένους στόχους, μετρήσιμα αποτελέσματα.",political promises,political promises,other,,,,0.0,0.0,0.0,0.0,0.1,,0.0,[],[]
10,"And today, as we take stock, I think all our fellow citizens in good faith recognize that Greece is in a much better position than where it was in 2019. We are stronger, with a stronger economy. We are recognised in Europe as the pleasant surprise. Nobody talks about Greece as the ""black sheep"" of Europe anymore. And the big question, then, and that's why this election is so critical, is whether we're going to continue on this course or are we going to risk it all and kick the bucket of milk to get back, I wonder, to where? ","Και σήμερα, κάνοντας τον απολογισμό μας, πιστεύω ότι όλοι οι καλόπιστοι συμπολίτες μας αναγνωρίζουν ότι η Ελλάδα είναι σε πολύ καλύτερη θέση σε σχέση με το πού βρισκόταν το 2019. Είμαστε πιο ισχυροί, με πιο ισχυρή οικονομία. Αναγνωριζόμαστε στην Ευρώπη ως η ευχάριστη έκπληξη. Κανείς πια δεν μιλάει για την Ελλάδα ως το «μαύρο πρόβατο» της Ευρώπης. Και το μεγάλο ερώτημα, λοιπόν, και για αυτό οι εκλογές αυτές είναι τόσο κρίσιμες, είναι αν θα συνεχίσουμε αυτή την πορεία ή αν θα τα ρισκάρουμε όλα και θα κλωτσήσουμε την καρδάρα με το γάλα για να επιστρέψουμε, αναρωτιέμαι, πού;",elections,elections,election spending,,,,0.2,0.0,0.1,0.0,0.1,,0.0,[],[]
