id,text,text_el,topic,topic-context,subtopic,subtopic-context,topic-open,sentiment,polarization,polarization-definition,toxicity,toxicity-definition,populism,populism-definition,hate speech,ner,ner-limited
1,"Thank you, my patriots, Chaniots, neo-democrats of Crete. I repay you for the great love you show me today.","Σας ευχαριστώ πατριώτες μου, Χανιώτισσες και Χανιώτες, νεοδημοκράτισσες και νεοδημοκράτες της Κρήτης. Σας αντιγυρίζω τη μεγάλη αγάπη που μου δείχνετε σήμερα.",,other,,other,,0.8,,0.0,,,,0.0,,[],"[['chaniots', 'group of people', '0.4'], ['crete', 'location', '0.75']]"
2,"I expected, of course, that there would be many of us in our old harbour, but I did not imagine that even that would seem small compared to today's impressive gathering.","Περίμενα, βέβαια, ότι θα ήμασταν πολλοί στο παλιό λιμάνι μας, αλλά δεν φανταζόμουν ότι ακόμα και αυτό θα έμοιαζε μικρό μπροστά στη σημερινή εντυπωσιακή συγκέντρωση.",,other,,other,,0.7,,0.0,,,,0.0,,[],"[['1. harbour', 'location', '1.0'], ['2. today', 'date', '1.0']]"
3,"You know well that it is from here, from my roots, that I always draw strength. Your enthusiasm becomes my courage and it is the spirit of Crete that arms me with optimism, so that we can make a better tomorrow for our generation and the next.","Ξέρετε καλά, πως από εδώ, από τις ρίζες μου, αντλώ πάντα δύναμη. Ο δικός σας ενθουσιασμός γίνεται το δικό μου κουράγιο και είναι η λεβεντιά της Κρήτης που με οπλίζει με αισιοδοξία, ώστε να κάνουμε καλύτερο το αύριο της δικής μας γενιάς, αλλά και της επόμενης.",,other,,other,,0.81,,0.0,,,,0.0,,[],"[['crete', 'location', '0.9']]"
4,"Friends, I did not choose to be on our island on this day by chance. It is an important day, as earlier I met with the President of the Republic, launching the dissolution of the Parliament and the announcement of elections on May 21. Elections that we will win, that New Democracy will win.","Φίλες και φίλοι, δεν επέλεξα τυχαία να βρεθώ στο νησί μας αυτή τη μέρα. Είναι μια ημέρα σημαντική, καθώς νωρίτερα συναντήθηκα με την Πρόεδρο της Δημοκρατίας, δρομολογώντας τη διάλυση της Βουλής και την προκήρυξη εκλογών την 21η Μαΐου. Εκλογές που θα κερδίσουμε, που θα κερδίσει η Νέα Δημοκρατία.",,elections,,,,0.8,,0.0,,,,0.0,,[],"[['president of the republic', 'organization', '0.8'], ['new democracy', 'political party', '0.5'], ['parliament', 'organization', '0.5'], ['may 21', 'date', '0.8']]"
5,"In other words, completing our first four years, as I had committed myself from the beginning, so that we can prove, in this way, that we mean what we say. Just as our work shows that we are trying to put into practice what we agree with the citizens.","Ολοκληρώνοντας, δηλαδή, την πρώτη μας τετραετία, όπως είχα εξ αρχής δεσμευθεί, για να αποδειχθεί έτσι, και με αυτόν τον τρόπο, ότι εννοούμε όσα λέμε. Όπως και το έργο μας δείχνει ότι προσπαθούμε να κάνουμε πράξη όσα συμφωνούμε με τους πολίτες.",,political promises,,,,0.5,,0.0,,,,0.0,,[],[]
6,"So as of now, as of today, as I speak to you, the Presidential Decree of dissolution is being deposited in Parliament. Our electoral journey officially begins, with our Chania becoming the starting point for a course that will determine the entire future of the country.","Από τώρα λοιπόν, από σήμερα, αυτή την ώρα που σας μιλώ, θυροκολλείται στη Βουλή το Προεδρικό Διάταγμα διάλυσής της. Ξεκινά και επίσημα η προεκλογική μας διαδρομή, με τα Χανιά μας να γίνονται αφετηρία μιας πορείας που θα καθορίσει ολόκληρο το μέλλον της χώρας.",,elections,,election spending,,0.5,,0.0,,,,0.0,,[],"[['chania', 'location', '0.9'], ['parliament', 'organization', '0.8'], ['presidential decree', 'organization', '0.7']]"
7,"I could not, therefore, have started this journey from any other place. Neither my heart nor my mind would let me. But that is what I am sure Konstantinos Mitsotakis would have wanted. But also Marika Mitsotakis, who, believe me, I can feel them among us today, inspiring our struggle with the same passion for Crete and Greece that they have always had.","Δεν θα μπορούσα, λοιπόν, να αρχίσω εγώ αυτή την πορεία από άλλο τόπο. Δε θα με άφηνε ούτε η καρδιά μου, αλλά ούτε και το μυαλό μου. Αλλά αυτό είμαι σίγουρος ότι θα ήθελε και ο Κωνσταντίνος Μητσοτάκης. Αλλά και η Μαρίκα Μητσοτάκη, που, πιστέψτε με, τους νιώθω σήμερα ανάμεσά μας να εμπνέουν τον αγώνα μας με το ίδιο, πάντα, πάθος για την Κρήτη και την Ελλάδα μας.",,other,,other,,0.6,,0.0,,,,0.0,,[],"[['konstantinos mitsotakis', 'person', '0.88'], ['marika mitsotakis', 'person', '0.88'], ['crete', 'location', '0.55'], ['greece', 'country', '0.55']]"
8,"Friends, your bright faces, your smiles, your flags mean a lot to me. Your voices, especially the voices of our youth, reach across the sea from coast to coast in our homeland.","Φίλες και φίλοι, τα φωτεινά σας πρόσωπα, τα χαμόγελά σας, οι σημαίες σας σημαίνουν πολλά για μένα. Η φωνή σας, ειδικά η φωνή της νεολαίας μας απλώνεται πάνω από τη θάλασσα από άκρη σε άκρη στην πατρίδα μας.",,elections,,youth,,0.8,,0.0,,,,0.0,,[],"[['friends', 'group of people', '0.6'], ['youth', 'group of people', '0.6'], ['homeland', 'location', '0.7']]"
9,"Today the people of Chania are sending their own thunderous message of hope. A message of self-confidence, a message of victory, so that Constantine and Helen can celebrate in blue. Blue will not only be blue in Crete, it will be blue all over Greece. The whole territory.","Σήμερα οι Χανιώτισσες και οι Χανιώτες στέλνουν το δικό τους βροντερό μήνυμα ελπίδας. Ένα μήνυμα αυτοπεποίθησης, ένα σύνθημα νίκης, ώστε Κωνσταντίνου και Ελένης να γιορτάσουμε στα γαλάζια. Μπλε θα είναι όχι μόνο η Κρήτη, θα είναι όλη η Ελλάδα. Όλη η επικράτεια.",,other,,other,,0.75,,0.0,,,,0.0,,[],"[['chania', 'location', '1.0'], ['constantine', 'person', '0.5'], ['helen', 'person', '0.5'], ['crete', 'location', '1.0'], ['greece', 'country', '1.0']]"
10,"Because Greece remembers us, has seen us and knows us. It does not want a second time in misfortune but gives a second order to progress. And it is true, friends, that for four years together we have been through and overcome a lot. From the hybrid attack on Evros and the migrant incursions to the constant threats. And from the pandemic waves to the Ukraine war, its cascading effects, the international energy crisis, the imported revaluations.","Γιατί η Ελλάδα μας θυμάται, είδε και ξέρει. Δεν θέλει δεύτερη φορά στη συμφορά αλλά δίνει δεύτερη εντολή στην προκοπή. Και είναι αλήθεια, φίλες και φίλοι, ότι εδώ και τέσσερα χρόνια μαζί περάσαμε και ξεπεράσαμε πολλά. Από την υβριδική επίθεση στον Έβρο και τις μεταναστευτικές εισβολές μέχρι τις διαρκείς απειλές. Και από τα κύματα της πανδημίας ως τον πόλεμο της Ουκρανίας, τις αλυσιδωτές του συνέπειες, τη διεθνή ενεργειακή κρίση, τις εισαγόμενες ανατιμήσεις.",,external affairs,,other,,0.3,,0.0,,,,0.0,,[],"[['greece', 'location', '1.0'], ['evros', 'location', '1.0'], ['ukraine', 'country', '1.0']]"
