id,text,text_el,topic,topic-context,subtopic,subtopic-context,topic-open,sentiment,polarization,polarization-definition,toxicity,toxicity-definition,populism,populism-definition,hate speech,ner,ner-limited
1,"Young Democrats of Egaleo and West Athens, thank you for this impressive reception. I return the joy, emotion and enthusiasm that your presence here today indicates.","Νεοδημοκράτισσες και Νεοδημοκράτες του Αιγάλεω και της Δυτικής Αθήνας, σας ευχαριστώ γι’ αυτή την εντυπωσιακή υποδοχή. Σας ανταποδίδω τη χαρά, τη συγκίνηση και τον ενθουσιασμό που δηλώνει σήμερα, εδώ, η παρουσία σας.",,political parties,,other,,0.8,,0.0,,,,0.0,,[],"[['young democrats of egaleo', 'organization', '0.9'], ['west athens', 'location', '0.8']]"
2,"A big thank you to our youth, a warm round of applause for the young people of New Democracy and for the many ""timeless"" Onnedites who are among us. Our first major pre-election rally in Attica could not have taken place anywhere else but here, in Egaleo, in my constituency.","Ένα μεγάλο ευχαριστώ στη νεολαία μας, ένα θερμό χειροκρότημα για τις νέες και τους νέους της Νέας Δημοκρατίας και για τους πολλούς «διαχρονικούς» Οννεδίτες που είναι ανάμεσά μας. Η πρώτη μας μεγάλη προεκλογική συγκέντρωση της Αττικής δε θα μπορούσε να γίνει αλλού παρά μόνο εδώ, στο Αιγάλεω, στην εκλογική μου περιφέρεια.",,other,,youth,,0.7,,0.0,,,,0.0,,[],"[['egaleo', 'location', '1.0'], ['attica', 'location', '1.0'], ['new democracy', 'political party', '1.0']]"
3,"I met some old friends on the way in. They may remember that I made my first political appearance here in Egaleo exactly 20 years ago, in April 2003. Since then you have surrounded me with your trust. I thank you from the bottom of my heart.","Συνάντησα κάποιους παλιούς φίλους μπαίνοντας. Ίσως θυμούνται ότι εδώ στο Αιγάλεω είχα κάνει την πρώτη μου πολιτική εμφάνιση ακριβώς πριν από 20 χρόνια, τον Απρίλιο του 2003. Από τότε με περιβάλλετε με την εμπιστοσύνη σας. Σας ευχαριστώ από καρδιάς.",,political promises,,other,,0.8,,0.0,,,,0.0,,[],"[['egaleo', 'location', '1.0'], ['april 2003', 'date', '1.0']]"
4,"From the Western Sector, then, and from its seven municipalities, I start our struggle - municipalities which I know very well, I have walked them for 20 years, Agia Varvara, Agioi Anargyros, Kamatero, Egaleo, Ilion, Peristeri, Petroupoli, Haidari - so that this area becomes the starting point of our victorious journey.","Από τον Δυτικό Τομέα, λοιπόν, και από τους επτά Δήμους του, ξεκινώ τον αγώνα μας - δήμους τους οποίους γνωρίζω πολύ καλά, τους έχω περπατήσει εδώ και 20 χρόνια, την Αγία Βαρβάρα, τους Αγίους Αναργύρους, το Καματερό, το Αιγάλεω, το Ίλιον, το Περιστέρι, την Πετρούπολη, το Χαϊδάρι - ώστε εδώ η περιοχή να γίνει αφετηρία της νικηφόρας μας διαδρομής.",,other,,other,,0.25,,0.0,,,,0.0,,[],"[['agia varvara', 'location', '1.0'], ['agioi anargyros', 'location', '1.0'], ['kamatero', 'location', '1.0'], ['egaleo', 'location', '1.0'], ['ilion', 'location', '1.0'], ['peristeri', 'location', '1.0'], ['petroupoli', 'location', '1.0'], ['haidari', 'location', '1.0']]"
5,"The one that on May 21 will bring what the whole country is expecting, a self-reliant Greece and a self-reliant New Democracy. To finally close the door to yesterday and open it wide to the future. All Greece will be blue on May 21.","Αυτής που την 21η Μαΐου θα φέρει αυτό που προσδοκά όλη η χώρα, την αυτοδύναμη Ελλάδα και την αυτοδύναμη Νέα Δημοκρατία. Για να κλείσουμε οριστικά την πόρτα στο χθες και να την ανοίξουμε διάπλατα στο μέλλον. Όλη η Ελλάδα θα γίνει μπλε την 21η Μαΐου.",,other,,other,,0.75,,0.2,,,,0.0,,[],"[['greece', 'country', '1.0'], ['new democracy', 'political party', '1.0'], ['may 21', 'date', '1.0']]"
6,"I see, friends, that perhaps we should have chosen another venue, the indoor stadium in the city does not fit us all. However, it sends a strong message that West Athens will also become blue, just as our whole country will be dressed in blue from end to end.","Βλέπω, φίλες και φίλοι, ότι ίσως έπρεπε να είχαμε επιλέξει άλλο χώρο, το κλειστό γήπεδο της πόλης δεν μας χωρά όλους. Στέλνει, ωστόσο, το ηχηρό μήνυμα, η Δυτική Αθήνα θα γίνει και αυτή γαλάζια, όπως στα γαλάζια θα ντυθεί από άκρη σε άκρη και όλη μας η πατρίδα.",,political parties,,other,,0.4,,0.0,,,,0.0,,[],"[['west athens', 'location', '0.7'], ['country', 'country', '0.7'], ['blue', 'organization', '0.5']]"
7,"I see it, friends, in your faces, I hear it in your voices, in all that is happening, and my own strength, we are here to unite all Greeks and I will insist on it to the end.","Το βλέπω, φίλες και φίλοι, στα πρόσωπά σας, το ακούω στη φωνή σας, σε όλα αυτά που γίνονται, και η δική μου δύναμη, είμαστε εδώ για να ενώσουμε όλους τους Έλληνες και σε αυτό θα επιμείνω μέχρι τέλους.",,elections,,other,,0.8,,0.0,,,,0.2,,[],"[['greeks', 'group of people', '1.0'], ['i', 'person', '1.0']]"
8,"These were the exact words I used four years ago, heading into the 2019 elections. Along with a commitment that we would cut taxes, support income and grow jobs in a country that would be shielded and modernized.","Αυτά τα λόγια ακριβώς είχα χρησιμοποιήσει πριν από τέσσερα χρόνια, βαδίζοντας τότε προς τις εκλογές του 2019. Μαζί με τη δέσμευση ότι θα μειώσουμε τους φόρους, στηρίζοντας το εισόδημα και αυξάνοντας τις δουλειές σε μια χώρα που θα θωρακίζεται και θα εκσυγχρονίζεται.",,economy,,tax cuts,,0.75,,0.0,,,,0.0,,[],"[['2019 elections', 'date', '1.0']]"
9,"Well, I wouldn't change a word of those words. On the contrary, I am here to assure you that our motto is now a tangible reality: we said it and we did it.","Ε λοιπόν, δεν θα άλλαζα ούτε μια λέξη από εκείνα μου τα λόγια. Αντίθετα, είμαι εδώ για να σας βεβαιώσω ότι το σύνθημά μας αποτελεί πια χειροπιαστή πραγματικότητα: το είπαμε και το κάναμε.",,political promises,,other,,1.0,,0.0,,,,0.0,,[],[]
10,"Let us recall, friends, what we said. In 2019, we said we would cut taxes for everyone. Today, Greeks are exempt from fifty taxes and contributions. All of you are paying 35% lower ENFIA, more than the 30% I promised you.","Για να θυμηθούμε λίγο, φίλες και φίλοι, τι είχαμε πει. Το 2019 είχαμε πει ότι θα μειώσουμε τους φόρους για όλους. Σήμερα οι Έλληνες και οι Ελληνίδες έχουν απαλλαγεί από πενήντα φόρους και εισφορές. Όλοι σας πληρώνετε 35% χαμηλότερο ΕΝΦΙΑ, πάνω από το 30% που σας είχα υποσχεθεί.",,economy,,tax cuts,,0.8,,0.0,,,,0.0,,[],"[['greeks', 'group of people', '0.6'], ['enfia', 'organization', '0.5'], ['2019', 'date', '0.4']]"
