id,text,text_el,topic,topic-context,subtopic,subtopic-context,topic-open,sentiment,polarization,polarization-definition,toxicity,toxicity-definition,populism,populism-definition,hate speech,ner,ner-limited
1,"I am very happy that it is a rainy day here today, but your presence signals that the twenty-first of May is not a sunny day for our country.  Honey all day long for our country after 4 years of patience comes the time to say enough is enough, with injustice enough, with obscenity as much as pet degradation of rights as much as here, with a booty state that they have transformed as much as here with the degradation of our lives.  I'm in a region that has been experiencing injustice for years.  West Attica is the backyard of Attica.  And especially Elefsina, an area with very important productive potential, has suffered for years the injustice, but also the.  The environmental degradation and I know that we were here in 2017 to set the terms of a development plan for your region and your sales with the regional conference.  Unfortunately, from 2019 until today, nothing has been implemented from what was planned and I am here today, apart from what I will tell you about the central political scene, to say that for us justice means that there are no second-class cities or regions.  For us justice. ","Είμαι πολύ χαρούμενος που εδώ η μέρα σήμερα είναι βροχερή, αλλά η παρουσία σας σηματοδοτεί ότι η εικοστη πρώτη του Μάη δεν είναι μια ηλιόλουστη μέρα για την πατρίδα μας  Μελι όλη μέρα για τη χώρα μας μετά από 4 χρόνια υπομονής έρχεται η στιγμή να πούμε ως εδώ ως εδώ, με την αδικία ως εδώ, με την αισχροκέρδεια όσο το pet υποβάθμιση των δικαιωμάτων ως εδώ, με ένα κράτος λάφυρο που έχουν μετατρέψει ως εδώ με την υποβάθμιση της ζωής μας  Είμαι σε μια περιοχή που χρόνια τώρα ζει την αδικία  Η Δυτική Αττική είναι η πίσω αυλή της Αττικής  Και ειδικά η Ελευσίνα, μια περιοχή με πολύ σημαντικές δυνατότητες παραγωγικές δυνατότητες, έχει υποστεί για χρόνια την αδικία, αλλά και την  Την περιβαλλοντική υποβάθμιση και γνωρίζω ότι ήμασταν εδώ το 2017 για να βάλουμε τους όρους ενός σχεδίου ανάπτυξης της περιοχής σας και τις πωλήσεις σας με το περιφερειακό Συνέδριο  Δυστυχώς, από 2019 μέχρι σήμερα τίποτα δεν υλοποιήθηκε από όσα είχαν δρομολογηθεί και είμαι σήμερα εδώ απέναντί σας, πέρα από αυτά που θα σας πω για την κεντρική πολιτική σκηνή να πω ότι για μας δικαιοσύνη σημαίνει ότι δεν υπάρχουν πόλεις ή περιφέρειες δεύτερης κατηγορίας  Για μας δικαιοσύνη",other,,injustice,,injustice or lack of justice,-0.25,0.6,0.0,0.05,0.5,0.2,0.0,0.0,"[['elefsina', 'location', '1.0'], ['west attica', 'location', '0.9'], ['attica', 'location', '0.7'], ['may', 'date', '0.8'], ['2017', 'date', '0.8'], ['2019', 'date', '0.8']]","[['may', 'date', '1.0'], ['country', 'country', '0.5'], ['west attica', 'location', '1.0'], ['attica', 'location', '1.0'], ['elefsina', 'location', '1.0'], ['2017', 'date', '1.0'], ['2019', 'date', '1.0']]"
2," Of the fatherland would have done the same and.  I know that today I am addressing people of toil and work.  The traditions of the labour movement are very important here in the region and I want to address especially today to the workers but also to what is called the middle class and pensioners I see many here so I want to say that the biggest deception that was done by the government of the New Democracy was the deception of the middle class and pensioners.  And the greatest degradation was that done to the worker with the jungle labor laws that effectively abolished labor laws.  They introduced the eight-hour period, introduced unpaid overtime, dismantled the labour inspection body. "," Της πατρίδας θα τα ίδια έκανε και  Ξέρω ότι σήμερα απευθύνομαι σε ανθρώπους του μόχθου και της εργασίας  Είναι πολύ σημαντικές οι παραδόσεις του εργατικού κινήματος εδώ στην περιοχή και θέλω ιδιαίτερα σήμερα να απευθυνθώ στους εργαζόμενους αλλά και σε αυτό που ονομάζεται μεσαία τάξη και στους συνταξιούχους βλέπω πολλούς εδώ επομένως και θέλω να πω ότι η μεγαλύτερη εξαπάτηση που έγινε από την κυβέρνηση της Νέας Δημοκρατίας ήταν η εξαπάτηση απαιτεί στη μεσαία τάξη και στους συνταξιούχους  Και η μεγαλύτερη υποβάθμιση ήταν αυτή που έγινε στο εργαζόμενος με τους εργασιακούς νόμους της ζούγκλας που κατήργησαν ουσιαστικά την εργασιακή νομοθεσία  Το οκτάωρο θέσπισαν τις απλήρωτες υπερωρίες, διέλυσαν το σώμα επιθεώρησης εργασίας",employment,,workers' rights,,labor laws,-1.0,0.44,0.0,0.1,0.0,0.2,0.0,0.0,"[['fatherland', 'location', '0.5'], ['labour movement', 'organization', '0.9'], ['region', 'location', '0.5'], ['new democracy', 'organization', '0.7'], ['worker', 'person', '0.8'], ['jungle labor laws', 'law', '0.8'], ['eight-hour period', 'law', '0.5'], ['labour inspection body', 'organization', '0.6']]","[['fatherland', 'location', '0.3'], ['labour movement', 'organization', '0.3'], ['new democracy', 'political party', '0.3']]"
3," Today every worker and especially young people feel that they are facing the impunity of the employers and this must change and they can change our country.  It is a question of political will, but also as far as the so-called middle class is concerned.  Remember what the promises were in 2019 and what has happened that this middle class is now living with coupons at the supermarket, gasoline, electricity everywhere.  This is not the Greece we deserve. "," Σήμερα ο κάθε εργαζόμενος και ιδιαίτερα οι νέοι άνθρωποι αισθάνονται ότι έχουν απέναντί τους την ασυδοσία της εργοδοσίας και αυτό πρέπει να αλλάξει και αυτά μπορούν να αλλάξουν τον τόπο μας  Είναι ζήτημα πολιτικής βούλησης, αλλά και σε ότι αφορά την λεγόμενη μεσαία τάξη  Θυμηθείτε ποιες ήταν οι υποσχέσεις το 2019 και τι έγινε που κατάθεσε σήμερα αυτή η μεσαία τάξη να ζει με κουπόνια στο σουπερμάρκετ στη βενζίνη, στο ρεύμα παντού  Δεν είναι αυτή η Ελλάδα που μας αξίζει",economy,,working class,,economic inequality,-0.4,0.75,0.2,0.1,0.1,0.5,0.5,0.0,"[['today', 'date', ''], ['greece', 'gpe', ''], ['2019', 'date']]","[['greece', 'country', '1.0'], ['2019', 'date', '1.0']]"
4," Our pensioners were told that we would keep the thirteenth pension that we had established in 19 that for 800. 000 pensioners were whole and they said crumbs were committed.  They will keep it as soon as they were elected, they abolished it, I didn't keep it for 4 years, 4 billion euros were taken away from pensioners if you include the retroactive payments that I promised to give and they didn't give 7 billion euros, they took away from pensioners.  This was the great deception.  To the middle class and pensioners.  And what was the plan of the Mitsotakis government.  The plan was a great redistribution of wealth from the many to the few from the middle class, to the powerful and how is this great redistribution of wealth achieved through the maintenance of high indirect taxation, mainly VAT and excise tax, when inflation has gone up to 10 to 15%?  So what do we do?  I'll tell you In simple words. "," Συνταξιούχοι μας έλεγα ότι θα κρατηθεί η δέκατη τρίτη σύνταξη που είχαμε θεσπίσει το 19 που για 800 000 συνταξιούχους ήταν ολόκληρη και τα λεγαν ψίχουλα δεσμεύτηκαν  Θα την κρατήσουν με το που εξελέγησαν την κατήργησαν, δεν την κράτησα 4 χρόνια 4 Ψ δισεκατομμύρια ευρώ στερήθηκαν από τους συνταξιούχους αν συνυπολογίσει κανείς και τα αναδρομικά που υποσχέθηκα ότι θα δώσουν και δεν έδωσαν 7 δισεκατομμύρια ευρώ, στερήθηκαν από τους συνταξιούχους  Αυτή ήταν η μεγάλη εξαπάτηση  Στη μεσαία τάξη και στους συνταξιούχους  Και ποιο ήταν το σχέδιο της κυβέρνησης Μητσοτάκη  Το σχέδιο ήταν μια μεγάλη αναδιανομή πλούτου από τους πολλούς στους λίγους από τη μεσαία τάξη, στους ισχυρούς και πώς πετυχαίνεται αυτή η μεγάλη αναδιανομή του πλούτου μέσα από την διατήρηση υψηλής έμμεσης φορολογίας του ΦΠΑ κυρίως αλλά και του ειδικού φόρου κατανάλωσης, τη στιγμή που ο πληθωρισμός έχει ανέβει στο 10 στο 15%  Τι κάνουμε λοιπόν  Θα στο πω Με απλά λόγια",other,,pensions,,pensions,-0.9,0.9,0.1,0.8,0.7,0.8,0.8,0.0,"[['pensioners', 'type', 'na', ''], ['thirteenth pension', 'type', 'na', ''], ['19', 'type', 'date', ''], ['800.000 pensioners', 'type', 'na', ''], ['4 years', 'type', 'duration', ''], ['4 billion euros', 'type', 'money', ''], ['7 billion euros', 'type', 'money', ''], ['mitsotakis government', 'type', 'organization', ''], ['middle class', 'type', 'na', ''], ['powerful', 'type', 'na', ''], ['vat', 'type', 'na', ''], ['excise tax', 'type', 'na', ''], ['inflation', 'type', 'na']]","[['our pensioners', 'group of people', '1.0'], ['thirteenth pension', 'organization', '1.0'], ['19', 'date', '1.0'], ['800.000 pensioners', 'group of people', '1.0'], ['mitsotakis government', 'organization', '1.0'], ['middle class', 'group of people', '1.0'], ['powerful', 'group of people', '1.0'], ['vat', 'organization', '1.0'], ['excise tax', 'organization', '1.0'], ['inflation', 'organization', '1.0']]"
5," They are plundering the citizens, the middle class and the weak who, in the supermarket at the petrol stations, wherever you go, wherever you go to pay and you see prices twice and three times higher than what you saw a year and a half ago.  According to the official Eurostat figures of 750 € income, they have lost their purchasing power by 40% in a year and a half.  Does this mean that a salary a year and a half ago had 40% more potential to buy things.  But today the month does not come out.  The third week the income does not come out. "," Λεηλατούν τους πολίτες, τους μεσαίους και τους αδύναμους που στο σούπερ μάρκετ στα πρατήρια της βενζίνης, όπου πάνε κανείς, όπου πάει κανείς να πληρώσει και βλέπει τιμές διπλάσιες και τριπλάσιες από αυτές που έβλεπε ενάμιση χρόνο πριν  Σύμφωνα με τα επίσημα στοιχεία της Eurostat εισοδήματος 750 €, έχουνε χάσει την αγοραστική τους δύναμη κατά 40% σε ενάμιση χρόνο  Σημαίνει αυτό ότι ένας μισθός πριν από ενάμιση χρόνο είχε 40% μεγαλύτερες δυνατότητες να αγοράσεις πράγματα  Σήμερα όμως δεν βγαίνει ο μήνας  Την τρίτη εβδομάδα δεν βγαίνει το εισόδημα",economy,,cost of living,,inflation,-0.9,0.9,0.0,0.63,0.6,0.85,0.8,0.0,"[['eurostat', 'organization', '1.0'], ['€', 'currency', '1.0']]","[['eurostat', 'organization', '1.0']]"
6," Today one with 2 times in the supermarket and 2 fillings at the gas pump sonnet salary.  This is the reality that the greats are experiencing today.  The large social majority and who benefits from it.  Revenue, public revenue from VAT increased by €4 billion in 2022.  Where do these 4 billion euros go, they go to subsidies targeted to those who keep the prices of electricity, gasoline, supermarket, so the money that the state gets from the high VAT in supermarkets, gas stations and electricity bills, goes back to the same people, who in the same businesses, the same people, the same people, the same people, the same people, the same people, the same people, the same people, the same people, the same people, the same people, the same people, the same people, the same people, the same people, the same people, the same people, the same people, the same people, the same people, the same people, the same people, the same people, the same people.  Anyone making billions of euros from this system.  This great fraud, this is the great redistribution and now comes the second great redistribution of wealth through the auctions of the first home with the new bankruptcy law passed by Mr Mitsotakis.  The new democracy that has every first home protection and we put people's houses under the hammer for a few thousand euros and not a party that owes 400 million euros to the banks, stood and agyri those who.  Bone in the cabinet 12 million euros.  The same ministers in debt borrowed and unpaid.  This is the injustice that we live today and this injustice must be broken by hunger and friends.  I'm in a working class area.  And so I remember a friend, I have the honor of being a friend.  Great Latin American leader who started out as a worker and trade unionist, Ignacio Lula da Silva, President Night next time and. "," Σήμερα κανείς με 2 φορές στο σούπερ μάρκετ και 2 γεμίσματα στην αντλία της βενζίνης σονέτο μισθός  Αυτή είναι η πραγματικότητα που βιώνουν σήμερα οι μεγάλοι  Η μεγάλη κοινωνική πλειοψηφία και ποιος κερδίζει από αυτό  Τα έσοδα, τα δημόσια έσοδα από τον ΦΠΑ αυξήθηκαν το 2022 κατά 4 δισεκατομμύρια ευρώ  Πού πάνε αυτά τα 4 δισεκατομμύρια ευρώ πηγαίνουν σε επιδοτήσεις στοχευμένες που σε αυτούς που κρατάνε ψηλά τις τιμές στο ηλεκτρικό ρεύμα στη βενζίνη, στο σουπερμάρκετ, άρα τα λεφτά τα οποία παίρνει το δημόσιο από τον υψηλό ΦΠΑ στο σουπερμάρκετ στην στα πρατήρια της βενζίνης και στους λογαριασμούς του ρεύματος, επιστρέφουν στους ίδιους ανθρώπους, οι οποίοι στις ίδιες επιχειρήσεις  Οι όποιες βγάζουνε δισεκατομμύρια ευρώ αυτό το σύστημα  Αυτή η μεγάλη απάτη αυτή είναι η μεγάλη αναδιανομή και έρχεται τώρα και η δεύτερη μεγάλη αναδιανομή πλούτου μέσα από τους πλειστηριασμούς της πρώτης κατοικίας με τον νέο πτωχευτικό νόμο που ψήφισε ο κύριος Μητσοτάκης  Η νέα δημοκρατία που έχει κάθε προστασία πρώτης κατοικίας και βγαίνουμε στο σφυρί τα σπίτια των ανθρώπων για μερικές χιλιάδες ευρώ και όχι ένα κόμμα που χρωστάει 400 εκατομμύρια ευρώ στις τράπεζες, στάθηκα και αγύριστα αυτοί οι οποίοι  Οστών στο υπουργικό συμβούλιο 12 εκατομμύρια ευρώ  Οι ίδιοι υπουργοί σε χρέη δανεικά και αγύριστα  Αυτή είναι η αδικία που ζούμε σήμερα και αυτή την αδικία πρέπει να σπάσουμε πείνας και φίλοι  Είμαι σε μια εργατική περιοχή  Και έτσι θυμάμαι έναν φίλο, έχω την τιμή να είναι φίλος μου  Μεγάλος ηγέτης της Λατινικής Αμερικής που ξεκίνησε από εργάτης και συνδικαλιστής, ο Ιγνάσιο Λούλα ντα Σίλβα, Πρόεδρος βραδιά την επόμενη φορά και",corruption,,tax cuts,,wealth redistribution,0.0,0.7,0.0,0.5,0.5,0.75,0.0,0.2,"[['today', 'date', '0.9882'], ['€4 billion', 'money', '0.75'], ['vat', 'organization', '0.7723'], ['2022', 'date', '0.9091'], ['mr mitsotakis', 'person', '0.875'], ['new democracy', 'organization', '0.6471'], ['latin american', 'misc', '0.7857'], ['ignacio lula da silva', 'person', '0.9333'], ['president', 'title', '0.5962']]","[['ignacio lula da silva', 'person', '1.0'], ['mr mitsotakis', 'person', '1.0'], ['new democracy', 'political party', '1.0'], ['vat', 'organization', '1.0'], ['€4 billion', 'date', '1.0'], ['greece', 'country', '1.0']]"
7," The phrase.  It's better to be governed by a left that does what it can than a right that does what it wants and I think.  I think this phrase all of the things in our country.  We governed in the most difficult conditions the country has known since the post-independence period and then a bankrupt country.  And we did everything we could to get the country out of the mire, to get it out of debt, to give it a perspective.  We could and they did.  We took the country out of the memoranda, we left 37 billion in the public coffers, we regulated the public debt and then came a right-wing that wanted to do what it wanted in complete impunity, in complete impunity, in arrogance.  Having a sense of uncontrollability that no one is controlling them and no one will control them and what they did, they violated everything.  Every democratic rule, even the rules of the Constitution that half of the political system watched from inside the Maximou mansion, Ministers, Chiefs of Armed Forces, party leaders, MPs, MEPs, they believed and believe, they continue to believe that this state belongs to them, that it is a hereditary right, that Greece and even the reign of family rule everywhere made the state a spoil. "," Την φράση  Είναι προτιμότερο να σε κυβερνάει μια αριστερά που κάνει ότι μπορεί παρά μια δεξιά που κάνει ό τι θέλει και νομίζω  Νομίζω ότι αυτή η φράση όλα της τα πράγματα στη χώρα μας  Κυβερνήσαμε στις πιο δύσκολες συνθήκες που γνώρισε η χώρα από τη μεταπολίτευση και μετά μια χώρα χρεοκοπημένη  Και κάναμε ότι μπορούσαμε για να βγάλουμε τη χώρα από το βούρκο, να την ξεχρεώσουμε, να δώσουμε προοπτική  Θα μπορούσαμε και τα κατάφεραν  Βγάλαμε τη χώρα από τα μνημόνια, αφήσαμε 37 δισεκατομμύρια στα δημόσια ταμεία, ρυθμίσαμε το δημόσιο χρέος και μετά ήρθε μια δεξιά που ήθελε να κάνει ότι θέλει σε πλήρη ασυδοσία με πλήρη ασυδοσία, με αλαζονεία  Έχοντας την αίσθηση του ανεξέλεγκτου ότι κανείς δεν τους ελέγχει και κανείς δεν θα τους ελέγξει και τι κάνανε, παραβίασαν τα πάντα  Κάθε δημοκρατικό κανόνα, ακόμα και τους κανόνες του Συντάγματος που παρακολουθούσαν το μισό πολιτικό σύστημα μέσα από το μέγαρο Μαξίμου, Υπουργους, Αρχηγους ενοπλων, δυναμεων αρχηγούς κομμάτων, βουλευτές, ευρωβουλευτές, Πιστεύανε και πιστεύουν, συνεχίζουν να πιστεύουν ότι αυτό το κράτος τούς ανήκει, ότι είναι κληρονομικό δικαίωμα ότι η Ελλάδα και ακόμα βασιλεία οικογενειοκρατία παντού έκαναν το κράτος λάφυρο",corruption,,corruption,,left vs. right governance,-0.8,0.7,0.0,0.35,0.2,0.4,0.2,0.1,"[['left', 'political group', '1.0'], ['right', 'political group', '1.0'], ['country', 'location', '1.0'], ['post-independence period', 'time period', '0.9'], ['bankrupt country', 'economic situation', '0.9'], ['memoranda', 'political document', '0.8'], ['public coffers', 'financial resource', '0.8'], ['public debt', 'financial situation', '0.8'], ['constitution', 'legal document', '0.7'], ['maximou mansion', 'location', '0.7'], ['ministers', 'job title', '0.7'], ['chiefs of armed forces', 'job title', '0.7'], ['party leaders', 'job title', '0.7'], ['mps', 'job title', '0.7'], ['meps', 'job title', '0.7'], ['greece', 'location', '0.6']]","[['post-independence period', 'date', '0.8'], ['bankrupt country', 'country', '0.7'], ['memoranda', 'group of people', '0.4'], ['right-wing', 'political party', '0.8'], ['constitution', 'organization', '0.6'], ['maximou mansion', 'location', '0.5'], ['ministers', 'group of people', '0.6'], ['chiefs of armed forces', 'group of people', '0.6'], ['party leaders', 'group of people', '0.6'], ['mps', 'group of people', '0.6'], ['meps', 'group of people', '0.6'], ['greece', 'country', '0.8']]"
8," You increased, doubled the number of temporary employees and gave them a 30% increase in their salaries to accommodate their own children tripled the number of managerial positions in public utilities to accommodate their own blue golden boys and privatized everything they could give 10 billion in direct awards and closed tenders to their own people.  Companies that were being set up 3 days before the tenders were created 3 days before to give the assignments with emergency legislation, taking advantage of the pandemic.  As an opportunity.  But at the same time they left the public hospitals at their mercy.  We don't deserve this image in public hospitals, in our country, that's why we were the country.  Unfortunately the European country with the most deaths in population ratio in the western world.  At the same time they left this promiscuity that I told you about in income, plunder, the distribution of wealth, to let the prices go to God. "," Αυξήσατε, διπλασιάστε τους μετά τους μετακλητούς υπαλλήλους και έδωσα 30% αύξηση στους μισθούς τους για να βολέψουν τα δικά τους παιδιά τριπλασιάσουν τις διευθυντικές θέσεις στις δημόσιες επιχειρήσεις κοινής ωφέλειας για να βολέψουν τα δικά τους γαλάζια golden boys και ιδιωτικοποίησαν ότι μπορούσαν δώσανε 10 δισεκατομμύρια απευθείας αναθέσεις και κλειστούς διαγωνισμούς σε δικούς τους ανθρώπους  Εταιρείες που φτιάχνανε 3 μέρες πριν τους διαγωνισμούς της δημιουργούσαν 3 μέρες πριν για να δώσουν τις αναθέσεις με έκτακτη νομοθεσία, αξιοποιώντας την πανδημία  Ως ευκαιρία  Την ίδια στιγμή όμως άφησαν τα δημόσια νοσοκομεία στο έλεος τους  Δεν μας αξίζει αυτή η εικόνα στα δημόσια νοσοκομεία, στην πατρίδα μας, γι αυτό και ήμασταν η χώρα  Δυστυχώς η ευρωπαοκή με τους περισσότερους νεκρούς σε αναλογία πληθυσμού σε όλο τον δυτικό κόσμο  Την ίδια στιγμή άφησαν αυτή την ασυδοσία που σας είπα στο εισόδημα, την λεηλασία, την κατανομή του πλούτου, να πάνε οι τιμές στο Θεό",corruption,,hospital privatization,,corruption,-0.9,0.95,0.8,0.65,0.9,1.0,0.85,0.2,[],[]
9," It is not possible for small Greece to be the country with the most expensive petrol in Europe.  It is not possible for Greece.  It is the country with the most expensive electricity price in relation to purchasing power.  It is not possible for Greece to be the country with the most expensive supermarket prices.  Greece, which has the lowest per capita income after Bulgaria, so we are the country with the lowest wages and the highest prices.  I was telling us that accuracy is the sava.  Indeed it is obscenity, but it is not imported obscenity has the signature of Mr. Mitsotakis and.  Glass. "," Δεν είναι δυνατόν η μικρή Ελλάδα να είναι η χώρα με την πιο ακριβή βενζίνη σε όλη την Ευρώπη  Δεν είναι δυνατόν η Ελλάδα  Είναι η χώρα με την ακριβότερη τιμή ρεύματος σε σχέση σε σχέση με την αγοραστική δύναμη  Δεν είναι δυνατόν η Ελλάδα να είναι η χώρα από τις ακριβότερες τιμές στο σούπερ μάρκετ  Η Ελλάδα, που έχει το χαμηλότερο κατά κεφαλήν εισόδημα μετά τη Βουλγαρία, δηλαδή είμαστε η χώρα με τους μικρότερους μισθούς και με τις υψηλότερες τιμές  Μας έλεγα ότι η ακρίβεια είναι η sava  Μάλιστα είναι η αισχροκέρδεια, όμως δεν είναι εισαγόμενες οι αισχροκέρδεια έχει την υπογραφή του κυρίου Μητσοτάκη και  Γυαλί",economy,,electricity,,high prices in greece,-1.0,0.1,0.0,0.2,0.5,0.2,0.0,0.0,"[['greece', 'location', '1.0'], ['europe', 'location', '1.0'], ['bulgaria', 'location', '1.0'], ['mitsotakis', 'person', '1.0'], ['glass', 'unknown', '1.0']]","[['greece', 'country', '1.0'], ['bulgaria', 'country', '1.0'], ['mr. mitsotakis', 'person', '1.0']]"
10," Gallery, but it is worth a country with more justice for the economy, with more justice and a state that will be next to the citizen, a state that will not be hostile, that will not fill insecurity, that will not hire party buffoons, station masters, untrained people to leave them alone without caring whether those who get on the train will reach their destination.  So we deserve to be the irony of fate.  I will say it but a normal European country.  Those who were demonstrating and saying we are staying in Europe are the ones who took us miles away from Europe, we want Greece to become a normal European country again, with justice, with rules, with meritocracy, with accountability.  So that is why we aim to support above all the forces of labour, to restore collective agreements, to re-establish the labour inspectorate so that labour legality and regularity apply, to increase the wage to 880 € from day one.  While introducing automatic mass indexation on an annual basis, it would. "," Gallery αλλά αξίζει λοιπόν μια χώρα με περισσότερη δικαιοσύνη για οικονομία, με περισσότερη δικαιοσύνη και ένα κράτος που θα είναι δίπλα στον πολίτη, ένα κράτος που δεν θα είναι εχθρικό, που δεν θα γεμίζει ανασφάλεια, που δεν θα προσλάμβανε κομματικά ρουσφέτια, σταθμάρχες, ανεκπαίδευτους να τους αφήνει μόνους χωρίς να νοιάζεται κανείς αν αυτοί που θα μπουν στο τρένο θα φτάσουν στον προορισμό τους  Μας αξίζει λοιπόν να γίνουμε ειρωνεία της τύχης  Θα το πω όμως μια κανονική ευρωπαϊκή χώρα  Αυτοί που διαδήλωναν και μας έλεγαν μένουμε Ευρώπη είναι αυτή που μας φύγανε μίλια μακριά από την Ευρώπη είναι εμείς θέλουμε να γίνει η Ελλάδα ξανά μια κανονική ευρωπαϊκή χώρα με δικαιοσύνη, με κανόνες, με αξιοκρατία, με λογοδοσία  Για αυτό λοιπόν και έχουμε στόχο να στηρίξουμε πάνω από όλα τις δυνάμεις της εργασίας, να επαναφέρουμε τις συλλογικές συμβάσεις εργασίας, να επανιδρύσουμε το σώμα επιθεώρησης εργασίας για να ισχύει η εργασιακή νομιμότητα και κανονικότητα, να αυξήσουμε τον μισθό στα 880 € από την πρώτη μέρα  Θεσπίζοντας ταυτόχρονα αυτόματη μαζική αναπροσαρμογή σε ετήσια βάση, θα",economy,,other,,economy and justice,-0.2,0.1,0.0,0.2,0.2,0.1,0.0,0.0,"[['gallery', 'entity', '0.6'], ['greece', 'entity', '0.6'], ['europe', 'entity', '0.6']]","[['gallery', 'organization', '0.5'], ['europe', 'location', '0.5'], ['greece', 'country', '0.5'], ['labour', 'group of people', '1.0'], ['collective agreements', 'organization', '0.5'], ['labour inspectorate', 'organization', '0.5'], ['wage', 'organization', '0.5']]"
