id,text,text_el,topic,topic-other-context,subtopic,topic-open,sentiment,polarization,polarization-definition,toxicity,toxicity-definition,populism,populism-definition,hate speech,ner,ner-limited
1,I would like to thank you warmly for your presence and especially to thank all the representatives of the stakeholders we have invited today.  To participate in this presentation. ,Θα ήθελα να σας ευχαριστήσω θερμά για την παρουσία σας και κυρίως να ευχαριστήσω όλους τους εκπροσώπους των φορέων που έχουμε σήμερα καλέσει  Για να συμμετάσχουν σε αυτή την παρουσίαση,other,other,other,gratitude,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[],[]
2," Our positions, our plan to address perhaps the biggest problem facing the Greek economy and Greek society today - private debt.  And of course the non-performing loans.  It's been about 15 years.  From the starting point of the great crisis that was born.  In 2008 in the United States of America.  A crisis that spread across the world, touched every economy, affected every society.  You will remember. "," Των θέσεών μας, του σχεδίου μας για την αντιμετώπιση ίσως του πιο μεγάλου προβλήματος που αντιμετωπίζει σήμερα η ελληνική οικονομία και η ελληνική κοινωνία του ιδιωτικού χρέους  Και βεβαίως των μη εξυπηρετούμενων δανείων  Έχουν περάσει 15 χρόνια περίπου  Από την αφετηρία της μεγάλης κρίσης που γεννήθηκε  Το 2008 στις Ηνωμένες Πολιτείες της Αμερικής  Μια κρίση που απλώθηκε σε όλο τον κόσμο, άγγιξε κάθε οικονομία, πλήγωσε κάθε κοινωνία  Θα θυμάστε",debt,debt,other,private debt,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,"[['greek economy', 'org', '0.85'], ['greek society', 'misc', '0.85'], ['private debt', 'misc', '0.85'], ['non-performing loans', 'misc', '0.85'], ['united states of america', 'loc', '0.85']]","[['greek economy', 'location', '1.0'], ['greek society', 'group of people', '1.0'], ['private debt', 'date', '1.0'], ['non-performing loans', 'organization', '1.0'], ['united states of america', 'country', '1.0']]"
3," That the first image of that crisis was its terrifying and immediate expansion into mortgages.  Housing crisis mortgage bubble crisis.  Followed by auctions and forced evictions.  Generalized in the United States and then.  And in our parts.  Very typical then in Spain with a conservative government, back when they didn't put any barriers.  But of course also here when we were already in the era of the memoranda.  Then it was the first big threat to the first home.  And that's when it had to come to the forefront institutionally politically.  And of course kinematically.  With the action of citizens, the need to protect the.  What he largely preserved. "," Ότι η πρώτη εικόνα εκείνης της κρίσης ήταν η τρομακτική και άμεση επέκτασή της στα στεγαστικά δάνεια  Στεγαστική κρίση φούσκα των στεγαστικών δανείων  Και ακολούθως οι πλειστηριασμοί και οι βίαιες εξώσεις  Γενικευμένα στις Ηνωμένες Πολιτείες και έπειτα  Και στα δικά μας μέρη  Πολύ χαρακτηριστικά τότε στην Ισπανία με μια συντηρητική κυβέρνηση, τότε που δεν έβαλε κανένα φραγμό  Αλλά φυσικά και εδώ όταν είχαμε μπει ήδη στην εποχή των μνημονίων  Τότε ήταν η πρώτη μεγάλη απειλή για την πρώτη κατοικία  Και τότε ήταν που έπρεπε να μπει σε πρώτο πλάνο θεσμικά πολιτικά  Και φυσικά κινηματικά  Με τη δράση των πολιτών, η ανάγκη της προστασίας της  Αυτό που διαφύλαξε σε μεγάλο βαθμό",housing,housing,mortgages,housing crisis,-0.7,0.1,0.0,0.1,0.0,0.0,0.0,0.0,"[['united states', 'location', '1.0'], ['spain', 'location', '0.9'], ['conservative government', 'organization', '0.8'], ['memoranda', 'organization', '0.7']]","[['united states', 'location', '1.0'], ['spain', 'country', '1.0'], ['conservative government', 'political party', '0.7'], ['memoranda', 'organization', '0.7']]"
4," The real estate of vulnerable households and the middle class in our country in Greece.  It was the Katseli law back in 2010 originally.  It is a great pleasure and honour to have Luca Katseli with us.  And we will have the pleasure of chatting with all stakeholders.  And for our proposal today.  In which, of course, I must say that we have also taken into account her comments. ", Την ακίνητη περιουσία των ευάλωτων νοικοκυριών και της μεσαίας τάξης στην πατρίδα μας στην Ελλάδα  Ήταν ο νόμος Κατσέλη τότε το 2010 αρχικά  Είναι μεγάλη χαρά και τιμή μας που είναι μαζί μας η Λούκα Κατσέλη  Και θα έχουμε τη χαρά να κουβεντιάσουμε με όλους τους φορείς  Και για τη σημερινή μας πρόταση  Στην οποία βεβαίως πρέπει να πω ότι λάβαμε υπόψη και τις δικές της παρατηρήσεις,housing,housing,mortgages,katseli law,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[['greece', 'country', '1.0'], ['katseli', 'law', '0.5'], ['luca katseli', 'person', '0.8']]","[['greece', 'location', '1.0'], ['katseli law', 'organization', '0.8'], ['luca katseli', 'person', '1.0']]"
5, So it was the Katseli law.  Initially in 2010 and later.  The so-called Stathakis law in 2015 that extended the.  The law of 2010. , Ήταν λοιπόν ο νόμος Κατσέλη  Αρχικά το 2010 και αργότερα  A λεγόμενος νόμος Σταθάκη το 2015 που επέκτεινε  Το νόμο του 2010,other,employment,bank regulations,katseli law,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,"[['katseli', 'organization', '0.5'], ['stathakis', 'organization', '0.5']]","[['katseli', 'organization', '0.6'], ['stathakis', 'organization', '0.5'], ['2010', 'date', '1.0'], ['2015', 'date', '1.0']]"
6," But today the Greek society is ahead.  In the repetition of the same play.  After so many years of sacrifice.  A hard struggle and a collective effort to get out of the multi-year crisis.  We are unfortunately.  Again in front of the same play, spectators in front of the same threat. ", Σήμερα όμως η ελληνική κοινωνία βρίσκεται μπροστά  Στην επανάληψη του ίδιου έργου  Μετά από τόσα χρόνια θυσιών  Σκληρού αγώνα και μιας συλλογικής προσπάθειας να βγούμε από την πολυετή κρίση  Βρισκόμαστε δυστυχώς  Ξανά μπροστά στο ίδιο έργο θεατές μπροστά στην ίδια απειλή,economy,economy,economic crisis,greek crisis,-0.5,0.15,0.0,0.1,0.0,0.1,0.0,0.0,"[['greek', 'nationality', '0.8']]","[['greek society', 'group of people', '0.90'], ['multi-year crisis', 'group of people', '0.63'], ['threat', 'group of people', '0.50']]"
7," In the 4 years of the New Democracy government.  Private debt has increased by around €40 billion.  Non-performing loans in the Greek economy.  They now amount to €111 billion.  The balance sheets of the banks.  They appear to be reduced.  Due to their securitisation and sale to special purpose vehicles.  However, they remain. "," Στα 4 χρόνια της κυβέρνησης της Νέας Δημοκρατίας  Το ιδιωτικό χρέος έχει αυξηθεί περίπου κατά 40 δισεκατομμύρια ευρώ  Τα μη εξυπηρετούμενα δάνεια στην ελληνική οικονομία  Ανέρχονται πλέον σε 111 δισεκατομμύρια ευρώ  Τους ισολογισμούς των τραπεζών  Εμφανίζονται μεν μειωμένα  Λόγω της τιτλοποίησης και της πώλησής τους σε εταιρείες ειδικού σκοπού  Ωστόσο, παραμένουν",debt,debt,bank regulations,greek debt/loans,-0.6,0.3,0.1,0.2,0.1,0.5,0.0,0.0,"[['new democracy', 'government', 'org', '0.93'], ['private debt', 'misc', '0.54'], ['greek', 'norp', '0.96'], ['€40 billion', 'money', '0.98'], ['non-performing loans', 'misc', '0.78'], ['€111 billion', 'money', '0.98'], ['the balance sheets', 'misc', '0.89'], ['banks', 'org', '0.98'], ['securitisation', 'misc', '0.67'], ['special purpose vehicles', 'misc', '0.56']]","[['new democracy', 'political party', '1.0'], ['greek', 'country', '1.0'], ['€40 billion', 'date', '0.7'], ['€111 billion', 'date', '0.7']]"
8, Inside the economy.  Burdening the activity and budgets of thousands of households and businesses.  Total 4. 200. , Μέσα στην οικονομία  Επιβαρύνοντας τη δραστηριότητα και τους προϋπολογισμούς χιλιάδων νοικοκυριών και επιχειρήσεων  Συνολικά 4 200,employment,economy,other,economy,-0.7,0.0,0.0,0.2,0.0,0.0,0.0,0.0,"[['total', 'organization', '0.882']]",[]
9,"000 citizens.  They currently have bad debts to banks, gol, tax and efka, while one million bank accounts are seized.  And this downhill slide unfortunately has no end. ","000 πολίτες  Έχουν σήμερα μη εξυπηρετούμενες οφειλές σε τράπεζες, γκολ, εφορία και τον εφκα, ενώ ένα εκατομμύριο τραπεζικοί λογαριασμοί είναι κατασχεμένοι  Και αυτός ο κατήφορος δυστυχώς δεν έχει τέλος",debt,debt,other,greek economy,-0.8,0.75,0.0,0.85,0.7,0.2,0.0,0.0,"[['gol', 'organization', '0.5'], ['tax', 'organization', '0.5'], ['efka', 'organization', '0.5']]","[['banks', 'organization', '0.9'], ['gol', 'organization', '0.8'], ['tax', 'organization', '0.7'], ['efka', 'organization', '0.6'], ['citizens', 'group of people', '0.8'], ['bank accounts', 'organization', '0.7']]"
10," The crisis, energy inflation, shrinking disposable income.  The continuing rise in the cost of living for citizens.  With rising prices in energy, fuel, food and energy prices.  But also the recurring in recent months.  European Central Bank lending rates rise sharply. "," Η κρίση, η ενεργειακή πληθωριστική, η συρρίκνωση του διαθέσιμου εισοδήματος  Η συνεχιζόμενη αύξηση του κόστους ζωής των πολιτών  Με την αύξηση των τιμών στην ενέργεια, τα καύσιμα, τα τρόφιμα  Αλλά και η επαναλαμβανόμενη τους τελευταίους μήνες  Αύξηση μεγάλη αύξηση των επιτοκίων δανεισμού της Ευρωπαϊκής Κεντρικής Τράπεζας",energy,economy,inflation,economic crisis,-0.7,0.85,0.0,0.2,0.1,0.2,0.0,0.0,"[['crisis', 'unspecified', '1.0'], ['energy inflation', 'event', '0.81'], ['disposable income', 'unspecified', '1.0'], ['citizens', 'person', '0.73'], ['energy', 'product', '1.0'], ['fuel', 'product', '1.0'], ['food', 'product', '1.0'], ['european central bank', 'organization', '1.0']]","[['european central bank', 'organization', '0.8']]"
