id,text,text_el,topic,topic-other-context,subtopic,topic-open,sentiment,polarization,polarization-definition,toxicity,toxicity-definition,populism,populism-definition,hate speech,ner,ner-limited
1,The Greek society that the battle we have ahead of us until May 21 is a battle that concerns our lives.  Glass for.  Let Wednesday earlier Easter Wednesday.  We glass.  Gall for. ,Η ελληνική κοινωνία ότι η μάχη που έχουμε να δώσουμε μπροστά μας μέχρι τις 21 του Μάη είναι μια μάχη που αφορά τη ζωή μας  Γυαλ για  Ας Τετάρτη νωρίτερα το Πάσχα  Θα γυαλί  Gall για,other,other,other,greek society,0.0,0.0,0.0,0.2,1.0,0.0,0.0,0.0,"[['greek', 'norp', '0.86'], ['may 21', 'date', '0.86'], ['wednesday', 'date', '0.71'], ['easter wednesday', 'date', '0.71']]","[['greek society', 'group of people', '0.8', ''], ['may 21', 'date', '0.8']]"
2," And I say, I'll see it everywhere I am.  There is a lot of importance given to what you see in the media in the last few days, to the daily contact with the people, the ordinary people, the everyday people.  For this welcome and from the bottom of my heart I want to thank you, but I want you to know that the crucial thing for us and for our lives is what policies will govern the goal of.  So what is needed is of course for the forces of honesty to come forward, but also with a plan that will give breath and prosperity to the country, because for 4 years now what has been dominating is the deception of the middle class of pensioners and wage earners. "," Και το λέω, θα το βλέπω παντού είμαι  Δίνεται πολύ μεγάλη σημασία αυτά που βλέπετε τις τελευταίες μέρες στα μέσα ενημέρωσης δίνεται σημασία στην καθημερινή επαφή με τους ανθρώπους, τους απλούς, την καθημερινούς ανθρώπους δηλαδή  Για αυτήν την υποδοχή κι από τα βάθη της καρδιάς μου να σας ευχαριστήσω, αλλά θέλω να ξέρετε ότι το κρίσιμο για μας και για τη ζωή μας είναι με ποιες πολιτικές θα κυβερνηθεί ο στόχος  Αυτό λοιπόν που χρειάζεται είναι βεβαίως να βγούνε μπροστά οι δυνάμεις της εντιμότητας, αλλά και με ένα σχέδιο που θα δώσει ανάσα και προκοπή στον τόπο, διότι 4 χρόνια τώρα αυτό που κυριαρχεί είναι η εξαπάτηση της μεσαίας τάξης των συνταξιούχων και των μισθωτών",economy,economy,economic equity,importance of policies,0.0,0.3,0.0,0.2,0.0,0.2,0.0,0.0,"[['4 years', 'date', '1.0'], ['middle class', 'person', '0.8'], ['pensioners', 'person', '0.6'], ['wage earners', 'person', '0.6']]",[]
3," The values.  Who would say.  Glass for.  That it's time to say so far, disparaged her one as. "," Οι αξίες  Που θα έλεγε  Γυαλ για  Ότι ήρθε η ώρα να πούμε ως εδώ, την απαξίωσε ένα ως",other,other,other,values,0.0,0.0,,0.5,1.0,0.0,0.0,0.5,[],[]
4, Here you will.  Glass for.  Glass for. , Εδώ θα  Γυαλ για  Γυαλ για,other,other,other,glass,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,[],[]
5," Value will.  It's these days until the May 21 elections.  On the real problems that Greece has, this is the right way to talk about the real problems.  The real problems then, are above all perhaps income.  It is the labour relations are.  The feeling of hope for the new generation is the insecurity that the citizen feels in the face of a hostile state is the disintegration of the national health system.  It is the fear against the crows and the face book contractor to get the first.  Residence will.  Gall for.  Glass for.  This government, the Prime Minister himself, his ministers, the media that support them do not want us to discuss these big problems at all and I don't want us to discuss these problems because they have no answer to give 4 years now, they have shown signs of writing, they have no answers to give to accuracy, to the shrinking of our income, he says.  The astra waxes are not imported at all, they are Greek, It is not possible for our country to be the most expensive country in Europe in the price of electricity and the most expensive country in the price of petrol, the most expensive supermarket prices, while we have the lowest wages and they want to give answers and we reach the point. "," Αξία θα  Είναι αυτές τις μέρες μέχρι τις εκλογές της 21 του Μάη  Πάνω στα πραγματικά προβλήματα που έχει ελληνική, αυτός είναι ο σωστός τρόπος να κουβεντιάσουμε για τα πραγματικά προβλήματα  Τα πραγματικά προβλήματα λοιπόν, είναι πάνω από όλα ίσως εισόδημα  Είναι οι εργασιακές σχέσεις είναι  Το αίσθημα της ελπίδας για τη νέα γενιά είναι η ανασφάλεια που νιώθει ο πολίτης απέναντι σε ένα κράτος εχθρικό είναι η διάλυση του εθνικού συστήματος υγείας  Είναι ο φόβος απέναντι στα κοράκια και στα face book αναδόχου να πάρουν την πρώτη  Κατοικία θα  Gall για  Γυαλ για  Αυτή η κυβέρνηση, ο ίδιος πρωθυπουργός, υπουργοί του, τα μέσα ενημέρωσης που τους στηρίζουν δεν θέλουν καθόλου να συζητάμε για αυτά τα μεγάλα προβλήματα και δεν θέλω να συζητάμε για αυτά τα προβλήματα διότι δεν έχουν απάντηση να δώσουν 4 χρόνια τώρα έχουν δείξει δείγματα γραφής, δεν έχουν να δώσουν απαντήσεις στην ακρίβεια, στην συρρίκνωση του εισοδήματός μας λέγει  Η astra κεριά δεν είναι καθόλου εισαγόμενη, είναι ελληνική, Δεν γίνεται η χώρα μας να είναι η ακριβότερη χώρα της Ευρώπης στην τιμή του ηλεκτρικού ρεύματος και ακριβότερη χώρα στην τιμή της βενζίνης, στις ακριβότερες τιμές σούπερ μάρκετ, ενώ έχουμε τους χαμηλότερους μισθούς και θέλουν λοιπόν να δώσουν απαντήσεις και φτάνουμε στο σημείο",economy,economy,other,greek problems,0.0,0.25,0.2,0.4,0.2,0.8,0.2,0.0,"[['greece', 'location', '1', 'may 21', 'date', '1', 'labour relations', 'organization', '0.8', 'national health system', 'organization', '0.75', 'prime minister', 'person', '0.9', 'media', 'organization', '0.8', '4 years', 'date', '0.75', 'astra waxes', 'product', '0.5', 'europe', 'location', '1', 'electricity', 'product', '0.75', 'petrol', 'product', '0.75].']]","[['may 21', 'date', '1.0'], ['greece', 'country', '1.0'], ['prime minister', 'person', '0.8'], ['ministers', 'group of people', '0.8'], ['media', 'organization', '0.6'], ['labour relations', 'organization', '0.6'], ['national health system', 'organization', '0.6'], ['crows', 'organization', '0.4'], ['facebook', 'organization', '0.4'], ['government', 'organization', '0.4'], ['astra waxes', 'organization', '0.4']]"
6," Here's the world of impaired perception I saw the other day.  How they tried to set up an amateur way.  Another tribal camera show with the restart of the railroad a month after the tragic accident of the temps and they got to the point of dressing up as alleged passengers.  The executives of New Democracy, who joined the people who were in this fiasco show at the Larissa station to show that there is supposedly a TV station, while it was an antiquated console, the same people pretend to be passengers and tell them how safe we feel for so stupidly passing citizens, I don't know if these tips.  We give them American Communicators.  I don't know if they pass Greek citizens off as Americans to chicken shit expression.  I want to remember.  An action of a not sociologist, but a great American politician blog. "," Να τον κόσμο για μειωμένης αντιληπτικής ικανότητας έβλεπα προχθές  Πώς προσπάθησαν να στήσουν έναν ερασιτεχνικό τρόπο  Ένα ακόμα σόου φυλετικές κάμερες με την επανεκκίνηση του σιδηροδρόμου ένα μήνα μετά το τραγικό δυστύχημα των τεμπών και φτάσανε στο σημείο να ντύσουνε ως δήθεν επιβάτες  Τους τα στελέχη της Νέας Δημοκρατίας, που ένωσε τους ανθρώπους που ήτανε σ αυτό το σόου φιάσκο στο σταθμό της Λάρισας για να δείξουν ότι δήθεν υπάρχει σταθμός τηλεδιοίκησης, ενώ ήταν ένα μια απαρχαιωμένη κονσόλα, τους ίδιους ανθρώπους να παριστάνουμε τους επιβάτες και τα λένε πόσο ασφαλείς νιώθουμε για τόσο ηλίθιους περνάνε τους πολίτες, Δεν ξέρω εάν αυτές τις συμβουλές  Τους δίνουμε Αμερικανοί Επικοινωνιολόγοι  Δεν ξέρω αν αυτοί περνάνε τους έλληνες πολίτες ως αμερικανάκια για να κοτοπουλάκι έκφραση  Θέλω να θυμηθώ  Μια δράση ενός όχι κοινωνιολόγο, αλλά μεγάλου αμερικανού πολιτικού το blog",other,other,other,television/media,-0.5,0.5,0.0,0.5,0.8,0.0,0.0,0.0,"[['new democracy', 'organization', '1.0'], ['larissa station', 'location', '1.0'], ['americans', 'nationality', '1.0'], ['greek citizens', 'nationality', '1.0'], ['sociologist', 'profession', '0.5'], ['american politician', 'profession/nationality', '1.0']]","[['new democracy', 'organization', '0.95'], ['larissa station', 'location', '0.85'], ['america', 'country', '0.6']]"
7," Who had said, one can fool everyone once to dance a few all the time, but one cannot fool everyone all the time.  Ler for say.  Glass for. "," Ο οποίος είχε πει, μπορεί κανείς να κοροϊδέψει όλους μια φορά να χορεύει λίγους συνέχεια, αλλά δεν μπορεί να κοροϊδεύει όλους συνέχεια  Λερ για λέγε  Γυαλ για",other,other,other,deception,0.0,0.5,0.0,0.3,1.0,0.0,0.0,0.0,[],"[['ler', 'person', '0.8'], ['glass', 'person', '0.8']]"
8," You're going to be pensionable, he made them 19 that he would keep the thirteenth pension which was what they said was peanuts and it was 1.1 billion a year.  I've got the back pay.  They will the pensioners that supposedly they should not appeal, because what they get those who appealed will get the others and especially the gifts and supplementary pensions are not taken by anyone, add up the 4 years how much it costs to cut the thirteenth and the non-reimbursement of retroactive payments is 7 billion euros.  7 billion less pensioner cheated middle class.  I made tax cuts.  And what they finally gave 4 years later were unprecedented, horrific increases.  Income decreases is saved in the third week of the month.  According to official Eurostat data, for an income of €750 per month.  The purchasing power has been reduced by 40%, meaning that the citizen, the backbencher, the pensioner who gets 700 to 750 € salary has or that salary that income is 40% lower in value than the year and a half before they dripped relief and what they actually gave was an unprecedented loss of income and they have submerged the middle class I guess. "," Θα είσαι του συντάξιµου, τους έφτιαξε το 19 ότι θα διατηρήσει τη δέκατη τρίτη σύνταξη που το τι λέγανε ψίχουλα και ήταν 1,1 δισεκατομμύριο ετησίως  Έχω ψε τα αναδρομικά  Θα τους συνταξιούχους ότι δήθεν δεν πρέπει να κάνουν προσφυγές, διότι όσα πάρουν αυτοί που προσέφυγαν θα πάρουν και οι άλλοι και ειδικά τα δώρα και τις επικουρικές δεν τα πηρε κανεισ αθροίσουμε τα 4 χρόνια πόσο κοστίζει το κόψιμο της δέκατης τρίτης και η μη απόδοση των αναδρομικών είναι 7 δισεκατομμύρια ευρώ  7 δισεκατομμύρια λιγότερα τους συνταξιού εξαπάτησαν μεσαία τάξη  Έφτιαξα φοροελαφρύνσεις  Κι αυτό που έδωσαν τελικά 4 χρόνια μετά ήταν πρωτοφανής τρομακτικές αυξήσεις  Το εισόδημα μειώνεται σώνεται την τρίτη εβδομάδα του μήνα  Σύμφωνα με τα επίσημα στοιχεία της Eurostat, για ένα εισόδημα 750 € μηνιαίως  Η αγοραστική δύναμη έχει μειωθεί κατά 40%, δηλαδή ο πολίτης, οπισθότονος, ο συνταξιούχος που παίρνει 700 ως 750 € μισθό έχει ή το μισθό αυτό το εισόδημα αυτό να είναι 40% χαμηλότερης αξίας από τον ενάμιση χρόνο πριν έσταξαν ελαφρύνσεις και αυτό που έδωσαν στην πραγματικότητα ήταν μια πρωτοφανή απώλεια εισοδήματος και έχουν κατάδυση τη μεσαία τάξη που υποθέτω",other,other,pensions,pensions,-1.0,0.95,0.0,0.5,0.5,0.8,0.0,0.0,"[['eurostat', 'organization', ''], ['€', 'currency', ''], ['40%', 'percentage', ''], ['middle class', 'group', ''], ['pension', 'benefit', ''], ['thirteenth pension', 'benefit', ''], ['1.1 billion', 'number', ''], ['back pay', 'compensation', ''], ['appeal', 'legal action', ''], ['supplementary pension', 'benefit', ''], ['4 years', 'duration', ''], ['7 billion euros', 'number', ''], ['tax cuts', 'policy', ''], ['income decreases', 'phenomenon', ''], ['citizen', 'person', ''], ['backbencher', 'person', ''], ['salary', 'income', ''], ['value', 'measurement', '']]","[['eurostat', 'organization', '1.0'], ['1.1 billion', 'date', '0.7'], ['4 years', 'date', '0.7'], ['7 billion euros', 'date', '0.7']]"
9," I'd support going to the supermarket to live.  Glass for.  It's what he was saying because I want to speak the language of truth.  We are facing major challenges.  Okay, his government have a plan.  This plan is the redistribution of wealth and property of the middle class and the weak.  The first phase of the first phase of the project. "," Θα στήριζα να πηγαίνουμε μπουχόνια σούπερ μάρκετ για να ζήσουμε  Γυαλ για  Είναι αυτό που έλεγε γιατί εγώ θέλω να μιλάω τη γλώσσα της αλήθειας  Είμαστε μπροστά σε μεγάλες προκλήσεις  Εντάξει, η κυβέρνησή του έχουν ένα σχέδιο  Το σχέδιο αυτό είναι η αναδιανομή του πλούτου και της περιουσίας της μεσαίας τάξης και των αδύναμων  Στον πρώτο η πρώτη φάση του έργου",other,economy,economic equity,redistribution,-0.4,0.75,0.0,0.3,0.5,0.9,0.0,0.1,"[['supermarket', 'location', '0.6'], ['glass', 'person', '0.4'], ['government', 'organization', '0.6'], ['middle class', 'organization', '0.2']]",[]
10," We saw it with the scary increases.  Electricity in petrol, in the supermarket and with subsidies, mind you, keeps the value added tax and the initial consumption tax high.  Why does it do this When prices have climbed to God to increase government revenues.  We have obscene for state housing.  Areas have gone up 4 billion in 22 the value added tax revenue was not even the revenue gives it as targeted subsidies, but where do these subsidies go.  Don't go to school with energy companies to keep energy prices high, says. "," Την είδαμε με τις τρομακτικές αυξήσεις  Το ρεύμα στη βενζίνη, στο σούπερ μάρκετ και με τις επιδοτήσεις, προσέξτε, διατηρεί υψηλό το φόρο προστιθέμενης αξίας και τον αρχικό φόρο κατανάλωσης  Γιατί το κάνει αυτό Όταν οι τιμές έχουν σκαρφαλώσει στο Θεό για να αυξάνονται τα έσοδα του δημοσίου  Έχουμε αισχρότερο για την κρατική κατοικίες  Περιοχές έχουν ανέβει 4 δισεκατομμύρια το 22 τα έσοδα από το φόρο προστιθεμένης αξίας ήταν καν τα έσοδα τα δίνει ως επιδοτήσεις στοχευμένες, αλλά πού πάνε αυτές οι επιδοτήσεις  Δεν πάνε στο σχολείο πήγαινες εταιρείες ενέργειας για να κρατάει ψηλά τις τιμές ενέργειας, λέγει",energy,energy,electricity,inflation,-0.7,0.75,0.0,0.7,0.9,0.8,0.0,0.3,"[['electricity', 'org', '0.67'], ['god', 'per', '0.67'], ['22', 'misc', '0.33']]","[['electricity', 'organization', '0.8'], ['petrol', 'organization', '0.5'], ['supermarket', 'organization', '0.4'], ['value added tax', 'organization', '0.6'], ['consumption tax', 'organization', '0.5'], ['government', 'organization', '0.7'], ['state housing', 'organization', '0.6'], ['energy companies', 'organization', '0.6'], ['school', 'organization', '0.3'], ['god', 'person', '0.7'], ['22', 'date', '0.9']]"
