id,text,text_el,topic,topic-other-context,subtopic,topic-open,sentiment,polarization,polarization-definition,toxicity,toxicity-definition,populism,populism-definition,hate speech,ner,ner-limited
1,"Comrades, thank you very much for the welcome to the podium and I think that this welcome reflects the feelings of all of us in this Chamber.  We see it, we feel it, we understand it.  We're doing well. ","Συντρόφισσες και σύντροφοι, σας ευχαριστώ θερμά για την υποδοχή στο βήμα και νομίζω ότι αυτή η υποδοχή αντικατοπτρίζει και τα συναισθήματα όλων μας σε αυτήν εδώ την αίθουσα  Το βλέπουμε, το νιώθουμε, το καταλαβαίνουμε  Πάμε καλά",other,other (the passage does not provide enough information to identify a relevant keyword),other,chamber,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[['chamber', 'org', '0.5']]",[]
2," This message, this air, this optimism, this confidence, is what I want to convey to you from every region, every city, every neighbourhood I have visited in the last few days.  And I think that's a realization that I think we all share.  Because we do not live above the world, nor near the world.  We live in the world. "," Αυτό το μήνυμα, αυτόν τον αέρα, αυτή την αισιοδοξία, αυτή τη σιγουριά, θέλω να σας μεταφέρω από όποιες περιοχές, όποιες πόλεις, όποιες γειτονιές επισκέφτηκα τις τελευταίες μέρες  Κι αυτή τη διαπίστωση νομίζω ότι τη μοιραζόμαστε όλοι  Επειδή εμείς δεν ζούμε πάνω από τον κόσμο, ούτε κοντά στον κόσμο  Ζούμε μέσα στον κόσμο",other,other,other,optimism,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[],[]
3," And so we see and we know and it inspires us that from day to day, every moment that passes, every day that passes, as we get closer to the election, opposition, indignation, condemnation, anger, becomes, little by little, a decision.  A change decision is made.  The no to the Mitsotakis government is transformed into a yes to change, yes to a progressive government of cooperation, yes to the demand for justice everywhere. "," Κι έτσι βλέπουμε και ξέρουμε και μας εμπνέει ότι από μέρα σε μέρα, κάθε στιγμή που περνάει, κάθε μέρα που περνάει, όσο πλησιάζουμε προς την εκλογική αναμέτρηση, η αντίθεση, η αγανάκτηση, η καταδίκη, η οργή, γίνεται λίγο-λίγο, απόφαση  Γίνεται απόφαση αλλαγής  Το όχι στην κυβέρνηση Μητσοτάκη, μετουσιώνεται σε ναι στην αλλαγή, ναι στην προοδευτική κυβέρνηση συνεργασίας, ναι στο αίτημα για δικαιοσύνη παντού",elections,elections,election spending,election,0.75,0.8,0.1,0.0,0.1,0.5,0.2,0.0,"[['mitsotakis', 'person', '0.7']]","[['mitsotakis government', 'organization', '0.5'], ['progressive government of cooperation', 'organization', '0.5']]"
4," We often say and hear that we are facing a crucial electoral battle.  Critical for society, critical for the country, critical for tomorrow.  And this is true.  But starting from this common finding, I would like to take a step further today. "," Λέμε και ακούμε συχνά ότι βρισκόμαστε μπροστά σε μια κρίσιμη εκλογική μάχη  Κρίσιμη για την κοινωνία, κρίσιμη για την πατρίδα, κρίσιμη για το αύριο  Και αυτό είναι αλήθεια  Με αφετηρία όμως αυτή την κοινή μας διαπίστωση, θα ήθελα σήμερα να κάνουμε κι ένα βήμα παραπέρα",elections,elections,election spending,elections,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,[],[]
5," The elections ahead of us are not only a crucial contest, but also an opportunity.  It is an opportunity for society, it is an opportunity for the country.  It is an opportunity for democracy and progress.  It is an opportunity for our people.  This opportunity must not be wasted under any circumstances. "," Οι εκλογές που έχουμε μπροστά μας είναι όχι μονάχα μια κρίσιμη αναμέτρηση, αλλά είναι και μια ευκαιρία  Είναι μια ευκαιρία για την κοινωνία, είναι μια ευκαιρία για την πατρίδα  Είναι μια ευκαιρία για τη δημοκρατία και την πρόοδο  Είναι μια ευκαιρία για το λαό μας  Αυτή την ευκαιρία δεν πρέπει σε καμιά περίπτωση να την αφήσουμε να πάει χαμένη",elections,elections.,election spending,elections,0.85,0.0,0.0,0.0,0.0,0.1,0.0,0.0,"[['not only', 'null', ''], ['crucial contest', 'null', ''], ['society', 'null', ''], ['country', 'null', ''], ['democracy', 'null', ''], ['progress', 'null', ''], ['people', 'null', ''], ['opportunity', 'null', '']]","[['elections', 'organization', '0.65'], ['society', 'group of people', '0.8'], ['country', 'location', '0.75'], ['democracy', 'organization', '0.6'], ['progress', 'group of people', '0.4'], ['people', 'group of people', '0.7']]"
6," To allow the New Democracy of Mr.  Mitsotakis to cancel it with divisive rhetoric, which has no other purpose than to hide the problems, to hide those responsible for creating them and, above all, to hide the solutions.  With this debunked propaganda from Trump's textbooks and practices, which aims at one thing: To muddy the waters and spread the notion that we are all the same.  To lead to apathy and abstention, especially among young people, who all know very well that if they all go to the ballot box, there is no chance of saving the regime that currently governs us.  So in this battle we owe it not only to unfold our programme and our arguments, but also to confront these practices of trampling.  The fake news, the character assassinations, the provocations, the targeted attacks, which attempt to put any other agenda in the public debate than the critical, the big problems that concern Greek society. "," Να επιτρέψουμε δηλαδή στη Νέα Δημοκρατία του κ  Μητσοτάκη να την ακυρώσει με τη διχαστική ρητορεία, που δεν έχει άλλο σκοπό παρά να κρύβει τα προβλήματα, να κρύβει τους υπεύθυνους για τη δημιουργία αυτών των και κυρίως να κρύβει τις λύσεις  Με τη ξεπατικωμένη αυτή προπαγάνδα από τα εγχειρίδια και τις πρακτικές του Τραμπ, που αποσκοπεί σε ένα πράγμα: Να θολώσει τα νερά και να διαδώσει την άποψη ότι όλοι είμαστε ίδιοι  Να οδηγήσει στην απάθεια και την αποχή, κυρίως τους νέους ανθρώπους, που γνωρίζουν όλοι πάρα πολύ καλά ότι αν πάνε τελικά στην κάλπη όλοι, δεν έχει καμία πιθανότητα να διασωθεί το καθεστώς που σήμερα μας κυβερνά  Οφείλουμε λοιπόν σε αυτή τη μάχη όχι μόνο να ξεδιπλώσουμε το πρόγραμμα και την επιχειρηματολογία μας, αλλά να αντιμετωπίσουμε και αυτές τις πρακτικές του τραμπισμού  Τα fake news, τις δολοφονίες χαρακτήρα, τις προβοκάτσιες, τις στοχευμένες επιθέσεις, που επιχειρούν να θέσουν οποιαδήποτε άλλη ατζέντα στον δημόσιο διάλογο εκτός από τα κρίσιμα, τα μεγάλα προβλήματα που απασχολούν την ελληνική κοινωνία",elections,democracy,other,greek politics,-0.8,0.63,0.9,0.4,0.6,0.8,0.5,0.0,"[['new democracy', 'organization', '0.8'], ['mr. mitsotakis', 'person', '0.8'], ['trump', 'person', '0.6'], ['greek society', 'location', '0.8']]","[['new democracy', 'organization', '0.8'], ['mr. mitsotakis', 'person', '0.6'], ['trump', 'person', '0.6'], ['young people', 'group of people', '0.6'], ['greek society', 'country', '0.6']]"
7," And it may be tedious and tiring but we have to repeat it all the time: We are not all the same.  And especially with the New Republic of Mr.  Mitsotakis, we are not the same at all.  It would be extremely difficult to be like them after all.  They are one of a kind. "," Και μπορεί να είναι άχαρο και κουραστικό αλλά οφείλουμε να το επαναλαμβάνουμε διαρκώς: Δεν είμαστε όλοι ίδιοι  Και ειδικά με τη Νέα Δημοκρατία του κ  Μητσοτάκη, δεν είμαστε καθόλου ίδιοι  Θα ήταν άλλωστε εξαιρετικά δύσκολο άλλωστε να τους μοιάσουμε  Είναι μοναδικοί στο είδος τους",other,political parties,other,differences/diversity,-0.1,0.8,0.05,0.4,0.2,0.2,0.0,0.1,"[['new republic', 'organization', '0.9'], ['mr. mitsotakis', 'person', '0.6']]","[['mr. mitsotakis', 'person', '0.95'], ['new republic', 'organization', '0.85']]"
8," We are not similar in ideas, nor in social references, nor in our conceptions of the state, nor in the ethos and style of power, and certainly not in the interests we represent.  And make it clear once again in all directions: Under no circumstances are we going to enter this arena of toxicity and division that Mr Mitsotakis' New Democracy is seeking.  No slander and no provocation will distract us from our commitment to the big issues, to life, to security, to the reality that the vast majority of society is experiencing today. "," Δε μοιάζουμε ούτε στις ιδέες, ούτε στις κοινωνικές αναφορές, ούτε στις αντιλήψεις μας για το κράτος, ούτε στο ήθος και το ύφος της εξουσίας, ούτε βεβαίως πολύ περισσότερο, στα συμφέροντα που εκπροσωπούμε  Και να κάνουμε για άλλη μια φορά σαφές προς όλες τις κατευθύνσεις: Δεν πρόκειται σε καμιά περίπτωση εμείς να μπούμε σε αυτή την αρένα της τοξικότητας και του διχασμού που επιδιώκει η Νέα Δημοκρατία του κυρίου Μητσοτάκη  Καμιά συκοφαντία και καμιά προβοκάτσια δεν πρόκειται να μας αποσπάσει από την προσήλωσή μας στα μεγάλα θέματα, στη ζωή, την ασφάλεια, την πραγματικότητα που βιώνει σήμερα η μεγάλη κοινωνική πλειοψηφία",political parties,political parties,other,political differences,-0.4,0.2,0.2,0.1,0.2,0.1,0.0,0.0,"[['mitsotakis', 'person', '0.5'], ['new democracy', 'organization', '0.6']]","[['mitsotakis', 'person', '0.8'], ['new democracy', 'political party', '0.8']]"
9," To put it differently, to paraphrase a well-known phrase of the unforgettable Elias Ilios: We will shake them up in reality.  In reality and in truth.  So what is this reality that we are living today, that the vast majority of Greek society has been living for the last four years? "," Να το πω διαφορετικά για να παραφράσω μια γνωστή φράση του αξέχαστου Ηλία Ηλιού: Εμείς θα τους ταράξουμε στην πραγματικότητα  Στην πραγματικότητα και στην αλήθεια  Ποια είναι λοιπόν αυτή η πραγματικότητα που ζούμε σήμερα, που ζει η μεγάλη πλειοψηφία της ελληνικής κοινωνίας εδώ και τέσσερα χρόνια",economy,elections,economic crisis,greek reality,0.0,0.1,0.0,0.0,0.1,0.1,0.0,0.0,"[['elias ilios', 'person', '0.95'], ['greek', 'norp', '0.7']]","[['elias ilios', 'person', '0.9'], ['greek society', 'group of people', '0.8'], ['greek', 'country', '0.7'], ['four years', 'date', '0.6']]"
10," Because it's been four years that this government has been in power: This reality has to do with the precision that devastates the many and the obscenity enjoyed by the few.  It's about the dismantling of the NHS, about the pandemic hundreds of thousands of lives that could have been saved.  And with the dissolution today of public hospitals. "," Γιατί είναι τέσσερα χρόνια που κυβερνά αυτή η κυβέρνηση: Η πραγματικότητα αυτή έχει να κάνει με την ακρίβεια που ρημάζει τους πολλούς και με την αισχροκέρδεια που απολαμβάνουν οι λίγοι  Έχει να κάνει με τη διάλυση του ΕΣΥ, με τις εκατόμβες της πανδημίας για χιλιάδες ανθρώπινες ζωές που θα μπορούσαν να είχαν σωθεί  Και με τη διάλυση σήμερα των δημόσιων νοσοκομείων",health,health,public health system,government performance/politics,-0.9,1.0,0.0,0.8,0.3,0.9,0.5,0.2,"[['government', 'organization', '0.9'], ['nhs', 'organization', '0.8'], ['pandemic', 'event', '0.6'], ['public hospitals', 'organization', '0.7']]","[['government', 'organization', '1.0'], ['nhs (national health service)', 'organization', '1.0'], ['pandemic', 'event', '1.0'], ['public hospitals', 'organization', '1.0']]"
