id,text,text_el,topic,topic-context,subtopic,subtopic-context,topic-open,sentiment,polarization,polarization-definition,toxicity,toxicity-definition,populism,populism-definition,hate speech,ner,ner-limited
1,"Hello! Thank you very much for the welcome, I am very happy to be here in Drama. After a very long time I am here in Drama and I am happy every time I am here, in your beautiful city.  This time my joy is greater, because I am here a few days before a great, glorious day that we all look forward to. We had the Feast of Tabernacles a few days ago, but we will have another glorious day, a resurrection day for our people: May 21! 33 days from today! ","Γεια σας! Σας ευχαριστώ θερμά για την υποδοχή, είμαι πολύ χαρούμενος που βρίσκομαι εδώ στη Δράμα. Μετά από πάρα πολύ καιρό είμαι εδώ στη Δράμα κι είμαι χαρούμενος κάθε φορά που είμαι εδώ, στην όμορφη πόλη σας.  Τούτη τη φορά είναι μεγαλύτερη η χαρά μου, γιατί βρίσκομαι εδώ λίγες πριν από μια μεγάλη, λαμπρή μέρα που όλοι προσδοκούμε. Είχαμε τη Λαμπρή λίγες μέρες πριν, θα έχουμε όμως και μια ακόμα λαμπρή μέρα, αναστάσιμη για το λαό μας: Την 21η του Μάη! Σε 33 μέρες από σήμερα!",other,other,other,,,,0.1,0.0,0.2,0.0,0.1,,0.0,[],[]
2," There are no impregnable castles for us. Castles are to be conquered. I am sure that Drama, 33 days from today, will give a strong message about what it needs, what it seeks, what I feel wherever I am, in any city, in any neighbourhood, what I understand that people want today: A meaningful change in their lives, a big change.  And of course, it's not just the change of government that will bring this about. The prerequisite is not a change of government, but a change of policies. So we want this milestone, the 21st of May, to give a perspective of hope for the country. To bring with the vote of the Greek people in the country, the political change, the victory of SYRIZA in the elections, which is a prerequisite for political change and the formation of a progressive coalition government on the next day of the elections, to bring back what? "," Δεν υπάρχουν για μας κάστρα απόρθητα. Τα κάστρα είναι για να τα κατακτούμε. Είμαι βέβαιος ότι η Δράμα, σε 33 μέρες από σήμερα, θα δώσει ένα ισχυρό μήνυμα γι` αυτό που έχει ανάγκη, γι` αυτό που αναζητά, γι` αυτό που αισθάνομαι όπου βρεθώ, σε όποια πόλη, σε όποια γειτονιά, αυτό που καταλαβαίνω ότι θέλει ο κόσμος σήμερα: Μια ουσιαστική αλλαγή στη ζωή του, μια μεγάλη αλλαγή.  Και βεβαίως, δεν είναι μονάχα η αλλαγή της κυβέρνησης που θα το φέρει αυτό. Προϋπόθεση είναι η αλλαγή της κυβέρνησης, αλλά η αλλαγή πολιτικών. Θέλουμε λοιπόν αυτό το ορόσημο, η 21η του Μάη, να δώσει μια προοπτική ελπίδας για τον τόπο. Να φέρουμε με τη ψήφο του ελληνικού λαού στη χώρα, την πολιτική αλλαγή, τη νίκη του ΣΥΡΙΖΑ στις εκλογές, που είναι προϋπόθεση για την πολιτική αλλαγή και τη συγκρότηση προοδευτικής κυβέρνησης συνεργασίας την επόμενη μέρα των εκλογών, για να ξαναφέρουμε τι;",elections,elections,other,,,,0.3,0.0,0.1,0.0,0.2,,0.0,[],[]
3,"What we all feel has been missing for four years now from our daily lives, from our lives, in our workplaces, in our learning spaces everywhere: Justice.  That's what we want to bring to the country, justice everywhere. Why, you know what? ","Αυτό που αισθανόμαστε όλοι ότι τέσσερα χρόνια τώρα λείπει από την καθημερινότητά μας, απ’ τη ζωή μας, στους χώρους δουλειάς, στους χώρους της μάθησης παντού: Η δικαιοσύνη.  Αυτό θέλουμε να φέρουμε στον τόπο, τη δικαιοσύνη παντού. Γιατί, ξέρετε κάτι;",other,other,injustice,,,,0.1,0.2,0.1,0.1,0.2,,0.0,[],[]
4,"I think you all understand this and not only progressive citizens understand it now, even those who believed in 2019 that Mr. Mitsotakis would bring a substantial prospect of security, stability, prosperity, better wages, better pensions. That's what he was saying. But they see today that all those promises made four years ago are proving to be in vain. All these promises were promises without effect. ","Νομίζω το καταλαβαίνετε όλοι και το καταλαβαίνουν πια όχι μονάχα προοδευτικοί πολίτες, ακόμα και αυτοί που πιστέψανε το 2019 ότι ο κ. Μητσοτάκης θα έφερνε μια ουσιαστική προοπτική ασφάλειας, σταθερότητας, ευημερίας, καλύτερων μισθών, καλύτερων συντάξεων. Αυτά έλεγε. Αλλά βλέπουν σήμερα  όλες αυτές οι υποσχέσεις που δόθηκαν τέσσερα χρόνια πριν, να αποδεικνύονται φρούδες. Όλες αυτές οι υποσχέσεις ήταν υποσχέσεις χωρίς αντίκρισμα.",political promises,other,other,,,,0.9,0.2,0.2,0.2,0.7,,0.0,[],[]
5,"And we see today a reality that is crushing us. And the average citizen, I believe, regardless of what he voted for in '19, regardless of his political beliefs, believes one thing, feels one thing, speaks one thing, he says: That's it. So much for corruption, so much for accuracy, so much for insecurity, so much for family rule, so much for the viciousness of the regime, so much for injustice. So that is why we believe that this ""so far"" can be made out of anger and indignation, a political dynamic of change, through the victory of SYRIZA.  I want, citizens of Drama, friends, to describe, as much as I can, the situation we are experiencing. Although I think that since we all experience them, descriptions are superfluous. ","Και βλέπουμε σήμερα μια πραγματικότητα η οποία μας συνθλίβει. Κι ο μέσος πολίτης, πιστεύω, ανεξάρτητα του τι ψήφισε το ’19, ανεξάρτητα από τα πολιτικά του πιστεύω, ένα πράγμα πιστεύει, ένα πράγμα αισθάνεται, ένα πράγμα προφέρει, λέει: Ως εδώ. Ως εδώ με τη διαφθορά, ως εδώ με την ακρίβεια, ως εδώ με την ανασφάλεια, ως εδώ με την οικογενειοκρατία, ως εδώ με την καθεστωτική φαυλότητα, ως εδώ με την αδικία. Γι` αυτό λοιπόν εμείς πιστεύουμε ότι αυτό το «ως εδώ» μπορεί να γίνει από οργή και αγανάκτηση, πολιτική δυναμική αλλαγής, μέσα από τη νίκη του ΣΥΡΙΖΑ.  Θέλω, πολίτες της Δράμας, φίλες και φίλοι, να περιγράψω, όσο μπορώ να περιγράψω πιο αναλυτικά την κατάσταση που βιώνουμε. Αν και νομίζω ότι από τη στιγμή που όλοι τα ζούμε, οι περιγραφές περιττεύουν.",corruption,corruption,injustice,,,,0.3,0.2,0.1,0.0,0.2,,0.0,[],[]
6,"However, I want to say a few words about this harsh reality that we have all been living these four years.  In these four years we have seen incomes shrink, we have seen electricity, fuel and supermarket prices soar. We have seen obscenity legitimised. We have seen corruption being legitimised, the so-called ""Patsis"" - Patsis was a member of the ruling party - who did what: He was a crow and he was going to hit the auctions, taking people's houses. So we see corruption being legalised, we see looting being legalised, we see the invasion of public funds being legalised with closed tenders and direct awards. We see the humiliation of the middle class, the insecurity of the middle class being consolidated.  Do you remember what they were saying? ","Εν τούτοις, θέλω να πω δυο λόγια γι` αυτή τη σκληρή πραγματικότητα που ζούμε όλοι μας αυτά τα τέσσερα χρόνια.  Αυτά τα τέσσερα χρόνια έχουμε δει το εισόδημα να συρρικνώνεται, έχουμε δει τις τιμές στο ρεύμα, στα καύσιμα και στο σούπερ μάρκετ να απογειώνονται. Έχουμε δει να νομιμοποιείται η αισχροκέρδεια. Έχουμε δει να νομιμοποιείται η διαφθορά, οι λογής «Πάτσηδες» -βουλευτής κυβερνώντος κόμματος ο Πάτσης-, που τι έκανε: Ήταν κοράκι και πήγαινε να χτυπά στους πλειστηριασμούς, να παίρνει τα σπίτια των ανθρώπων. Βλέπουμε λοιπόν να νομιμοποιεί τη διαφθορά, να νομιμοποιείται το πλιάτσικο, να νομιμοποιείται η επέλαση στα δημόσια Ταμεία με τους κλειστούς διαγωνισμούς και με τις απευθείας αναθέσεις. Βλέπουμε να εδραιώνεται η ταπείνωση της μεσαίας τάξης, η αναξιοπρέπεια.  Θυμάστε τι έλεγαν;",corruption,corruption,corruption,,,,0.95,0.2,0.2,0.2,0.3,,0.0,[],[]
7,"The middle class had become their banner. Here we do not have a harsh reality only for the vulnerable. You know, the Eurostat figures, I've said many times, those who have an income of up to 750 euros have lost 40% of their purchasing power in a year. But it's not just those incomes, it's also those who have 1,200 and 1,500 and 1,800. Everyone is struggling today. ","Είχε γίνει σημαία τους η μεσαία τάξη. Εδώ δεν έχουμε μια σκληρή πραγματικότητα μονάχα για τους ευάλωτους. Ξέρετε, τα στοιχεία, τα έχω πει πολλές φορές, της Eurostat, αυτοί οι οποίοι έχουν εισόδημα έως 750 ευρώ, έχουν χάσει 40% της αγοραστικής τους δύναμης μέσα σ’ έναν χρόνο. Αλλά δεν είναι μόνο αυτά τα εισοδήματα, είναι και αυτοί που έχουν 1.200 και 1.500 και 1.800. Όλοι δυσκολεύονται σήμερα.",economy,economy,middle class,,,,0.15,0.0,0.0,0.0,0.5,,0.0,[],[]
8," When we have found ourselves having the highest price of petrol in the whole of the European Union, when we have come to have the highest price of electricity relative to income, in the whole of the European Union. And when we go to the supermarket, we cross ourselves before we go in. Nightmare. "," Όταν έχουμε βρεθεί να έχουμε την υψηλότερη τιμή της βενζίνης σε όλη την Ευρωπαϊκή Ένωση, όταν έχουμε φτάσει να έχουμε την υψηλότερη τιμή ρεύματος συγκριτικά με το εισόδημα, σε όλη την Ευρωπαϊκή Ένωση. Και όταν για να πάμε στο σούπερ μάρκετ, κάνουμε τον σταυρό μας πριν μπούμε μέσα. Εφιάλτης.",economy,economy,prices,,,,0.8,0.0,0.1,0.1,0.3,,0.0,[],[]
9,"We have come to have the most expensive prices of products even in supermarkets in major European capitals, while Greece has the lowest wages in Europe. Notice what the difference is. And they tell us, ""but, but, accuracy is imported."". Yes, but the obscenity is not imported, the obscenity is Greek and has the signature of Mr. ","Έχουμε φτάσει να έχουμε τις ακριβότερες τιμές προϊόντων ακόμα κι από σούπερ μάρκετ σε μεγάλες ευρωπαϊκές πρωτεύουσες, ενώ η Ελλάδα έχει τους χαμηλότερους μισθούς στην Ευρώπη. Προσέξτε ποια είναι η διαφορά. Και μας λένε, «μα, η ακρίβεια είναι εισαγόμενη». Ναι, αλλά η αισχροκέρδεια δεν είναι εισαγόμενη, η αισχροκέρδεια είναι ελληνική κι έχει την υπογραφή του κ.",economy,economy,wages,,,,1.0,0.0,0.6,0.7,0.8,,0.2,[],[]
10,"Mitsotakis.  So we are living this harsh reality, with the humiliation of the middle class, which was promised better days and has ended up living on food stamps. Coupons to pay for electricity, pass they call them now, they don't call them coupons. Pass for electricity, pass for petrol, pass for supermarket and where you go I don't know. ","Μητσοτάκη.  Ζούμε λοιπόν αυτή τη σκληρή πραγματικότητα, με την ταπείνωση της μεσαίας τάξης που της υποσχέθηκαν καλύτερες μέρες και έφτασε να ζει με κουπόνια. Κουπόνια για να πληρώσει το ρεύμα, pass τα λένε τώρα, δεν τα λένε κουπόνια. Pass για το ρεύμα, pass για τη βενζίνη, pass για το σούπερ μάρκετ και πού πας δεν ξέρω.",other,other,cost of living,,,,0.5,0.1,0.25,0.1,0.8,,0.0,[],[]
