id,text,text_el,topic,topic-context,subtopic,subtopic-context,topic-open,sentiment,polarization,polarization-definition,toxicity,toxicity-definition,populism,populism-definition,hate speech,ner,ner-limited
1,"Hello! Thank you very much for your presence and for your welcome here in beautiful Kos, in democratic Kos, in the democratic Dodecanese.","Γεια σας! Σας ευχαριστώ θερμά για την παρουσία σας και για την υποδοχή σας, εδώ στην όμορφη Κω, στη δημοκρατική Κω, στα δημοκρατικά Δωδεκάνησα.",,democracy,,other,,0.6,,0.0,,,,0.0,,[],"[['kos', 'location', '1.0'], ['dodecanese', 'location', '1.0'], ['democratic party', 'political party', '1.0.']]"
2,"It is a great pleasure to be here among you tonight. And today I believe that all of us are present and present in a great invitation, a democratic invitation. A democratic call for the change that will come with the vote of the Greek people on 21 May.","Είναι μεγάλη η χαρά μου να βρίσκομαι απόψε εδώ, ανάμεσά σας. Και σήμερα πιστεύω ότι όλες και όλοι είμαστε εδώ παρόντες και παρούσες σ’ ένα μεγάλο προσκλητήριο, δημοκρατικό προσκλητήριο. Το δημοκρατικό προσκλητήριο για την αλλαγή που θα έρθει με την ψήφο του ελληνικού λαού στις 21 του Μάη.",,elections,,election spending,,0.75,,0.0,,,,0.0,,[],"[['greek people', 'group of people', '1.0'], ['21 may', 'date', '1.0']]"
3,"I am very happy and excited to be here in Kos, in the Dodecanese. I know, and you know, that this invitation today, this democratic invitation, this very nice gathering, is missing a piece of our heart, a man, a great comrade who loved his country, who served his principles and ideas with vigour and dedication for his whole life: Nektarios Santorinios, whom we lost recently, and who, as Minister of Island Policy, did very important things for the Dodecanese and all the islands.","Είμαι πολύ χαρούμενος αλλά και συγκινημένος που είμαι εδώ στην Κω, στα Δωδεκάνησα. Ξέρω και ξέρετε κι εσείς ότι απ’ αυτό το προσκλητήριο το σημερινό, το δημοκρατικό, απ’ αυτή την πολύ ωραία συγκέντρωσή μας, λείπει ένα κομμάτι από την καρδιά μας, ένας άνθρωπος, ένας σπουδαίος σύντροφος που αγάπησε τον τόπο του, υπηρέτησε με σθένος και αφοσίωση τις αρχές και τις ιδέες του για ολόκληρη τη ζωή του: Ο Νεκτάριος Σαντορινιός, που τον χάσαμε πρόσφατα, και που ως υπουργός Νησιωτικής Πολιτική, έκανε πολύ σημαντικά πράγματα για τα Δωδεκάνησα και όλα τα νησιά.",,other,,other,,0.7,,0.0,,,,0.0,,[],"[['kos', 'location', '0.8'], ['dodecanese', 'location', '0.8'], ['nektarios santorinios', 'person', '0.8'], ['minister of island policy', 'political party', '0.5']]"
4,"So the struggle that we will give for the Dodecanese and for the whole country will be his struggle as well. And I want to begin my speech by announcing that in his memory and in his honour, I will be a candidate in the Dodecanese, trying to fill this very large gap, but also trying to honour a place that has always been a pioneer in the democratic struggles of our people.","Ο αγώνας που θα δώσουμε λοιπόν για τα Δωδεκάνησα αλλά και για τη χώρα ολόκληρη, θα είναι και δικός του αγώνας. Και θέλω, ξεκινώντας την ομιλία μου, να σας ανακοινώσω ότι στη μνήμη του και προς τιμήν του, θα είμαι εγώ υποψήφιος στα Δωδεκάνησα, προσπαθώντας να αναπληρώσω αυτό το πολύ μεγάλο κενό, αλλά προσπαθώντας και να τιμήσω έναν τόπο που ήταν πάντοτε πρωτοπόρος στους δημοκρατικούς αγώνες του λαού μας.",,elections,,other,,0.0,,0.0,,,,0.0,,[],"[['dodecanese', 'location', '1.0'], ['country', 'location', '1.0'], ['pioneer', 'group of people', '1.0']]"
5,"Nektarios, whom we lost so unjustly, had an important vision. An important vision that we put into practice, but today the government of the New Democracy is devaluing it. The transport equivalent for the islands and our islanders, who we do not want to be second-class citizens.","Ο Νεκτάριος λοιπόν, που χάσαμε τόσο άδικα, είχε ένα όραμα σημαντικό. Ένα όραμα σημαντικό που το κάναμε πράξη, αλλά σήμερα το απαξιώνει η κυβέρνηση της Νέας Δημοκρατίας. Το μεταφορικό ισοδύναμο για τα νησιά και τους νησιώτες μας, που δεν θέλουμε να είναι πολίτες β’ κατηγορίας.",,infrastructure,,other,,,,0.0,,,,0.0,,[],"[['nektarios', 'person', '0.9'], ['new democracy', 'political party', '0.8'], ['islands', 'location', '0.7']]"
6,"This measure, a breath of fresh air for the island country, has been left exposed with delays in payments and an uncertain future by the current government. Delays in payments to beneficiaries starting from 8 months and very often exceeding a year. In practice, these delays mine the smooth operation of the transport equivalence scheme, with the unstated political aim of devaluing it, devaluing a measure that has been embraced by islanders from the very first moment, precisely because it responds to their real needs. These delays do not even allow for a proper evaluation of this innovative, radical reform. In any case, to give you a measure of comparison, the 156 million per year that Syriza had budgeted for its implementation in 2019 alone is almost the same as the total amount that the New Democracy government claims to have spent over four years. What we budgeted for the first year, they will have spent for four full years. To give you a measure of comparison, how they are trying to discredit this measure.","Αυτό το μέτρο, μέτρο πνοής για τη νησιωτική χώρα, έχει αφήσει έκθετο με καθυστερήσεις στις πληρωμές και με άδηλο μέλλον η σημερινή κυβέρνηση. Καθυστερήσεις στις πληρωμές των δικαιούχων που ξεκινούν από 8 μήνες και πολύ συχνά ξεπερνούν τον ένα χρόνο. Στην πράξη, οι καθυστερήσεις αυτές ναρκοθετούν την ομαλή λειτουργία του μεταφορικού ισοδύναμου, με ανομολόγητο πολιτικό σκοπό την απαξίωσή του, την απαξίωση ενός μέτρου που έχουν αγκαλιάσει από την πρώτη στιγμή οι νησιώτες, ακριβώς διότι απαντά στις πραγματικές τους ανάγκες. Οι καθυστερήσεις αυτές δεν επιτρέπουν καν την ορθή αξιολόγηση αυτής της καινοτόμου, ριζοσπαστικής μεταρρύθμισης. Σε κάθε περίπτωση, για να έχετε ένα μέτρο σύγκρισης, το ποσό των 156 εκατομμυρίων κατ’ έτος που είχε προϋπολογίσει ο ΣΥΡΙΖΑ για την εφαρμογή του, μόνο το έτος 2019, είναι σχεδόν το ίδιο με το συνολικό ποσό που ισχυρίζεται ότι θα έχει δαπανήσει η κυβέρνηση της Νέας Δημοκρατίας, τέσσερα ολόκληρα χρόνια. Όσα προϋπολογίσαμε εμείς για τον πρώτο χρόνο, αυτοί θα έχουν δώσει για τέσσερα ολόκληρα χρόνια. Για να έχετε ένα μέτρο σύγκρισης, πώς προσπαθούν να απαξιώσουν αυτό το μέτρο.",,economy,,other,,-0.75,,0.1,,,,0.2,,[],"[['syriza', 'organization', '1.0'], ['new democracy', 'political party', '1.0'], ['islanders', 'group of people', '0.7'], ['the island country', 'country', '0.9'], ['transport equivalence scheme', 'organization', '0.7'], ['2019', 'date', '1.0']]"
7,"So we, in the vision and memory of Nektarios, will put it back into practice. And we will put it into practice. And we will put into practice another of his visions that he himself did not have time to complete: after the transport equivalent, we will bring the health equivalent. This is a targeted package of interventions to combat health inequality between the island region and the centre. This package includes:","Εμείς λοιπόν στο όραμα και στη μνήμη του Νεκτάριου, θα το θέσουμε ξανά σε εφαρμογή. Και θα το κάνουμε πράξη. Και θα κάνουμε πράξη κι ένα άλλο όραμά του που δεν πρόλαβε να ολοκληρώσει ο ίδιος: Μετά το μεταφορικό ισοδύναμο, θα φέρουμε και το υγειονομικό ισοδύναμο. Πρόκειται για μια στοχευμένη δέσμη παρεμβάσεων για την καταπολέμηση της υγειονομικής ανισότητας μεταξύ της νησιωτικής Περιφέρειας και του κέντρου. Στη δέσμη αυτή συμπεριλαμβάνονται:",,other,,public health system,,0.5,,0.0,,,,0.0,,[],"[['nektarios', 'person', '0.9'], ['island region', 'location', '0.8'], ['centre', 'location', '0.8']]"
8,"Firstly, the priority development of strong public health structures and services on the islands, with upgrading the salary scale of health personnel, with the tenure of health workers in service, with permanent recruitment, with the implementation of a special framework of incentives (salary, housing, tax and administrative) for the staffing and retention of NHS personnel in island regions.","Πρώτον, η κατά προτεραιότητα ανάπτυξη ισχυρών δημόσιων δομών και υπηρεσιών υγείας στα νησιά, με αναβάθμιση του μισθολογίου του υγειονομικού προσωπικού, με μονιμοποίηση των υγειονομικών που υπηρετούν, με μόνιμες προσλήψεις, με εφαρμογή ειδικού πλαισίου κινήτρων (μισθολογικών, στεγαστικών, φορολογικών και διοικητικών) για τη στελέχωση και παραμονή των ανθρώπων του ΕΣΥ στις νησιωτικές περιοχές.",,health,,public health system,,0.6,,0.0,,,,0.0,,[],"[['nhs personnel', 'organization', '0.6'], ['islands', 'location', '0.5']]"
9,"Secondly, the use of even the private sector not contracted with EOPYY in island regions, when the public sector is unable to meet the need, by directly compensating citizens for the services they use, with the main criterion being to relieve them of additional health costs.","Δεύτερον, η αξιοποίηση ακόμη και του μη συμβεβλημένου με τον ΕΟΠΥΥ ιδιωτικού τομέα στις νησιωτικές περιοχές, όταν ο δημόσιος τομέας αδυνατεί να καλύψει την ανάγκη, με απευθείας αποζημίωση των πολιτών για τις υπηρεσίες που χρησιμοποιούν, έχοντας ως βασικό κριτήριο την ελάφρυνσή τους από πρόσθετες δαπάνες υγείας.",,health,,public health system,,0.0,,0.0,,,,0.0,,[],"[['eopyy', 'organization', '1.0'], ['island regions', 'location', '1.0']]"
10,"Thirdly, the full guarantee by the state of the access of islanders to the required health services outside their place of residence, if the necessary services are not provided either by the NHS or by the private sector in an island region. The full assumption of responsibility includes covering the relevant costs of travel and accommodation in the most complete part, whether island or central Greece, which has structures, health units and hospitals.","Τρίτον, η πλήρης εγγύηση από την πολιτεία της πρόσβασης των νησιωτών στις απαιτούμενες υπηρεσίες υγείας εκτός τόπου κατοικίας τους, εφόσον οι αναγκαίες υπηρεσίες δεν παρέχονται ούτε από το ΕΣΥ, ούτε από τον ιδιωτικό τομέα σε μία νησιωτική περιοχή. Η πλήρης ανάληψη της ευθύνης περιλαμβάνει την κάλυψη της σχετικής δαπάνης μετακίνησης και διαμονής στο πληρέστερο μέρος, είτε νησιωτικό, είτε της Κεντρικής Ελλάδας που έχει δομές, μονάδες Υγείας και Νοσοκομεία.",,health,,other,,0.6,,0.0,,,,0.0,,[],"[['nhs', 'organization', '0.6'], ['greece', 'country', '0.7']]"
