id,text,text_el,topic,topic-context,subtopic,subtopic-context,topic-open,sentiment,polarization,polarization-definition,toxicity,toxicity-definition,populism,populism-definition,hate speech,ner,ner-limited
1,"Citizens of Chania, thank you for this warm, warm welcome. I think that our gathering today gives a very important message, a strong message of victory and change, here, from Chania, from Crete, which has always been a pioneer in democratic struggles.","Πολίτες των Χανίων, σας ευχαριστώ γι' αυτή τη ζεστή, τη θερμή υποδοχή. Η σημερινή μας συγκέντρωση νομίζω ότι δίνει ένα πολύ σημαντικό μήνυμα, ένα ισχυρό μήνυμα νίκης και αλλαγής, εδώ, από τα Χανιά, από την Κρήτη που ήταν πάντοτε πρωτοπόρος στους δημοκρατικούς αγώνες.",,democracy,,other,,0.8,,0.0,,,,0.0,,[],"[['chania', 'location', '0.95'], ['crete', 'location', '0.85']]"
2,"I want to begin my speech here today in front of you by recalling an old rhizitiko, the most characteristic of your land, which we always sing at all great struggles. Why should I remember it? Because I think it is what millions of our fellow citizens all over Greece are asking themselves: ""When will it ever be clear!"" So I bring you a message, because I am in almost all corners of our country these days and I meet citizens, regardless of what they voted for, and they come to me and say, ""That's it! It is time for things to change!"" I bring you the message that on 21 May it will be a new dawn in our country. And the next day will be a new day for democracy, for justice, for our country. The dawn of change is coming, and I think your gathering today is proof of that. It is a message that today's gathering is a message. And it is a message because it can be directly compared to previous rallies that have taken place in this place and we don't have the stage effects. We are more in the squares, we are more in the streets, we will be more at the polls.","Θέλω ξεκινώντας σήμερα την ομιλία μου εδώ απέναντί σας να θυμηθώ ένα παλιό ριζίτικο, το πιο χαρακτηριστικό του τόπου σας, που το τραγουδάμε πάντοτε σε όλους τους μεγάλους αγώνες. Γιατί να το θυμηθώ; Γιατί θαρρώ πως είναι αυτό που αναρωτιούνται εκατομμύρια συμπολίτες μας σε όλη την Ελλάδα: «Πότε θα κάνει ξαστεριά!» Σας φέρνω λοιπόν ένα μήνυμα, γιατί βρίσκομαι τούτες τις μέρες σε όλες σχεδόν τις γωνιές της χώρας μας και συναντώ πολίτες, ανεξάρτητα από το τι ψήφισαν, και έρχονται και μου λένε: «Ως εδώ! Ήρθε η ώρα να αλλάξουν τα πράγματα»! Σας φέρνω το μήνυμα, στις 21 του Μάη θα κάνει ξαστεριά στον τόπο μας. Και την επομένη θα ξημερώσει μια νέα μέρα για τη δημοκρατία, για τη δικαιοσύνη, για την πατρίδα μας. Έρχεται η ξαστεριά της αλλαγής και η σημερινή σας συγκέντρωση νομίζω ότι το πιστοποιεί αυτό. Είναι ένα μήνυμα η σημερινή συγκέντρωση. Και είναι ένα μήνυμα, γιατί μπορεί να συγκριθεί άμεσα με προηγούμενες συγκεντρώσεις που έγιναν σε αυτόν εδώ τον τόπο κι εμείς δεν έχουμε τα εφέ τα σκηνοθετικά. Είμαστε περισσότεροι στις πλατείες,είμαστε περισσότεροι στους δρόμους, θα είμαστε περισσότεροι και στις κάλπες.",,elections,,election spending,,0.6,,0.0,,,,0.5,,[],"[['rhizitiko', 'person', '0.3'], ['greece', 'country', '1.0'], ['21 may', 'date', '1.0'], ['dawn', 'person', '0.5'], ['democracy', 'organization', '1.0'], ['justice', 'organization', '1.0'], ['previous rallies', 'group of people', '0.7'], ['squares', 'location', '0.8'], ['streets', 'location', '0.8'], ['polls', 'organization', '0.5']]"
3,"Chanians,Every time I am in your city, every time I visit your place, every time I visit Crete, I feel great joy and emotion. Because Crete is in the body and blood of our history, in Crete one feels the timelessness of freedom. ""When you fight for freedom, you are already better"", wrote Nikos Kazantzakis. These are our roots. From Therissos to the National Resistance, the democratic struggles, the anti-dictatorial struggle, the great fronts of change, the persons, parties, struggles and conquests of the democratic party are all traced by a red line. The line of freedom, democracy and justice. This line runs through the entire Greek society today. And this line also runs through the vision, the program, the policies of SYRIZA - Progressive Alliance, the great force for change in our days.","Χανιώτες και Χανιώτισσες,Κάθε φορά που βρίσκομαι στην πόλη σας στον τόπο σας, κάθε φορά που επισκέπτομαι την Κρήτη αισθάνομαι μεγάλη χαρά και συγκίνηση. Γιατί η Κρήτη είναι μέσα στο σώμα και στο αίμα της ιστορίας μας,στην Κρήτη αισθάνεται κανείς τη διαχρονικότητα της ελευθερίας. «Όταν πολεμάς για λευτεριά, είσαι κιόλας λεύτερος», έγραψε ο Νίκος Καζαντζάκης. Αυτές είναι οι ρίζες μας. Από τον Θέρισο μέχρι την Εθνική Αντίσταση, τους δημοκρατικούς αγώνες, την αντιδικτατορική πάλη, τα μεγάλα μέτωπα της αλλαγής, πρόσωπα, κόμματα, αγώνες και κατακτήσεις της δημοκρατικής Παράταξης διατρέχονται από μια κόκκινη γραμμή. Τη γραμμή της ελευθερίας, της δημοκρατίας και της δικαιοσύνης. Αυτή η γραμμή διατρέχει σήμερα ολόκληρη την ελληνική κοινωνία. Και αυτή η γραμμή διατρέχει και το όραμα, το πρόγραμμα, τις πολιτικές, του ΣΥΡΙΖΑ - Προοδευτική Συμμαχία, της μεγάλης δύναμης της αλλαγής στις μέρες μας.",,other,,other,,0.4,,0.0,,,,0.0,,[],"[['chanians', 'group of people', '1.0'], ['crete', 'location', '1.0'], ['nikos kazantzakis', 'person', '1.0'], ['therissos', 'location', '1.0'], ['national resistance', 'organization', '0.8'], ['democratic party', 'political party', '1.0'], ['greek society', 'country', '1.0'], ['syriza - progressive alliance', 'political party', '1.0']]"
4,"Today, when our country is at a critical crossroads, we are called upon to respond to the great dilemmas that lie ahead of us: Will we live another four years under this cruel, as it turned out, Mitsotakis regime? Another four years under the worst right-wing of the post-revolution? Are we going to live another four years of offspring, offspring, nephews, courtiers and cronies, sharing and sharing the clothes of our people? Another four years when the state, electricity, electricity, health, education, even water, the breath at the end of society, will be owned or given away to the elite of privilege, speculation or the blue party? Or will we give our country a chance? A chance for change, progress, honesty, fair and effective government, democracy and justice? A chance, I would say, to dignity! These are the great dilemmas we face in the run-up to the crucial election on 21 May. And it is to these dilemmas that the Greek people are called upon to respond. Justice everywhere, or privileges for the few? Democracy or family rule? Change or Mitsotakis? These are the dilemmas that every citizen will face at the ballot box on May 21.","Καλούμαστε σήμερα, που η χώρα μας βρίσκεται σε ένα κρίσιμο σταυροδρόμι, να απαντήσουμε στα μεγάλα διλήμματα που έχουμε μπροστά μας: Θα ζήσουμε άλλα τέσσερα χρόνια κάτω από αυτό το σκληρό, όπως αποδείχθηκε, καθεστώς Μητσοτάκη; Άλλα τέσσερα χρόνια με τη χειρότερη Δεξιά της μεταπολίτευσης; Θα ζήσουμε άλλα τέσσερα χρόνια γόνων, επιγόνων, ανιψιών, αυλικών και κολλητών, που μοιράζουν και μοιράζονται τα ιμάτια του λαού μας; Άλλα τέσσερα χρόνια που το κράτος, το ρεύμα, η υγεία, η παιδεία, ακόμα και το νερό, η ανάσα στο τέλος τέλος της κοινωνίας, θα ανήκουν ή θα χαρίζονται στην ελίτ των προνομίων, της κερδοσκοπίας ή του γαλάζιου κόμματος; Ή θα δώσουμε μια ευκαιρία στον τόπο μας; Μια ευκαιρία στην αλλαγή, στην πρόοδο, στην εντιμότητα, στο δίκαιο και αποτελεσματικό κράτος, στη δημοκρατία και στη δικαιοσύνη; Μια ευκαιρία, θα έλεγα εγώ, στην αξιοπρέπεια! Αυτά είναι τα μεγάλα διλήμματα που έχουμε μπροστά μας ενόψει της κρίσιμης εκλογικής αναμέτρησης στις 21 του Μάη. Και σε αυτά τα διλήμματα καλείται να απαντήσει ο ελληνικός λαός. Δικαιοσύνη παντού, ή προνόμια για λίγους; Δημοκρατία ή οικογενειοκρατία; Αλλαγή ή Μητσοτάκης; Αυτά είναι τα διλήμματα στα οποία θα βρεθεί μπροστά ο κάθε πολίτης στην κάλπη της 21ης του Μάη.",,other,,other,,-0.6,,0.8,,,,0.8,,[],"[['mitsotakis', 'person', '0.8'], ['right-wing', 'group of people', '0.6'], ['state', 'organization', '0.5'], ['electricity', 'organization', '0.5'], ['health', 'organization', '0.5'], ['education', 'organization', '0.5'], ['water', 'organization', '0.5'], ['society', 'location', '0.5'], ['elite', 'group of people', '0.6'], ['blue party', 'political party', '0.6'], ['greek people', 'group of people', '0.75'], ['justice', 'political party', '0.5'], ['democracy', 'political party', '0.5'], ['mitsotakis', 'person', '0.8'], ['citizen', 'group of people', '0.6'], ['may 21', 'date', '0.9']]"
5,"And let me try to describe these dilemmas in pictures. On election Sunday night, who will be celebrating? Mr Mitsotakis? The firemen, the barons of the interconnection, the funds and the crows that grab people's houses, the patsis and the oligarchs of the corrupt elite, or will ordinary citizens, regardless of whether they are Left, Centre or Right, be celebrating? The citizens who want to take a deep breath, those who see their lives crushed between unaffordable prices, humiliating wages, between fears and foreclosures. The workers of poverty, the young people looking for a future of creation, the middle class that was promised palaces in 19 and has been reduced to living on vouchers today. It is to these dilemmas, to these big 'yes' and big 'no' that citizens will be called upon to answer in less than a month. And it is not words that will convince them of one or the other. It is the deeds. First of all, the deeds of the Mitsotakis administration over these four years.","Και επιτρέψτε μου να προσπαθήσω να σας περιγράψω με εικόνες αυτά τα διλήμματα. Τη νύχτα της Κυριακής των εκλογών ποιος θα πανηγυρίζει; Ο κ. Μητσοτάκης; Τα τζάκια, οι βαρόνοι της διαπλοκής, τα funds και τα κοράκια που αρπάζουν σπίτια των ανθρώπων, οι Πάτσηδες και οι ολιγάρχες της διεφθαρμένης ελίτ ή θα πανηγυρίζουν οι απλοί πολίτες, ανεξάρτητα από το αν είναι Αριστεροί, Κεντρώοι ή Δεξιοί; Οι πολίτες που θέλουν να πάρουν μια βαθιά ανάσα, εκείνοι που βλέπουν τη ζωή τους να συνθλίβεται ανάμεσα σε απλησίαστες τιμές, εξευτελιστικούς μισθούς, ανάμεσα σε φοβέρες και πλειστηριασμούς. Οι εργαζόμενοι της ανέχειας, οι νέοι που αναζητούν ένα μέλλον δημιουργίας, η μεσαία τάξη που της έταξαν το ’19 παλάτια και την έχουν καταντήσει σήμερα να ζει με κουπόνια. Σε αυτά τα διλήμματα, σε αυτά τα μεγάλα «ναι» και τα μεγάλα «όχι» θα κληθούν οι πολίτες να απαντήσουν σε λιγότερο από έναν μήνα. Και δεν είναι τα λόγια που θα τους πείσουν για το ένα ή το άλλο. Είναι τα έργα. Πρώτα πρώτα τα έργα της διακυβέρνησης Μητσοτάκη τα τέσσερα αυτά χρόνια. ",,elections,,austerity,,-0.4,,0.2,,,,0.5,,[],"[['mr mitsotakis', 'person', '0.9'], ['firemen', 'group of people', '0.5'], ['barons of the interconnection', 'organization', '0.7'], ['funds', 'organization', '0.6'], ['crows', 'group of people', '0.3'], ['patsis', 'group of people', '0.3'], ['oligarchs', 'group of people', '0.7'], ['left', 'political party', '0.5'], ['centre', 'political party', '0.6'], ['right', 'political party', '0.5'], ['citizens', 'group of people', '0.9'], ['workers', 'group of people', '0.6'], ['young people', 'group of people', '0.7'], ['middle class', 'group of people', '0.8'], ['mitsotakis administration', 'organization', '0.7'], ['four years', 'date', '0.9']]"
6,"So let's see, quietly and simply, without slogans, without election crowns, what these projects were. And let us also see the distance that separates their deeds from their words. They talked, remember, in 19 about many well-paid jobs and finally imposed a labour jungle regime: with the abolition of the eight-hour working day, with unpaid overtime, with the dismantling of the Labour Inspectorate, with tolerance for the black labour that has flooded the labour landscape and, of course, with the scourge of unemployment open, especially for young people.","Ας δούμε λοιπόν ήσυχα κι απλά, χωρίς συνθήματα, χωρίς προεκλογικές κορώνες, ποια ήταν αυτά τα έργα. Και να δούμε και την απόσταση που χωρίζει τα έργα τους από τα λόγια τους. Έλεγαν, θυμάστε, το ’19 για πολλές και καλοπληρωμένες δουλειές και επέβαλαν τελικά ένα καθεστώς εργασιακής ζούγκλας: με κατάργηση του οχτάωρου, με απλήρωτες υπερωρίες, με διάλυση του Σώματος Επιθεώρησης Εργασίας, με ανοχή στη μαύρη εργασία που έχει πλημμυρίσει το εργασιακό τοπίο και βεβαίως με ανοιχτή την πληγή της ανεργίας, ιδιαίτερα για τους νέους ανθρώπους. ",,employment,,employment,,,,0.1,,,,0.2,,[],[]
7,"They were then talking about a staff state. And eventually the state became private, discriminatory, unfair, inefficient, ineffective, even dangerous to people's lives. The tragic accident in Tempe showed us in the worst way the chaos between what they said and what they did not do about the state.","Έλεγαν τότε για επιτελικό κράτος. Και τελικά το κράτος έγινε ιδιωτικό, μεροληπτικό, άδικο, αναποτελεσματικό, ακόμα και επικίνδυνο για τη ζωή των ανθρώπων. Το τραγικό δυστύχημα στα Τέμπη μας έδειξε με τον χειρότερο τρόπο το χάος ανάμεσα σε όσα έλεγαν και σε όσα δεν έκαναν για το κράτος. ",,accountability,,other,,-0.8,,0.0,,,,0.0,,[],"[['tempe', 'location', '0.8']]"
8,"And alongside this state, with the Prime Minister's own building, the Maximou building, at its centre, the web of a dark parastate was created, with Predator and the surveillance of journalists, ministers, opponents of the government, even the leadership of the Armed Forces, an incredible abuse of any concept of the rule of law. And all this has been covered for months by the veil of supposed secrecy. And the judiciary is not concerned, and Mr Mitsotakis, who had this mechanism of the parastatal set up in his office, not only did not do what a prime minister would do in any other European country, not only did he not resign, not only did he not even feel the need to apologise, but he is also giving us lessons in democracy today.","Και πλάι σε αυτό το κράτος, με κέντρο το ίδιο το πρωθυπουργικό κτίριο, το Μέγαρο Μαξίμου, εξυφάνθηκε ο ιστός ενός σκοτεινού παρακράτους, με τα Predator και την παρακολούθηση δημοσιογράφων, υπουργών, αντιπάλων της κυβέρνησης, ακόμα και της ηγεσίας των Ενόπλων Δυνάμεων, μια απίστευτη κακοποίηση κάθε έννοιας κράτους δικαίου. Και όλα αυτά τα έχει σκεπάσει για μήνες το πέπλο του δήθεν απόρρητου. Και η Δικαιοσύνη δεν ασχολείται και ο κ. Μητσοτάκης, που στο γραφείο του στήθηκε αυτός ο μηχανισμός του παρακράτους, όχι μόνο δεν έπραξε αυτό που θα έπραττε πρωθυπουργός σε οποιαδήποτε άλλη ευρωπαϊκή χώρα, όχι μόνο δηλαδή δεν παραιτήθηκε, όχι μόνο δεν αισθάνθηκε καν την ανάγκη να απολογηθεί, αλλά μας κάνει σήμερα και μαθήματα δημοκρατίας. ",,other,,judicial independence,,-0.8,,0.7,,,,0.2,,[],"[['prime minister', 'person', '1.0'], ['maximou building', 'location', '1.0'], ['predator', 'organization', '1.0'], ['armed forces', 'organization', '1.0'], ['mr mitsotakis', 'person', '1.0'], ['european country', 'location', '0.5'], ['democracy', 'political party', '0.2']]"
9,"What did he tell us a few days ago? He says that simple proportional representation is a trap of Syriza, it does not harm New Democracy, it harms democracy. That's what he said. The man who is accused of having tapped hundreds of telephones, half the political system, is now talking about traps for democracy, the man who destroyed every concept of the rule of law, every concept of democratic legitimacy, who handed democracy over to the bugs, now appears to be protecting it, but from what? From the most honest, the purest electoral system: the simple proportional representation. In other words, from the equality of the vote of every citizen. If this is not extreme regime logic, an extreme hypocrisy, then words have lost their meaning.  ","Τι μας είπε πριν από λίγες μέρες; Η απλή αναλογική, λέει, είναι παγίδα του ΣΥΡΙΖΑ, δεν βλάπτει τη Νέα Δημοκρατία, βλάπτει τη δημοκρατία. Έτσι το είπε. Ο άνθρωπος που βαρύνεται με την κατηγορία ότι παγίδευσε εκατοντάδες τηλέφωνα, το μισό πολιτικό σύστημα, τώρα μιλάει για παγίδες στη δημοκρατία.Ο άνθρωπος που καταρράκωσε κάθε έννοια κράτους δικαίου, κάθε έννοια δημοκρατικής νομιμότητας, που παρέδωσε τη δημοκρατία στους κοριούς, τώρα εμφανίζεται να την προστατεύει τάχα, αλλά από τι; Από το πιο τίμιο, το πιο καθαρό εκλογικό σύστημα: την απλή αναλογική. Δηλαδή από την ισοτιμία της ψήφου κάθε πολίτη. Αν αυτό δεν είναι ακραία καθεστωτική λογική, μια ακραία υποκρισία, τότε οι λέξεις έχουν χάσει το νόημά τους.  ",,democracy,,other,,-0.9,,0.8,,,,0.9,,[],"[['syriza', 'political party', '0.8'], ['new democracy', 'political party', '0.8'], ['democracy', 'organization', '0.5'], ['the man', 'person', '0.9'], ['the political system', 'group of people', '0.8'], ['the bugs', 'group of people', '0.5'], ['equality', 'organization', '0.5'], ['every citizen', 'group of people', '0.5']]"
10,"They were also talking in '19 about growth and the recovery of the economy. They took over from the SYRIZA government the economy out of the memoranda of bankruptcy that they put us under and into the markets, with a regulated debt, with twelve quarters of growth, with 37 billion in the public coffers, while we found them empty. That is what we have achieved, at a cost, at sacrifice, at struggle. With mistakes? Yes, and with mistakes. But with society on its feet and with the crystal-clear honesty with which we managed the positions of responsibility. And what did those four years, the excellent ones, supposedly? We handed them a public debt of 340 billion euros and it has reached 400 billion euros. They increased the private debt by more than 40 billion euros, they increased the current account deficit tenfold. They spent, they say, over 55 billion to prop up the economy in the time of the pandemic. Watch out: Instead of having the obligation to raise money for the public coffers, they had the discretion to spend.","Έλεγαν επίσης το ’19 για ανάπτυξη και για ανάταξη της οικονομίας. Παρέλαβαν από την κυβέρνηση του ΣΥΡΙΖΑ τότε την οικονομία έξω από τα μνημόνια της χρεοκοπίας στα οποία αυτοί μας έβαλαν και μέσα στις αγορές, με ρυθμισμένο χρέος, με δώδεκα τρίμηνα ανάπτυξης, με 37 δισεκατομμύρια στα δημόσια ταμεία ενώ εμείς τα βρήκαμε άδεια. Αυτά καταφέραμε εμείς, με κόστος, θυσίες, αγώνες. Με λάθη; Ναι, και με λάθη. Αλλά με την κοινωνία όρθια και με κρυστάλλινη εντιμότητα με την οποία διαχειριστήκαμε τις θέσεις ευθύνης. Και τι κατάφεραν αυτοί τέσσερα χρόνια, οι άριστοι, υποτίθεται; Τους παραδώσαμε ένα δημόσιο χρέος στα 340 δισ. ευρώ και έχει φτάσει στα 400 δισ. ευρώ. Αύξησαν το ιδιωτικό χρέος πάνω από 40 δισ. ευρώ, το έλλειμμα τρεχουσών συναλλαγών το αύξησαν δέκα φορές. Ξόδεψαν, λένε, πάνω από 55 δισ. για να στηρίξουν την οικονομία τον καιρό της πανδημίας. Προσέξτε: Αντί αυτοί να έχουν την υποχρέωση να μαζέψουν λεφτά στα δημόσια ταμεία, είχαν την ευχέρεια να ξοδέψουν.",,other,,,,0.2,,0.0,,,,0.0,,[],"[['syriza', 'organization', '0.9'], ['19', 'date', '0.5'], ['greece', 'country', '0.7'], ['syriza government', 'organization', '0.9'], ['markets', 'location', '0.5'], ['public coffers', 'organization', '0.7'], ['society', 'group of people', '0.5'], ['public debt', 'organization', '0.7'], ['private debt', 'organization', '0.7'], ['current account deficit', 'organization', '0.7'], ['pandemic', 'group of people', '0.5']]"
