id,text,text_el,topic,subtopic,topic-open,sentiment,polarization,polarization-definition,toxicity,toxicity-definition,populism,populism-definition,hate speech,ner
1,"I begin with the deepest condolences on behalf of the entire Mera 25.  To families.  The friends.  The societies, the communities.  To all of us.  For losing so many people.  We Mera 25 ladies and gentlemen do not need any committee whatsoever to tell us what was wrong.  Our deputies.  Crito Arsenis and Kleon Gregoriadis.  They presented the conclusion of what was to blame before the tragedy happened 21/03/2022 from this podium.  Crito Arsenis. ","Ξεκινώ με τα βαθιά συλλυπητήρια εκ μέρους όλου του Mέρα 25  Στις οικογένειες  Τους φίλους  Τις κοινωνίες, τις κοινότητες  Σε όλους μας  Που χάσαμε τόσους ανθρώπους  Εμείς το Mέρα 25 κυρίες και κύριοι συνάδελφοι δεν χρειαζόμαστε καμία απολύτως επιτροπή να μας πει τι έφταιξε  Οι βουλευτές μας  Κρίτων Αρσένης και Κλέων Γρηγοριάδης  Παρουσίασαν το πόρισμα του τι έφταιξε πριν συμβεί η τραγωδία 21/03/2022 από αυτό το βήμα  Κρίτων Αρσένης",,pandemic,condolences,0.0,0.2,0.3,0.2,0.5,0.1,0.0,0.0,"[['mera 25', 'org', '1.0'], ['crito arsenis', 'per', '1.0'], ['kleon gregoriadis', 'per', '1.0']]"
2," He invited you.  He pleaded, he used the words, I ask you to protect our rail workers and passengers.  3 months later Cleon Gregoriadis.  From the minutes of the House of Representatives, he said the following, a delegation from Mera 25 visited the Stasi depot in Sepolia.  I know this because I was in that echelon.  There you know what we learned that 30 workers are responsible for the entire line 2 Anthoupolis Greek and line 3 from Nice to Dukissis Plakentias.  Out of 64 workers there were 30 left.  Not only are they understaffed, but they are missing and tools which break down are not replaced.  And working maintenance workers are forced to make patents.  These people, the thief continued, in violation of all labor laws have been working 7 days in a row, they have only 2 light maintenance vehicles left now and these have been decommissioned.  Sooner or later this galley will have an accident and then.  As with the finding for the foreman Petros Yamalis who was killed by such a locomotiva and has not been released yet 7 months now these were said by Kleonas on 21/06/2022.  The conclusion that will come out will say that this poor 30 is to blame for killing the travelling public.  That's what you always do. "," Σας καλούσε  Εκλιπαρούσε, χρησιμοποίησε τα λόγια, σας ζητώ να προστατεύσετε τους εργαζόμενους και τους επιβάτες των σιδηροδρόμων μας  3 μήνες μετά ο κλέων Γρηγοριάδης  Από τα πρακτικά της Βουλής είπε τα εξής, κλιμάκιο του Mέρα 25 επισκέφθηκε το αμαξοστάσιο της Στασυ στα σεπόλια  Το γνωρίζω γιατί ήμουνα και εγώ σε αυτό το κλιμάκιο  Εκεί ξέρετε τι μάθαμε ότι 30 εργαζόμενοι είναι υπεύθυνοι για ολόκληρη τη γραμμή 2 ανθούπολη ελληνικό και τη γραμμή 3 από τη Νίκαια μέχρι τη δουκίσσης Πλακεντίας  Από 64 που ήταν οι εργαζόμενοι έμειναν 30  Όχι μόνο είναι υποστελεχωμένη, αλλά τους λείπουν και εργαλεία οποίο χαλάσει δεν αντικαθίσταται  Και οι εργαζόμενοι συντηρητές αναγκάζονται να φτιάξουν πατέντες  Οι άνθρωποι αυτοί, συνέχισε ο κλέωνας, κατά παράβαση κάθε εργατικής νομοθεσίας εργάζονται 7 συνεχόμενες μέρες, τους έχουν μείνει μόνο 2 οχήματα ελαφράς συντήρησης τώρα και αυτά παροπλίστηκαν  Αργά ή γρήγορα αυτός ο μεσαίωνας αυτή η γαλέρα θα έχει αντίκτυπο σε ατύχημα και τότε  Όπως με το πόρισμα για τον Εργοδηγό Πέτρο Γιάμαλη που σκοτώθηκε από μια τέτοια λοκομοτίβα και δεν έχει βγει ακόμα 7 μήνες τώρα αυτά τα έλεγε Κλέωνας την 21/06/2022  Το πόρισμα που θα βγει θα λέει ότι αυτή η δύσμοιρη 30 φταίνε που σκοτώθηκε επιβατικό κοινό  Ετσι κανετε παντα",work,understaffing of hospitals,understaffing in greek rail maintenance,-0.8,0.65,0.0,0.6,0.5,0.2,0.0,0.0,"[['cleon gregoriadis', 'person', '1.0'], ['mera 25', 'organization', '1.0'], ['house of representatives', 'organization', '1.0'], ['stasi', 'organization', '1.0'], ['sepolia', 'location', '1.0'], ['anthoupolis greek', 'location', '1.0'], ['nice', 'location', '1.0'], ['dukissis plakentias', 'location', '1.0'], ['petros yamalis', 'person', '1.0'], ['21/06/2022', 'date', '1.0']]"
3," Split.  And automation.  3 weeks later 08/07/2022 Kriton Arsenis from this podium said the following, the only country in Europe where the railway was sold for less than what our contract requires us to serve the company annually.  Let me remind you that the Italians gave 45 million.  50 million we give them every year for Athens and Thessaloniki and it continues.  He continued on 08/07 of 22 Kriton Arsenis and even with a contract of SYRIZA that has not yet been made public.  It is full of your New Democracy and SYRIZA cooperation at the expense of the railway which should be the spearhead of public investment.  Why the train is the only climate-friendly and safe means of transport we can have.  And finally on 28/09/2022 from this podium Kriton Arsenis was saying to you. "," Διχασμό  Και αυτοματισμό  3 βδομάδες μετά 08/07/2022 Κρίτων Αρσένης από αυτό το βήμα είπε τα εξής, η μόνη χώρα στην Ευρώπη που ο σιδηρόδρομος πωλήθηκε για ποσό μικρότερο εκείνου που η σύμβασή μας υποχρεώνει να υπηρετούμε την εταιρεία ετησίως  Να σας θυμίσω ότι 45 εκατομμύρια έδωσαν οι Ιταλοί  50 εκατομμύρια τους δίνουμε κάθε χρόνο για την Αθήνα Θεσσαλονίκη και μάλιστα συνεχίζει  Συνέχισε την 08/07 του 22 ο Κρίτων Αρσένης και μάλιστα με μια σύμβαση του ΣΥΡΙΖΑ που ακόμα δεν έχει δοθεί στη δημοσιότητα  Είναι πλήρης της συνεργασίας σας νέας δημοκρατίας και ΣΥΡΙΖΑ εις βάρος του σιδηροδρόμου που θα έπρεπε να είναι η αιχμή του δόρατος των δημοσίων επενδύσεων  Γιατί το τρένο είναι το μοναδικό κλιματικά φιλικό και ασφαλές μέσος μέσων που μπορούμε να έχουμε  Και τέλος 28/09/2022 από αυτό το βήμα ο Κρίτων Αρσένης σας έλεγε",,railways,railway privatization,0.0,0.2,0.0,0.1,0.0,0.5,0.0,0.0,"[['kriton arsenis', 'person', '1.0'], ['europe', 'location', '1.0'], ['italians', 'group', '1.0'], ['athens', 'location', '1.0'], ['thessaloniki', 'location', '1.0'], ['syriza', 'organization', '0.8'], ['new democracy', 'organization', '0.8']]"
4," Specifically.  The Athens Thessaloniki line is an absolutely unsafe line for both workers and passengers.  As far as accidents have a name, they are called privatisation at all costs.  If the MPs of Day 25 could know it, surely you could know it and all the parties of the memorandum could know it.  All accomplices.  You say that you are taking us out of the memoranda and now we are landlords in our country, then why are you not hiring?  Then why do you leave people standing in the engine rooms. "," Συγκεκριμένα  Η γραμμή Αθήνα Θεσσαλονίκη είναι μια απολύτως ανασφαλής γραμμή και για τους εργαζόμενους και για τους επιβάτες  Όσον αφορά τα ατυχήματα έχουν όνομα, ονομάζονται ιδιωτικοποίηση πάση θυσία  Εάν μπορούσε να το ξέρουν οι βουλευτές του Μέρα 25 σίγουρα μπορούσε να το ξέρετε και σεις όλα τα μνημονιακά κόμματα  Όλοι συνένοχοι  Λέτε ότι μας βγάζετε από τα μνημόνια και τώρα είμαστε νοικοκύρηδες στον τόπο μας, τότε γιατί δεν κάνετε προσλήψεις  Τότε γιατί αφήνετε τους ανθρώπους στάση στα μηχανοστάσια",economy,water privatisation,railway safety,-0.8,0.87,0.2,0.6,0.7,0.75,0.2,0.2,"[['athens thessaloniki', 'location', '1.0'], ['day 25', 'organization', '1.0']]"
5," Alone without colleagues, capable in number and quality to do the job they are obliged by law to do.  The Troika tells you Jis.  You do not recruit only thousands of police officers and port officers and 600 aria of allowances you suppress her to spend the only you acclimatize without the help of the troika. "," Μόνους τους χωρίς συναδέλφους, ικανούς σε αριθμό και σε ποιότητα να κάνουν τη δουλειά που είναι υποχρεωμένοι από το νόμο να κάνουν  Η τρόικα σας λέει Τζής  Δεν κάνετε προσλήψεις μόνο χιλιάδες αστυνομικούς και λιμενικούς και 600 αρια επιδομάτων σας καταστολής σας αυτήν να ξοδεύετε η μόνη σας εγκλιματίζεται χωρίς τη βοήθεια της τρόικας",economy,understaffing of hospitals,austerity measures,-0.3,0.3,0.0,0.75,0.8,0.6,0.0,0.1,"[['troika', 'organization', '0.8'], ['jis', 'person', '0.6']]"
6," The answer is of little interest to us.  We know the culprit as the Greek people know him.  Guilty is the trifecta of devaluation.  Of the public network, devaluation breaking the public network.  The privatisation of the remaining pieces.  The result at best is looting.  At worst it is death. "," Η απάντηση λίγο μας ενδιαφέρει  Εμείς ξέρουμε τον ένοχο όπως τον ξέρει ο ελληνικός λαός  Ένοχος είναι το τρίπτυχο απαξίωση  Του δημόσιου δικτύου, απαξίωση σπάσιμο του δημόσιου δικτύου  Την ιδιωτικοποίηση των κομματιών που έχουν μείνει  Το αποτέλεσμα στην καλύτερη περίπτωση είναι λεηλασία  Στη χειρότερη είναι ο θάνατος",economy,privatisations,devaluation,-0.8,0.9,0.0,0.7,0.6,0.5,0.0,0.0,"[['greek people', 'location', '0.5'], ['trifecta', 'person', '0.1'], ['devaluation', 'organization', '0.3'], ['public network', 'organization', '0.5'], ['privatisation', 'organization', '0.1'], ['looting', 'person', '0.1'], ['death', 'person', '0.1']]"
7," Especially when it is done in a country with Quisling governments surrendered to the conquerors of the lenders.  I will be clear, Minister, ladies and gentlemen in 2015.  Specifically, the Trojans, and I'll refer to Mr. Thomas Wieser and Mr. Teklan Kostelo.  Because we are talking with names from this floor of the House, they came and made it clear to me.  Let's not talk too much about negotiation. "," Ιδίως όταν γίνεται σε μια χώρα με κυβερνήσεις Κουίσλινγκ παραδομένη στους κατακτητές των δανειστών  Θα είμαι ξεκάθαρος, κύριε Υπουργέ, κυρίες και κύριοι συνάδελφοι το 2015  Συγκεκριμένα, οι τροϊκανοί και θα αναφερθώ στον κύριο Τόμας Βίζερ και στον κύριο τέκλαν κοστέλο  Γιατί εμείς μιλάμε με ονόματα από αυτό το βήμα της Βουλής ήρθαν και μου ξεκαθάρισαν  Αφήστε τα πολλά πολλά περί διαπραγμάτευσης",reference to other parties,memoranda,negotiation,-0.5,0.7,0.5,0.3,0.7,0.8,0.0,0.1,"[['quisling', 'organization', '0.7'], ['trojans', 'organization', '0.6'], ['thomas wieser', 'person', '0.8'], ['teklan kostelo', 'person', '0.8']]"
8," Your airports will be taken by Fraport, the port will be taken by κόσko and the train will be given to the Italians of Efes.  They were determined, they had told you when you were still in the Samaras Venizelos government.  Because that's how it's done. "," Τα αεροδρόμια σας θα τα πάρει Fraport το λιμάνι θα το πάρει κόσκο και το τρένο θα το δώσουμε στους Ιταλούς της Εφές  Ήταν αποφασισμένο, τα είχαν πει και σε εσάς όταν ήσασταν ακόμα κυβέρνηση Σαμαρά Βενιζέλου  Γιατί έτσι γίνεται",economy,privatisations,privatization,-1.0,0.9,0.0,0.3,0.8,0.9,0.0,0.1,"[['fraport', 'organization', '0.9'], ['κόσko', 'organization', '0.8'], ['italians of efes', 'organization', '0.8'], ['samaras venizelos government', 'organization', '0.6']]"
9, Country Passousis pass state-owned foreign company Scratched because Fraport is state-owned and World and Efes are state-owned.  OSE was re-nationalised by the wrong state.  And when I was telling them that Efes is bankrupt.  It belongs completely.  You know this.  Completely in the Italian Ministry of Finance and has not a penny to put into upgrading our trains.  You know what they used to say to me. , Χώρας Πεσούσης πάσα κρατική ξένη εταιρεία Ξυλεύεται γιατί και η Fraport είναι κρατική και η κόσκο και η Εφές είναι κρατική  Έγινε επανακρατικοποίηση του ΟΣΕ από λάθος κράτος  Και όταν τους έλεγα μα η Εφές είναι πτωχευμένη  Ανήκει ολοκληρωτικά  Το ξέρετε αυτό  Ολοκληρωτικά στο Υπουργείο Οικονομικών της Ιταλίας και δεν έχει φράγκο να βάλει στην αναβάθμιση των τρένων μας  Ξέρετε τι μου λέγανε,economy,privatisations,state-owned companies,-0.6,0.9,0.0,0.35,0.6,0.5,0.0,0.0,"[['passousis', 'person', '0.8'], ['fraport', 'organization', '0.9'], ['world', 'organization', '1.0'], ['efes', 'organization', '0.9'], ['ose', 'organization', '1.0'], ['italian ministry of finance', 'organization', '1.0']]"
10," Never mind, we have to give something to the Italians to get them to agree.  With the Troika, not with the Greek people.  That's where you vasta gerouns in this Parliament have gotten us from then until now.  And now we have the inglorious duo Kyriakos. "," Δεν πειράζει, πρέπει να δώσουμε και εμείς κάτι στους Ιταλούς για να συμφωνήσουν  Με την τρόικα, όχι με τον ελληνικό λαό  Εκεί μας καταντήσατε εσείς του βάστα γερούν σε αυτό το Κοινοβούλιο από τότε μέχρι σήμερα  Και τώρα έχουμε το ανεκδιήγητο δίδυμο Κυριάκος",reference to other parties,,greek politics,-0.4,0.86,0.0,0.75,0.8,0.6,0.0,0.4,"[['italians', 'location', '0.4'], ['troika', 'organization', '0.7'], ['greek', 'norp', '0.3'], ['parliament', 'organization', '0.6'], ['kyriakos', 'person', '0.5']]"
