id,text,text_el,topic,topic-other-context,subtopic,topic-open,sentiment,polarization,polarization-definition,toxicity,toxicity-definition,populism,populism-definition,hate speech,ner,ner-limited
1,"Good evening to all, fellow compañeras, compañeros, compañeros.  Welcome.  In this.  An important turning point.  Just before the elections.  The presentation of the Central Electoral Committee of Day 25, Alliance for Rupture.  On the panel with me today, as you can see we have. ","Καλησπέρα σε όλες και όλους συνοδοιπόροι συντρόφισσες, σύντροφοι  Καλώς ήρθατε  Σε αυτή την  Σημαντική καμπή  Λίγο πριν από τις εκλογές  Την παρουσίαση της Κεντρικής Εκλογικής Επιτροπής του μέρα 25, συμμαχία για τη ρήξη  Στο πάνελ μαζί μου σήμερα, όπως βλέπετε έχουμε",elections,political parties,election spending,elections,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,"[['central electoral committee', 'organization', '1.0'], ['day 25', 'date', '1.0'], ['alliance for rupture', 'organization', '1.0']]","[['alliance for rupture', 'organization', '1.0'], ['central electoral committee', 'organization', '1.0'], ['day 25', 'date', '1.0']]"
2," I'll tell it the way it came to me Iro Dioti from Larissa.  Christo Laska.  Sorry.  I forgot to say that Hro will be a candidate of course in the region of Larissa with Christos I do not know yet the massage we do from what I know help and the rest of you so all yes, somewhere you will run Christos want not want.  But even if you don't come down, you're here with us and that means a lot. "," Θα τα πω έτσι όπως μου ήρθανε την Ηρώ Διώτη από τη Λάρισα  Το Χρήστο Λάσκα  Συγγνώμη  Ξέχασα να πω ότι η Hρώ θα είναι υποψήφια βεβαίως στην περιφέρεια Λάρισας με το Χρήστο δεν ξέρω ακόμα το μασάζ του κανουμε απο οτι ξερω βοηθήσετε και οι υπόλοιποι έτσι όλοι ναι, κάπου θα κατεβεις Χρήστο θες δεν θες  Αλλά και να μην κατέβεις είσαι μαζί μας εδώ και αυτό έχει μεγάλη σημασία",elections,political parties,other,election candidacy,0.0,0.0,0.0,0.0,0.1,0.2,0.0,0.0,"[['iro dioti', 'person', '0.95'], ['larissa', 'location', '0.9'], ['christo laska', 'person', '0.95'], ['hro', 'person', '0.95'], ['larissa', 'location', '0.9'], ['christos', 'person', '0.9']]","[['iro dioti', 'person', '0.9'], ['larissa', 'location', '0.9'], ['christo laska', 'person', '0.9'], ['hro', 'person', '0.8'], ['larissa', 'location', '0.8'], ['christos', 'person', '0.8']]"
3," Dimitris Zervoudakis.  B Thessaloniki.  Marianna Tsihli.  A Athens Dimitris Tatoulis, South sector B3 Athens. "," Το Δημήτρη Ζερβουδάκη  Β Θεσσαλονίκης  Την μαριάννα Τσίχλη  Ά Αθήνας Το Δημήτρης Τατούλη, Νότιος τομέας Β 3 Αθήνας",other,other,other,names/people,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[['dimitris zervoudakis', 'person', '0.83'], ['b thessaloniki', 'location', '0.79'], ['marianna tsihli', 'person', '0.87'], ['a athens', 'location', '0.76'], ['dimitris tatoulis', 'person', '0.81'], ['south sector b3 athens', 'location', '0.64']]","[['dimitris zervoudakis', 'person', '0.9'], ['thessaloniki', 'location', '0.9'], ['marianna tsihli', 'person', '0.9'], ['athens', 'location', '0.9'], ['dimitris tatoulis', 'person', '0.9'], ['athens', 'location', '0.9']]"
4," And of course to the wisdom of Sakorafa.  I forgot something.  Sophia Sakorafa's head of state.  And I didn't mention the Alexakis girl because she's my other half in everything, so. "," Και βεβαίως στη σοφία Σακοράφα  Κάτι ξέχασα  Της σοφία Σακοράφα επικεφαλής στο επικρατείας  Και τη λίτσα αλεξάκη που δεν την είπα γιατί είναι το έτερον μου ήμισυ τελικά στα πάντα, έτσι",other,other,other,people,0.0,0.0,0.0,0.1,0.2,0.0,0.0,0.0,"[['sophia sakorafa', 'person', '0.8'], ['alexakis', 'person', '1.0']]","[['sophia sakorafa', 'person', '0.85'], ['alexakis', 'group of people', '0.6']]"
5," I take this opportunity to say that Litcha and I met on the sidewalk.  On the sidewalk on Victory Street, under the Treasury, when as the red glove was there to basically to protest against me as I was entering as Finance Minister and instead of having a clash, since then our paths have been inseparable.  Corfu. "," Μου δίνεται η ευκαιρία να πω ότι με τη λίτσα Γνωριστήκαμε στο πεζοδρόμιο  Στο πεζοδρόμιο της οδού νίκης, κάτω από το Υπουργείο Οικονομικών, όταν ως το κόκκινο γάντι ήταν εκεί για να για ουσιαστικά για να διαμαρτυρηθεί εναντίον μου, καθώς έμπαινα ως Υπουργός Οικονομικών και αντί να έχουμε σύγκρουση, από τότε οι δρόμοι μας είναι αχώριστοι  Κέρκυρα",other,other,other,friendship,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[['litcha', 'person', '0.87'], ['victory street', 'location', '0.71'], ['the treasury', 'organization', '0.57'], ['finance minister', 'title', '0.51'], ['corfu', 'location', '0.93']]","[['litcha', 'person', '0.95'], ['victory street', 'location', '0.75'], ['treasury', 'organization', '0.9'], ['finance minister', 'political party', '0.5'], ['corfu', 'location', '0.85']]"
6," The common ground that we all have in common, and we are all here, is a common path.  On the streets of the movements.  The struggles and basically the no that we all honored together from 05/07 until today.  The mission of the Central Electoral Commission is simple.  To coordinate politically, organizationally, communicationally the electoral struggle of our faction day 25 alliance for rupture.  Our ballot papers.  Today, at this time announced.  We will not read them to you, we live in the Internet age.  Click, download, they are created with love, with companionship, with a sense of. "," Το κοινό που έχουμε όλες και όλοι είμαστε εδώ, είναι μια κοινή διαδρομή  Στους δρόμους των κινημάτων  Των αγώνων και βασικά στο όχι που τιμήσαμε όλες και όλοι μαζί από την 05/07 μέχρι και σήμερα  Η αποστολή της Κεντρικής Εκλογικής Επιτροπής είναι απλή  Να συντονίσουμε πολιτικά, οργανωτικά, επικοινωνιακά τον προεκλογικό αγώνα της παράταξης μας μέρα 25 συμμαχία για τη ρήξη  Τα ψηφοδέλτιά μας  Σήμερα, αυτή τη στιγμή ανακοινώνονται  Δεν θα σας τα διαβάσουμε, ζούμε στην εποχή του Διαδικτύου  Κάντε ένα κλικ, κατεβάστε τα, έχουνε δημιουργηθεί με αγάπη με συντροφικότητα, με την αίσθηση της",elections,elections,other,electoral struggle/alliance for rupture,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,"[['central electoral commission', 'organization', '1.0'], ['05/07', 'date', '1.0'], ['25 alliance for rupture', 'organization', '1.0'], ['internet', 'technology', '1.0']]","[['central electoral commission', 'organization', '0.8'], ['our faction day 25 alliance for rupture', 'group of people', '0.6'], ['05/07', 'date', '0.8']]"
7, The selfless contribution of each and every one to this common struggle.  All of us.  We have joined the project of first-time rupture. , Ανιδιοτελούς συνεισφοράς της καθεμίας και του καθένα στον κοινό αυτό αγώνα  Όλοι μας  Έχουμε ενταχθεί στο πρόταγμα της πρώτης φοράς ρήξη,other,political parties,other,collaboration/ collective effort,0.5,0.0,0.0,0.1,0.0,0.2,0.0,0.0,[],[]
8, Why the break did not happen in 2015.  The break was discussed in 2015.  We who are in here have said it and meant it.  The rest. , Γιατί η ρήξη δεν έγινε το 2015  Η ρήξη συζητήθηκε το 2015  Εμείς που είμαστε εδώ μέσα το λέγαμε και το εννοούσαμε  Οι υπόλοιποι,other,political parties,other,break-up,0.0,0.0,0.0,0.3,0.1,0.3,0.0,0.0,[],"[['2015', 'date', '0.7']]"
9," Who voted for the memoranda of the comrades with whom we were elected together in 2015, they didn't mean it and the first time left became a huge defeat for the left in Greece, in Europe, in the whole world.  We here met in the struggles in the movements.  Outside the House, but our goal is to get these voices.  And people who have not yet joined us.  To carry them within the House much stronger, not only in terms of numbers, but in terms of the quality with which we carry them. "," Που ψήφισαν τα μνημόνια από τους συντρόφους με τους οποίους είχαμε εκλεγεί μαζί το 2015, δεν το εννοούσαν και η πρώτη φορά αριστερά έγινε μια τεράστια ήττα για την αριστερά στην Ελλάδα, στην Ευρώπη, στον κόσμο ολόκληρο  Εμείς εδώ συναντηθήκαμε στους αγώνες στα κινήματα  Έξω από τη Βουλή, αλλά ο στόχος μας είναι αυτές τις φωνές  Και ανθρώπων που δεν έχουν έρθει ακόμα μαζί μας  Να τις μεταφέρουμε εντός της Βουλής πολύ πιο δυνατοί, όχι μόνο πολυάριθμοι, αλλά όσο αφορά την ποιότητα με την οποία μεταφέρουμε",elections,political parties,other,greek politics,0.0,0.1,0.2,0.0,0.2,0.2,0.2,0.0,"[['1. 2015', 'date', '1.0'], ['2. greece', 'location', '0.8'], ['3. europe', 'location', '0.8'], ['4. the whole world', 'location', '0.7'], ['5. house', 'organization', '0.6']]","[['1. comrades', 'group of people', '0.8'], ['2. greece', 'country', '0.8'], ['3. europe', 'location', '0.7'], ['4. world', 'location', '0.7'], ['5. house', 'organization', '0.8']]"
10," The voice of no, the voice of resistance, the voice of the alternative project.  Not only a rupture but also the creation of a non-exploitative society, a Greece that will once again become a protagonist in the global progressive agonist movement.  Why Day 25, alliance for rupture we are asked by journalists and we answer.  The future is no longer what it was. "," Τη φωνή του όχι, τη φωνή της αντίστασης, τη φωνή του εναλλακτικού σχεδίου  Όχι μόνο ρήξης αλλά και δημιουργίας μιας μη εκμεταλλευτικής κοινωνίας μιας Ελλάδας, η οποία να ξαναγίνει πρωταγωνίστρια στο παγκόσμιο αγωνιστικό προοδευτικό κίνημα  Γιατί Μερα 25, συμμαχία για τη ρήξη μας ρωτάνε οι δημοσιογράφοι και απαντάμε  Το μέλλον δεν είναι πια αυτό που ήταν",political parties,political parties,other,political activism,0.6,0.85,0.1,0.1,0.2,0.5,0.2,0.0,"[['greece', 'location', '0.6'], ['day 25', 'organization', '0.5']]",[]
