id,text,text_el,topic,topic-context,subtopic,subtopic-context,topic-open,sentiment,polarization,polarization-definition,toxicity,toxicity-definition,populism,populism-definition,hate speech,ner,ner-limited
1,"These are good days, difficult, hard days, election campaign, but these are good days, because this is not just an election campaign, it is being built in the context of the elections, the elections are the incubator, they are the incubator of what is being built, which is the new great Left that this country needs. We have shown all this time what selflessness means, what setting aside the ego means, and that is where the alliance for rupture came from. We are not just talking about the entry of MPs from the MP25 Alliance for Rixi, who will be many more than last time. We are talking about the creation of the disobedient, disobedient, selfless, selfless, adamant, fighting left, as a great party which will not simply bring back with more demands from itself, the ""no"" to the House of Hellenes and Hellenic Women, but will build a completely different path, building a party and at the same time carving a road, which we will all walk together. ","Είναι ωραίες μέρες αυτές, δύσκολες, σκληρές, προεκλογική εκστρατεία, αλλά είναι όμορφες μέρες αυτές,  γιατί δεν είναι απλά μια προεκλογική εκστρατεία, εδώ χτίζεται στο πλαίσιο των εκλογών, οι εκλογές είναι το εκκολαπτήριο, είναι η θερμοκοιτίδα αυτού που χτίζεται, που είναι η νέα μεγάλη Αριστερά που έχει ανάγκη αυτός ο τόπος. Δείξαμε όλο αυτό το καιρό τι σημαίνει ανιδιοτέλεια, τι σημαίνει παραμερισμός του εγώ,  από εκεί προέκυψε η συμμαχία για τη ρήξη. Δε μιλάμε απλά για είσοδο Βουλευτών και Βουλευτριών του ΜέΡΑ25 Συμμαχία για τη Ρήξη που θα είναι πολλοί περισσότεροι και περισσότερες από την περασμένη φορά. Μιλάμε για τη δημιουργία της ανυπάκουης, ανυπότακτης, ανιδιοτελούς, ανένδοτης,  αγωνιστικής αριστεράς, ως μια μεγάλη παράταξη η οποία όχι απλά θα φέρει ξανά με περισσότερες απαιτήσεις απ΄ τον εαυτό της, το όχι στη Βουλή των Ελλήνων και των Ελληνίδων, αλλά θα χτίσει μια εντελώς διαφορετική πορεία οικοδόμηση παράταξης και ταυτόχρονα χάραξη ενός δρόμου, που θα τον περπατήσουμε όλες και όλοι μαζί.",elections,other,election spending,other,,0.5,0.52,0.5,0.1,0.2,0.5,0.2,0.0,[],"[['election campaign', 'organization', '0.8'], ['left', 'political party', '0.9'], ['alliance for rupture', 'group of people', '0.8'], ['mp25 alliance for rixi', 'organization', '0.8'], ['house of hellenes and hellenic women', 'location', '0.7']]"
2,"Today we are concluding a process of setting up the unity ballot papers of MP25 Alliance for Rixi. You are here several of the candidates in addition to the Central Committee Members , congratulations, thank you for honouring the ballots the announcement of the ballots today will be posted on the internet, it has already been posted on the internet,  but to give a tone a mood, an atmosphere, an idea of the concept, of what MERA25 Alliance for Rise means, with a very short video which will describe, will describe, will describe, will present the 15 the 15 of the State ballot paper go. . . ","Κλείνουμε σήμερα μια διαδικασία συγκρότησης των ενωτικών ψηφοδελτίων του ΜέΡΑ25 Συμμαχία για τη Ρήξη. Είστε εδώ αρκετοί από τους υποψήφιους και τις υποψήφιες πέραν από τα Μέλη της Κεντρικής Επιτροπής , συγχαρητήρια,  σας ευχαριστούμε που τιμάτε τα ψηφοδέλτια η ανακοίνωση των ψηφοδελτίων σήμερα θα αναρτηθεί στο διαδίκτυο, ήδη έχει αναρτηθεί στο διαδίκτυο,  αλλά να δώσουμε έναν τόνο ένα κλίμα, μια ατμόσφαιρα, μια ιδέα της έννοιας, του τι σημαίνει ΜέΡΑ25 Συμμαχία για τη Ρήξη,  με ένα πολύ σύντομο βίντεο το οποίο θα περιγράψει, θα περιγράψει θα παρουσιάσει τους 15  τις 15 του ψηφοδελτίου Επικρατείας πάμε . . .",other,,other,other,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[],"[['rixi', 'location', '0.5'], ['mp25 alliance', 'group of people', '0.5'], ['central committee members', 'group of people', '0.5'], ['mera25 alliance', 'organization', '0.5'], ['rise', 'location', '0.5'], ['state', 'location', '0.5'], ['15', 'date', '0.5']]"
3,"Before the ballot box it is worth listening to the soul of the parties that as revealed in their State ballot paper, the State ballot paper of MP25 Alliance for Rixi has the consistent campaigner our champion Sophia Sakorafa in front of it, followed by the leading professor of Economics of the University of Athens Nikos Theocharakis who in 2015, as Secretary General of the Ministry of Finance, was infuriating the Trojans by catching them hopelessly unreadable.Christina Baltatzi is a 34 year old Greek expatriate, child of the crisis, an agronomist, activist and a conscript member of the Political Secretariat of MPA25. Despina Charalambidou from Thessaloniki, an iconic member of the Left, former Vice President of the Parliament, MP and member of the L.A.E. The expatriate architect Kostas Stefanidis is an Australian resident, a member of DIEM25 and an active member of the expatriate community and MP25 Melbourne. ","Πριν την κάλπη αξίζει να αφουγκραστεί κανείς την ψυχή των κομμάτων που όπως αποκαλύπτεται στο ψηφοδέλτιο Επικρατείας τους,  το ψηφοδέλτιο Επικρατείας του ΜέΡΑ25 Συμμαχία για τη   Ρήξη έχει μπροστάρισσα την συνεπή αγωνίστρια την πρωταθλήτριά μας Σοφία Σακοράφα , ακολουθούν  O κορυφαίος καθηγητής Οικονομικών  του Πανεπιστημίου Αθηνών Νίκος Θεοχαράκης που το 2015, ως Γενικός Γραμματέας του Υπουργείου Οικονομικών, εξαγρίωνε τους Τροικανούς πιάνοντάς τους απελπιστικά αδιάβαστους.Η Χριστίνα Μπαλτατζή απόδημη 34χρονη Ελληνίδα , παιδί της κρίσης, Γεωπόνος, Ακτιβίστρια και κληρωτό μέλος της Πολιτικής Γραμματείας του ΜέΡΑ25. Η Θεσσαλονικιά Δέσποινα Χαραλαμπίδου, εμβληματικό στέλεχος της Αριστεράς, τέως Αντιπρόεδρος της Βουλής, Βουλευτής και στέλεχος της ΛΑΕ. Ο απόδημος αρχιτέκτονας  Κώστας Στεφανίδης κάτοικος Αυστραλίας,  μέλος του DIEΜ25 και ενεργό μέλος της ομογένειας και του ΜέΡΑ25 Μελβούρνης.",political parties,other,election spending,other,,0.0,0.1,0.2,0.2,0.0,0.0,0.0,0.0,[],"[['sophia sakorafa', 'person', '1.0'], ['nikos theocharakis', 'person', '1.0'], ['christina baltatzi', 'person', '1.0'], ['despina charalambidou', 'person', '1.0'], ['mp25 alliance for rixi', 'group of people', '1.0'], ['university of athens', 'organization', '1.0'], ['ministry of finance', 'organization', '1.0'], ['thessaloniki', 'location', '1.0'], ['l.a.e.', 'political party', '1.0'], ['diem25', 'political party', '1.0'], ['mp25 melbourne', 'group of people', '1.0'], ['greek', 'country', '1.0'], ['australian', 'country', '1.0'], ['2015', 'date', '1.0']]"
4,"Serafim Seferiadis, Professor of Political Science at Panteion, Director of the Laboratory of Conflict Politics and above all, a fighter inside and outside the Universities.Urban planner Christos Mouratidis, resident in England, also a child of the crisis, one of the first members of DIEM25 in 2016, is running as our third expatriate candidate.Alexandra Koronaiou Professor of the Department of Psychology and former Dean of the School of Social Sciences of Panteion, a member of the left, Feminism and Movements. Stathis Kouvelakis, for decades a professor at Kings College London, a leading figure in Marxist Political Science, a continuator of the tradition of Althusser and Poulantzas, a member of the Radical Left in France and Greece.Our great actress Mania Papadimitriou, activist, former member of the Parliament and member of the L.A.E. Alexandros Bistis, political scientist, activist, left-wing activist, member of the Central Committee and Coordinator of Political Planning of Syriza until the summer of 2015 and candidate of the State of the Republic of Greece for MPA25 in 2019. Marie Velonaki, for two decades Professor of Social Robotics at UNSW University of Australia, is a world-renowned and pioneering professor of Robotics Science, a member of DIEM25 since 2016 and a candidate for the State of Greece for MERA25 in 2019. Alexandra Kasimi, an iconic athlete from May 1968 in France to the present day in Greece. ","Ο καθηγητής Πολιτικής Επιστήμης του Παντείου Σεραφείμ Σεφεριάδης, Διευθυντής του εργαστηρίου Συγκρουσιακής Πολιτικής αλλά και πάνω από όλα , αγωνιστής εντός κι εκτός των Πανεπιστημίων.Ο πολεοδόμος Χρήστος Μουρατίδης κάτοικος Αγγλίας, παιδί κι αυτός της κρίσης, από το πρώτα μέλη του  DIEΜ25 το 2016, κατεβαίνει ως ο τρίτος απόδημος υποψήφιός μας.Η Αλεξάνδρα Κορωναίου καθηγήτρια του Τμήματος Ψυχολογίας και τέως Κοσμήτορας της Σχολής Κοινωνικών Επιστημών του Παντείου, στέλεχος της αριστεράς, του Φεμινισμού και των Κινημάτων. Ο Στάθης Κουβελάκης, για δεκαετίες καθηγητής στο Kings College του Λονδίνου, κορυφαίος της Μαρξιστικής Πολιτικής Επιστήμης, συνεχιστής της παράδοσης των Αλτουσέρ και Πουλαντζά, στέλεχος της Ριζοσπαστικής Αριστεράς στην Γαλλία και την Ελλάδα.Η μεγάλη ηθοποιός μας Μάνια Παπαδημητρίου Ακτιβίστρια, τέως Βουλεύτρια και στέλεχος της ΛΑΕ. Ο Πολιτικός Επιστήμονας Αλέξανδρος Μπίστης, ακτιβιστής, οργανωτικό στέλεχος της αριστεράς, μέλος της ΚΕ και συντονιστής Πολιτικού Σχεδιασμού του Σύριζα μέχρι το καλοκαίρι του 2015 και υποψήφιος Επικρατείας του ΜέΡΑ25 το 2019. Η για δύο δεκαετίες καθηγήτρια Κοινωνικής Ρομποτικής του Πανεπιστημίου UNSW της Αυστραλίας, Μαρί Βελονάκη παγκοσμίως καταξιωμένη και πρωτοπόρα στη Ρομποτική Επιστήμη, μέλος του DIEM25 από το 2016, υποψήφια Επικρατείας του ΜέΡΑ25 και το  2019. Η Αλεξάνδρα Κασίμη, εμβληματική Αγωνίστρια από τον Μάη του 1968 στη Γαλλία ως σήμερα στην Ελλάδα.",political parties,political parties,other,other,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[],"[['serafim seferiadis', 'person', '1.0'], ['panteion', 'organization', '1.0'], ['laboratory of conflict politics', 'organization', '1.0'], ['christos mouratidis', 'person', '1.0'], ['england', 'location', '1.0'], ['diem25', 'political party', '1.0'], ['alexandra koronaiou', 'person', '1.0'], ['department of psychology', 'organization', '1.0'], ['school of social sciences', 'organization', '1.0'], ['stathis kouvelakis', 'person', '1.0'], ['kings college london', 'organization', '1.0'], ['marxist political science', 'political party', '1.0'], ['althusser', 'person', '1.0'], ['poulantzas', 'person', '1.0'], ['radical left', 'political party', '1.0'], ['mania papadimitriou', 'person', '1.0'], ['l.a.e.', 'political party', '1.0'], ['alexandros bistis', 'person', '1.0'], ['central committee', 'organization', '1.0'], ['political planning of syriza', 'organization', '1.0'], ['mpa25', 'political party', '1.0'], ['marie velonaki', 'person', '1.0'], ['unsw university of australia', 'organization', '1.0'], ['robotics science', 'organization', '1.0'], ['mera25', 'political party', '1.0'], ['alexandra kasimi', 'person', '1.0'], ['may 1968', 'date', '1.0']]"
5,"The Economist, Author and former member of the political secretariat of Syriza Christos Laskos, who in 2015 resigned with us and set sail for our common resistance to the ""leftist"" memoranda and finally, our beloved Syntenko, the legendary Lyraris from Anogia, our heartfelt friend and comrade, Psarantonis, who, as in 2019, occupies symbolically, but as substantially as possible, the honorary position of our State ballot.MER25 Alliance for Rixi. It is the State ballot paper that sets the tone that confirms what I told you at the beginning that these are good days, with Psarantonis Xylouris closing the State ballot paper, with Sofia Sakorafa starting it. The other thirteen in between, I think, demonstrate the long journey we have already made and the even longer journey we will make from today.The messages, fellow travellers, comrades, comrades, friends from all over Greece are overwhelming, from Nea Smyrni, from Rhodes, where we were yesterday, the day before yesterday, from Thessaloniki, from all corners of Greece, a world that had been defeated, a world that felt hurt, that hid in its shell after the capitulation of 2015, that magnificent world of no,   has been reinvigorated, even people who do not follow MP25, even people who do not follow Popular Unity, who are not in the groups and movements that have joined the Alliance for Rupture, they see people who are putting aside their egos, they see people who are creating a frontal united movement and they are reinvigorated and coming to our ranks. Some more bravely, others more timidly, some less sceptical, others more sceptical, but little by little they come and so the great militant Left that was so lacking in this country is being built and will continue to be built after the elections. That is why I think it is something very positive that we should applaud, embrace and give us great joy and satisfaction. The black propaganda of the system against us has started again.We are happy about it, we love their hatred and their lies, because it means that we are doing something good. The hits below the waist prove that we are really on the right track. ","Ο Οικονομολόγος, Συγγραφέας και τέως μέλος της πολιτικής γραμματείας του Σύριζα Χρήστος Λάσκος που το 2015 μαζί μας, παραιτήθηκε και έβαλε πλώρη για την κοινή μας αντίσταση στα ''αριστερά” μνημόνια και τέλος, ο Αγαπημένος μας Σύντεκνος, ο θρυλικός Λυράρης από τα Ανώγεια, ο καρδιακός μας φίλος και σύντροφος, ο Ψαραντώνης που, όπως και το 2019, καταλαμβάνει συμβολικά, αλλά όσο πιο ουσιαστικά γίνεται, την τιμητική θέση του ψηφοδελτίου Επικρατείας μας.ΜέΡΑ25 Συμμαχία για τη Ρήξη. Είναι το ψηφοδέλτιο Επικρατείας που δίνει τον τόνο που επιβεβαιώνει αυτό που σας είπα στην αρχή  ότι είναι ωραίες μέρες με τον Ψαραντώνη Ξυλούρη κλείνει το ψηφοδέλτιο Επικρατείας, με τη Σοφία Σακοράφα ξεκινάει. Οι υπόλοιποι δεκατρείς που βρίσκονται μεταξύ νομίζω ότι καταδεικνύουν, τη μεγάλη διαδρομή που έχουμε ήδη διανύσει και την ακόμα μεγαλύτερη διαδρομή, που θα διανύσουμε από σήμερα.Τα μηνύματα συνοδοιπόροι, συντρόφισσες, σύντροφοι, φίλες και φίλοι απ΄ όλη την Ελλάδα είναι συγκλονιστικά από τη Νέα Σμύρνη από τη Ρόδο που είμασταν χθες προχθές, από τη Θεσσαλονίκη απ΄ όλες τις γωνιές της Ελλάδας ένας κόσμος που είχε ηττηθεί,  ένας κόσμος που ένιωσε πληγωμένος, που κρύφτηκε στο καβούκι του μετά τη συνθηκολόγηση του 2015, εκείνος ο μεγαλειώδης κόσμος του όχι,   έχει αναθαρρήσει,  ακόμα και άνθρωποι που δεν ακολουθούν το ΜέΡΑ25 ακόμα και άνθρωποι που δεν ακολουθούν τη Λαϊκή Ενότητα, που δεν είναι στις ομάδες και στα κινήματα που έχουν συμπράξει στο πλαίσιο της Συμμαχίας για τη Ρήξη, βλέπουνε ανθρώπους που βάζουνε στην άκρη το εγώ τους, βλέπουνε ανθρώπους που δημιουργούνε μια μετωπική ενωτική κίνηση και αναθαρρούν και έρχονται στις τάξεις μας. Κάποιοι πιο γενναία, άλλοι πιο δειλά, άλλοι λιγότερο σκεπτικιστές, άλλοι περισσότερο σκεπτικιστές,  αλλά λίγο  λίγο έρχονται και έτσι χτίζεται και θα χτίζεται και μετεκλογικά η μεγάλη αγωνιστική Αριστερά που τόσο έλειπε από αυτόν τον τόπο. Γι΄ αυτό το λόγο και νομίζω ότι είναι κάτι πολύ θετικό που πρέπει να το χειροκροτήσουμε, να το αγκαλιάσουμε και να μας δώσει πολύ μεγάλη χαρά και ικανοποίηση. Ξαναξεκίνησε η μαύρη προπαγάνδα του συστήματος εναντίον μας.Το χαιρόμαστε, αγαπάμε το μίσος και τα ψεύδη τους, γιατί σημαίνει ότι κάτι καλό κάνουμε. Τα  χτυπήματα κάτω από τη μέση αποδεικνύουν ότι είμαστε πραγματικά στο σωστό δρόμο.",elections,political parties,other,other,,0.5,0.45,0.2,0.1,0.5,0.3,0.2,0.1,[],"[['the economist', 'organization', '0.8'], ['christos laskos', 'person', '0.8'], ['syriza', 'political party', '0.8'], ['anogia', 'location', '0.8'], ['psarantonis xylouris', 'person', '0.8'], ['mer25 alliance for rixi', 'organization', '0.8'], ['sofia sakorafa', 'person', '0.8'], ['popular unity', 'political party', '0.8'], ['thessaloniki', 'location', '0.8'], ['greece', 'country', '0.8'], ['nea smyrni', 'location', '0.8'], ['rhodes', 'location', '0.8']]"
6,"If the trolls of the right, the channels of the interconnectedness, were saying good things about us, then we should have existential angst, They don't say good things about us, they demonize us and we thank them. Their target is a party that threatens them. The MERA25 Alliance for Rise faction that is not afraid to name them and you know what? we update what we say every day, because every day a new scandal, a new snatch, a new plunder is launched by Mitsotakis SA. and the oligarchy behind Mitsotakis Inc. and launching the new coalition government with either a progressive or a liberal bias. ","Εάν τα τρολς της δεξιάς, τα κανάλια της διαπλοκής, έλεγαν καλά πράγματα για εμάς,  τότε θα έπρεπε να έχουμε υπαρξιακή αγωνία, Δε λένε καλά πράγματα για εμάς,  μας δαιμονοποιούν και τους ευχαριστούμε. Στόχος τους είναι ένας  το κόμμα που τους απειλεί. Η παράταξη ΜέΡΑ25 Συμμαχία για τη  Ρήξη που δεν φοβάται να τους κατονομάσει και ξέρετε κάτι; εμείς επικαιροποιούμε αυτά που λέμε κάθε μέρα,  γιατί κάθε μέρα ένα νέο σκάνδαλο, μια νέα αρπαγή,  μια νέα λεηλασία δρομολογείται από τη Μητσοτάκης Α.Ε. και από την ολιγαρχία που κρύβεται πίσω από τη Μητσοτάκης Α.Ε. και δρομολογεί τη νέα συγκυβέρνηση είτε με προοδευτικό είτε με φιλελεύθερο πρόσημο.",other,other,far-right,oligarchy,,-0.4,0.7,0.7,0.3,0.8,0.4,0.3,0.1,[],"[['mera25 alliance for rise', 'group of people', '1.0'], ['mitsotakis sa', 'organization', '1.0'], ['mitsotakis inc.', 'organization', '1.0'], ['coalition government', 'organization', '1.0'], ['progressive', 'political party', '1.0'], ['liberal', 'political party', '1.0']]"
7,An example: TEN-T. We've talked again and again about the PPC that was given to CVC in that predatory hedge fund in London. Let's also talk a little bit about the TEN-T. ,Ένα παράδειγμα: ΔΕΔΗΕ. Έχουμε μιλήσει ξανά και ξανά για τη ΔΕΗ που τη δώσαν στη CVC σε εκείνο το αρπακτικό hedgefund του Λονδίνου. Ας μιλήσουμε και λίγο για τον ΔΕΔΗΕ.,other,other,other,other,,0.0,0.0,0.0,0.1,0.2,0.2,0.0,0.0,[],"[['cvc', 'organization', '0.8'], ['london', 'location', '0.9'], ['ten-t', 'organization', '1.0']]"
8,"The PPP was given by the Mitsotakis government to a bank brokerage company called Macquarie have you heard of it?  the so-called Macquarie of Australian origin?Macquarie has a long tradition of looting and criminal actions against former public entities. In particular, Macquarie bought the London water company a few years ago. ","Ο ΔΕΔΗΕ δόθηκε από την κυβέρνηση Μητσοτάκη σε μια τράπεζα χρηματιστηριακή Εταιρεία τη λεγόμενη Macquarie την έχετε ακούσει;  την λεγόμενη Macquarie Αυστραλέζικης καταγωγής;Η Macquarie έχει μακρά παράδοση στη λεηλασία και σε εγκληματικές κινήσεις εναντίον τέως δημόσιων φορέων. Συγκεκριμένα, η εν λόγω Macquarie αγόρασε πριν μερικά χρόνια την εταιρεία ύδρευσης του Λονδίνου.",other,other,privatization of water,other,,-0.8,0.8,0.0,0.65,0.2,0.7,0.0,0.2,[],"[['mitsotakis', 'person', '0.7'], ['ppp', 'organization', '0.7'], ['macquarie', 'organization', '0.9'], ['australian', 'location', '0.7'], ['london', 'location', '0.7'], ['australia', 'country', '0.6'], ['a few years ago', 'date', '0.6']]"
9,"He gave 5 billion. pounds, of which it borrowed 3 billion. and loaded it into the company he bought. Like I come to your house to get it and borrow from you to get it. ","Έδωσε 5 δισ. λίρες, από τα οποία δανείστηκε τα 3 δισ. και τα φόρτωσε στην εταιρεία που αγόρασε. Σαν να έρχομαι εγώ στο σπίτι σου για να στο πάρω και δανείζομαι από εσένα για να στο πάρω.",debt,other,other,loans,,-0.3,0.3,0.0,0.7,0.5,0.8,0.0,0.1,[],[]
10,"And since they did that, you know what else Macquarie did? They took another 8 billion. loans, put it on the backs of the water company and finally put it in their pockets. These gentlemen have the TEN. ","Και αφού το έκαναν αυτό ξέρετε τι άλλο έκανε η Macquarie; Πήραν άλλα 8 δισ. δάνεια, το φόρτωσαν στις πλάτες της εταιρείας ύδρευσης και τελικά το έβαλαν στις τσέπες τους. Αυτοί οι κύριοι έχουν τον ΔΕΔΔΗΕ.",corruption,other,privatization of water,privatization of water,,-0.5,1.0,0.0,0.8,0.7,0.7,0.3,0.0,[],"[['macquarie', 'organization', '0.9'], ['water company', 'organization', '0.7'], ['ten', 'group of people', '0.6']]"
