id,text,text_el,topic,topic-context,subtopic,subtopic-context,topic-open,sentiment,polarization,polarization-definition,toxicity,toxicity-definition,populism,populism-definition,hate speech,ner,ner-limited
1,"The President of the parliamentary group of the Greek solution now has the floor. Thank you very much, Madam President. Ladies and gentlemen, we live in a peculiar regime. ","Το λόγο τώρα έχει ο πρόεδρος της κοινοβουλευτικής ομάδας της ελληνικής λύσης Ευχαριστώ πάρα πολύ, κυρία Πρόεδρε Κυρίες και κύριοι συνάδελφοι ζούμε σε ένα ιδιότυπο καθεστώς",democracy,,other,,greek politics,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[['greek solution', 'organization', '0.72'], ['president', 'title', '1'], ['parliamentary group', 'organization', '0.83'], ['madam president', 'person', '1']]","[['ladies and gentlemen', 'group of people', '0.6'], ['president', 'person', '0.8'], ['greek solution', 'political party', '0.8']]"
2,"And I say idiosyncratic, because we see a fearful prime minister announcing elections on television. He's the TV Prime Minister of the last 50 years.  Proclamations, proclamations, orders, apologies, apologies again from a man who has understood that he is Prime Minister of the country and leader of a party and must speak in the Greek parliament. It's been more than 20 days and still neither Tsipras nor the Prime Minister has shown up here.  Specifically on the issue of temps. ","Και λέω ιδιότυπο, διότι βλέπουμε έναν πρωθυπουργό φοβικό να ανακοινώνει εκλογές από τηλεοράσεως Είναι ο τηλεοπτικός πρωθυπουργός των τελευταίων 50 ετών  Διαγγέλματα, διαγγέλματα, παραγγέλματα, συγγνώμες, ξανά συγγνώμες από έναν άνθρωπο ο οποίος έχει καταλάβει ότι είναι πρωθυπουργός της χώρας και αρχηγός ενός κόμματος και πρέπει να ομιλεί στο ελληνικό κοινοβούλιο Πέρασαν περίπου 20 και πλέον μέρες και ακόμα δεν εμφανίστηκε ούτε ο Τσίπρας εδώ, ούτε ο πρωθυπουργός  Ειδικά για το θέμα των τεμπών",elections,,other,,greek politics,-0.6,0.2,0.2,0.2,0.2,0.2,0.0,0.0,"[['idiosyncratic', 'misc', '0.556', 'prime minister', 'title', '0.864', 'tv prime minister', 'title', '0.630', 'last 50 years', 'date', '0.914', 'greek parliament', 'org', '0.844', 'tsipras', 'person', '0.754']]","[['prime minister', 'person', '0.9'], ['greek parliament', 'organization', '0.9'], ['tsipras', 'person', '0.6'], ['country', 'location', '0.7'], ['50 years', 'date', '0.5'], ['20 days', 'date', '0.5']]"
3,"And there's something else here, of course, he announced elections, but he didn't tell us the day. He never told us. Here we are talking about a real discrediting of the parliamentary constitution and democracy by the Prime Minister himself. And then the kids up there, when they hear the word politician, I imagine that they too, like my own kid. They say the following. ","Και εδώ βέβαια υπάρχει και κάτι άλλο ανακοίνωσε μεν εκλογές, αλλά δεν μας είπε μέρα Δεν μας είπε ποτέ Εδώ μιλάμε για μια πραγματική απαξία του κοινοβουλευτικού πολιτεύματος και της δημοκρατίας από τον ίδιο τον πρωθυπουργό Και ύστερα τα παιδιά από εκεί πάνω, όταν ακούν τη λέξη πολιτικός, φαντάζομαι ότι και τα ίδια όπως και το δικό μου το παιδί Λένε το εξής",democracy,,other,,politicians,-0.5,0.9,0.0,0.2,0.0,0.5,0.0,0.0,"[['prime minister', 'person', '0.9'], ['parliamentary constitution', 'organization', '0.7'], ['democracy', 'organization', '0.6']]","[['prime minister', 'person', '1.0'], ['parliamentary constitution', 'organization', '0.8'], ['democracy', 'organization', '0.8'], ['kids', 'group of people', '1.0'], ['politician', 'political party', '0.5']]"
4,"Always irresponsible, never the fault of the Greek politician. Always fearful, the Greek politician always hides in the mass media and in the immunity they give him, because that's where the journalists have a special attitude towards him. Always looking for immunity to hide when he has broken the law or irregular or. ","Πάντα ανεύθυνος, ποτέ δεν φταίει ο έλληνας πολιτικός Πάντα φοβικός, ο έλληνας πολιτικός πάντα κρύβεται στα μέσα μαζικής ενημερώσεως και στην ασυλία που του δίνουν, διότι εκεί τον έχουν με ιδιαίτερη συμπεριφορά οι δημοσιογράφοι Πάντα ψάχνει την ασυλία να κρυφτεί όταν έχει παρανομήσει ή παράτυπης ή",corruption,,lack of accountability,,greek politicians,-0.8,1.0,0.5,0.7,0.7,0.8,0.0,0.5,"[['greek', 'norp', '0.9'], ['never', 'person', '0.6'], ['greek', 'norp', '0.9'], ['greek', 'norp', '0.9'], ['journalists', 'org', '0.6']]","[['greek politician', 'person', '1.0'], ['media', 'group of people', '1.0'], ['journalists', 'group of people', '1.0']]"
5,"These are the Greek politicians and that's why young children don't vote and that's why the new democracy is afraid of young children going to vote and is leading the elections into the summer. All this, Minister. We have a political system and politicians of limited responsibility like the EIA. You know from economics, Prime Minister, who think that they are addressing citizens of limited understanding, because through the judiciary and the media they have succeeded in limiting the responsibility of politicians. Because both justice and the media. Controlled. It's their washing machines. ","Αυτοί είναι οι έλληνες πολιτικοί και για αυτό τα νέα παιδιά δεν ψηφίζουν και για αυτό και φοβάται η νέα δημοκρατία τα νέα παιδιά να πάνε να ψηφίσουν και οδηγεί τις εκλογές στο καλοκαίρι Όλα αυτά, κύριε υπουργέ Έχουμε ένα πολιτικό σύστημα και πολιτικούς περιορισμένης ευθύνης σαν της ΕΠΕ Ξέρετε από οικονομικά, κύριε πρωθυπουργέ που νομίζουν ότι απευθύνονται σε πολίτες περιορισμένης αντίληψης, επειδή μέσω της δικαιοσύνης οι ίδιοι πέτυχαν και των μέσων μαζικής ενημερώσεως να έχουν περιορισμένη ευθύνη οι πολιτικοί Διότι και η δικαιοσύνη και τα μέσα ενημερώσεως Ελέγχονται Είναι τα πλυντήρια τους",democracy,,other,,greek politics,-0.7,0.8,0.1,0.8,0.8,0.8,0.2,0.1,"[['greek', 'nationality', '1.0'], ['young children', 'group', '1.0'], ['new democracy', 'organization', '1.0'], ['elections', 'event', '1.0'], ['minister', 'title', '1.0'], ['eia', 'organization', '1.0'], ['economics', 'field of study', '1.0'], ['prime minister', 'title', '1.0'], ['citizens', 'group', '1.0'], ['judiciary', 'organization', '1.0'], ['media', 'organization', '1.0']]","[['greek politicians', 'group of people', '1.0'], ['new democracy', 'political party', '1.0'], ['minister', 'person', '1.0'], ['eia', 'organization', '0.85'], ['prime minister', 'person', '1.0'], ['judiciary', 'organization', '0.7'], ['media', 'organization', '0.8']]"
6,"This justice, the evil justice, the justice that decides on the appointed and the children must learn from the ministers and Prime Minister A that the lawlessness and make the Prime Minister whoever Prime Minister, the justice appointed and appointed are their friends, will not punish them. But if the father of a child steals 1000 € or commits a tax evasion slip of 3000 €. They're gonna put him in jail. How fair is this system? How serious is this state. ","Αυτή η δικαιοσύνη, η κακιά δικαιοσύνη, η δικαιοσύνη που αποφασίζει για τη διορίζεται και πρέπει να το μάθουν τα παιδιά από τους υπουργούς και τον Πρωθυπουργό Α ότι η παρανομία και να κάνει ο πρωθυπουργός όποιος πρωθυπουργός, η δικαιοσύνη που έχει διοριστεί και οριστεί είναι φίλοι τους, δεν θα τους τιμωρήσει Αν όμως ο πατέρας ενός παιδιού κλέψει 1000 € ή υποπέσει σε ένα ολίσθημα φοροδιαφυγής των 3000 € Θα τον φυλακίσουν Πόσο δίκαιο είναι το σύστημα αυτό Πόσο σοβαρό είναι αυτό το κράτος",justice,,injustice,,justice,-0.6,0.91,0.9,0.7,0.9,0.9,0.6,0.6,"[['prime minister a', 'person', '0.9'], ['justice', 'person or organization', '0.7'], ['prime minister', 'person', '0.6']]","[['prime minister a', 'person', '0.8'], ['ministers', 'group of people', '0.6'], ['justice', 'organization', '0.4'], ['political party', 'organization', '0.3'], ['jail', 'location', '0.3'], ['country', 'location', '0.2'], ['date', 'date', '0.1']]"
7,"And you know. We have all learned here in the Greek parliament an apology, apology, apology. Sorry. ","Και ξέρετε Έχουμε μάθει εδώ στο ελληνικό κοινοβούλιο όλοι μια συγγνώμη, συγγνώμη Συγγνώμη",other,,other,,apology,-1.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,"[['greek parliament', 'organization', '0.9']]","[['greek parliament', 'organization', '0.95'], ['greek', 'location', '0.75']]"
8,"We learned forgiveness, forgiveness, forgot forgiveness, forgot forgiveness, didn't see forgiveness, didn't know forgiveness, didn't hear forgiveness, and forgiveness without repentance, even the priest of our parish does not accept. And repentance means giving up politics once and for all, because young children were sacrificed in Tempe. This means repentance. ","Μάθαμε τη συγγνώμη, συγγνώμη, ξέχασα συγγνώμη, δεν είδα συγνώμη, δεν ήξερα συγγνώμη, δεν άκουσα συγγνώμη και συγχώρεση όμως χωρίς μετάνοια, ούτε ο ίδιος ο παπάς της ενορίας μας δεν δέχεται Και μετάνοια σημαίνει παραιτούμαι από την πολιτική άπαξ διαπαντός, διότι θυσιάστηκαν νέα παιδιά στα Τέμπη Αυτό σημαίνει μετάνοια",political parties,,other,,forgiveness,-0.5,0.56,0.0,0.2,0.1,0.5,0.0,0.0,"[['tempe', 'location', '0.5'], ['parish', 'organization', '0.5']]","[['tempe', 'location', '1.0'], ['parish', 'organization', '0.7']]"
9,"Because among the people who got lost I'll say it again once more I lost my best friend of 30 years leaf through the blood. Something and my friend. My daughter's classmates are gone, her fellow students. 3 girls, 20 to 22 years old. ","Γιατί μεταξύ των ανθρώπων που χάθηκε θα το ξαναπώ ακόμη μια φορά έχασα τον καλύτερο μου φίλο 30 ετών φύλλο μέσα στο αίμα Κάτι και φίλος μου Χάθηκαν συμμαθητές της κόρης μου, συμφοιτήτριες της 3 κοριτσάκια, 20 έως 22 ετών",other,,natural disasters,,loss,-0.8,0.0,0.0,0.1,0.0,0.0,0.0,0.0,[],"[['best friend', 'person', '0.95'], [""daughter's classmates"", 'group of people', '0.95'], ['girls', 'group of people', '0.7']]"
10,"And an apology, one thinks, without remorse, without repentance, which means I'm leaving politics and with me there is not only one person to blame.  All the politicians of the two thousand and 12 will not stand for election again all the secretaries general of the ministry in question all the officials.  The company is prosecuted with bracelets, go prove that he did not know and TRAINOSE all the defendants. This is what justice means. This means repent.  This means the blood of children.  It's not a waste. And Mr. Staikura, really I... ","Και μια συγγνώμη νομίζει κάποιος χωρίς μεταμέλεια, χωρίς μετάνοια, που σημαίνει αποχωρώ από την πολιτική και μαζί με μένα δεν φταίει μόνο ένας  Αποχωρούν όλοι οι πολιτικοί από το δυο χιλιάδες 12 δεν θα ξανακατέβουν στις εκλογές όλοι οι γενικοί γραμματείς του υπουργείου του συγκεκριμένου όλοι οι υπηρεσιακοί παράγοντες  Η εταιρεία διώκεται με βραχιολάκια, πήγαινε να αποδείξει ότι δεν ήξερε και η ΤΡΑΙΝΟΣΕ όλοι οι υπόδικοι Αυτό σημαίνει δικαιοσύνη Αυτό σημαίνει μετανοώ  Αυτό σημαίνει το αίμα των παιδιών  Δεν πάει χαμένο Και κύριε σταϊκούρα πραγματικά εγώ",justice,,corruption,,politics,-1.0,0.4,0.0,0.4,0.9,0.5,0.0,0.2,"[['trainose', 'organization', '1.0'], ['mr. staikura', 'person', '1.0']]","[['1. mr. staikura', 'person', '1.0'], ['2. politicians', 'group of people', '1.0'], ['3. secretaries general', 'group of people', '1.0'], ['4. officials', 'group of people', '1.0'], ['5. company', 'organization', '1.0'], ['6. trainose', 'organization', '1.0'], ['7. defendants', 'group of people', '1.0']]"
