id,text,text_el,topic,topic-other-context,subtopic,topic-open,sentiment,polarization,polarization-definition,toxicity,toxicity-definition,populism,populism-definition,hate speech,ner,ner-limited
1,Some time. 30 minutes We're good. You will have 20. We do it 20. The evil is not to fly an eagle. If they throw the guns away it's fine. ,Καμιά ώρα 30 λεπτα Ειμαστε Καλα Θα έχετε 20 Το κάνουμε 20 Το κακό είναι να μην πετάτε αετό Αν να πετάξουν τα όπλα καλά είναι,other,other,other,,0.0,0.0,0.0,0.2,0.5,,,0.0,"[['30 minutes', 'time', '1.0'], ['20', 'number', '1.0'], ['eagle', 'person_organization', '0.6']]",[]
2,"Well, thank you very much, Madam President. I would like to start with the lie of the Prime Minister really Prime Minister continues the exact same line of lie of lie. And especially of the half truth, while he announced the elections for 21/05 on TV, he is a TV from our minister of grind it on TV. ","Λοιπόν, ευχαριστώ πάρα πολύ, κυρία Πρόεδρε Θα ήθελα να ξεκινήσω με το ψέμα του πρωθυπουργού πραγματικά πρωθυπουργός συνεχίζει την ίδια ακριβώς γραμμή του ψέματος του ψεύδους Και κυρίως της μισής αλήθειας, την ώρα που προανήγγειλε τις εκλογές για την 21/05 από τηλεοράσεως, είναι τηλεοπτικός από υπουργός μας το αλέσει τηλεόραση",elections,elections,other,,-0.5,0.5,0.0,0.4,0.8,,,0.2,"[['madam president', 'person', '0.9'], ['prime minister', 'person', '0.9'], ['21/05', 'date', '0.9']]","[['madam president', 'person', '0.9'], ['prime minister', 'person', '0.9'], ['minister of grind', 'organization', '0.7'], ['tv', 'organization', '0.5'], ['21/05', 'date', '0.9']]"
3,He told us that you will not bring any amendment. Last minute. So I hear that tomorrow a multi-bill bill of 10 ministries. In order not to bring amendments and pass them all in the trailer it is a blender of articles of provisions. Plans. And they pass through and the Tempi. ,Μας είπε ότι δεν θα φέρετε καμία τροπολογία Τελευταίας στιγμής Μαθαίνω λοιπόν ότι αύριο φαίνεται ένα πολυνομοσχέδιο νομοσχέδιο 10 υπουργείων Για να μη φέρουν τροπολογίες και τα περνάνε όλα μέσα τρέιλερ είναι ένα μπλέντερ άρθρων διατάξεων Σχεδίων Και περνούν μέσα και τα Τέμπη,other,other,reforms,,-0.5,0.5,0.0,0.4,0.2,,,0.0,[],"[['tomorrow', 'date', '0.5'], ['10 ministries', 'group of people', '0.5'], ['tempi', 'location', '0.5']]"
4,"That is, they will put in 50 buffets of their own 50 cuts in favour of the oligarchs, the canal lords, the plutocracy and they will pass the Tempi to create problems for the other parties. Not being able to consciously and democratically vote for what they want to vote for. We denounce them once again for distorting the parliamentary process. They would have made the House really the worst it was in terms of procedures. ","Δηλαδή θα βάλουν μέσα 50 ρουσφέτια δικά τους 50 τομές υπέρ των ολιγαρχών, των καναλαρχών, της πλουτοκρατίας και θα περάσουν και τα Τέμπη για να δημιουργήσουν πρόβλημα στα υπόλοιπα κόμματα Να μην μπορούν να ψηφίσουν συνειδητά δημοκρατικά αυτό που θέλουν να ψηφίσουν Τους καταγγέλλουμε για ακόμη μια φορά για νόθευση της διαδικασίας της Βουλής Θα έχουν κάνει τη Βουλή πραγματικά ό, τι χειρότερο υπήρχε σε επίπεδο διαδικασιών",democracy,democracy,oligarchy,,-0.9,0.93,0.8,0.9,0.8,,,0.2,"[['tempi', 'location', '0.5'], ['house', 'organization', '0.5.']]","[['house', 'organization', '0.8'], ['tempi', 'location', '0.5']]"
5,"I'll start like this because they have a lying industry, I would say, and they have the media with them anyway. But I would like to go to Mr. Mitarakis, whom I like our physiognomy. He's a nice man, the minister. But it is also the bearer of the whole burden of bad choices. ","Ξεκινάω έτσι γιατί έχουν μια βιομηχανία, θα λεγα ψεύδους και έχουν και τα μέσα μαζί μαζικής ενημέρωσης μαζί τους έτσι κι αλλιώς Αλλά θα ήθελα να πάω στον κύριο Μηταράκη, τον οποίο συμπαθώ μας φυσιογνωμία Είναι ένας συμπαθής άνθρωπος, ο υπουργός Αλλά είναι και αχθοφόρος όλου του βάρους των κακών επιλογών",media,media,other,,-0.4,0.3,0.0,0.1,0.2,,,0.0,"[['mr. mitarakis', 'person', '0.9']]","[['1. mr. mitarakis', 'person', '0.8'], ['2. the media', 'group of people', '0.7']]"
6,"For the graft of Mr Mitsotakis and company. Mr Mitarakis, it doesn't take much brainpower to understand that you have made an industry.  Not just you personally, but everyone defining these parties, these non-governmental organisations. You've made industry this avalanche of non-governmental organizations that an invisible hand of a global guiding hand is launching and implementing and they reveal that governments are doing their bidding. So I will say this, Mr Mitarakis, if you go to Google. And click on NGO.  You will see. ","Για το μπόλιασμα του κυρίου Μητσοτάκη και της παρέας Κύριε Μηταράκη, δεν χρειάζεται πολύ μυαλό για να καταλάβει κανείς ότι έχετε κάνει βιομηχανία  Όχι εσείς προσωπικά μόνο, αλλά όλοι ορίζοντας τα κόμματα αυτά τις μη κυβερνητικές οργανώσεις Έχετε κάνει βιομηχανία αυτήν τη λαίλαπα των μη κυβερνητικών οργανώσεων που ένα αόρατο χέρι παγκοσμίως της καθοδική της δρομολογεί τις υλοποιεί και αυτές αποκαλύπτουν ότι οι κυβερνήσεις ακολουθούν τις επιταγές τους Θα πω λοιπόν τούτο κύριε Μηταράκη αν μπείτε στο Google Και πατήσετε ΜΚΟ  Θα δείτε",corruption,corruption,corruption,,-0.5,0.8,0.2,0.2,0.2,,,0.2,"[['mr mitsotakis', 'person', '0.5'], ['mr mitarakis', 'person', '0.9'], ['industry', 'person', '0.3'], ['parties', 'organization', '0.3'], ['non-governmental organisations', 'organization', '0.9'], ['invisible hand', 'person', '0.4'], ['global guiding hand', 'organization', '0.2'], ['governments', 'organization', '0.4'], ['google', 'organization', '0.8'], ['ngo', 'organization', '0.9']]","[['mr mitsotakis', 'person', '0.75'], ['mr mitarakis', 'person', '0.75'], ['non-governmental organisations', 'group of people', '0.9'], ['global guiding hand', 'organization', '0.5'], ['governments', 'organization', '0.5'], ['google', 'organization', '0.75'], ['ngo', 'organization', '0.75']]"
7,"Political priests. So-called activists have discovered the most lucrative industry for getting rich. Human trafficking because that's what NGOs do. And I have to tell you, Mr. Mitarakis, that 10% of the workforce in the United States works in non-governmental organizations.  Listen, he's working a little, which means, Mr. Matarakis, he's getting paid.  Which means, it's not volunteerism, it's not humanitarianism, it's making a living from the slave trade. It is a percentage equivalent to the employment of retailers 10% of US citizens work in NGOs and 10% in retail in the United States.  The same thing is happening in Europe and let our friends who are on the theories learn that unfortunately or fortunately the truth is that money is not a voluntary contribution or work, it is a lucrative occupation in any non-governmental organization, so it is not treated by sentient beings as charity but as money-making. So it's a front for a speculative activity and that's not the worst thing. ","Πολιτικούς ιερείς Δήθεν ακτιβιστές να έχουν ανακαλύψει το πλέον προσοδοφόρο κλάδο πλουτισμού Το δουλεμπόριο ανθρώπων γιατί αυτό κάνουν οι μη κυβερνητικές οργανώσεις Πρέπει δε να σας πω κύριε Μηταράκη, ότι το 10% του εργατικού δυναμικού στις Ηνωμένες Πολιτείες εργάζεται σε μη κυβερνητικές οργανώσεις  Ακούστε λίγο εργάζεται, όπερ σημαίνει κύριε μηταράκη αμείβεται  Όπερ σημαίνει, δεν είναι εθελοντισμός, δεν είναι ανθρωπισμός, είναι βιοπορισμός από το δουλεμπόριο Είναι ένα ποσοστό ισοδύναμο της απασχολήσεως των λιανεμπόριο 10% των αμερικανών πολιτών δουλεύουν σε ΜΚΟ και 10% στο λιανεμπόριο στις Ηνωμένες Πολιτείες  Το ίδιο συμβαίνει και στην Ευρώπη και ας το μάθουν οι φίλοι που είναι πάνω στα θεωρεία ότι δυστυχώς ή ευτυχώς η αλήθεια η νομή δεν αποτελεί εθελοντική προσφορά ή εργασία, επ αμοιβή σε οποιαδήποτε μη κυβερνητική οργάνωση είναι προσοδοφόρα επάγγελμα, άρα δεν αντιμετωπίζεται από έλλογα όντα ως φιλανθρωπία αλλά ως προσπορισμό χρήματος Είναι δηλαδή η βιτρίνα μιας κερδοσκοπικής δραστηριότητας και δεν είναι το χειρότερο",other,other,other,,-0.8,0.8,0.7,0.6,0.9,,,0.5,"[['united states', 'location', '1.0'], ['ngos', 'organization', '1.0'], ['mr. mitarakis', 'name', '1.0'], ['united states', 'location', '1.0'], ['us', 'location', '1.0'], ['ngos', 'organization', '1.0'], ['united states', 'location', '1.0'], ['europe', 'location', '1.0']]","[['mr. mitarakis', 'person', '1.0'], ['united states', 'country', '1.0'], ['ngos', 'organization', '1.0'], ['europe', 'location', '1.0']]"
8," Obligation to publish balance sheets. I mean, I have an NGO that gets a government grant.  10 million euros I don't announce balance sheets, there are people working there I don't know how much money they get, each of them can get 2 grand and 3 grand and 5 grand and 10 grand.  I can take it and their pocket something from there in that money, the state cannot control it, according to the principles of economics, but there is something worse because these are also tax issues and here we have black money, very black money with NGOs and black money or money that is not taxed. To know what we're talking about is not money, it's just being moved by an illegal activity.  Give me and my business the opportunity not to pay 300 euros every year. 000 euro tax. But I do and I hate my business. Is it possible that there is a serious person who believes all this. "," Υποχρεωμένοι να δημοσιοποιούν ισολογισμούς Δηλαδή έχω μια ΜΚΟ που παίρνει κρατική επιχορήγηση  10 εκατομμύρια ευρώ δεν ανακοινώνω ισολογισμούς, εργάζονται άνθρωποι εκεί δεν ξέρω πόσα λεφτά παίρνουν ο καθένας από αυτούς μπορεί να παίρνει και 2 χιλιάρικα και 3 χιλιάρικα και 5 χιλιάρικα και 10 χιλιάρικα  Μπορώ να τα πάρω και την τσέπη τους κάτι από κει μέσα στα λεφτά αυτά δεν μπορεί να την ελέγξει η πολιτεία, σύμφωνα με τις αρχές της οικονομίας, όμως υπάρχει κάτι χειρότερο γιατί αυτά είναι και φορολογικά θέματα και εδώ έχουμε και μαύρο χρήμα, πολύ μαύρο χρήμα με στις ΜΚΟ και μαύρο χρήμα ή το χρήμα που δεν φορολογείται Για να ξέρουμε και τι λέμε δεν είναι το χρήμα, απλά που κινείται από μια παράνομη δραστηριότητα  Δώστε μου και μένα τη δυνατότητα επιχείρησής μου να μην πληρώνω κάθε χρόνο 300 000 ευρώ εφορια Μα κάνω και εγώ μισώ τις επιχειρήσεις μου Είναι δυνατόν να υπάρχει σοβαρός άνθρωπος που τα πιστεύει όλα αυτά",other,other,other,,-0.6,0.5,0.2,0.7,0.5,,,0.0,"[['ngo', 'organization', '1.0'], ['government', 'entity', '1.0'], ['euros', 'currency', '1.0'], ['balance sheets', 'document', '1.0'], ['economics', 'field of study', '1.0'], ['tax', 'concept', '1.0'], ['black money', 'concept', '1.0'], ['300', '000 euro', 'currency', '1.0']]","[['ngo', 'organization', '1.0'], ['government', 'organization', '0.5'], ['10 million euros', 'date', '0.5'], ['state', 'location', '0.5'], ['tax', 'political party', '0.5']]"
9,"But according to the principles of economics, Mr. Mitarakis, when you want and you don't have a supply of a Premortal, what do you do to raise the price? You ask others and others to come here.  So, in order to make more money and more money, it needs more immigrants, more products because for them products are unfortunately not human, philanthropic behaviour, they need other products and other people and other people to come to get more money, so that they can get some amounts per capita. It's like the slave traders from Africa used to do in the old days, carrying per capita and taking money.  The same goes for NGOs.  Thus, beneficiaries resort to creating artificial demand. This is the reality of speculators at the expense of unhappy people. The society of the nation states, the rest of the citizens of Europe. What we say. ","Σύμφωνα όμως με τις αρχές της οικονομίας, κύριε Μηταράκη, όταν θέλεις και δεν έχεις προσφορά ενός Προϋόντος, τι κάνεις για να ανεβάσεις την τιμή Ζητάς και άλλους και άλλους να έρχονται εδώ  Άρα λοιπόν, για να βγάλει περισσότερα ειμι και ο χρήματα χρειάζεται περισσότερους μετανάστες, περισσότερα προΐόντα γιατί γι αυτούς είναι προΐόντα δυστυχώς δεν είναι ανθρώπινη, φιλάνθρωπη συμπεριφορά τους χρειάζονται και άλλα προϊόντα και άλλους ανθρώπους και άλλους να έρθουν για να πάρουν παραπάνω χρήματα, για να μπορούν να παίρνουν κατά κεφαλή κάποια ποσά Είναι όπως έκαναν παλιότερα οι στα σκλαβοπάζαρα από την Αφρική μετέφεραν κατά κεφαλή και έπαιρναν λεφτά  Το ίδιο γίνεται με τις ΜΚΟ  Έτσι λοιπόν, επωφελούμενοι καταφεύγουν στη δημιουργία τεχνητής ζήτησης Αυτή είναι η πραγματικότητα κερδοσκόπους σε βάρος δυστυχισμένων ανθρώπων Της κοινωνίας των εθνικών κρατών, των υπόλοιπων πολιτών της Ευρώπης Τι λέμε εμείς",other,other,other,,-0.6,0.9,0.0,0.6,0.8,,,0.2,"[['mitarakis', 'person', '0.6'], ['premortal', 'unknown', '0.5'], ['africa', 'location', '0.5'], ['europe', 'location', '0.5']]","[['mitarakis', 'person', '0.8'], ['africa', 'location', '0.6'], ['europe', 'location', '0.6.']]"
10,"Shut down the slave trade now, shut down the NGOs now, shut down the profiteers of non-governmental organisations. And it's not me, Mr. Mitarakis, when the Greek police and Interpol come out and talk about German NGOs that are doing slave trade, espionage.  You want their names. ","Κλείστε τώρα το δουλεμπόριο, κλείστε τώρα τις ΜΚΟ, κλείστε τους κερδοσκόπους των μη κυβερνητικών οργανώσεων Και δεν το λέω εγώ, κύριε Μηταράκη, όταν βγαίνει η ελληνική αστυνομία αλλά και η Ιντερπόλ και μιλούν για γερμανικές ΜΚΟ οι οποίες κάνουν δουλεμπόριο κατασκοπεία  Θέλετε τα ονόματα τους",corruption,refugees / migrants,other,,-0.8,0.8,0.2,0.65,0.8,,,0.4,"[['interpol', 'org', '1.0'], ['greek police', 'org', '1.0'], ['german ngos', 'org', '1.0'], ['mr. mitarakis', 'per', '1.0']]","[['1. greek police', 'organization', '1'], ['2. interpol', 'organization', '1'], ['3. german ngos', 'group of people', '1']]"
